"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"71","Crassostrea-77","Cupped oysters",1.59356291888353,1.72425255658728,1.82925119084712,1.8966360650091,1.9575614358413,0.112132506874995,1.80638449033999,1959,"COM-SIR"
"72","Crassostrea-77","Cupped oysters",1.57370901069243,1.71180261368424,1.82302249069234,1.89262088774628,1.95648231637023,0.118677876310523,1.79767613462894,1960,"COM-SIR"
"73","Crassostrea-77","Cupped oysters",1.55285602443627,1.69912158574331,1.81681280760963,1.88912844159627,1.95539598893541,0.124958048229111,1.78918813489249,1961,"COM-SIR"
"74","Crassostrea-77","Cupped oysters",1.53350076244416,1.68739760457367,1.81063932208389,1.88553445837141,1.95430360971225,0.130953887079015,1.78089593481894,1962,"COM-SIR"
"75","Crassostrea-77","Cupped oysters",1.51335704916045,1.67526363494119,1.80451955452406,1.88180062306485,1.95321250435393,0.136677851292132,1.77278375068129,1963,"COM-SIR"
"76","Crassostrea-77","Cupped oysters",1.49350655344241,1.66359329150296,1.79706220902772,1.87836789908913,1.95211889983595,0.142162238355472,1.76484137766956,1964,"COM-SIR"
"77","Crassostrea-77","Cupped oysters",1.47242198279515,1.65130091589832,1.79197697729346,1.87483457245669,1.95102392245894,0.147448633042952,1.75706239890557,1965,"COM-SIR"
"78","Crassostrea-77","Cupped oysters",1.44907762048863,1.6401272014917,1.78513251848626,1.87187906906259,1.949928708481,0.152580589839278,1.74944298263628,1966,"COM-SIR"
"79","Crassostrea-77","Cupped oysters",1.42871253660717,1.62852571905648,1.77896178538559,1.8693113367666,1.94883439934305,0.157599320591084,1.74198100003649,1967,"COM-SIR"
"80","Crassostrea-77","Cupped oysters",1.41172563900748,1.6182512430999,1.77396213625406,1.86674098353724,1.94774213692484,0.162541447341833,1.73467538510293,1968,"COM-SIR"
"81","Crassostrea-77","Cupped oysters",1.38530430358773,1.6065441870599,1.76764667674231,1.86408503934943,1.94665305879277,0.167437975979388,1.72752570123245,1969,"COM-SIR"
"82","Crassostrea-77","Cupped oysters",1.36443404506747,1.59604281984865,1.76262558423537,1.86162367112706,1.94556829346304,0.172313951856483,1.72053187722112,1970,"COM-SIR"
