season.year,ASD,ASD2,ScientificName,SpeciesCode,EnglishName,Class,Tax_Lev,totC_old,corr.Catch2
2007,481,48,Bathyraja spp,BHY,Bathyraja rays nei,F,5,21.254,0.021254
2005,5842,58,Notothenia squamifrons,NOS,Grey rockcod,F,6,21.5,0.0215
2012,5843b,58,Antimora rostrata,ANT,Blue antimora,F,6,21.5,0.0215
2005,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,22,0.02154
2009,882,88,Octopodidae,OCT,Octopus spp.,C,4,21.72,0.02172
2012,881,88,Lepidion spp,LEV,Lepidion codlings nei,F,5,21.9,0.0219
1990,5852,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,22,0.022
1991,5842,58,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,22,0.022
1993,5852,58,Notothenia squamifrons,NOS,Grey rockcod,F,6,22,0.022
1998,587,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,22,0.022
1998,883,88,Rajiformes,SRX,Skates and rays,F,3,22,0.022
2001,5844b,58,Notothenia squamifrons,NOS,Grey rockcod,F,6,22,0.022
2011,5844b,58,Muraenolepis spp,MRL,Moray cods,F,5,22,0.022
2009,5852,58,Nototheniops mizops,NOZ,Toad rockcod,F,6,22.012,0.022012
2011,881,88,Lampris guttatus,LAG,Opah,F,6,22.1,0.0221
2006,881,88,Lepidion spp,LEV,Lepidion codlings nei,F,5,22.5,0.0225
2009,483,48,Notothenia squamifrons,NOS,Grey rockcod,F,6,22.75499996,0.022755
2007,486,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,22.8,0.0228
1997,5852,58,Antimora rostrata,ANT,Blue antimora,F,6,23,0.02298
1982,481,48,Champsocephalus gunnari,ANI,Mackerel icefish,F,6,23,0.023
1982,481,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,23,0.023
2007,5843a,58,Rajiformes,SRX,Skates and rays,F,3,23,0.023
2007,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,23.03,0.02303
2007,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,23.40800014,0.023408
2004,5852,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,23.43,0.02343
2007,483,48,Mancopsetta maculata,MMM,Antarctic armless flounder,F,6,23.44099968,0.023441
2004,881,88,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,24,0.024
2006,5843b,58,Raja spp,RAJ,Rays and skates nei,F,5,24,0.024
2007,481,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,24.073,0.024073
2007,881,88,Octopodidae,OCT,Octopus spp.,C,4,24.22,0.02422
2006,5841,58,Dacodraco hunteri,DAH,Icefish spp.,F,6,24.3,0.0243
2003,5852,58,Octopodidae,OCT,Octopus spp.,C,4,25,0.025
2006,5842,58,Lampris immaculatus,LAI,Moonfish,F,6,25,0.025
2011,5852,58,Etmopterus granulosus,ETM,Lucifer Shark,F,6,25,0.025
2006,5841,58,Artedidraco spp,ART,,F,5,25.1,0.0251
2008,5841,58,Antimora rostrata,ANT,Blue antimora,F,6,25.3,0.0253
2007,881,88,Lithodidae,KCX,Crab spp.,C,4,25.48,0.02548
2010,881,88,Pogonophryne spp,POG,plunderfish,F,5,25.49,0.02549
2008,5852,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,25.5,0.025497742
2009,5843b,58,Muraenolepis spp,MRL,Moray cods,F,5,25.65,0.02565
2009,5841,58,Pogonophryne spp,POG,plunderfish,F,5,25.96,0.02596
1999,483,48,Antimora rostrata,ANT,Blue antimora,F,6,26,0.02599
1998,481,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,26,0.026
2000,587,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,26,0.026
2001,5844b,58,Bathyraja spp,BHY,Bathyraja rays nei,F,5,26,0.026
2005,486,48,Bathyraja eatonii,BEA,Eaton's Skate,F,6,26,0.026
2008,5843a,58,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,26,0.026
2008,882,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,26,0.026
2012,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,26,0.026
2012,483,48,Lithodidae,KCX,Crab spp.,C,4,26.1,0.0261
2005,5842,58,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,26.4,0.0264
1987,481,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,27,0.027
2007,5843b,58,Lithodes spp,KCZ,King crabs,C,5,27,0.027
2011,5841,58,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,27,0.027
2007,484,48,Muraenolepis spp,MRL,Moray cods,F,5,27.42,0.02742
2005,881,88,Lampris immaculatus,LAI,Moonfish,F,6,27.5,0.0275
2012,882,88,Macrourus holotrachys,MCH,Bigeye grenadier,F,6,27.5,0.0275
2005,5841,58,Antimora rostrata,ANT,Blue antimora,F,6,27.68,0.02768
2002,587,58,Rajiformes,SRX,Skates and rays,F,3,29,0.02789
2005,5852,58,Notothenia rossii,NOR,Marbled rockcod,F,6,28,0.02798
1993,5852,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,28,0.028
1996,5844a,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,28,0.028
1998,481,48,Rajiformes,SRX,Skates and rays,F,3,28,0.028
2011,481,48,Pleuragramma antarcticum,ANS,Antarctic silverfish,F,6,28,0.028
2009,882,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,28.45,0.02845
2011,5841,58,Octopodidae,OCT,Octopus spp.,C,4,28.76,0.02876
2009,5842,58,Muraenolepis spp,MRL,Moray cods,F,5,28.8,0.0288
2009,5852,58,Etmopterus granulosus,ETM,Lucifer Shark,F,6,28.96,0.02896
1992,5852,58,Myctophidae,LXX,Lanternfish,F,4,29,0.02898
2002,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,29,0.02898
2006,881,88,Moridae,MOR,Moras cods nei,F,4,29,0.029
2006,484,48,Notothenia rossii,NOR,Marbled rockcod,F,6,29.2,0.0292
2005,881,88,Cephalopoda,CEP,Cephalopods,C,2,29.3,0.0293
2012,5844b,58,Rajiformes,SRX,Skates and rays,F,3,29.3,0.0293
2009,5852,58,Teuthoidea,SQQ,Squids,C,4,29.402,0.029402
1991,5842,58,Myctophidae,LXX,Lanternfish,F,4,30,0.03
2000,881,88,Rajiformes,SRX,Skates and rays,F,3,30,0.03
2002,587,58,Bathyraja eatonii,BEA,Eaton's Skate,F,6,30,0.03
2004,587,58,Bathyraja spp,BHY,Bathyraja rays nei,F,5,30,0.03
2005,882,88,Pleuragramma antarcticum,ANS,Antarctic silverfish,F,6,30,0.03
2008,5841,58,Lampris guttatus,LAG,Opah,F,6,30,0.03
2012,481,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,30,0.03
2007,882,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,30.1,0.0301
2006,481,48,Pleuragramma antarcticum,ANS,Antarctic silverfish,F,6,30.298,0.030298
2011,882,88,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,30.41,0.03041
2004,5852,58,Notothenia rossii,NOR,Marbled rockcod,F,6,31,0.03097
1994,482,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,31,0.031
2007,5841,58,Antimora rostrata,ANT,Blue antimora,F,6,31.5,0.0315
2007,5841,58,Pogonophryne permitini,PGR,Plunderfish,F,6,31.5,0.0315
2003,587,58,Antimora rostrata,ANT,Blue antimora,F,6,32,0.03198
1988,481,48,Rajiformes,SRX,Skates and rays,F,3,32,0.032
1998,482,48,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,32,0.032
2004,881,88,Lampris immaculatus,LAI,Moonfish,F,6,32,0.032
2007,5843a,58,Lithodidae,KCX,Crab spp.,C,4,32,0.032
2008,5852,58,Octopodidae,OCT,Octopus spp.,C,4,32,0.032
2009,483,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,32,0.032
2011,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,32.15299996,0.032153
2007,5841,58,Lampris immaculatus,LAI,Moonfish,F,6,32.5,0.0325
2012,481,48,Pleuragramma antarcticum,ANS,Antarctic silverfish,F,6,32.5,0.0325
2007,481,48,Notothenia squamifrons,NOS,Grey rockcod,F,6,32.55,0.03255
2005,5841,58,Muraenolepis microps,MOY,Smalleye moray cod,F,6,32.69,0.03269
2008,5843b,58,Rajiformes,SRX,Skates and rays,F,3,32.7,0.0327
2007,5843b,58,Lithodidae,KCX,Crab spp.,C,4,32.9,0.0329
2011,481,48,Electrona carlsbergi,ELC,Lanternfish,F,6,32.9332,0.0329332
1987,481,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,33,0.033
1998,481,48,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,33,0.033
1999,483,48,Notothenia gibberifrons,NOG,Humped rockcod,F,6,33,0.033
2011,483,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,33.02400051,0.033024001
2008,5843b,58,Lithodidae,KCX,Crab spp.,C,4,33.15,0.03315
2012,5843b,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,33.3,0.0333
2005,586,58,Lithodes murrayi,KCM,Stone crab,C,6,33.5,0.0335
2011,5841,58,Muraenolepis spp,MRL,Moray cods,F,5,33.52,0.03352
2010,586,58,Lithodidae,KCX,Crab spp.,C,4,33.7,0.0337
2007,483,48,Parachaenichthys georgianus,PGE,Bathydraconidae,F,6,33.83600046,0.033836
2007,481,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,33.934,0.033934
1990,5842,58,Macrourus whitsoni,WGR,,F,6,34,0.034
2009,483,48,Notothenia gibberifrons,NOG,Humped rockcod,F,6,34,0.034
2012,881,88,Pogonophryne permitini,PGR,Plunderfish,F,6,34.3,0.0343
2008,5843b,58,Muraenolepis spp,MRL,Moray cods,F,5,34.69,0.03469
2008,484,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,34.76,0.03476
2007,5843b,58,Salilota australis,SAO,,F,6,35.2,0.0352
2007,484,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,35.5,0.0355
2004,483,48,Elasmobranchii,SKX,"Sharks, skates and rays",F,3,36,0.036
2011,5852,58,Lampris immaculatus,LAI,Moonfish,F,6,36,0.036
2007,5852,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,36.3,0.0363
2009,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,36.53279995,0.0365328
2011,5852,58,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,36.6,0.0366
2007,881,88,Macrourus holotrachys,MCH,Bigeye grenadier,F,6,36.74,0.03674
1994,482,48,Notothenia gibberifrons,NOG,Humped rockcod,F,6,37,0.037
2010,483,48,Nototheniops larseni,NOL,Painted rockcod,F,6,37.96800014,0.037968
1981,481,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,38,0.038
1982,481,48,Myctophidae,LXX,Lanternfish,F,4,38,0.038
1985,5842,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,38,0.038
2001,5842,58,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,38,0.038
2004,586,58,Macrourus whitsoni,WGR,,F,6,38,0.038
2004,881,88,Octopodidae,OCT,Octopus spp.,C,4,38,0.038
2007,5842,58,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,38.15,0.03815
2005,883,88,Chionodraco myersi,MIC,Myers' icefish,F,6,38.4,0.0384
2009,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,38.45200006,0.038452
2001,481,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,39,0.039
2010,5844b,58,Muraenolepis spp,MRL,Moray cods,F,5,39.5,0.0395
1991,483,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,40,0.04
2000,586,58,Bathyraja spp,BHY,Bathyraja rays nei,F,5,40,0.04
2001,481,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,40,0.04
2001,881,88,Pogonophryne permitini,PGR,Plunderfish,F,6,40,0.04
2002,881,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,40,0.04
2002,881,88,Octopodidae,OCT,Octopus spp.,C,4,40,0.04
2003,587,58,Paralomis aculeata,KCU,Red stone crab,C,6,40,0.04
2004,5842,58,Rajiformes,SRX,Skates and rays,F,3,40,0.04
2005,5841,58,Notothenia rossii,NOR,Marbled rockcod,F,6,40,0.04
2007,483,48,Notothenia gibberifrons,NOG,Humped rockcod,F,6,40,0.04
2008,483,48,Gymnoscopelus fraseri,GYF,Lanternfish,F,6,40,0.04
2010,486,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,40.1,0.0401
2008,484,48,Muraenolepis spp,MRL,Moray cods,F,5,40.41,0.04041
2009,483,48,Notothenia rossii,NOR,Marbled rockcod,F,6,41,0.0407
2008,5844b,58,Muraenolepis spp,MRL,Moray cods,F,5,40.95,0.04095
1999,483,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,41,0.04096
2001,881,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,41,0.041
2009,483,48,Pagothenia hansoni,TRH,Striped rockcod,F,6,41.03099985,0.041031
2011,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,41.03499999,0.041035
2004,882,88,Muraenolepis spp,MRL,Moray cods,F,5,41.205,0.041205
2011,484,48,Muraenolepis spp,MRL,Moray cods,F,5,41.43,0.04143
2012,481,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,41.7,0.0417
1998,883,88,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,42,0.042
1999,482,48,Myctophidae,LXX,Lanternfish,F,4,42,0.042
1999,483,48,Lithodes murrayi,KCM,Stone crab,C,6,42,0.042
2004,587,58,Octopodidae,OCT,Octopus spp.,C,4,42,0.042
2003,5852,58,"Loliginidae, Ommastrephidae",SQU,Flying squids,C,3,42.33,0.04233
2005,882,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,42.6,0.0426
2005,883,88,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,42.8,0.0428
2005,486,48,Antimora rostrata,ANT,Blue antimora,F,6,43,0.042996829
2006,481,48,Notothenia squamifrons,NOS,Grey rockcod,F,6,43.295,0.043295
2011,5842,58,Macrourus spp,GRV,"Rat tails, Grenadiers",F,5,43.43,0.04343
2010,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,43.61299995,0.043613
1982,481,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,44,0.044
1999,482,48,Notothenia neglecta,NON,Yellowbelly rockcod,F,6,44,0.044
2011,587,58,Rajiformes,SRX,Skates and rays,F,3,45,0.04424
2009,881,88,Pachycara brachycephalum,PHB,Eelpout,F,6,44.7,0.0447
2010,5841,58,Muraenolepis spp,MRL,Moray cods,F,5,44.95,0.04495
2004,5842,58,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,45,0.045
2011,5844b,58,Rajiformes,SRX,Skates and rays,F,3,45,0.045
2007,486,48,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,45.1,0.0451
2008,5844a,58,Lithodidae,KCX,Crab spp.,C,4,45.6,0.0456
2006,881,88,Bathyraja spp,BHY,Bathyraja rays nei,F,5,46.5,0.0465
2007,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,46.812,0.046812
1987,481,48,Notothenia rossii,NOR,Marbled rockcod,F,6,47,0.047
1991,5842,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,47,0.047
2012,481,48,Anotopterus pharao,ANH,Daggertooth,F,6,47,0.047
2006,5852,58,Etmopterus granulosus,ETM,Lucifer Shark,F,6,47.07,0.04703
2005,483,48,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,47.385,0.047385
2008,486,48,Lithodidae,KCX,Crab spp.,C,4,47.7,0.0477
2008,5844a,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,47.7,0.0477
2001,481,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,48,0.048
2011,483,48,Pagothenia hansoni,TRH,Striped rockcod,F,6,48.74000112,0.048740001
2001,483,48,Antimora rostrata,ANT,Blue antimora,F,6,49,0.04897
2011,483,48,Parachaenichthys georgianus,PGE,Bathydraconidae,F,6,49.22900003,0.049229
2006,882,88,Raja georgiana,SRR,,F,6,49.47,0.04947
2011,5843b,58,Rajiformes,SRX,Skates and rays,F,3,49.6,0.0496
2012,486,48,Channichthyidae,ICX,Crocodile icefishes nei,F,4,49.7,0.0497
1991,482,48,Rajiformes,SRX,Skates and rays,F,3,50,0.05
2002,882,88,Muraenolepis spp,MRL,Moray cods,F,5,50,0.05
2005,5841,58,Rajiformes,SRX,Skates and rays,F,3,50,0.05
2006,881,88,Raja spp,RAJ,Rays and skates nei,F,5,50,0.05
2008,5844b,58,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,50.8,0.0508
2009,5852,58,Etmopterus spp,SHL,Lantern Shark spp,F,5,50.91,0.05091
1997,5852,58,Zanclorhynchus spinifer,ZSP,Spiny horsefish,F,6,51,0.05095
1998,587,58,Lithodidae,KCX,Crab spp.,C,4,51,0.05096
2006,5842,58,Artedidraco spp,ART,,F,5,51.3,0.0513
2008,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,51.52,0.05152
2007,481,48,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,51.579,0.051579
1988,481,48,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,52,0.052
2004,586,58,Raja spp,RAJ,Rays and skates nei,F,5,52,0.052
2005,486,48,Macrourus whitsoni,WGR,,F,6,52,0.052
2006,5852,58,Octopodidae,OCT,Octopus spp.,C,4,52.24,0.05224
2012,481,48,Trematomus eulepidotus,TRL,Antarctic rockcod,F,6,52.4,0.0524
2008,484,48,Bathyraja maccaini,BAM,McCain's skate,F,6,52.6,0.0526
1982,481,48,Lithodes murrayi,KCM,Stone crab,C,6,53,0.053
1994,483,48,Raja georgiana,SRR,,F,6,53,0.053
1982,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,54,0.054
2006,5843b,58,Antimora rostrata,ANT,Blue antimora,F,6,54.5,0.0545
2012,481,48,Bathyraja maccaini,BAM,McCain's skate,F,6,54.5,0.0545
1991,482,48,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,55,0.055
2004,881,88,Raja taaf,RFA,,F,6,55,0.055
2005,587,58,Lithodes spp,KCZ,King crabs,C,5,55,0.055
2011,5843a,58,Rajiformes,SRX,Skates and rays,F,3,55.4,0.0554
2008,483,48,Nototheniops larseni,NOL,Painted rockcod,F,6,55.64899966,0.055649
1981,481,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,56,0.056
2011,5841,58,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,56.1,0.0561
2012,5852,58,Teuthoidea,SQQ,Squids,C,4,56.3,0.0563
2002,483,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,57,0.057
2012,881,88,Raja georgiana,SRR,,F,6,57,0.057
2005,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,57.5,0.05745
2009,882,88,Bathyraja eatonii,BEA,Eaton's Skate,F,6,58.08,0.05808
2005,5852,58,Loligo spp,SQC,Common squids,C,5,58.44,0.05844
2006,5852,58,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,58.72,0.05872
2003,483,48,Paralomis spinosissima,KCV,Antarctic king crab,C,6,59,0.05876
2012,5843b,58,Rajiformes,SRX,Skates and rays,F,3,58.9,0.0589
1999,482,48,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,59,0.059
2007,486,48,Lithodidae,KCX,Crab spp.,C,4,59,0.059
1997,587,58,Antimora rostrata,ANT,Blue antimora,F,6,60,0.05941
2011,484,48,Antimora rostrata,ANT,Blue antimora,F,6,59.42,0.05942
2002,881,88,Coryphaenoides spp,CVY,"Grenadiers, whiptails nei",F,5,60,0.06
2005,881,88,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,60,0.06
2006,5842,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,60.1,0.0601
2010,881,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,60.44,0.06044
2011,483,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,62,0.062
2000,5844a,58,Bathyraja spp,BHY,Bathyraja rays nei,F,5,62.5,0.0625
2008,483,48,Muraenolepis microps,MOY,Smalleye moray cod,F,6,62.672,0.062672
2010,5841,58,Antimora rostrata,ANT,Blue antimora,F,6,62.8,0.0628
2006,483,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,63,0.06296
2004,5852,58,"Loliginidae, Ommastrephidae",SQU,Flying squids,C,3,63.05,0.06305
2010,483,48,Pseudochaenichthys georgianus,SGI,South Georgia icefish,F,6,64.3,0.06311
2002,5852,58,Notothenia rossii,NOR,Marbled rockcod,F,6,64,0.06394
1992,483,48,Nototheniops nudifrons,NOD,Yellowfin rockcod,F,6,64,0.064
2002,483,48,Notothenia squamifrons,NOS,Grey rockcod,F,6,64,0.064
2005,5842,58,Lampris immaculatus,LAI,Moonfish,F,6,64,0.064
2006,484,48,Antimora rostrata,ANT,Blue antimora,F,6,64.62,0.06462
1998,883,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,65,0.065
2002,587,58,Raja georgiana,SRR,,F,6,65,0.065
2008,882,88,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,65,0.065
2009,5843a,58,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,65,0.065
2007,5852,58,Octopodidae,OCT,Octopus spp.,C,4,65.40999998,0.06541
2011,881,88,Lampris immaculatus,LAI,Moonfish,F,6,66,0.066
2007,481,48,Trematomus eulepidotus,TRL,Antarctic rockcod,F,6,66.57,0.06657
2000,5842,58,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,67,0.067
2012,881,88,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,67.2,0.0672
2010,5843b,58,Antimora rostrata,ANT,Blue antimora,F,6,67.4,0.0674
2006,882,88,Nototheniidae,NOX,Antarctic Rockcods,F,4,67.8,0.0678
2007,5843b,58,Muraenolepis spp,MRL,Moray cods,F,5,68,0.068
2007,5842,58,Antimora rostrata,ANT,Blue antimora,F,6,68.8,0.0688
2011,5844b,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,69,0.069
2012,882,88,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,69.8,0.0698
1998,586,58,Lithodes murrayi,KCM,Stone crab,C,6,70,0.07
2005,5852,58,Octopodidae,OCT,Octopus spp.,C,4,70,0.07
2005,881,88,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,70,0.07
2011,5842,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,70.36,0.07036
2003,5852,58,Antimora rostrata,ANT,Blue antimora,F,6,71,0.07094
2007,5852,58,Etmopterus granulosus,ETM,Lucifer Shark,F,6,71.42,0.07142
2006,5852,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,71.74,0.07167
1999,483,48,Paralithodes spp,KCS,King crabs,C,5,73,0.073
2008,5844b,58,Lithodidae,KCX,Crab spp.,C,4,74.15,0.07415
2012,5841,58,Muraenolepis spp,MRL,Moray cods,F,5,74.3,0.0743
2004,5852,58,Octopodidae,OCT,Octopus spp.,C,4,74.43,0.07443
2008,483,48,Notothenia rossii,NOR,Marbled rockcod,F,6,75.4,0.07494
1998,482,48,Macrourus spp,GRV,"Rat tails, Grenadiers",F,5,75,0.075
1999,482,48,Rajiformes,SRX,Skates and rays,F,3,75,0.075
2012,5852,58,Muraenolepis microps,MOY,Smalleye moray cod,F,6,75,0.075
2008,881,88,Rajiformes,SRX,Skates and rays,F,3,75.03,0.07503
2005,5852,58,Nototheniops mizops,NOZ,Toad rockcod,F,6,75.6,0.0756
2010,5842,58,Muraenolepis spp,MRL,Moray cods,F,5,76.6,0.0766
1998,482,48,Rajiformes,SRX,Skates and rays,F,3,77,0.077
1997,5843,58,Macrourus holotrachys,MCH,Bigeye grenadier,F,6,78,0.078
2006,481,48,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,78.125,0.078125
2011,5852,58,Teuthoidea,SQQ,Squids,C,4,78.24,0.07824
2007,481,48,Nototheniops larseni,NOL,Painted rockcod,F,6,78.36,0.07836
2006,481,48,Chaenodraco wilsoni,WIC,Spiny icefish,F,6,78.421,0.078421
2010,882,88,Muraenolepis microps,MOY,Smalleye moray cod,F,6,78.8,0.0788
1994,483,48,Paralithodes spp,KCS,King crabs,C,5,79,0.079
1999,483,48,Lithodidae,KCX,Crab spp.,C,4,80,0.07985
1990,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,80,0.07993
1999,587,58,Lithodidae,KCX,Crab spp.,C,4,80,0.07993
2001,587,58,Lithodidae,KCX,Crab spp.,C,4,80,0.07995
2001,481,48,Rajiformes,SRX,Skates and rays,F,3,80,0.08
2002,882,88,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,80,0.08
2004,586,58,Muraenolepis microps,MOY,Smalleye moray cod,F,6,80,0.08
2011,483,48,Lamna nasus,POR,Porbeagle Shark,F,6,80,0.08
2008,5842,58,Raja spp,RAJ,Rays and skates nei,F,5,83,0.083
2012,882,88,Raja spp,RAJ,Rays and skates nei,F,5,83,0.083
2010,881,88,Octopodidae,OCT,Octopus spp.,C,4,83.02,0.08302
2010,483,48,Notothenia rossii,NOR,Marbled rockcod,F,6,86.1,0.08363
2009,5852,58,Notothenia acuta,NOA,Trangular rockcod,F,6,84.116,0.084116
2012,881,88,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,85,0.085
2008,5842,58,Antimora rostrata,ANT,Blue antimora,F,6,85.2,0.0852
2004,882,88,Bathyraja maccaini,BAM,McCain's skate,F,6,86,0.086
2007,881,88,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,86.52,0.08652
1998,881,88,Channichthyidae,ICX,Crocodile icefishes nei,F,4,87,0.087
2000,587,58,Paralomis aculeata,KCU,Red stone crab,C,6,87,0.087
2005,5843a,58,Macrourus whitsoni,WGR,,F,6,87.3,0.0873
2008,5843b,58,Nototheniidae,NOX,Antarctic Rockcods,F,4,89.23,0.08923
2006,481,48,Bathyraja maccaini,BAM,McCain's skate,F,6,89.299,0.089299
2007,483,48,Patagonotothen brevicauda,NOT,Patagonian rockcod,F,6,89.8919995,0.089892
1991,5842,58,Channichthyidae,ICX,Crocodile icefishes nei,F,4,90,0.09
1992,5852,58,Macrourus spp,GRV,"Rat tails, Grenadiers",F,5,90,0.09
1999,482,48,Trematomus spp,TRT,Trematomus spp,F,5,90,0.09
2002,881,88,Macrourus carinatus,MCC,Ridge-scaled rattail,F,6,90,0.09
2012,484,48,Muraenolepis spp,MRL,Moray cods,F,5,90.4,0.0904
2011,483,48,Nototheniops larseni,NOL,Painted rockcod,F,6,90.90199935,0.090901999
2008,5841,58,Bathyraja eatonii,BEA,Eaton's Skate,F,6,91.7,0.0917
2009,5852,58,Lampris immaculatus,LAI,Moonfish,F,6,92,0.092
2008,5843a,58,Macrourus spp,GRV,"Rat tails, Grenadiers",F,5,92.5,0.0925
2009,5842,58,Chionobathyscus dewitti,CHW,Icefish spp.,F,6,92.85,0.09285
2011,586,58,Rajiformes,SRX,Skates and rays,F,3,123.1,0.09356
2005,5842,58,Muraenolepis marmoratus,MVC,Marbled moray cod,F,6,94.2,0.0942
2012,483,48,Raja georgiana,SRR,,F,6,94.2,0.0942
2003,5852,58,Notothenia rossii,NOR,Marbled rockcod,F,6,95,0.09491
2004,881,88,Notothenia kempi,NOK,Striped-eyed rockcod,F,6,95.3,0.0953
