X,assessid,stockid,stocklong.x,tsn,scientificname,commonname,areaid,region,inmyersdb,myersstockid,OHI_rgn,OHI_name,FAO
200,ISC-SWORDNPAC-1952-2010-CHING,SWORDNPAC,Swordfish North Pacific,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Pacific Ocean,0,,73,Russia,61
200,ISC-SWORDNPAC-1952-2010-CHING,SWORDNPAC,Swordfish North Pacific,172482,Xiphias gladius,swordfish,Multinational-ISC-NPAC,Pacific Ocean,0,,73,Russia,67
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,73,Russia,27
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,73,Russia,27
236,IATTC-YFINEPAC-1975-2011-BRANCH,YFINEPAC,Yellowfin tuna Eastern Pacific,172423,Thunnus albacares,Yellowfin tuna,multinational-IATTC-NEPAC,Pacific Ocean,1,YFINNEPAC,73,Russia,67
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,79,Israel,51
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,79,Israel,51
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,79,Israel,51
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,79,Israel,51
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,79,Israel,51
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,85,Ascension,34
6,ICCAT-ALBASATL-1956-2010-CHING,ALBASATL,Albacore tuna South Atlantic,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Atlantic Ocean,0,,85,Ascension,47
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,85,Ascension,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,85,Ascension,47
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,85,Ascension,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,85,Ascension,47
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,85,Ascension,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,85,Ascension,47
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,85,Ascension,34
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,85,Ascension,47
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,85,Ascension,34
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,85,Ascension,47
199,ICCAT-SWORDNATL-1950-2010-CHING,SWORDNATL,Swordfish North Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Atlantic Ocean,1,SWORDNA,85,Ascension,34
201,ICCAT-SWORDSATL-1950-2010-CHING,SWORDSATL,Swordfish South Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL,Atlantic Ocean,1,SWORDSA,85,Ascension,47
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,85,Ascension,34
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,85,Ascension,47
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,85,Ascension,34
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,85,Ascension,47
6,ICCAT-ALBASATL-1956-2010-CHING,ALBASATL,Albacore tuna South Atlantic,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Atlantic Ocean,0,,86,Saint Helena,47
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,86,Saint Helena,47
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,86,Saint Helena,47
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,86,Saint Helena,47
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,86,Saint Helena,47
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,86,Saint Helena,47
201,ICCAT-SWORDSATL-1950-2010-CHING,SWORDSATL,Swordfish South Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL,Atlantic Ocean,1,SWORDSA,86,Saint Helena,47
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,86,Saint Helena,47
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,86,Saint Helena,47
6,ICCAT-ALBASATL-1956-2010-CHING,ALBASATL,Albacore tuna South Atlantic,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Atlantic Ocean,0,,88,Tristan da Cunha,47
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,88,Tristan da Cunha,47
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,88,Tristan da Cunha,47
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,88,Tristan da Cunha,47
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,88,Tristan da Cunha,47
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,88,Tristan da Cunha,47
201,ICCAT-SWORDSATL-1950-2010-CHING,SWORDSATL,Swordfish South Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL,Atlantic Ocean,1,SWORDSA,88,Tristan da Cunha,47
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,88,Tristan da Cunha,47
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,88,Tristan da Cunha,47
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,90,Prince Edward Islands,51
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,90,Prince Edward Islands,51
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,90,Prince Edward Islands,51
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,90,Prince Edward Islands,51
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,90,Prince Edward Islands,51
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,91,Crozet Islands,51
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,91,Crozet Islands,51
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,91,Crozet Islands,51
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,91,Crozet Islands,51
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,91,Crozet Islands,51
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,51
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,57
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,51
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,57
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,51
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,57
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,51
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,57
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,51
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,92,Amsterdam Island and Saint Paul Island,57
6,ICCAT-ALBASATL-1956-2010-CHING,ALBASATL,Albacore tuna South Atlantic,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Atlantic Ocean,0,,95,Falkland Islands,41
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,95,Falkland Islands,41
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,95,Falkland Islands,41
17,ICCAT-ATBTUNAWATL-1950-2010-CHING,ATBTUNAWATL,Bluefin tuna Western Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-WATL,Atlantic Ocean,1,BTUNAWA,95,Falkland Islands,41
157,ICCAT-SAILWATL-1956-2010-CHING,SAILWATL,Sailfish Western Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-WATL,Atlantic Ocean,0,,95,Falkland Islands,41
172,ICCAT-SKJWATL-1952-2010-CHING,SKJWATL,Skipjack tuna Western Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-WATL,Atlantic Ocean,0,,95,Falkland Islands,41
201,ICCAT-SWORDSATL-1950-2010-CHING,SWORDSATL,Swordfish South Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-SATL,Atlantic Ocean,1,SWORDSA,95,Falkland Islands,41
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,95,Falkland Islands,41
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,95,Falkland Islands,41
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,96,Sierra Leone,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,96,Sierra Leone,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,96,Sierra Leone,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,96,Sierra Leone,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,96,Sierra Leone,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,96,Sierra Leone,34
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,96,Sierra Leone,34
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,96,Sierra Leone,34
199,ICCAT-SWORDNATL-1950-2010-CHING,SWORDNATL,Swordfish North Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Atlantic Ocean,1,SWORDNA,96,Sierra Leone,34
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,96,Sierra Leone,34
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,96,Sierra Leone,34
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,97,Liberia,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,97,Liberia,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,97,Liberia,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,97,Liberia,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,97,Liberia,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,97,Liberia,34
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,97,Liberia,34
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,97,Liberia,34
199,ICCAT-SWORDNATL-1950-2010-CHING,SWORDNATL,Swordfish North Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Atlantic Ocean,1,SWORDNA,97,Liberia,34
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,97,Liberia,34
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,97,Liberia,34
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,98,Togo,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,98,Togo,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,98,Togo,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,98,Togo,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,98,Togo,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,98,Togo,34
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,98,Togo,34
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,98,Togo,34
199,ICCAT-SWORDNATL-1950-2010-CHING,SWORDNATL,Swordfish North Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Atlantic Ocean,1,SWORDNA,98,Togo,34
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,98,Togo,34
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,98,Togo,34
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,99,Benin,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,99,Benin,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,99,Benin,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,99,Benin,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,99,Benin,34
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,99,Benin,34
156,ICCAT-SAILEATL-1956-2010-CHING,SAILEATL,Sailfish Eastern Atlantic,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL,Atlantic Ocean,0,,99,Benin,34
171,ICCAT-SKJEATL-1950-2010-CHING,SKJEATL,Skipjack tuna Eastern Atlantic,172401,Katsuwonus pelamis,Skipjack tuna,multinational-ICCAT-EATL,Atlantic Ocean,0,,99,Benin,34
199,ICCAT-SWORDNATL-1950-2010-CHING,SWORDNATL,Swordfish North Atlantic,172482,Xiphias gladius,Swordfish,multinational-ICCAT-NATL,Atlantic Ocean,1,SWORDNA,99,Benin,34
219,ICCAT-WMARLINATL-1956-2011-CHING,WMARLINATL,White marlin Atlantic,172499,Tetrapturus albidus,white marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,99,Benin,34
233,ICCAT-YFINATL-1950-2011-CHING,YFINATL,Yellowfin tuna Atlantic,172423,Thunnus albacares,Yellowfin tuna,multinational-ICCAT-ATL,Atlantic Ocean,0,NA,99,Benin,34
4,ICCAT-ALBANATL-1950-2010-CHING,ALBANATL,Albacore tuna North Atlantic,172419,Thunnus alalunga,Albacore tuna,multinational-ICCAT-NATL,Atlantic Ocean,0,NA,100,Republique du Congo,34
6,ICCAT-ALBASATL-1956-2010-CHING,ALBASATL,Albacore tuna South Atlantic,172419,Thunnus alalunga,albacore tuna,multinational-ICCAT-SATL,Atlantic Ocean,0,,100,Republique du Congo,47
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,100,Republique du Congo,34
26,ICCAT-BIGEYEATL-1950-2010-CHING,BIGEYEATL,Bigeye tuna Atlantic,172428,Thunnus obesus,Bigeye tuna,multinational-ICCAT-ATL,Atlantic Ocean,1,BIGEYEATLANTIC,100,Republique du Congo,47
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,100,Republique du Congo,34
42,ICCAT-BMARLINATL-1956-2010-CHING,BMARLINATL,Blue marlin Atlantic,172491,Makaira nigricans,Blue marlin,multinational-ICCAT-ATL,Atlantic Ocean,0,,100,Republique du Congo,47
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,100,Republique du Congo,34
16,ICCAT-ATBTUNAEATL-1950-2010-CHING,ATBTUNAEATL,Bluefin tuna Eastern Atlantic,172421,Thunnus thynnus,Atlantic bluefin tuna,multinational-ICCAT-EATL,Atlantic Ocean,1,BTUNAEA,100,Republique du Congo,47
150,FAO-SPNWA-RSARDINWA-1990-2010-CHING,RSARDINWA,Round Sardinella West Africa,161763,Sardinella aurita,Round sardinella,multinational-FAO-WA,West Africa,0,NA,100,Republic of Congo,34
