"","","Population","Sanitation","","","","","",""
"","1991","13456.5","11504.9","85.5","1951.6","14.5","","",""
"","1992","13706.5","11809.5","86.2","1897.0","13.8","","",""
"","1993","13958.4","12124.4","86.9","1834.0","13.1","","",""
"","1994","14204.7","12436.8","87.6","1767.9","12.4","","",""
"","1995","14440.1","12741.8","88.2","1698.3","11.8","","",""
"","1996","14662.3","13037.1","88.9","1625.2","11.1","","",""
"","1997","14872.5","13323.5","89.6","1549.0","10.4","","",""
"","1998","15072.4","13604.1","90.3","1468.3","9.7","","",""
"","1999","15265.5","13883.2","90.9","1382.4","9.1","","",""
"","2000","15454.4","14159.2","91.6","1295.2","8.4","","",""
"","2001","15639.3","14432.4","92.3","1206.9","7.7","","",""
"","2002","15819.5","14701.9","92.9","1117.6","7.1","","",""
"","2003","15995.7","14968.0","93.6","1027.7","6.4","","",""
"","2004","16168.2","15231.0","94.2","937.2","5.8","","",""
"","2005","16337.7","15491.4","94.8","846.3","5.2","","",""
"","2006","16504.5","15749.7","95.4","754.9","4.6","","",""
"","2007","16668.9","16005.9","96.0","663.0","4.0","","",""
"","2008","16831.2","16260.6","96.6","570.6","3.4","","",""
"","2009","16991.7","16514.1","97.2","477.7","2.8","","",""
"","2010","17150.8","16766.5","97.8","384.3","2.2","","",""
"","2011","17308.4","17018.1","98.3","290.3","1.7","","",""
"","2012","17464.8","17265.8","98.9","199.0","1.1","","",""
"China","1990","1165429.0","276332.1","23.7","889096.9","76.3","35","",""
"","1991","1183008.4","305656.7","25.8","877351.7","74.2","","",""
"","1992","1198875.1","335166.3","28.0","863708.8","72.0","","",""
"","1993","1213103.7","364755.1","30.1","848348.6","69.9","","",""
"","1994","1225921.6","394396.0","32.2","831525.5","67.8","","",""
"","1995","1237531.4","424054.4","34.3","813477.0","65.7","","",""
"","1996","1247897.1","453641.0","36.4","794256.1","63.6","","",""
"","1997","1257021.8","483050.6","38.4","773971.2","61.6","","",""
"","1998","1265222.5","512345.3","40.5","752877.3","59.5","","",""
"","1999","1272915.3","541627.6","42.6","731287.6","57.4","","",""
"","2000","1280428.6","571006.6","44.6","709422.0","55.4","","",""
"","2001","1287890.4","601130.3","46.7","686760.2","53.3","","",""
"","2002","1295322.0","631682.4","48.8","663639.6","51.2","","",""
"","2003","1302810.3","662380.1","50.8","640430.2","49.2","","",""
"","2004","1310414.4","693243.5","52.9","617170.9","47.1","","",""
"","2005","1318176.8","724274.5","54.9","593902.4","45.1","","",""
"","2006","1326146.4","755385.8","57.0","570760.6","43.0","","",""
"","2007","1334343.5","786651.2","59.0","547692.3","41.0","","",""
"","2008","1342732.6","818124.9","60.9","524607.7","39.1","","",""
"","2009","1351247.6","849749.2","62.9","501498.4","37.1","","",""
"","2010","1359821.5","881492.7","64.8","478328.7","35.2","","",""
"","2011","1368440.3","890441.0","65.1","477999.3","34.9","","",""
"","2012","1377064.9","899352.5","65.3","477712.4","34.7","","",""
"China, Hong Kong SAR","1990","5794.0","","","","","","",""
"","1991","5855.9","","","","","","",""
"","1992","5911.1","","","","","","",""
"","1993","5969.4","","","","","","",""
"","1994","6044.4","","","","","","",""
"","1995","6144.5","","","","","","",""
"","1996","6275.4","","","","","","",""
"","1997","6430.7","","","","","","",""
"","1998","6591.7","","","","","","",""
"","1999","6732.6","","","","","","",""
"","2000","6835.3","","","","","","",""
"","2001","6892.8","","","","","","",""
"","2002","6912.1","","","","","","",""
"","2003","6906.6","","","","","","",""
"","2004","6896.5","","","","","","",""
"","2005","6896.7","","","","","","",""
"","2006","6910.7","","","","","","",""
"","2007","6934.7","","","","","","",""
"","2008","6967.9","","","","","","",""
"","2009","7006.9","","","","","","",""
"","2010","7049.5","","","","","","",""
"","2011","7096.4","","","","","","",""
"","2012","7148.5","","","","","","",""
"China, Macao SAR","1990","359.7","","","","","","",""
"","1991","369.5","","","","","","",""
"","1992","377.8","","","","","","",""
"","1993","385.0","","","","","","",""
"","1994","391.8","","","","","","",""
"","1995","398.5","","","","","","",""
"","1996","405.2","","","","","","",""
"","1997","412.0","","","","","","",""
"","1998","418.8","","","","","","",""
"","1999","425.4","","","","","","",""
"","2000","431.9","","","","","","",""
"","2001","438.1","","","","","","",""
"","2002","444.1","","","","","","",""
"","2003","450.7","","","","","","",""
"","2004","458.5","","","","","","",""
"","2005","468.1","","","","","","",""
"","2006","479.8","","","","","","",""
"","2007","493.2","","","","","","",""
"","2008","507.5","","","","","","",""
"","2009","521.6","","","","","","",""
"","2010","534.6","","","","","","",""
"","2011","546.3","","","","","","",""
"","2012","556.8","","","","","","",""
"Colombia","1990","33306.9","22965.1","68.9","10341.8","31.1","25","",""
"","1991","33957.3","23636.3","69.6","10321.0","30.4","","",""
"","1992","34608.2","24312.2","70.2","10296.0","29.8","","",""
"","1993","35260.5","24993.0","70.9","10267.5","29.1","","",""
"","1994","35915.4","25663.0","71.5","10252.4","28.5","","",""
"","1995","36573.9","26332.1","72.0","10241.8","28.0","","",""
"","1996","37236.1","27008.6","72.5","10227.5","27.5","","",""
"","1997","37901.4","27691.7","73.1","10209.6","26.9","","",""
"","1998","38568.1","28380.2","73.6","10187.8","26.4","","",""
"","1999","39234.1","29072.6","74.1","10161.5","25.9","","",""
"","2000","39898.0","29767.6","74.6","10130.4","25.4","","",""
"","2001","40558.6","30464.0","75.1","10094.6","24.9","","",""
"","2002","41216.3","31162.1","75.6","10054.2","24.4","","",""
"","2003","41872.1","31862.4","76.1","10009.6","23.9","","",""
"","2004","42527.6","32566.4","76.6","9961.2","23.4","","",""
"","2005","43184.0","33274.4","77.1","9909.6","22.9","","",""
"","2006","43841.4","33986.5","77.5","9854.9","22.5","","",""
"","2007","44498.4","34701.5","78.0","9796.9","22.0","","",""
"","2008","45153.0","35417.8","78.4","9735.2","21.6","","",""
"","2009","45802.6","36133.1","78.9","9669.5","21.1","","",""
"","2010","46444.8","36845.5","79.3","9599.3","20.7","","",""
"","2011","47078.8","37554.2","79.8","9524.6","20.2","","",""
"","2012","47704.4","38258.8","80.2","9445.7","19.8","","",""
"Comoros","1990","412.8","73.2","17.7","339.6","82.3","","",""
"","1991","423.0","79.0","18.7","344.0","81.3","","",""
"","1992","433.3","84.5","19.5","348.7","80.5","","",""
"","1993","443.8","90.2","20.3","353.6","79.7","","",""
"","1994","454.7","96.1","21.1","358.5","78.9","","",""
"","1995","465.9","104.0","22.3","361.9","77.7","","",""
"","1996","477.5","112.3","23.5","365.2","76.5","","",""
"","1997","489.6","120.9","24.7","368.7","75.3","","",""
"","1998","502.1","130.0","25.9","372.1","74.1","","",""
"","1999","515.0","139.4","27.1","375.6","72.9","","",""
"","2000","528.3","149.3","28.3","379.0","71.7","","",""
"","2001","542.0","159.6","29.4","382.4","70.6","","",""
"","2002","556.0","170.3","30.6","385.7","69.4","","",""
"","2003","570.5","181.5","31.8","389.0","68.2","","",""
"","2004","585.4","193.1","33.0","392.3","67.0","","",""
"","2005","600.7","205.3","34.2","395.4","65.8","","",""
"","2006","616.5","218.1","35.4","398.5","64.6","","",""
"","2007","632.7","223.8","35.4","408.9","64.6","","",""
"","2008","649.3","229.7","35.4","419.6","64.6","","",""
"","2009","666.1","235.7","35.4","430.4","64.6","","",""
"","2010","683.1","241.8","35.4","441.3","64.6","","",""
"","2011","700.2","","","","","","",""
"","2012","717.5","","","","","","",""
"Congo","1990","2383.3","","","","","","",""
"","1991","2447.0","","","","","","",""
"","1992","2511.8","","","","","","",""
"","1993","2578.4","","","","","","",""
"","1994","2647.8","","","","","","",""
"","1995","2720.6","","","","","","",""
"","1996","2797.6","","","","","","",""
"","1997","2878.3","360.7","12.5","2517.7","87.5","","",""
"","1998","2961.4","372.7","12.6","2588.6","87.4","","",""
"","1999","3044.4","384.9","12.6","2659.5","87.4","","",""
"","2000","3126.2","397.0","12.7","2729.2","87.3","","",""
"","2001","3205.6","408.9","12.8","2796.7","87.2","","",""
"","2002","3283.7","424.1","12.9","2859.6","87.1","","",""
"","2003","3363.4","439.9","13.1","2923.5","86.9","","",""
"","2004","3448.9","456.7","13.2","2992.1","86.8","","",""
"","2005","3542.9","475.0","13.4","3067.8","86.6","","",""
"","2006","3646.7","495.0","13.6","3151.6","86.4","","",""
"","2007","3758.9","516.6","13.7","3242.3","86.3","","",""
"","2008","3876.5","539.3","13.9","3337.2","86.1","","",""
"","2009","3995.1","562.6","14.1","3432.6","85.9","","",""
"","2010","4111.7","586.0","14.3","3525.7","85.7","","",""
"","2011","4225.4","609.5","14.4","3615.9","85.6","","",""
"","2012","4337.1","633.1","14.6","3704.0","85.4","","",""
"Cook Islands","1990","17.6","","","","","15","",""
"","1991","17.7","","","","","","",""
"","1992","17.9","","","","","","",""
"","1993","18.1","","","","","","",""
"","1994","18.3","","","","","","",""
"","1995","18.3","16.8","91.7","1.5","8.3","","",""
"","1996","18.2","16.7","91.7","1.5","8.3","","",""
"","1997","18.1","16.6","91.7","1.5","8.3","","",""
"","1998","17.9","16.4","91.7","1.5","8.3","","",""
"","1999","17.8","16.3","91.7","1.5","8.3","","",""
"","2000","17.8","16.4","92.1","1.4","7.9","","",""
"","2001","18.0","16.7","92.5","1.3","7.5","","",""
"","2002","18.3","17.0","92.9","1.3","7.1","","",""
"","2003","18.7","17.5","93.4","1.2","6.6","","",""
"","2004","19.1","17.9","93.8","1.2","6.2","","",""
"","2005","19.4","18.3","94.2","1.1","5.8","","",""
"","2006","19.7","18.6","94.7","1.1","5.3","","",""
"","2007","19.9","18.9","95.1","1.0","4.9","","",""
"","2008","20.0","19.1","95.5","0.9","4.5","","",""
"","2009","20.2","19.3","95.9","0.8","4.1","","",""
"","2010","20.3","19.5","96.4","0.7","3.6","","",""
"","2011","20.4","19.8","96.8","0.7","3.2","","",""
"","2012","20.5","20.0","97.2","0.6","2.8","","",""
"Costa Rica","1990","3078.6","2723.6","88.5","355.0","11.5","29","",""
"","1991","3156.0","2802.4","88.8","353.6","11.2","","",""
"","1992","3233.6","2881.7","89.1","351.9","10.9","","",""
"","1993","3312.3","2962.3","89.4","350.1","10.6","","",""
"","1994","3393.6","3045.4","89.7","348.2","10.3","","",""
"","1995","3478.2","3131.7","90.0","346.5","10.0","","",""
"","1996","3566.6","3221.8","90.3","344.8","9.7","","",""
"","1997","3658.0","3313.6","90.6","344.4","9.4","","",""
"","1998","3750.6","3406.8","90.8","343.8","9.2","","",""
"","1999","3841.7","3498.9","91.1","342.8","8.9","","",""
"","2000","3929.6","3588.4","91.3","341.2","8.7","","",""
"","2001","4013.5","3674.5","91.6","339.0","8.4","","",""
"","2002","4093.8","3757.6","91.8","336.3","8.2","","",""
"","2003","4171.1","3838.1","92.0","333.1","8.0","","",""
"","2004","4246.3","3916.8","92.2","329.5","7.8","","",""
"","2005","4320.1","3994.4","92.5","325.7","7.5","","",""
"","2006","4392.5","4070.8","92.7","321.7","7.3","","",""
"","2007","4463.2","4145.9","92.9","317.3","7.1","","",""
"","2008","4532.7","4220.0","93.1","312.8","6.9","","",""
"","2009","4601.4","4293.4","93.3","308.0","6.7","","",""
"","2010","4669.7","4366.6","93.5","303.1","6.5","","",""
"","2011","4737.7","4439.6","93.7","298.1","6.3","","",""
"","2012","4805.3","4512.4","93.9","292.9","6.1","","",""
"Côte d'Ivoire","1990","12115.8","1804.8","14.9","10311.0","85.1","10","",""
"","1991","12530.1","1899.7","15.2","10630.4","84.8","","",""
"","1992","12951.0","1997.9","15.4","10953.1","84.6","","",""
"","1993","13375.4","2098.9","15.7","11276.4","84.3","","",""
"","1994","13798.9","2202.2","16.0","11596.7","84.0","","",""
"","1995","14217.4","2307.0","16.2","11910.4","83.8","","",""
"","1996","14632.4","2413.6","16.5","12218.8","83.5","","",""
"","1997","15042.1","2521.7","16.8","12520.5","83.2","","",""
"","1998","15436.5","2629.4","17.0","12807.1","83.0","","",""
"","1999","15802.2","2740.1","17.3","13062.2","82.7","","",""
"","2000","16131.3","2850.6","17.7","13280.7","82.3","","",""
"","2001","16420.2","2956.2","18.0","13464.0","82.0","","",""
"","2002","16675.0","3057.7","18.3","13617.3","81.7","","",""
"","2003","16909.8","3157.4","18.7","13752.4","81.3","","",""
"","2004","17144.3","3258.9","19.0","13885.5","81.0","","",""
"","2005","17394.0","3364.9","19.3","14029.1","80.7","","",""
"","2006","17662.4","3476.6","19.7","14185.8","80.3","","",""
"","2007","17949.1","3598.1","20.0","14351.0","80.0","","",""
"","2008","18260.0","3726.8","20.4","14533.2","79.6","","",""
"","2009","18601.3","3864.2","20.8","14737.1","79.2","","",""
"","2010","18976.6","4011.1","21.1","14965.5","78.9","","",""
"","2011","19390.0","4168.5","21.5","15221.4","78.5","","",""
"","2012","19839.8","4336.7","21.9","15503.1","78.1","","",""
"Croatia","1990","4793.5","4705.5","98.2","88.0","1.8","-9","",""
"","1991","4799.1","4711.1","98.2","88.0","1.8","","",""
"","1992","4787.6","4699.9","98.2","87.7","1.8","","",""
"","1993","4762.4","4675.2","98.2","87.2","1.8","","",""
"","1994","4728.5","4642.1","98.2","86.5","1.8","","",""
"","1995","4690.2","4604.5","98.2","85.7","1.8","","",""
"","1996","4647.8","4563.0","98.2","84.9","1.8","","",""
"","1997","4601.6","4517.6","98.2","84.0","1.8","","",""
"","1998","4554.9","4471.8","98.2","83.1","1.8","","",""
"","1999","4511.8","4429.6","98.2","82.2","1.8","","",""
"","2000","4475.2","4393.7","98.2","81.5","1.8","","",""
"","2001","4446.8","4365.9","98.2","80.9","1.8","","",""
"","2002","4426.1","4345.6","98.2","80.5","1.8","","",""
"","2003","4411.4","4331.3","98.2","80.1","1.8","","",""
"","2004","4399.7","4319.9","98.2","79.8","1.8","","",""
"","2005","4388.9","4309.3","98.2","79.5","1.8","","",""
"","2006","4378.6","4299.3","98.2","79.3","1.8","","",""
"","2007","4369.3","4290.3","98.2","79.0","1.8","","",""
"","2008","4360.1","4281.4","98.2","78.7","1.8","","",""
"","2009","4349.9","4271.5","98.2","78.4","1.8","","",""
"","2010","4338.0","4259.9","98.2","78.1","1.8","","",""
"","2011","4323.8","4246.1","98.2","77.7","1.8","","",""
"","2012","4307.4","4230.1","98.2","77.3","1.8","","",""
"Cuba","1990","10600.8","8638.6","81.5","1962.2","18.5","11","",""
"","1991","10684.8","8766.1","82.0","1918.7","18.0","","",""
"","1992","10757.9","8882.2","82.6","1875.7","17.4","","",""
"","1993","10821.6","8991.1","83.1","1830.5","16.9","","",""
"","1994","10878.8","9095.1","83.6","1783.7","16.4","","",""
"","1995","10932.0","9196.1","84.1","1735.9","15.9","","",""
"","1996","10980.8","9293.8","84.6","1687.0","15.4","","",""
"","1997","11024.2","9388.5","85.2","1635.7","14.8","","",""
"","1998","11063.9","9481.4","85.7","1582.5","14.3","","",""
"","1999","11101.6","9572.6","86.2","1529.0","13.8","","",""
"","2000","11138.4","9663.0","86.8","1475.4","13.2","","",""
"","2001","11175.5","9751.1","87.3","1424.3","12.7","","",""
"","2002","11212.1","9839.1","87.8","1373.0","12.2","","",""
"","2003","11245.9","9923.5","88.2","1322.4","11.8","","",""
"","2004","11273.4","10000.7","88.7","1272.7","11.3","","",""
"","2005","11292.1","10071.1","89.2","1221.0","10.8","","",""
"","2006","11301.1","10133.6","89.7","1167.5","10.3","","",""
"","2007","11301.7","10188.2","90.1","1113.5","9.9","","",""
"","2008","11296.4","10237.6","90.6","1058.7","9.4","","",""
"","2009","11288.8","10285.2","91.1","1003.6","8.9","","",""
"","2010","11281.8","10333.4","91.6","948.4","8.4","","",""
"","2011","11276.1","10382.9","92.1","893.1","7.9","","",""
"","2012","11271.0","10433.1","92.6","837.8","7.4","","",""
"Cyprus","1990","766.6","766.6","100.0","0.0","0.0","24","",""
"","1991","783.1","783.1","100.0","0.0","0.0","","",""
"","1992","800.7","800.7","100.0","0.0","0.0","","",""
"","1993","818.8","818.8","100.0","0.0","0.0","","",""
"","1994","837.2","837.2","100.0","0.0","0.0","","",""
"","1995","855.4","855.4","100.0","0.0","0.0","","",""
"","1996","873.2","873.2","100.0","0.0","0.0","","",""
"","1997","890.7","890.7","100.0","0.0","0.0","","",""
"","1998","908.0","908.0","100.0","0.0","0.0","","",""
"","1999","925.5","925.5","100.0","0.0","0.0","","",""
"","2000","943.3","943.3","100.0","0.0","0.0","","",""
"","2001","961.5","961.5","100.0","0.0","0.0","","",""
"","2002","979.9","979.9","100.0","0.0","0.0","","",""
"","2003","998.1","998.1","100.0","0.0","0.0","","",""
"","2004","1015.8","1015.8","100.0","0.0","0.0","","",""
"","2005","1032.6","1032.6","100.0","0.0","0.0","","",""
"","2006","1048.3","1048.3","100.0","0.0","0.0","","",""
"","2007","1063.1","1063.1","100.0","0.0","0.0","","",""
"","2008","1077.1","1077.1","100.0","0.0","0.0","","",""
"","2009","1090.6","1090.6","100.0","0.0","0.0","","",""
"","2010","1103.7","1103.7","100.0","0.0","0.0","","",""
"","2011","1116.5","1116.5","100.0","0.0","0.0","","",""
"","2012","1129.0","1129.0","100.0","0.0","0.0","","",""
"Czech Republic","1990","10326.0","10326.0","100.0","0.0","0.0","3","",""
"","1991","10330.0","10330.0","100.0","0.0","0.0","","",""
"","1992","10336.2","10336.2","100.0","0.0","0.0","","",""
"","1993","10342.1","10342.1","100.0","0.0","0.0","","",""
"","1994","10343.9","10343.9","100.0","0.0","0.0","","",""
"","1995","10339.2","10339.2","100.0","0.0","0.0","","",""
"","1996","10327.8","10327.8","100.0","0.0","0.0","","",""
"","1997","10311.2","10311.2","100.0","0.0","0.0","","",""
"","1998","10291.2","10291.1","100.0","0.0","0.0","","",""
"","1999","10270.1","10270.0","100.0","0.1","0.0","","",""
"","2000","10250.4","10250.2","100.0","0.2","0.0","","",""
"","2001","10231.4","10231.2","100.0","0.2","0.0","","",""
"","2002","10214.1","10213.8","100.0","0.3","0.0","","",""
"","2003","10203.8","10203.5","100.0","0.3","0.0","","",""
"","2004","10207.9","10207.5","100.0","0.4","0.0","","",""
"","2005","10230.7","10230.2","100.0","0.5","0.0","","",""
"","2006","10274.9","10274.4","100.0","0.5","0.0","","",""
"","2007","10337.8","10337.2","100.0","0.6","0.0","","",""
"","2008","10411.8","10411.2","100.0","0.6","0.0","","",""
"","2009","10486.4","10485.8","100.0","0.6","0.0","","",""
"","2010","10553.7","10553.1","100.0","0.6","0.0","","",""
"","2011","10611.0","10610.4","100.0","0.6","0.0","","",""
"","2012","10660.1","10659.4","100.0","0.6","0.0","","",""
"Democratic People's Republic of Korea","1990","20194.4","","","","","35","",""
"","1991","20510.2","","","","","","",""
"","1992","20838.1","11096.5","53.3","9741.6","46.7","","",""
"","1993","21166.2","11273.9","53.3","9892.3","46.7","","",""
"","1994","21478.6","11442.4","53.3","10036.2","46.7","","",""
"","1995","21763.7","11595.8","53.3","10167.9","46.7","","",""
"","1996","22016.5","11732.0","53.3","10284.5","46.7","","",""
"","1997","22240.8","12273.5","55.2","9967.3","44.8","","",""
"","1998","22445.0","12812.2","57.1","9632.8","42.9","","",""
"","1999","22641.8","13354.4","59.0","9287.3","41.0","","",""
"","2000","22840.2","13905.3","60.9","8934.9","39.1","","",""
"","2001","23043.4","14466.9","62.8","8576.5","37.2","","",""
"","2002","23248.1","15037.3","64.7","8210.8","35.3","","",""
"","2003","23449.2","15613.3","66.6","7835.9","33.4","","",""
"","2004","23639.3","16189.6","68.5","7449.7","31.5","","",""
"","2005","23813.3","16761.9","70.4","7051.4","29.6","","",""
"","2006","23969.9","17328.4","72.3","6641.5","27.7","","",""
"","2007","24112.0","17890.3","74.2","6221.7","25.8","","",""
"","2008","24243.9","18450.0","76.1","5793.9","23.9","","",""
"","2009","24371.9","19011.9","78.0","5360.0","22.0","","",""
"","2010","24500.5","19579.8","79.9","4920.7","20.1","","",""
"","2011","24631.3","20155.1","81.8","4476.2","18.2","","",""
"","2012","24763.2","20267.6","81.8","4495.6","18.2","","",""
"Democratic Republic of the Congo","1990","34910.6","5949.7","17.0","28960.9","83.0","19","",""
"","1991","36253.0","6181.0","17.0","30072.0","83.0","","",""
"","1992","37731.0","6437.5","17.1","31293.5","82.9","","",""
"","1993","39257.3","6704.8","17.1","32552.5","82.9","","",""
"","1994","40711.8","7273.7","17.9","33438.1","82.1","","",""
"","1995","42012.5","7837.6","18.7","34174.9","81.3","","",""
"","1996","43122.6","8385.4","19.4","34737.2","80.6","","",""
"","1997","44078.4","8919.5","20.2","35158.9","79.8","","",""
"","1998","44960.9","9452.9","21.0","35508.1","79.0","","",""
"","1999","45889.1","10009.1","21.8","35880.0","78.2","","",""
"","2000","46949.2","10608.5","22.6","36340.7","77.4","","",""
"","2001","48167.0","11259.4","23.4","36907.6","76.6","","",""
"","2002","49517.0","11958.7","24.2","37558.3","75.8","","",""
"","2003","50972.3","12702.0","24.9","38270.3","75.1","","",""
"","2004","52487.3","13479.2","25.7","39008.0","74.3","","",""
"","2005","54028.0","14281.9","26.4","39746.1","73.6","","",""
"","2006","55590.8","15108.4","27.2","40482.4","72.8","","",""
"","2007","57187.9","15961.6","27.9","41226.3","72.1","","",""
"","2008","58819.0","16841.1","28.6","41978.0","71.4","","",""
"","2009","60486.3","17746.6","29.3","42739.7","70.7","","",""
"","2010","62191.2","18678.8","30.0","43512.4","70.0","","",""
"","2011","63931.5","19636.9","30.7","44294.7","69.3","","",""
"","2012","65705.1","20620.1","31.4","45085.0","68.6","","",""
"Denmark","1990","5140.3","5140.3","100.0","0.0","0.0","7","",""
"","1991","5154.3","5154.3","100.0","0.0","0.0","","",""
"","1992","5171.3","5171.3","100.0","0.0","0.0","","",""
"","1993","5190.6","5190.6","100.0","0.0","0.0","","",""
"","1994","5211.3","5211.3","100.0","0.0","0.0","","",""
"","1995","5232.6","5232.6","100.0","0.0","0.0","","",""
"","1996","5254.4","5254.4","100.0","0.0","0.0","","",""
"","1997","5276.7","5276.7","100.0","0.0","0.0","","",""
"","1998","5298.7","5298.7","100.0","0.0","0.0","","",""
"","1999","5319.4","5319.4","100.0","0.0","0.0","","",""
"","2000","5338.3","5338.3","100.0","0.0","0.0","","",""
"","2001","5354.7","5354.7","100.0","0.0","0.0","","",""
"","2002","5369.0","5369.0","100.0","0.0","0.0","","",""
"","2003","5382.9","5382.9","100.0","0.0","0.0","","",""
"","2004","5398.6","5398.6","100.0","0.0","0.0","","",""
"","2005","5417.7","5417.7","100.0","0.0","0.0","","",""
"","2006","5440.9","5440.9","100.0","0.0","0.0","","",""
"","2007","5467.6","5467.6","100.0","0.0","0.0","","",""
"","2008","5496.1","5496.1","100.0","0.0","0.0","","",""
"","2009","5524.4","5524.4","100.0","0.0","0.0","","",""
"","2010","5551.0","5551.0","100.0","0.0","0.0","","",""
"","2011","5575.2","5575.2","100.0","0.0","0.0","","",""
"","2012","5597.8","5597.8","100.0","0.0","0.0","","",""
"Djibouti","1990","589.9","365.1","61.9","224.8","38.1","13","",""
"","1991","612.6","380.0","62.0","232.6","38.0","","",""
"","1992","629.4","390.5","62.0","238.9","38.0","","",""
"","1993","641.9","398.3","62.1","243.6","37.9","","",""
"","1994","652.8","405.2","62.1","247.6","37.9","","",""
"","1995","664.0","411.8","62.0","252.2","38.0","","",""
"","1996","675.9","418.8","62.0","257.1","38.0","","",""
"","1997","687.9","425.9","61.9","262.0","38.1","","",""
"","1998","699.9","433.0","61.9","266.9","38.1","","",""
"","1999","711.7","439.9","61.8","271.8","38.2","","",""
"","2000","722.9","446.5","61.8","276.4","38.2","","",""
"","2001","733.7","452.8","61.7","280.9","38.3","","",""
"","2002","744.4","459.1","61.7","285.3","38.3","","",""
"","2003","755.1","465.3","61.6","289.7","38.4","","",""
"","2004","765.8","471.6","61.6","294.2","38.4","","",""
"","2005","776.6","477.9","61.5","298.7","38.5","","",""
"","2006","787.5","484.3","61.5","303.2","38.5","","",""
"","2007","798.7","490.9","61.5","307.8","38.5","","",""
"","2008","810.1","497.6","61.4","312.5","38.6","","",""
"","2009","821.9","504.5","61.4","317.4","38.6","","",""
"","2010","834.0","511.7","61.4","322.3","38.6","","",""
"","2011","846.6","519.2","61.3","327.4","38.7","","",""
"","2012","859.7","527.5","61.4","332.1","38.6","","",""
"Dominica","1990","70.9","","","","","","",""
"","1991","70.8","","","","","","",""
"","1992","71.0","","","","","","",""
"","1993","71.2","","","","","","",""
"","1994","71.3","","","","","","",""
"","1995","71.4","57.9","81.1","13.5","18.9","","",""
"","1996","71.2","57.7","81.1","13.5","18.9","","",""
"","1997","70.8","57.4","81.1","13.4","18.9","","",""
"","1998","70.4","57.1","81.1","13.3","18.9","","",""
"","1999","70.0","56.8","81.1","13.2","18.9","","",""
"","2000","69.7","56.5","81.1","13.2","18.9","","",""
"","2001","69.4","56.3","81.1","13.1","18.9","","",""
"","2002","69.3","56.2","81.1","13.1","18.9","","",""
"","2003","69.2","56.1","81.1","13.1","18.9","","",""
"","2004","69.1","56.0","81.1","13.0","18.9","","",""
"","2005","68.9","55.9","81.1","13.0","18.9","","",""
"","2006","68.7","55.7","81.1","13.0","18.9","","",""
"","2007","68.4","55.5","81.1","12.9","18.9","","",""
"","2008","68.2","","","","","","",""
"","2009","67.9","","","","","","",""
"","2010","67.8","","","","","","",""
"","2011","67.7","","","","","","",""
"","2012","67.7","","","","","","",""
"Dominican Republic","1990","7245.1","5292.0","73.0","1953.2","27.0","24","",""
"","1991","7392.4","5427.9","73.4","1964.5","26.6","","",""
"","1992","7540.4","5565.3","73.8","1975.1","26.2","","",""
"","1993","7688.2","5703.5","74.2","1984.7","25.8","","",""
"","1994","7834.4","5848.1","74.6","1986.3","25.4","","",""
"","1995","7978.0","5993.5","75.1","1984.5","24.9","","",""
"","1996","8118.6","6137.4","75.6","1981.2","24.4","","",""
"","1997","8256.5","6280.0","76.1","1976.5","23.9","","",""
"","1998","8392.5","6421.7","76.5","1970.8","23.5","","",""
"","1999","8527.9","6563.6","77.0","1964.3","23.0","","",""
"","2000","8663.4","6706.1","77.4","1957.3","22.6","","",""
"","2001","8799.3","6849.4","77.8","1949.9","22.2","","",""
"","2002","8935.3","6993.3","78.3","1941.9","21.7","","",""
"","2003","9071.3","7137.8","78.7","1933.6","21.3","","",""
"","2004","9207.4","7282.5","79.1","1924.9","20.9","","",""
"","2005","9343.4","7427.3","79.5","1916.1","20.5","","",""
"","2006","9479.3","7572.2","79.9","1907.1","20.1","","",""
"","2007","9615.0","7717.2","80.3","1897.8","19.7","","",""
"","2008","9750.2","7862.0","80.6","1888.2","19.4","","",""
"","2009","9884.3","8006.0","81.0","1878.3","19.0","","",""
"","2010","10016.8","8148.9","81.4","1867.9","18.6","","",""
"","2011","10147.6","8290.6","81.7","1857.0","18.3","","",""
"","2012","10276.6","8430.9","82.0","1845.7","18.0","","",""
"Ecuador","1990","10123.6","5779.6","57.1","4343.9","42.9","37","",""
"","1991","10360.6","6053.7","58.4","4306.9","41.6","","",""
"","1992","10598.2","6329.2","59.7","4269.0","40.3","","",""
"","1993","10836.3","6609.7","61.0","4226.6","39.0","","",""
"","1994","11075.5","6895.5","62.3","4179.9","37.7","","",""
"","1995","11315.8","7186.7","63.5","4129.1","36.5","","",""
"","1996","11557.2","7483.1","64.7","4074.0","35.3","","",""
"","1997","11799.3","7784.5","66.0","4014.8","34.0","","",""
"","1998","12042.5","8090.9","67.2","3951.5","32.8","","",""
"","1999","12287.0","8402.7","68.4","3884.3","31.6","","",""
"","2000","12533.1","8719.9","69.6","3813.2","30.4","","",""
"","2001","12780.9","9042.4","70.7","3738.4","29.3","","",""
"","2002","13030.0","9374.4","71.9","3655.6","28.1","","",""
"","2003","13279.8","9713.3","73.1","3566.5","26.9","","",""
"","2004","13529.1","10055.4","74.3","3473.7","25.7","","",""
"","2005","13777.1","10399.4","75.5","3377.7","24.5","","",""
"","2006","14023.5","10745.2","76.6","3278.3","23.4","","",""
"","2007","14268.4","11092.5","77.7","3175.9","22.3","","",""
