Total contribution to GDP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Percentage of GDP,8.124,8.43975,8.06689,7.98478,7.36594,6.88776,7.56431,7.98273,8.99112,9.20541,9.22481,9.406,10.4009,9.53986,8.70075,10.3983,9.55972,9.24876,7.77936,7.10614,7.01041,6.85782,6.94822,7.12347,7.33572,7.53277,7.7521,7.79516,7.83055,7.81818,7.84418,7.87327,7.90126,7.95181,8.00328,8.05971,8.12075,8.18458
US$ in bn (Nominal),0.339107,0.356519,0.417437,0.441426,0.47011,0.467831,0.538849,0.678137,0.770871,0.755026,0.790976,0.822526,0.830091,0.796062,0.816385,1.23655,1.33587,1.38777,1.25809,1.33811,1.51515,1.3793,1.37256,1.5305,1.46644,1.60116,1.75703,1.66032,1.72491,1.78777,1.86593,1.96192,2.06057,2.1682,2.28284,2.40474,2.532,2.67192
Percentage growth,-100,1.2687,19.3819,1.35771,2.85858,-15.1039,11.4699,12.4965,14.9974,8.21921,4.8205,8.48975,14.2267,-3.32577,-5.4213,25.2466,-3.37575,1.68134,-12.5231,-4.63465,1.7111,-4.81786,1.11556,3.75253,3.18565,4.22628,7.03578,4.78262,4.28125,3.3464,3.55334,3.48218,3.36651,3.55805,3.46569,3.42428,3.37641,3.60764
Local currency in bn,0.554956,0.561997,0.670923,0.680032,0.699471,0.593823,0.661934,0.744653,0.856331,0.926715,0.971387,1.05386,1.20378,1.16375,1.10066,1.37854,1.332,1.3544,1.18479,1.12988,1.14921,1.09384,1.10604,1.14755,1.18411,1.23415,1.32098,1.38416,1.44342,1.49172,1.54473,1.59852,1.65233,1.71112,1.77042,1.83105,1.89287,1.96116
US$ in bn,0.73814,0.747505,0.892386,0.904502,0.930358,0.789837,0.880431,0.990454,1.139,1.23261,1.29203,1.40172,1.60114,1.54789,1.46397,1.83358,1.77168,1.80147,1.57587,1.50283,1.52855,1.45491,1.47114,1.52634,1.57496,1.64153,1.75702,1.84105,1.91987,1.98412,2.05462,2.12617,2.19774,2.27594,2.35482,2.43545,2.51769,2.60851
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.62264,3.28469,4.15929,4.0354,3.99809,3.56997,1.06856,1.39711,4.46671,9.93097,15.0037,18.9465,32.7504,39.2629,40.0903,52.2415,77.1643,90.5324,150.477,215.156,271.864,273.038,277.431,335.532,398.131,429.07,478.433,527.375,575.185,631.837,694.234,758.373,828.979,904.834,991.007,1083.66,1186.34,1296.62
Percentage of GDP,0.924054,1.72696,1.94814,1.68634,1.44596,1.25526,0.644488,0.412006,1.05322,1.77879,2.41489,3.12134,4.84401,5.29221,5.02699,5.26309,6.39677,6.28741,8.76651,10.5231,10.5513,9.14702,8.45877,8.79646,9.12455,9.01969,9.14509,9.12372,8.94664,8.78566,8.63256,8.44633,8.28269,8.1105,7.96902,7.81753,7.67779,7.52075
US$ in bn (Nominal),0.02,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.05,0.06,0.08,0.09,0.08,0.1,0.134287,0.162875,0.27233,0.392419,0.494926,0.480553,0.475775,0.557517,0.645685,0.667492,0.7083,0.754348,0.808767,0.874075,0.945626,1.01784,1.09698,1.16595,1.24346,1.32401,1.4114,1.50051
Percentage growth,-100,76.226,13.2801,-17.1609,-8.59491,-22.1979,-70.1646,-20.3838,185.276,94.0546,47.0831,35.8793,68.9253,18.442,7.10786,7.01786,30.6306,7.72952,51.9471,29.1994,11.4591,-7.89281,-0.848953,12.5581,12.009,3.39807,7.66589,6.6386,4.99174,4.898,4.64397,4.03619,4.10332,3.95309,4.30798,4.14213,4.2624,4.09114
Local currency in bn,17.1011,30.1366,34.1388,28.2802,25.8496,20.1115,6.00035,4.77724,13.6283,26.4464,38.8982,52.8545,89.2847,105.751,113.267,121.216,158.345,170.585,259.199,334.883,373.258,343.797,340.879,383.687,429.763,444.367,478.432,510.193,535.661,561.897,587.992,611.724,636.825,661.999,690.518,719.12,749.772,780.446
US$ in bn,0.03,0.04,0.05,0.04,0.04,0.03,0.01,0.01,0.02,0.04,0.06,0.08,0.132182,0.156559,0.167687,0.179455,0.234424,0.252544,0.383733,0.495781,0.552593,0.508978,0.504657,0.568032,0.636247,0.657867,0.708298,0.755319,0.793023,0.831865,0.870497,0.905632,0.942793,0.980062,1.02228,1.06463,1.11001,1.15542
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),7.80199,9.56686,12.6059,14.2886,16.4298,18.5119,24.6346,30.3355,40.1853,47.9106,52.323,58.0883,65.9403,79.1519,102.214,111.319,123.1,146.697,177.564,204.19,220.075,231.703,243.423,257.219,295.405,326.137,357.045,390.952,426.767,466.605,509.19,558.378,612.077,669.554,730.545,801.558,878.562,966.552
Percentage of GDP,3.60567,3.68344,4.21642,4.17497,4.28167,4.21796,4.96432,5.37988,6.33228,6.81403,6.86961,6.95874,6.96805,7.56609,8.39702,8.39654,8.33661,8.94901,9.65335,9.67953,9.28954,9.23975,8.85816,8.50325,9.05445,9.22768,9.41284,9.48572,9.49704,9.54872,9.59538,9.69963,9.80685,9.9029,9.97938,10.1202,10.2523,10.408
US$ in bn (Nominal),3.41613,3.64934,4.87125,5.1747,5.75767,5.66065,6.93608,8.36239,9.34463,10.3971,9.45913,9.49554,9.49198,9.17645,9.71732,14.7308,19.0912,23.0659,26.248,28.9754,26.6474,27.5072,33.2759,35.4313,36.0113,33.817,32.9155,34.8459,40.0097,44.6842,48.3034,51.9238,55.6944,59.6391,63.6287,68.2078,73.0787,78.7751
Percentage growth,-100,4.52912,14.0599,-2.05968,0.333527,-0.288109,21.3966,11.6813,22.5723,10.2645,1.38414,3.70895,4.33257,11.4675,16.6209,3.16262,3.97372,13.0221,13.6436,6.38207,-0.232368,-2.85035,-2.39449,-0.206085,9.94119,4.30554,3.26768,3.43365,3.14322,3.76986,3.90485,4.62185,4.59635,4.38021,4.11185,4.69508,4.58672,4.97636
Local currency in bn,71.3821,74.615,85.1058,83.3529,83.6309,83.3899,101.233,113.058,138.578,152.802,154.917,160.663,167.623,186.846,217.901,224.793,233.725,264.161,300.202,319.361,318.619,309.537,302.126,301.503,331.476,345.748,357.046,369.305,380.913,395.273,410.708,429.69,449.44,469.127,488.417,511.348,534.802,561.416
US$ in bn,6.58059,6.87863,7.84576,7.68416,7.70979,7.68758,9.33246,10.4226,12.7752,14.0865,14.2815,14.8112,15.4529,17.225,20.0879,20.7232,21.5467,24.3526,27.6751,29.4414,29.373,28.5357,27.8524,27.795,30.5582,31.8739,32.9154,34.0456,35.1158,36.4396,37.8625,39.6124,41.4331,43.248,45.0263,47.1403,49.3025,51.756
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),66.3946,76.0133,87.7661,88.0031,89.9242,93.5039,145.558,176.912,185.109,230.094,254.361,265.938,298.412,347.012,396.337,406.495,431.419,519.006,574.495,807.859,740.148,690.867,706.65,723.47,781.38,831.315,886.087,948.412,1034.24,1115.42,1189.98,1258.41,1332.39,1416.91,1496.31,1576.48,1662.99,1758.96
Percentage of GDP,4.47101,4.85088,5.64049,5.55225,5.65917,5.81492,6.76069,7.26536,7.1443,8.43761,8.5701,8.39717,8.95647,9.70528,10.6611,10.1971,10.1678,11.2999,11.7388,14.9382,12.3481,11.4515,11.0725,10.6912,10.9155,11.0924,11.3314,11.3553,11.5639,11.6456,11.6673,11.6256,11.535,11.5217,11.4186,11.2951,11.1849,11.0703
US$ in bn (Nominal),0.222913,0.238279,0.322349,0.311946,0.339734,0.330216,0.262167,0.354426,0.361858,0.394219,0.431156,0.431928,0.419129,0.473388,0.568641,0.699407,0.816633,0.983953,1.09869,1.6856,1.65282,1.46311,1.42677,1.5332,1.53053,1.68269,1.79527,1.69879,1.80917,1.91816,2.02178,2.12946,2.24565,2.37855,2.50557,2.6356,2.77576,2.93125
Percentage growth,-100,6.90526,20.8644,-1.9393,4.12431,0.508926,19.5468,12.9935,3.40106,21.7212,7.56898,4.20077,10.117,13.4228,10.4307,2.03491,5.58765,17.4147,6.43408,33.5502,-14.3041,-5.33594,0.666389,-1.48624,6.4601,5.68536,7.05104,5.1679,6.80769,5.63047,4.49014,3.57515,3.70169,4.1558,3.43185,3.19134,3.31731,3.59531
Local currency in bn,145.92,155.996,188.543,184.887,192.512,193.492,231.314,261.369,270.259,328.962,353.861,368.726,406.03,460.531,508.567,518.916,547.911,643.328,684.72,914.446,783.642,741.828,746.771,735.672,783.197,827.725,886.088,931.88,995.32,1051.36,1098.57,1137.84,1179.96,1229,1271.18,1311.74,1355.26,1403.99
US$ in bn,0.295642,0.316057,0.382001,0.374593,0.390042,0.392027,0.468656,0.52955,0.547561,0.666497,0.716945,0.747062,0.822642,0.933063,1.03039,1.05136,1.1101,1.30342,1.38729,1.85272,1.58771,1.50299,1.513,1.49052,1.58681,1.67702,1.79527,1.88805,2.01658,2.13012,2.22577,2.30534,2.39068,2.49003,2.57548,2.65768,2.74584,2.84456
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.752749,0.961332,1.27518,1.21652,1.22922,1.35189,1.63578,1.75681,1.55175,1.95176,2.1863,2.18167,2.33012,2.07151,2.67981,2.37252,2.40143,2.77182,3.39332,4.74602,6.16392,8.0365,7.54961,8.41884,8.87679,8.94611,9.42543,10.2993,11.3211,12.4938,13.6183,14.7288,15.9044,17.0721,18.3139,19.6284,21.0125,22.4337
Percentage of GDP,40.7737,46.232,53.65,50.846,45.8021,46.0143,55.474,60.0856,51.7401,57.0875,56.5209,54.3321,54.6033,47.3879,58.3603,51.9029,52.0206,54.8321,60.4837,68.5198,67.3859,69.6803,64.2728,64.1733,62.8335,58.1199,56.8849,57.6841,58.908,60.4485,61.3334,61.805,62.2407,62.3684,62.5173,62.6708,62.8117,62.8064
US$ in bn (Nominal),0.139823,0.170276,0.238937,0.229996,0.239989,0.260906,0.323542,0.368926,0.312224,0.388306,0.415474,0.408354,0.407804,0.353648,0.489013,0.439298,0.436623,0.503967,0.614766,0.708249,0.651767,0.59049,0.625599,0.67998,0.647752,0.741905,0.766962,0.818187,0.874855,0.941017,1.00167,1.05899,1.11781,1.17405,1.23355,1.29616,1.36036,1.43933
Percentage growth,-100,25.0516,24.6963,-2.62706,-3.42003,6.67636,19.5832,7.64108,-12.272,26.9724,10.124,-2.01241,0.374413,-15.1522,24.7103,-16.6943,-1.79799,14.898,20.6818,24.7254,-3.49378,3.24277,-2.55539,4.84437,0.62294,-2.62709,1.7943,5.57011,6.20677,6.61706,5.31917,4.49728,4.33064,3.71231,3.64677,3.55345,3.43212,3.15408
Local currency in bn,2.55253,3.19197,3.98027,3.87571,3.74316,3.99306,4.77503,5.1399,4.50913,5.72535,6.30498,6.1781,6.20123,5.2616,6.56176,5.46632,5.36804,6.16776,7.44337,9.28377,8.95941,9.24995,9.01357,9.45022,9.50909,9.25928,9.42542,9.95043,10.568,11.2673,11.8666,12.4003,12.9373,13.4176,13.9069,14.4011,14.8954,15.3652
US$ in bn,0.207703,0.259736,0.323881,0.315373,0.304587,0.324922,0.388552,0.418242,0.366915,0.465881,0.513046,0.502722,0.504604,0.428145,0.533941,0.444803,0.436806,0.501881,0.605679,0.755435,0.729042,0.752683,0.733449,0.76898,0.77377,0.753443,0.766962,0.809682,0.859937,0.91684,0.965608,1.00903,1.05273,1.09181,1.13163,1.17184,1.21206,1.25029
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.25517,2.04878,5.29461,10.738,14.0895,17.8579,55.8135,59.2551,50.1627,47.4279,58.7412,84.5718,78.1144,111.967,152.4,256.257,344.781,438.68,412.267,498.897,499.799,546.503,736.793,933.247,982.408,950.195,887.266,968.515,1098.41,1253.41,1429.47,1615.49,1797.17,1990.3,2193.12,2417.66,2656.21,2907.62
Percentage of GDP,3.00989,2.60644,3.71548,3.21823,2.86437,2.82589,7.2025,6.2212,3.99429,3.92392,3.8576,4.83474,4.05405,5.24466,5.87316,7.96714,8.92417,9.33059,7.47482,7.85846,6.83966,6.67275,7.18392,7.3179,5.96822,4.4638,3.64287,3.72249,3.74718,3.75582,3.79448,3.83841,3.85481,3.8722,3.88119,3.89191,3.88949,3.86714
US$ in bn (Nominal),0.04,0.03,0.03,0.04,0.03,0.03,0.1,0.08,0.05,0.05,0.04,0.05,0.04,0.06,0.07,0.109141,0.127635,0.151814,0.13919,0.167124,0.167633,0.161417,0.185213,0.214581,0.226151,0.219318,0.196901,0.184039,0.208722,0.238174,0.266304,0.295058,0.321804,0.349399,0.377454,0.407941,0.439404,0.469238
Percentage growth,-100,-10.465,47.7415,-20.306,-19.581,-1.29012,163.797,-22.2835,-51.7098,-19.0476,-2.51335,15.151,-12.955,52.8747,41.5743,48.2847,19.4074,9.26529,-16.4907,13.5919,-8.27216,0.677727,13.4183,7.95387,-6.0429,-12.3089,-13.059,0.138733,5.69672,7.24635,8.10159,7.63159,6.25195,5.77518,5.24383,5.28993,4.93499,4.55125
Local currency in bn,420.831,376.791,556.676,443.638,356.769,352.166,929.002,721.988,348.65,282.24,275.147,316.834,275.788,421.611,596.893,885.101,1056.88,1154.8,964.365,1095.44,1004.82,1011.63,1147.38,1238.64,1163.79,1020.54,887.267,888.498,939.113,1007.16,1088.76,1171.85,1245.11,1317.02,1386.08,1459.41,1531.43,1601.13
US$ in bn,0.09,0.08,0.123537,0.1,0.08,0.08,0.206163,0.160222,0.08,0.06,0.06,0.07,0.06,0.09,0.132461,0.19642,0.23454,0.256271,0.21401,0.243098,0.222989,0.2245,0.254624,0.274877,0.258266,0.226476,0.196901,0.197174,0.208406,0.223508,0.241616,0.260055,0.276314,0.292271,0.307597,0.323869,0.339852,0.35532
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.12921,0.402994,0.595565,0.896364,1.53857,1.46798,3.12789,6.44677,11.4707,19.7115,32.447,77.7724,100.799,78.3975,92.3789,99.8554,114.649,130.989,179.447,195.966,303.975,386.14,447.172,597.524,647.344,995.65,968.328,1064.75,1176.88,1282.61,1394.22,1509.18,1622.84,1738.07,1859,1985.06,2120.17,2268.41
Percentage of GDP,1.90842,4.37701,4.50061,4.86697,6.58565,4.47112,5.37274,6.22034,7.23079,6.14443,7.19879,14.5121,17.0026,11.582,12.0123,10.5438,10.4568,10.0663,10.6665,10.0537,11.352,12.031,11.2763,12.5646,11.8301,16.1837,13.9952,13.7736,13.5879,13.3051,13.0567,12.8205,12.5659,12.3849,12.1903,11.979,11.8302,11.6706
US$ in bn (Nominal),0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.101197
Percentage growth,-100,133.945,4.65808,10.5311,36.2603,-31.3613,22.8091,18.0914,17.9879,-14.1774,20.0886,106.63,20.6765,-29.1564,5.77924,-6.31301,3.68464,-0.769386,18.9804,-3.51006,23.5769,11.0903,-2.05522,16.8844,-2.07911,42.2728,-9.1967,3.33862,4.57056,3.79448,4.02095,4.08225,3.89494,3.98084,3.84225,3.67125,3.69547,3.8755
Local currency in bn,52.7666,123.445,129.195,142.801,194.581,133.558,164.021,193.695,228.536,196.136,235.536,486.689,587.319,416.078,440.124,412.339,427.532,424.243,504.766,487.049,601.88,668.63,654.888,765.462,749.548,1066.4,968.328,1000.66,1046.39,1086.1,1129.77,1175.89,1221.69,1270.32,1319.13,1367.56,1418.1,1473.06
US$ in bn,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08
Sudan and South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0,0,0,0.01,0.01,0.03,0.07,0.137769,0.100866,0.261628,0.4302,0.700363,0.887352,1.04209,1.53024,1.54437,2.26338,3.18754,3.15519,4.10397,4.28535,4.99664,4.80231,5.7843,11.0146,15.8814,23.4202,27.0057,30.9804,33.7449,36.4556,39.2907,42.3097,45.6972,49.4476,53.5513,58.1459,63.2911
Percentage of GDP,2.67608,3.70342,3.78817,4.3473,1.48835,2.11348,2.49906,2.42522,1.26459,2.12981,2.57635,3.4002,3.46287,3.367,4.20939,3.64017,4.32669,4.88573,4.21694,4.49882,4.21086,4.461,3.82161,3.90878,5.99145,6.49897,6.67191,6.40784,6.41949,6.28354,6.2164,6.1354,6.05023,5.98412,5.92972,5.88082,5.84744,5.83025
US$ in bn (Nominal),0.235126,0.511328,1.0615,1.75677,0.09,0.201571,0.226074,0.237175,0.08,0.166035,0.214241,0.277316,0.345109,0.402815,0.581164,0.59175,0.877603,1.30848,1.45298,2.0356,2.05024,2.17101,2.08253,2.16914,3.08277,3.33741,4.10854,3.63573,3.62682,3.62426,3.80136,4.0617,4.33559,4.62472,4.94135,5.28322,5.66243,5.99526
Percentage growth,-100,40.8524,27.8648,42.2669,-63.5871,92.2407,12.777,24.9555,-68.5513,76.8041,40.4237,40.3455,31.86,7.73766,32.5072,-7.13244,25.0119,23.1269,-8.04495,12.8383,-4.35886,15.0326,-8.63969,1.1004,49.0696,12.0634,5.33456,-0.59848,4.28935,1.79736,2.8888,2.64491,2.556,2.86378,3.05455,3.14226,3.40965,3.6658
Local currency in bn,2.70719,3.54155,3.89468,4.76354,1.70536,2.44601,3.06571,3.15355,1.74169,3.11103,4.07344,5.60371,6.18561,6.66423,8.83059,8.20075,10.2519,12.6229,11.6074,13.0976,12.5266,14.4097,13.1648,13.3096,19.8406,22.2341,23.4202,23.28,24.2786,24.715,25.4289,26.1015,26.7686,27.5352,28.3763,29.268,30.2659,31.3754
US$ in bn,0.297124,0.418506,0.535122,0.761302,0.277212,0.532914,0.601005,0.750988,0.236176,0.417569,0.586366,0.822939,1.08513,1.16909,1.54913,1.43864,1.79847,2.2144,2.03625,2.29767,2.19752,2.52787,2.30947,2.33488,3.4806,3.90048,4.10855,4.08396,4.25914,4.33569,4.46094,4.57892,4.69596,4.83044,4.97799,5.13441,5.30948,5.50412
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),0.01,0.05,0.103651,0.155984,0.117131,0.161647,0.217983,0.186931,0.157177,0.240472,0.422705,0.25933,0.548129,0.616362,1.02793,0.984629,1.07256,0.877256,1.11172,0.867017,1.2824,1.46145,1.39751,1.20865,1.52052,1.43375,1.56726,1.71118,1.89345,2.06634,2.21871,2.37901,2.5666,2.76554,2.97553,3.1936,3.42009,3.64233
Percentage of GDP,0.690178,2.52366,3.59389,4.88595,3.19663,3.64481,4.32541,3.03341,2.28096,3.03988,4.8948,2.76571,5.21581,5.28521,7.96595,7.02053,6.85957,5.33838,5.56918,4.02982,5.1405,5.45561,5.23845,4.24907,4.67233,4.07743,4.13359,4.20559,4.34333,4.43005,4.44574,4.45528,4.49237,4.52597,4.55442,4.57312,4.58324,4.55722
US$ in bn (Nominal),0,0.02,0.04,0.06,0.04,0.05,0.06,0.05,0.04,0.05,0.08,0.04,0.08,0.07,0.1,0.13016,0.166039,0.137948,0.164175,0.123062,0.155231,0.172469,0.190885,0.166454,0.185204,0.148497,0.144487,0.152521,0.177515,0.197886,0.210478,0.221228,0.233545,0.246339,0.259166,0.271761,0.284488,0.296859
Percentage growth,-100,298.986,54.6457,38.3867,-32.4646,17.6563,21.4962,-26.4959,-22.1994,37.6955,65.2399,-41.9433,92.36,2.54665,53.4344,-9.92937,0.540779,-20.2306,7.76602,-25.108,30.623,7.50955,-5.70882,-12.2356,16.8888,-10.7253,3.50793,3.78473,5.24255,3.93449,2.26085,2.11893,2.7482,2.61984,2.47,2.21791,1.99263,1.42668
Local currency in bn,0.11363,0.453367,0.701113,0.970247,0.65526,0.770954,0.93668,0.688498,0.535656,0.737574,1.21877,0.707576,1.36109,1.39576,2.14157,1.92893,1.93936,1.54701,1.66716,1.24857,1.63091,1.75339,1.65329,1.451,1.69606,1.51415,1.56726,1.62658,1.71186,1.77921,1.81943,1.85799,1.90905,1.95906,2.00745,2.05197,2.09286,2.12272
US$ in bn,0.01,0.04,0.06,0.09,0.06,0.07,0.09,0.06,0.05,0.07,0.112359,0.07,0.12548,0.128676,0.197433,0.177829,0.17879,0.14262,0.153696,0.115106,0.150355,0.161646,0.152418,0.133768,0.15636,0.13959,0.144487,0.149955,0.157817,0.164026,0.167735,0.171289,0.175996,0.180607,0.185068,0.189173,0.192942,0.195695
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),7.91387,16.4247,21.7781,30.9909,39.5476,61.6427,116.085,418.719,469.382,440.375,532.001,637.437,679.002,1040.6,1227.11,1469.13,1867.59,2167.89,2693.98,3265.55,3303.75,3905.13,4256.67,5218.46,6583.37,7473.62,8252.67,8836.57,9622.99,10648.7,11815.9,13227.7,14832.8,16624.2,18642.6,20886.2,23370,26459.7
Percentage of GDP,1.51497,2.03874,2.07889,2.32958,2.45868,3.08524,4.47692,12.2903,11.0453,8.30087,8.466,8.82563,8.32846,11.4348,11.7488,12.1345,13.3671,13.5788,15.0156,15.5885,13.3314,13.8418,13.1812,13.9037,14.7221,14.4785,14.0377,13.27,12.8484,12.6674,12.6594,12.7405,12.843,12.9156,12.9718,13.0279,13.0848,13.1887
US$ in bn (Nominal),0.08,0.114556,0.11165,0.14141,0.13284,0.152101,0.227782,0.728509,0.809312,0.719422,0.800397,0.855897,0.848319,1.18734,1.26953,1.41478,1.71444,1.92031,2.15192,2.62285,2.76161,2.95773,3.02048,3.31937,4.15879,4.66973,5.07931,5.3316,5.69227,6.1755,6.71799,7.37324,8.10579,8.89417,9.76449,10.7098,11.7316,12.9897
Percentage growth,-100,39.6476,9.14987,14.3808,6.15807,26.9972,47.3813,184.329,-6.04672,-22.1976,5.77102,7.92794,-0.977188,45.5333,10.1068,10.3946,18.7806,9.07055,18.031,11.2365,-8.1193,10.0808,1.9346,12.2835,13.1491,5.22983,3.73997,1.25146,3.27132,4.94038,6.23342,7.18155,7.35726,7.30336,7.36414,7.26233,7.12556,8.39791
Local currency in bn,235.669,329.106,359.218,410.877,436.179,553.935,816.396,2321.25,2180.89,1696.79,1794.71,1936.99,1918.07,2791.43,3073.55,3393.03,4030.27,4395.84,5188.45,5771.45,5302.85,5837.42,5950.35,6681.26,7559.79,7955.16,8252.68,8355.95,8629.3,9055.62,9620.1,10311,11069.6,11878,12752.7,13678.9,14653.6,15884.2
US$ in bn,0.145048,0.202556,0.221089,0.252884,0.268456,0.340932,0.50247,1.42867,1.34228,1.04433,1.1046,1.19217,1.18052,1.71805,1.89169,2.08832,2.48052,2.70552,3.19335,3.55218,3.26376,3.59278,3.66228,4.11214,4.65285,4.89619,5.0793,5.14287,5.31111,5.5735,5.92092,6.34613,6.81303,7.31061,7.84898,8.41899,9.0189,9.77629
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),11.7363,21.9763,18.0244,9.45874,11.2069,6.68819,12.9368,22.1215,14.7845,20.6663,19.3374,16.7245,20.7705,26.7218,35.9122,36.5929,43.1498,49.9235,49.6397,60.4573,66.9555,81.3484,102.57,113.625,130.083,139.2,142.099,153.495,167.003,178.294,188.672,199.104,207.531,215.205,222.792,230.992,238.414,248.675
Percentage of GDP,2.85764,5.09182,4.07332,2.08848,2.52693,1.89843,2.37111,2.87816,1.75671,2.09555,2.0653,1.72365,2.25423,2.7362,3.4992,3.76238,4.21714,4.48509,4.27892,4.98453,4.72016,5.44683,6.48602,6.52868,6.56355,6.54411,6.68572,6.66771,6.6872,6.60206,6.47288,6.34079,6.17031,5.98505,5.80663,5.63887,5.45834,5.28488
US$ in bn (Nominal),0.04,0.07,0.07,0.03,0.04,0.02,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.09,0.126145,0.149518,0.172279,0.207095,0.240798,0.2548,0.281758,0.287892,0.274935,0.292128,0.306602,0.320549,0.336913,0.34977,0.361255,0.373056,0.386169,0.397939,0.414401
Percentage growth,-100,85.2618,-20.241,-49.0996,16.3457,-36.2449,43.6239,30.8429,-33.5637,36.4104,-3.63956,-14.5317,29.8025,21.1206,33.229,10.4459,15.4181,7.63003,-0.876007,18.7036,-3.22044,19.0876,23.8177,6.92876,11.5764,5.12939,1.8679,5.38162,6.14594,4.15728,3.23943,2.95507,1.69063,1.1687,0.999924,1.15181,0.695778,1.75997
Local currency in bn,29.454,54.5671,43.5221,22.1529,25.774,16.4322,23.6006,30.8798,20.5154,27.9851,26.9666,23.0479,29.9167,36.2353,48.276,53.3188,61.5396,66.235,65.6548,77.9346,75.4248,89.8215,111.215,118.921,132.688,139.494,142.099,149.746,158.95,165.558,170.921,175.972,178.947,181.038,182.848,184.954,186.241,189.519
US$ in bn,0.06,0.110552,0.09,0.04,0.05,0.03,0.05,0.06,0.04,0.06,0.05,0.05,0.06,0.07,0.1,0.108024,0.124679,0.134192,0.133016,0.157895,0.15281,0.181978,0.225321,0.240933,0.268824,0.282613,0.287892,0.303385,0.322031,0.335419,0.346284,0.356517,0.362545,0.366782,0.370449,0.374716,0.377323,0.383964
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local currency in bn (Nominal),1.76355,1.60397,1.53858,1.4169,1.9927,2.22279,2.78535,3.04505,3.55264,4.15915,4.43523,4.94084,5.79949,6.28985,5.81767,5.92722,6.95543,8.15181,9.13259,9.75274,10.5791,10.7945,11.116,9.42275,11.061,11.3605,12.5814,13.632,14.8839,15.8683,16.7625,17.6328,18.5623,19.6076,20.719,21.9225,23.2287,24.5351
Percentage of GDP,18.438,15.1446,12.8806,10.6657,13.1646,13.7262,15.9483,16.1695,16.8718,18.0205,17.8006,18.1334,19.7039,19.8127,17.6821,16.7562,17.9086,19.4689,19.9592,19.5612,19.1416,18.3965,17.6279,14.5661,15.6543,14.8794,15.2459,15.2135,15.1964,14.8507,14.4908,14.1349,13.8113,13.5214,13.2946,13.1057,12.9481,12.8046
US$ in bn (Nominal),2.0559,1.68959,1.75171,1.53242,2.25309,2.21451,2.75354,3.21972,3.64969,3.76084,3.89492,4.16517,4.23111,4.37187,4.09197,4.60024,5.58458,6.28304,6.86134,7.61124,8.58599,7.99435,7.7658,6.69334,7.08182,6.99255,7.4134,7.11086,7.58273,7.94749,8.2946,8.69018,9.11175,9.58642,10.1045,10.6743,11.2922,11.9082
Percentage growth,-100,-15.7434,-8.93174,-13.7691,33.3142,6.849,20.4041,4.0947,11.4959,12.9233,3.6822,7.999,13.3325,5.42903,-9.23645,-0.05,13.246,13.0612,8.31515,4.13422,2.21906,-0.899948,-1.66602,-18.955,11.4954,-2.80457,5.03089,3.68307,4.38274,2.61135,2.26057,2.1284,2.20515,2.55483,2.59055,2.72728,2.87192,2.54767
