"speciesid","probability","loiczid"
"Kew-308090",1,115088
"SLB-159390",1,114367
"Kew-308804",1,114367
"Kew-293259",1,114367
"Kew-308090",1,114367
"SLB-159390",1,114368
"Kew-308804",1,114368
"Kew-293259",1,114368
"Kew-308090",1,114368
"SLB-159390",1,115089
"Kew-308804",1,115089
"Kew-293259",1,115089
"SLB-159390",1,115090
"Kew-308804",1,115090
"Kew-293259",1,115090
"Kew-308090",1,115090
"SLB-159390",1,114369
"Kew-308804",1,114369
"Kew-293259",1,114369
"Kew-308090",1,114369
"SLB-159390",1,114370
"Kew-308804",1,114370
"Kew-293259",1,114370
"Kew-308090",1,114370
"Kew-293259",0.01,113641
"Kew-293259",0.54,113642
"Kew-293259",0.6,112921
"SLB-159390",1,112922
"SLB-159390",1,113643
"Kew-308804",0.91,113643
"Kew-293259",1,113643
"Kew-308090",0.68,113643
"SLB-159390",1,112923
"Kew-308804",1,112923
"Kew-293259",1,112923
"Kew-308090",1,112923
"SLB-159390",1,112924
"Kew-308804",1,112924
"Kew-293259",1,112924
"Kew-308090",1,112924
"SLB-159390",1,113645
"Kew-308804",1,113645
"Kew-293259",1,113645
"Kew-308090",1,113645
"SLB-159390",1,113646
"Kew-308804",1,113646
"Kew-293259",1,113646
"Kew-308090",0.83,113646
"SLB-159390",1,112925
"Kew-308804",1,112925
"Kew-293259",1,112925
"Kew-308090",1,112925
"SLB-159390",1,112926
"Kew-308804",1,112926
"Kew-293259",1,112926
"Kew-308090",0.16,112926
"SLB-159390",0.47,113647
"Kew-293259",0.91,113647
"Kew-308090",0.09,113647
"SLB-159390",1,113648
"Kew-308804",1,113648
"Kew-293259",1,113648
"Kew-308090",0.58,113648
"SLB-159390",1,112927
"Kew-308804",1,112927
"Kew-293259",1,112927
"SLB-159390",1,112928
"Kew-308804",1,112928
"Kew-293259",1,112928
"SLB-159390",1,113649
"Kew-308804",1,113649
"Kew-293259",1,113649
"Kew-308090",1,113649
"SLB-159390",1,113650
"Kew-308804",1,113650
"Kew-293259",1,113650
"Kew-308090",0.73,113650
"SLB-159390",1,112929
"Kew-308804",1,112929
"Kew-293259",1,112929
"Kew-308090",1,112929
"SLB-159390",0.55,112930
"Kew-293259",0.95,112930
"Kew-308090",0.17,112930
"SLB-159390",0.57,112201
"Kew-293259",0.95,112201
"Kew-308090",0.19,112201
"SLB-159390",1,111481
"Kew-293259",1,111481
"Kew-308090",1,111481
"SLB-159390",1,111482
"Kew-308804",1,111482
"Kew-293259",1,111482
"Kew-308090",1,111482
"SLB-159390",1,112203
"Kew-308804",1,112203
"Kew-293259",1,112203
"Kew-308090",1,112203
"SLB-159390",1,112204
"Kew-308804",1,112204
"Kew-293259",1,112204
"Kew-308090",1,112204
"SLB-159390",0.2,111483
"Kew-308804",1,111483
"Kew-293259",1,111483
"Kew-308090",0.82,111483
"SLB-159390",1,111484
"Kew-308804",1,111484
"Kew-293259",1,111484
"Kew-308090",1,111484
"SLB-159390",1,112205
"Kew-308804",1,112205
"Kew-293259",1,112205
"Kew-308090",1,112205
"SLB-159390",1,112206
"Kew-308804",1,112206
"Kew-293259",1,112206
"Kew-308090",1,112206
"SLB-159390",1,111485
"Kew-308804",1,111485
"Kew-293259",1,111485
"Kew-308090",1,111485
"SLB-159390",1,111486
"Kew-308804",1,111486
"Kew-293259",1,111486
"Kew-308090",1,111486
"SLB-159390",1,112207
"Kew-308804",1,112207
"Kew-293259",1,112207
"Kew-308090",0.39,112207
"SLB-159390",1,112208
"Kew-308804",1,112208
"Kew-293259",1,112208
"Kew-308090",0.34,112208
"SLB-159390",1,111487
"Kew-308804",1,111487
"Kew-293259",1,111487
"Kew-308090",1,111487
"SLB-159390",1,111488
"Kew-308804",1,111488
"Kew-293259",1,111488
"Kew-308090",0.34,111488
"SLB-159390",1,112209
"Kew-308804",1,112209
"Kew-293259",1,112209
"Kew-308090",1,112209
"SLB-159390",0.69,112210
"Kew-293259",0.64,112210
"Kew-308090",0.26,112210
"SLB-159390",1,111489
"Kew-308804",1,111489
"Kew-293259",0.64,111489
"Kew-308090",0.6,111489
"SLB-159390",0.03,111490
"Kew-293259",0.47,111490
"SLB-159390",0.83,110761
"Kew-293259",1,110761
"Kew-308090",0.44,110761
"SLB-159390",0.9,110762
"Kew-293259",1,110762
"Kew-308090",0.51,110762
"SLB-159390",1,110041
"Kew-308804",1,110041
"Kew-293259",1,110041
"Kew-308090",1,110041
"SLB-159390",1,110042
"Kew-308804",1,110042
"Kew-293259",1,110042
"Kew-308090",0.83,110042
"SLB-159390",0.84,110763
"Kew-293259",1,110763
"Kew-308090",0.46,110763
"SLB-159390",1,110764
"Kew-308804",1,110764
"Kew-293259",1,110764
"Kew-308090",1,110764
"SLB-159390",1,110043
"Kew-308804",0.36,110043
"Kew-293259",1,110043
"Kew-308090",0.64,110043
"SLB-159390",1,110044
"Kew-308804",1,110044
"Kew-293259",1,110044
"Kew-308090",1,110044
"SLB-159390",1,110765
"Kew-308804",1,110765
"Kew-293259",1,110765
"Kew-308090",1,110765
"SLB-159390",1,110766
"Kew-308804",1,110766
"Kew-293259",1,110766
"Kew-308090",1,110766
"SLB-159390",0.77,110045
"Kew-293259",1,110045
"Kew-308090",0.38,110045
"SLB-159390",1,110046
"Kew-308804",0.36,110046
"Kew-293259",0.63,110046
"Kew-308090",0.54,110046
"SLB-159390",1,110767
"Kew-308804",1,110767
"Kew-293259",1,110767
"Kew-308090",1,110767
"SLB-159390",1,110768
"Kew-308804",1,110768
"Kew-293259",0.63,110768
"Kew-308090",0.85,110768
"SLB-159390",0.86,110047
"Kew-293259",0.63,110047
"Kew-308090",0.4,110047
"Kew-293259",0.18,110048
"Kew-293259",0.39,110769
"Kew-293259",0.2,110049
"Kew-293259",0.08,110050
"SLB-159390",1,109321
"Kew-308804",1,109321
"Kew-293259",1,109321
"Kew-308090",0.83,109321
"SLB-159390",1,109322
"Kew-308804",1,109322
"Kew-293259",1,109322
"Kew-293259",0.56,108601
"SLB-159390",1,108602
"Kew-308804",1,108602
"Kew-293259",1,108602
"SLB-159390",1,109324
"Kew-308804",1,109324
"Kew-293259",0.77,109324
"Kew-308090",0.73,109324
"SLB-159390",0.33,108603
"Kew-293259",1,108603
"Kew-308090",0.45,108603
"SLB-159390",0.42,108604
"Kew-293259",0.69,108604
"Kew-308090",0.04,108604
"Kew-293259",0.18,109325
"Kew-293259",0.31,109326
"SLB-159390",0.36,108605
"Kew-293259",0.67,108605
"SLB-159390",0.53,108606
"Kew-293259",0.72,108606
"Kew-308090",0.15,108606
"Kew-293259",0.07,109328
"Kew-293259",0.16,109329
"SLB-159390",0.22,115091
"Kew-293259",0.57,115091
"Kew-293259",0.19,115092
"Kew-293259",0.31,114371
"Kew-293259",0.1,114372
"Kew-293259",0.14,115093
"Kew-293259",0.11,114373
"SLB-159390",0.15,113651
"Kew-293259",0.46,113651
"Kew-293259",0.11,113652
"Kew-293259",0.31,112931
"Kew-293259",0.11,112932
"Kew-293259",0.36,112211
"Kew-293259",0.12,112212
"Kew-293259",0.21,111491
"Kew-293259",0.38,107881
"SLB-159390",0.75,107883
"Kew-293259",0.77,107883
"Kew-308090",0.36,107883
"SLB-159390",0.57,107884
"Kew-293259",0.74,107884
"Kew-308090",0.19,107884
"SLB-159390",0.57,107164
"Kew-293259",0.74,107164
"Kew-308090",0.19,107164
"SLB-159390",0.25,107885
"Kew-293259",0.63,107885
"SLB-159390",1,106441
"Kew-308804",1,106441
"Kew-293259",1,106441
"Kew-308090",0.8,106441
"SLB-159390",1,105721
"Kew-308804",1,105721
"Kew-293259",1,105721
"Kew-308090",0.73,105721
"SLB-159390",0.49,106444
"Kew-293259",0.71,106444
"Kew-308090",0.11,106444
"Kew-293259",0.43,106445
"Kew-293259",0.36,105725
"Kew-293259",0.21,105726
"SLB-159390",0.72,105001
"Kew-293259",0.68,105001
"Kew-308090",0.14,105001
"SLB-159390",0.38,104281
"Kew-293259",0.59,104281
"Kew-293259",0.37,105005
"Kew-293259",0.34,105006
"Kew-293259",0.36,104285
"SLB-159390",0.99,103562
"Kew-308804",1,103562
"Kew-293259",0.24,103562
"SLB-159390",0.64,102842
"Kew-293259",0.24,102842
"SLB-159390",1,103564
"Kew-308804",0.55,103564
"Kew-293259",0.26,103564
"Kew-308090",0.01,103564
"SLB-159390",0.86,102843
"Kew-293259",0.26,102843
"Kew-308090",0.01,102843
"SLB-159390",1,102844
"Kew-308804",0.18,102844
"Kew-293259",0.26,102844
"Kew-308090",0.01,102844
"SLB-159390",0.16,103565
"Kew-293259",0.27,103565
"SLB-159390",0.41,102845
"Kew-293259",0.31,102845
"Kew-308090",0.01,102845
"SLB-159390",0.44,102123
"SLB-159390",0.24,102124
"Kew-293259",0.11,115120
"Kew-293259",0.05,110810
"Kew-293259",0.03,110090
"Kew-293259",0.01,109371
"Kew-293259",0.01,108652
"Kew-293259",0.02,107932
"Kew-293259",0.02,106492
"Kew-293259",0.02,104332
"Kew-293259",0.01,103612
"Kew-293259",0.01,102892
"Kew-293259",0.2,113725
"Kew-293259",0.26,113005
"Kew-293259",0.09,115172
"Kew-293259",0.1,115173
"Kew-293259",0.1,115179
"Kew-293259",0.1,115180
"Kew-293259",0.24,113011
"Kew-293259",0.12,113012
"Kew-293259",0.08,113733
"Kew-293259",0.24,113734
"Kew-293259",0.14,113735
"Kew-293259",0.05,113736
"Kew-293259",0.16,113740
"Kew-293259",0.02,112298
"Kew-293259",0.09,115181
"Kew-293259",0.02,112301
"Kew-308804",0.44,100653
"Kew-308804",0.62,100654
"Kew-308804",0.7,99934
"Kew-308804",0.79,100656
"Kew-308804",0.79,99935
"Kew-308804",0.79,99936
"Kew-308804",0.14,100660
"Kew-308804",0.8,99939
"Kew-308804",0.8,99940
"Kew-308804",0.77,99214
"Kew-308804",0.73,99215
"Kew-308804",0.73,99216
"Kew-308804",0.73,98496
"Kew-308804",0.76,99217
"Kew-308804",0.76,98497
"Kew-308804",0.76,98498
"Kew-308804",0.74,99219
"Kew-308804",0.74,99220
"Kew-308804",0.74,98499
"Kew-308804",0.74,98500
"Kew-308804",0.52,100661
"Kew-308804",0.51,100662
"Kew-308804",0.81,99941
"Kew-308804",0.81,99942
"Kew-308804",0.83,100663
"Kew-308804",0.74,99221
"Kew-308804",0.74,99222
"Kew-308804",0.76,99223
"Kew-308804",0.76,98503
"Kew-308804",0.76,98504
"Kew-308804",0.77,99225
"Kew-308804",0.77,98505
"Kew-308804",0.62,98506
"Kew-308804",0.13,98507
"Kew-308804",0.62,98508
"Kew-308804",0.74,98509
"Kew-308804",0.51,97787
"Kew-308804",0.46,97067
"Kew-308804",0.59,97068
"Kew-308804",0.54,97789
"Kew-308804",0.51,97790
"Kew-308804",0.65,97069
"Kew-308804",0.65,97070
"Kew-308804",0.6,96347
"Kew-308804",0.64,96348
"Kew-308804",0.95,99954
"Kew-308804",0.67,97071
"Kew-308804",0.67,97072
"Kew-308804",0.73,97073
"Kew-308804",0.73,97074
"Kew-308804",0.57,96354
"Kew-308804",0.64,95634
"Kew-308804",0.64,96355
"Kew-308804",0.64,96356
"Kew-308804",0.64,95635
"Kew-308804",0.49,95636
"Kew-308804",0.63,96359
"Kew-308804",0.63,96360
"Kew-308804",0.63,95640
"Kew-308804",0.44,94916
"Kew-308804",0.23,94917
"Kew-308804",0.28,94918
"Kew-308804",0.21,94197
"Kew-308804",0.28,94198
"Kew-308804",0.15,94199
"Kew-308804",0.1,93478
"SLB-159390",0.18,98522
"Kew-308804",0.97,97801
"Kew-308804",0.97,97802
"Kew-308804",0.97,97081
"Kew-308804",0.97,97082
"SLB-159390",0.11,97083
"Kew-308804",0.79,96361
"Kew-308804",0.79,95641
"Kew-308804",0.91,96363
"Kew-308804",0.91,95644
"Kew-308804",0.54,94921
"Kew-308804",0.54,94922
"Kew-308804",0.54,94202
"Kew-308804",0.72,94924
"Kew-308804",0.72,94204
"Kew-308804",0.3,93481
"Kew-308804",0.14,92761
"Kew-308804",0.49,93483
"Kew-308804",0.49,93484
"Kew-308804",0.63,93485
"Kew-308804",0.03,92041
"Kew-308804",0.11,92042
"Kew-308804",0.04,91322
"Kew-308804",0.02,90601
"Kew-308804",0.02,89882
"Kew-308804",0.03,84860
"Kew-308804",0.37,84140
"Kew-308804",0.42,84141
"Kew-308804",0.42,84144
"Kew-308804",0.19,82701
"Kew-308804",0.22,83424
"Kew-308804",0.23,82705
"Kew-308804",0.25,82707
"Kew-308804",0.03,81988
"Kew-308804",0.06,81989
"Kew-308804",0.05,81269
"Kew-308804",0.06,81270
"Kew-308804",0.08,81271
"Kew-308804",0.08,81272
"Kew-308804",0.12,81273
"Kew-308804",0.03,79835
"Kew-308804",0.03,79836
"Kew-308804",0.01,79837
"Kew-308804",0.01,79838
"Kew-293259",0.98,130156
"Kew-293259",0.98,130157
"Kew-293259",0.98,130158
"Kew-293259",0.98,130877
"Kew-293259",0.98,130878
"Kew-293259",0.98,130159
"Kew-293259",0.63,130160
"Kew-293259",0.99,131598
"Kew-293259",0.99,132318
"Kew-293259",0.98,131599
"Kew-293259",0.98,132319
"Kew-293259",0.98,132320
"Kew-293259",1,133040
"Kew-293259",1,133760
"Kew-293259",0.6,130161
"Kew-293259",0.7,130881
"SLB-159390",0.02,130167
"Kew-308804",0.12,130167
"SLB-159390",0.02,130168
"Kew-308804",0.02,130168
"SLB-159390",0.19,130887
"Kew-308804",0.12,130887
"SLB-159390",0.09,130169
"Kew-308804",0.12,130169
"SLB-159390",0.39,130170
"Kew-308804",0.45,130170
"SLB-159390",0.19,130890
"Kew-308804",0.23,130890
"Kew-293259",0.96,131601
"Kew-293259",0.96,131602
"Kew-293259",0.87,132322
"SLB-159390",0.46,131609
"Kew-308804",0.44,131609
"SLB-159390",0.22,131610
"Kew-308804",0.25,131610
"SLB-159390",0.46,132329
"Kew-308804",0.44,132329
"SLB-159390",0.45,132330
"Kew-308804",0.44,132330
"Kew-293259",0.98,133041
"Kew-293259",0.98,133042
"Kew-293259",0.98,133761
"Kew-293259",0.98,133762
"Kew-293259",0.52,133043
"Kew-293259",0.95,133763
"SLB-159390",0.48,133050
"Kew-308804",0.45,133050
"SLB-159390",0.05,133770
"Kew-308804",0.45,133770
"Kew-293259",1,134481
"Kew-293259",1,134482
"Kew-293259",1,135202
"Kew-293259",0.91,134483
"Kew-293259",1,134484
"Kew-293259",1,135203
"Kew-293259",0.65,135204
"Kew-293259",0.29,134485
"Kew-293259",0.88,135205
"Kew-293259",1,135923
"Kew-293259",1,135925
"Kew-293259",1,135926
"Kew-293259",1,136646
"Kew-293259",0.5,135927
"Kew-293259",1,136647
"Kew-293259",1,136648
"SLB-159390",0.92,130171
"Kew-308804",0.94,130171
"Kew-293259",0.67,130171
"SLB-159390",0.92,130891
"Kew-293259",0.67,130891
"SLB-159390",0.92,130892
"Kew-308804",0.94,130892
"Kew-293259",0.67,130892
"SLB-159390",0.29,130893
"SLB-159390",0.57,130894
"SLB-159390",0.44,130177
"SLB-159390",0.55,130897
"SLB-159390",0.35,130179
"Kew-308804",0.43,130179
"Kew-293259",0.34,130179
"SLB-159390",0.18,130899
"Kew-308804",0.24,130899
"Kew-293259",0.14,130899
"SLB-159390",0.36,130900
"Kew-308804",0.45,130900
"Kew-293259",0.33,130900
"SLB-159390",0.91,131611
"Kew-308804",0.94,131611
"Kew-293259",0.67,131611
"SLB-159390",0.91,131612
"Kew-308804",0.94,131612
"Kew-293259",0.67,131612
"SLB-159390",0.47,132331
"Kew-308804",0.44,132331
"SLB-159390",0.99,132332
"Kew-308804",1,132332
"Kew-293259",1,132332
"SLB-159390",0.96,131613
"Kew-293259",1,131613
"Kew-308090",0.44,131613
"SLB-159390",0.14,131614
"SLB-159390",0.99,132333
"Kew-308804",1,132333
"Kew-293259",1,132333
"Kew-308090",0.76,132333
"SLB-159390",0.49,132334
"Kew-293259",0.92,132334
"Kew-308090",0.09,132334
"SLB-159390",0.57,131615
"SLB-159390",1,132335
"SLB-159390",0.57,132336
"SLB-159390",0.71,131617
"SLB-159390",0.58,131618
"Kew-308804",0.69,131618
"Kew-293259",0.6,131618
"SLB-159390",1,132338
"Kew-308804",1,132338
"Kew-293259",1,132338
"SLB-159390",0.11,132339
"Kew-308804",0.16,132339
"Kew-293259",0.06,132339
"SLB-159390",0.48,133051
"Kew-308804",0.45,133051
"SLB-159390",0.68,133052
"Kew-308804",0.82,133052
"Kew-293259",0.73,133052
"SLB-159390",0.64,133772
"Kew-308804",0.78,133772
"Kew-293259",0.36,133772
"SLB-159390",0.98,133053
"Kew-308804",1,133053
"Kew-293259",1,133053
"Kew-308090",0.68,133053
"SLB-159390",0.98,133054
"Kew-308804",1,133054
"Kew-293259",1,133054
"Kew-308090",0.76,133054
"SLB-159390",0.98,133773
"Kew-308804",1,133773
"Kew-293259",1,133773
"SLB-159390",0.98,133774
"Kew-308804",1,133774
"Kew-293259",1,133774
"Kew-308090",0.19,133774
"SLB-159390",0.99,133055
"Kew-293259",1,133055
"Kew-308090",0.55,133055
"SLB-159390",0.99,133056
"Kew-293259",1,133056
"Kew-308090",0.68,133056
"SLB-159390",0.99,133775
"Kew-308804",1,133775
"Kew-293259",1,133775
"Kew-308090",0.12,133775
"SLB-159390",0.99,133776
"Kew-308804",1,133776
"Kew-293259",1,133776
"Kew-308090",0.24,133776
"SLB-159390",1,133057
"Kew-293259",1,133057
"Kew-308090",0.61,133057
"SLB-159390",1,133058
"Kew-308804",1,133058
"Kew-293259",1,133058
"SLB-159390",1,133777
"Kew-308804",1,133777
"Kew-293259",1,133777
"Kew-308090",0.14,133777
"SLB-159390",1,133778
"Kew-308804",1,133778
"Kew-293259",1,133778
"SLB-159390",0.48,133059
"SLB-159390",0.83,133779
"SLB-159390",0.84,134492
"Kew-308804",0.87,134492
"Kew-293259",0.45,134492
"SLB-159390",0.84,135212
"Kew-308804",0.87,135212
"Kew-293259",0.45,135212
"SLB-159390",0.72,134493
"Kew-308804",0.87,134493
"Kew-293259",0.78,134493
"SLB-159390",0.97,134494
"Kew-308804",1,134494
"Kew-293259",1,134494
"Kew-308090",0.19,134494
"SLB-159390",0.94,135213
"Kew-293259",1,135213
"SLB-159390",0.97,135214
"Kew-293259",1,135214
"Kew-308090",0.19,135214
"SLB-159390",0.98,134495
"Kew-308804",1,134495
"Kew-293259",1,134495
"Kew-308090",0.19,134495
"SLB-159390",0.98,134496
"Kew-308804",1,134496
"Kew-293259",1,134496
"Kew-308090",0.5,134496
"SLB-159390",0.98,135215
"Kew-293259",1,135215
"Kew-308090",0.19,135215
"SLB-159390",0.98,135216
"Kew-293259",0.33,135216
"Kew-308090",0.1,135216
"SLB-159390",1,134497
"Kew-308804",1,134497
"Kew-293259",1,134497
"Kew-308090",0.85,134497
"SLB-159390",1,134498
"Kew-308804",1,134498
"Kew-293259",1,134498
"SLB-159390",1,135217
"Kew-293259",0.67,135217
"Kew-308090",0.57,135217
"SLB-159390",1,135218
"SLB-159390",1,134499
"SLB-159390",0.31,134500
"SLB-159390",0.27,135220
"SLB-159390",0.85,135932
"Kew-308804",0.87,135932
"Kew-293259",0.45,135932
"SLB-159390",0.9,136652
"Kew-308804",0.92,136652
"Kew-293259",0.62,136652
"SLB-159390",0.8,135933
"Kew-293259",0.61,135933
"SLB-159390",0.88,135934
"Kew-293259",0.62,135934
"SLB-159390",0.88,136653
"Kew-308804",0.91,136653
"Kew-293259",0.62,136653
"SLB-159390",0.88,136654
"Kew-293259",0.62,136654
"SLB-159390",0.97,135935
"Kew-293259",1,135935
"SLB-159390",0.97,135936
"SLB-159390",0.97,136655
"Kew-293259",1,136655
"Kew-308090",0.01,136655
"SLB-159390",0.97,136656
"SLB-159390",0.28,135937
"SLB-159390",0.98,136657
"SLB-159390",0.98,136658
"SLB-159390",0.52,135940
"SLB-159390",0.57,136659
"SLB-159390",0.28,136660
"Kew-293259",1,137365
"Kew-293259",0.86,138085
"Kew-293259",1,137368
"Kew-293259",1,137369
"SLB-159390",1,137370
"Kew-308804",1,137370
"Kew-293259",1,137370
"Kew-308090",1,137370
"Kew-293259",1,138089
"SLB-159390",1,138090
"Kew-308804",1,138090
"Kew-293259",1,138090
"Kew-308090",0.38,138090
"SLB-159390",0.72,137371
"Kew-308804",0.91,137371
"Kew-293259",0.57,137371
"SLB-159390",0.89,137372
"Kew-308804",0.91,137372
"Kew-293259",0.57,137372
"SLB-159390",1,138091
"Kew-308804",1,138091
"Kew-293259",1,138091
"Kew-308090",1,138091
"SLB-159390",0.89,138092
"Kew-308804",0.91,138092
"Kew-293259",0.57,138092
"SLB-159390",0.87,137373
"Kew-308804",0.91,137373
"Kew-293259",0.57,137373
"SLB-159390",0.87,137374
"Kew-308804",0.91,137374
"Kew-293259",0.57,137374
"SLB-159390",0.87,138093
"Kew-308804",0.91,138093
"Kew-293259",0.57,138093
"SLB-159390",0.44,138094
"Kew-308804",0.55,138094
"Kew-293259",0.29,138094
"SLB-159390",0.96,137375
"Kew-293259",0.9,137375
"SLB-159390",0.96,137376
"SLB-159390",0.96,138095
"Kew-308804",1,138095
"Kew-293259",0.9,138095
"SLB-159390",0.96,138096
"Kew-293259",0.9,138096
"SLB-159390",1,137377
"Kew-293259",1,137377
"Kew-308090",0.28,137377
"SLB-159390",1,137378
"Kew-293259",1,137378
"Kew-308090",0.28,137378
"SLB-159390",1,138097
"Kew-293259",1,138097
"Kew-308090",0.26,138097
"SLB-159390",1,138098
"Kew-293259",1,138098
"Kew-308090",0.28,138098
"SLB-159390",1,137379
"Kew-293259",1,137379
"Kew-308090",0.55,137379
"SLB-159390",1,137380
"Kew-293259",0.67,137380
"Kew-308090",0.36,137380
"SLB-159390",1,138099
"Kew-293259",1,138099
"Kew-308090",0.55,138099
"SLB-159390",1,138100
"Kew-293259",1,138100
"Kew-308090",0.55,138100
"SLB-159390",1,138811
"Kew-308804",1,138811
"Kew-293259",1,138811
"Kew-308090",0.26,138811
"SLB-159390",0.89,138812
"Kew-308804",0.91,138812
"Kew-293259",0.57,138812
"Kew-293259",1,139531
"Kew-293259",1,139532
"SLB-159390",0.89,138814
"Kew-308804",0.91,138814
"Kew-293259",0.57,138814
"Kew-293259",1,139533
"Kew-293259",0.57,139534
"SLB-159390",0.98,138815
"Kew-308804",1,138815
"Kew-293259",0.9,138815
"SLB-159390",0.98,138816
"Kew-308804",1,138816
"Kew-293259",0.9,138816
"SLB-159390",1,138817
"Kew-308804",1,138817
"Kew-293259",1,138817
"SLB-159390",1,138818
"Kew-308804",1,138818
"Kew-293259",1,138818
"Kew-308090",0.25,138818
"SLB-159390",1,139538
"Kew-308804",1,139538
"Kew-293259",1,139538
"Kew-308090",0.17,139538
"SLB-159390",1,138819
"Kew-293259",1,138819
"Kew-308090",0.55,138819
"SLB-159390",1,138820
"Kew-293259",1,138820
"Kew-308090",0.55,138820
"SLB-159390",1,139539
"Kew-308804",1,139539
"Kew-293259",1,139539
"Kew-308090",0.55,139539
"SLB-159390",1,139540
"Kew-308804",1,139540
"Kew-293259",1,139540
"Kew-308090",0.55,139540
"Kew-293259",1,140253
"Kew-293259",1,140254
"Kew-293259",1,140255
"Kew-293259",1,140976
"Kew-293259",1,140977
"Kew-293259",1,140978
"Kew-293259",1,140979
"Kew-293259",1,140980
"Kew-293259",0.94,141698
"SLB-159390",0.63,131621
"Kew-308804",0.76,131621
"Kew-293259",0.62,131621
"SLB-159390",0.77,132341
"Kew-308804",0.91,132341
"Kew-293259",0.76,132341
"SLB-159390",0.59,133061
"Kew-308804",0.71,133061
"Kew-293259",0.61,133061
"SLB-159390",0.13,133781
"Kew-308804",0.18,133781
"Kew-293259",0.08,133781
"SLB-159390",0.31,133782
"Kew-308804",0.39,133782
"Kew-293259",0.29,133782
"SLB-159390",0.21,133783
"Kew-308804",0.27,133783
"Kew-293259",0.18,133783
"SLB-159390",0.41,133784
"Kew-308804",0.5,133784
"Kew-293259",0.4,133784
"SLB-159390",0.06,133787
"Kew-308804",0.36,133787
"Kew-293259",0.23,133787
"SLB-159390",0.05,135221
"SLB-159390",0.36,134503
"Kew-308804",0.45,134503
"Kew-293259",0.35,134503
"SLB-159390",1,134504
"Kew-308804",1,134504
"Kew-293259",1,134504
"SLB-159390",0.02,135223
"SLB-159390",0.19,135224
"Kew-308804",0.25,135224
"Kew-293259",0.15,135224
"SLB-159390",0.6,134505
"Kew-308804",0.72,134505
"Kew-293259",0.63,134505
"SLB-159390",0.67,134506
"Kew-308804",0.8,134506
"Kew-293259",0.71,134506
"SLB-159390",0.14,134508
"Kew-308804",0.2,134508
"Kew-293259",0.09,134508
"SLB-159390",0.08,134509
"Kew-308804",0.13,134509
"Kew-293259",0.03,134509
"SLB-159390",0.04,134510
"Kew-308804",0.45,134510
"Kew-293259",0.11,134510
"SLB-159390",0.73,135229
"Kew-293259",0.48,135229
"SLB-159390",0.83,135230
"Kew-308804",0.9,135230
"Kew-293259",0.55,135230
"SLB-159390",0.38,135941
"SLB-159390",0.1,135942
"SLB-159390",0.14,135945
"SLB-159390",0.33,135946
"SLB-159390",0.02,135947
"SLB-159390",0.89,135949
"Kew-293259",0.55,135949
"SLB-159390",0.89,135950
"Kew-308804",0.9,135950
"Kew-293259",0.55,135950
"SLB-159390",0.76,136669
"Kew-293259",0.1,136670
"SLB-159390",1,130195
"Kew-308804",1,130195
"Kew-293259",1,130195
"SLB-159390",0.61,130915
"Kew-308804",0.74,130915
"Kew-293259",0.64,130915
"SLB-159390",0.95,130200
"Kew-308804",0.97,130200
"Kew-293259",1,130200
"Kew-308090",1,130200
"SLB-159390",0.95,130920
"Kew-308804",0.97,130920
"Kew-293259",1,130920
"Kew-308090",1,130920
"SLB-159390",1,131634
"Kew-308804",1,131634
"Kew-293259",1,131634
"SLB-159390",0.4,132353
"Kew-308804",1,132353
"Kew-293259",1,132353
"SLB-159390",0.5,132354
"Kew-293259",0.92,132354
"Kew-308090",0.12,132354
"SLB-159390",0.99,131635
"Kew-308804",1,131635
"Kew-293259",1,131635
"SLB-159390",0.99,131636
"Kew-293259",0.67,131636
"Kew-308090",0.36,131636
"SLB-159390",0.99,132355
"Kew-293259",1,132355
"Kew-308090",0.09,132355
"SLB-159390",0.94,131639
"Kew-308804",0.96,131639
"Kew-293259",1,131639
"SLB-159390",0.94,132359
"Kew-308804",0.96,132359
"Kew-293259",1,132359
"SLB-159390",0.4,133073
"Kew-308804",1,133073
"Kew-293259",1,133073
"SLB-159390",0.26,133074
"Kew-293259",0.82,133074
"SLB-159390",1,133793
"Kew-308804",1,133793
"Kew-293259",1,133793
"Kew-308090",0.07,133793
"Kew-293259",0.51,133794
"SLB-159390",0.99,133075
"Kew-308804",1,133075
"Kew-293259",1,133075
"Kew-308090",0.61,133075
"SLB-159390",0.99,133076
"Kew-308804",1,133076
"Kew-293259",1,133076
"Kew-308090",0.59,133076
"Kew-293259",0.46,133795
"Kew-293259",0.61,133796
"SLB-159390",0.96,133797
"Kew-293259",1,133797
"Kew-308090",1,133797
"SLB-159390",0.96,133798
"Kew-308804",0.98,133798
"Kew-293259",1,133798
"Kew-308090",1,133798
"SLB-159390",0.94,133079
"Kew-308804",0.96,133079
"Kew-293259",1,133079
"SLB-159390",0.28,133799
"Kew-308804",0.96,133799
"Kew-293259",1,133799
"Kew-308090",1,133799
"SLB-159390",0.7,135231
"Kew-308804",0.84,135231
"Kew-293259",0.45,135231
"SLB-159390",0.88,135232
"Kew-308804",0.89,135232
"Kew-293259",0.54,135232
"SLB-159390",1,134513
"Kew-308804",1,134513
"Kew-293259",1,134513
"Kew-308090",0.37,134513
"SLB-159390",0.19,134514
"Kew-293259",0.79,134514
"SLB-159390",0.98,135233
"Kew-308804",1,135233
"Kew-293259",0.88,135233
"SLB-159390",0.23,135234
"Kew-293259",0.81,135234
