"","species","genus","family","order","class"
"526","Anchoa mitchilli","Anchoa","Engraulidae","Clupeiformes","Actinopterygii"
"527","Anchoa nasus","Anchoa","Engraulidae","Clupeiformes","Actinopterygii"
"528","Anchoa spinifer","Anchoa","Engraulidae","Clupeiformes","Actinopterygii"
"529","Cetengraulis edentulus","Cetengraulis","Engraulidae","Clupeiformes","Actinopterygii"
"530","Cetengraulis mysticetus","Cetengraulis","Engraulidae","Clupeiformes","Actinopterygii"
"531","Coilia dussumieri","Coilia","Engraulidae","Clupeiformes","Actinopterygii"
"532","Encrasicholina devisi","Encrasicholina","Engraulidae","Clupeiformes","Actinopterygii"
"533","Encrasicholina heteroloba","Encrasicholina","Engraulidae","Clupeiformes","Actinopterygii"
"534","Encrasicholina punctifer","Encrasicholina","Engraulidae","Clupeiformes","Actinopterygii"
"535","Engraulis anchoita","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"536","Engraulis capensis","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"537","Engraulis encrasicolus","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"538","Engraulis eurystole","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"539","Engraulis japonicus","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"540","Engraulis mordax","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"541","Engraulis ringens","Engraulis","Engraulidae","Clupeiformes","Actinopterygii"
"542","Lycengraulis grossidens","Lycengraulis","Engraulidae","Clupeiformes","Actinopterygii"
"543","Setipinna taty","Setipinna","Engraulidae","Clupeiformes","Actinopterygii"
"544","Stolephorus indicus","Stolephorus","Engraulidae","Clupeiformes","Actinopterygii"
"545","Stolephorus insularis","Stolephorus","Engraulidae","Clupeiformes","Actinopterygii"
"546","Stolephorus pacificus","Stolephorus","Engraulidae","Clupeiformes","Actinopterygii"
"547","Stolephorus waitei","Stolephorus","Engraulidae","Clupeiformes","Actinopterygii"
"548","Thryssa baelama","Thryssa","Engraulidae","Clupeiformes","Actinopterygii"
"549","Chaetodipterus faber","Chaetodipterus","Ephippidae","Perciformes","Actinopterygii"
"550","Chaetodipterus zonatus","Chaetodipterus","Ephippidae","Perciformes","Actinopterygii"
"551","Ephippus orbis","Ephippus","Ephippidae","Perciformes","Actinopterygii"
"552","Parapsettus panamensis","Parapsettus","Ephippidae","Perciformes","Actinopterygii"
"553","Platax orbicularis","Platax","Ephippidae","Perciformes","Actinopterygii"
"554","Platax pinnatus","Platax","Ephippidae","Perciformes","Actinopterygii"
"555","Platax teira","Platax","Ephippidae","Perciformes","Actinopterygii"
"556","Epigonus telescopus","Epigonus","Epigonidae","Perciformes","Actinopterygii"
"557","Esox lucius","Esox","Esocidae","Esociformes","Actinopterygii"
"558","Centroscyllium fabricii","Centroscyllium","Etmopteridae","Squaliformes","Elasmobranchii"
"559","Etmopterus granulosus","Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii"
"560","Etmopterus princeps","Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii"
"561","Etmopterus spinax","Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii"
"562","Cheilopogon agoo","Cheilopogon","Exocoetidae","Beloniformes","Actinopterygii"
"563","Cheilopogon melanurus","Cheilopogon","Exocoetidae","Beloniformes","Actinopterygii"
"564","Cheilopogon unicolor","Cheilopogon","Exocoetidae","Beloniformes","Actinopterygii"
"565","Cypselurus poecilopterus","Cypselurus","Exocoetidae","Beloniformes","Actinopterygii"
"566","Exocoetus monocirrhus","Exocoetus","Exocoetidae","Beloniformes","Actinopterygii"
"567","Fistularia commersonii","Fistularia","Fistulariidae","Syngnathiformes","Actinopterygii"
"568","Fistularia corneta","Fistularia","Fistulariidae","Syngnathiformes","Actinopterygii"
"569","Fistularia petimba","Fistularia","Fistulariidae","Syngnathiformes","Actinopterygii"
"570","Fistularia tabacaria","Fistularia","Fistulariidae","Syngnathiformes","Actinopterygii"
"571","Fundulus confluentus","Fundulus","Fundulidae","Cyprinodontiformes","Actinopterygii"
"572","Fundulus majalis","Fundulus","Fundulidae","Cyprinodontiformes","Actinopterygii"
"573","Lucania parva","Lucania","Fundulidae","Cyprinodontiformes","Actinopterygii"
"574","Arctogadus glacialis","Arctogadus","Gadidae","Gadiformes","Actinopterygii"
"575","Boreogadus saida","Boreogadus","Gadidae","Gadiformes","Actinopterygii"
"576","Eleginus gracilis","Eleginus","Gadidae","Gadiformes","Actinopterygii"
"577","Eleginus nawaga","Eleginus","Gadidae","Gadiformes","Actinopterygii"
"578","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopterygii"
"579","Gadus morhua","Gadus","Gadidae","Gadiformes","Actinopterygii"
"580","Gadus ogac","Gadus","Gadidae","Gadiformes","Actinopterygii"
"581","Melanogrammus aeglefinus","Melanogrammus","Gadidae","Gadiformes","Actinopterygii"
"582","Merlangius merlangus","Merlangius","Gadidae","Gadiformes","Actinopterygii"
"583","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopterygii"
"584","Microgadus tomcod","Microgadus","Gadidae","Gadiformes","Actinopterygii"
"585","Micromesistius australis","Micromesistius","Gadidae","Gadiformes","Actinopterygii"
"586","Micromesistius poutassou","Micromesistius","Gadidae","Gadiformes","Actinopterygii"
"587","Pollachius pollachius","Pollachius","Gadidae","Gadiformes","Actinopterygii"
"588","Pollachius virens","Pollachius","Gadidae","Gadiformes","Actinopterygii"
"589","Theragra chalcogramma","Theragra","Gadidae","Gadiformes","Actinopterygii"
"590","Trisopterus esmarkii","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"591","Trisopterus luscus","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"592","Trisopterus minutus","Trisopterus","Gadidae","Gadiformes","Actinopterygii"
"593","Galaxias maculatus","Galaxias","Galaxiidae","Osmeriformes","Actinopterygii"
"594","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Gasterosteiformes","Actinopterygii"
"595","Lepidocybium flavobrunneum","Lepidocybium","Gempylidae","Perciformes","Actinopterygii"
"596","Paradiplospinus gracilis","Paradiplospinus","Gempylidae","Perciformes","Actinopterygii"
"597","Promethichthys prometheus","Promethichthys","Gempylidae","Perciformes","Actinopterygii"
"598","Rexea solandri","Rexea","Gempylidae","Perciformes","Actinopterygii"
"599","Ruvettus pretiosus","Ruvettus","Gempylidae","Perciformes","Actinopterygii"
"600","Thyrsites atun","Thyrsites","Gempylidae","Perciformes","Actinopterygii"
"601","Thyrsitops lepidopoides","Thyrsitops","Gempylidae","Perciformes","Actinopterygii"
"602","Diapterus auratus","Diapterus","Gerreidae","Perciformes","Actinopterygii"
"603","Diapterus peruvianus","Diapterus","Gerreidae","Perciformes","Actinopterygii"
"604","Diapterus rhombeus","Diapterus","Gerreidae","Perciformes","Actinopterygii"
"605","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii"
"606","Eucinostomus gracilis","Eucinostomus","Gerreidae","Perciformes","Actinopterygii"
"607","Eucinostomus melanopterus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii"
"608","Gerres cinereus","Gerres","Gerreidae","Perciformes","Actinopterygii"
"609","Gerres longirostris","Gerres","Gerreidae","Perciformes","Actinopterygii"
"610","Gerres methueni","Gerres","Gerreidae","Perciformes","Actinopterygii"
"611","Gerres nigri","Gerres","Gerreidae","Perciformes","Actinopterygii"
"612","Gerres oblongus","Gerres","Gerreidae","Perciformes","Actinopterygii"
"613","Gerres oyena","Gerres","Gerreidae","Perciformes","Actinopterygii"
"614","Ginglymostoma cirratum","Ginglymostoma","Ginglymostomatidae","Orectolobiformes","Elasmobranchii"
"615","Nebrius ferrugineus","Nebrius","Ginglymostomatidae","Orectolobiformes","Elasmobranchii"
"616","Tomicodon chilensis","Tomicodon","Gobiesocidae","Gobiesociformes","Actinopterygii"
"617","Amblygobius phalaena","Amblygobius","Gobiidae","Perciformes","Actinopterygii"
"618","Aphia minuta","Aphia","Gobiidae","Perciformes","Actinopterygii"
"619","Awaous tajasica","Awaous","Gobiidae","Perciformes","Actinopterygii"
"620","Bathygobius soporator","Bathygobius","Gobiidae","Perciformes","Actinopterygii"
"621","Bollmannia chlamydes","Bollmannia","Gobiidae","Perciformes","Actinopterygii"
"622","Cryptocentrus caeruleomaculatus","Cryptocentrus","Gobiidae","Perciformes","Actinopterygii"
"623","Ctenogobiops tangaroai","Ctenogobiops","Gobiidae","Perciformes","Actinopterygii"
"624","Exyrias belissimus","Exyrias","Gobiidae","Perciformes","Actinopterygii"
"625","Gobius niger","Gobius","Gobiidae","Perciformes","Actinopterygii"
"626","Istigobius decoratus","Istigobius","Gobiidae","Perciformes","Actinopterygii"
"627","Mesogobius batrachocephalus","Mesogobius","Gobiidae","Perciformes","Actinopterygii"
"628","Oxyurichthys papuensis","Oxyurichthys","Gobiidae","Perciformes","Actinopterygii"
"629","Pomatoschistus minutus","Pomatoschistus","Gobiidae","Perciformes","Actinopterygii"
"630","Sicyopterus lagocephalus","Sicyopterus","Gobiidae","Perciformes","Actinopterygii"
"631","Valenciennea strigata","Valenciennea","Gobiidae","Perciformes","Actinopterygii"
"632","Gymnura altavela","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii"
"633","Gymnura marmorata","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii"
"634","Gymnura micrura","Gymnura","Gymnuridae","Myliobatiformes","Elasmobranchii"
"635","Anisotremus virginicus","Anisotremus","Haemulidae","Perciformes","Actinopterygii"
"636","Brachydeuterus auritus","Brachydeuterus","Haemulidae","Perciformes","Actinopterygii"
"637","Conodon nobilis","Conodon","Haemulidae","Perciformes","Actinopterygii"
"638","Diagramma pictum","Diagramma","Haemulidae","Perciformes","Actinopterygii"
"639","Genyatremus luteus","Genyatremus","Haemulidae","Perciformes","Actinopterygii"
"640","Haemulon album","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"641","Haemulon aurolineatum","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"642","Haemulon bonariense","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"643","Haemulon boschmae","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"644","Haemulon flavolineatum","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"645","Haemulon parra","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"646","Haemulon plumierii","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"647","Haemulon sciurus","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"648","Haemulon steindachneri","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"649","Haemulon vittatum","Haemulon","Haemulidae","Perciformes","Actinopterygii"
"650","Haemulopsis axillaris","Haemulopsis","Haemulidae","Perciformes","Actinopterygii"
"651","Haemulopsis leuciscus","Haemulopsis","Haemulidae","Perciformes","Actinopterygii"
"652","Haemulopsis nitidus","Haemulopsis","Haemulidae","Perciformes","Actinopterygii"
"653","Isacia conceptionis","Isacia","Haemulidae","Perciformes","Actinopterygii"
"654","Orthopristis chrysoptera","Orthopristis","Haemulidae","Perciformes","Actinopterygii"
"655","Parapristipoma octolineatum","Parapristipoma","Haemulidae","Perciformes","Actinopterygii"
"656","Plectorhinchus albovittatus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"657","Plectorhinchus gaterinus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"658","Plectorhinchus gibbosus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"659","Plectorhinchus lineatus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"660","Plectorhinchus macrolepis","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"661","Plectorhinchus mediterraneus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"662","Plectorhinchus obscurus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"663","Plectorhinchus pictus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"664","Plectorhinchus picus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"665","Plectorhinchus schotaf","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"666","Plectorhinchus sordidus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"667","Plectorhinchus vittatus","Plectorhinchus","Haemulidae","Perciformes","Actinopterygii"
"668","Pomadasys argenteus","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"669","Pomadasys corvinaeformis","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"670","Pomadasys incisus","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"671","Pomadasys jubelini","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"672","Pomadasys kaakan","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"673","Pomadasys macracanthus","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"674","Pomadasys maculatus","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"675","Pomadasys olivaceus","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"676","Pomadasys panamensis","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"677","Pomadasys rogerii","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"678","Pomadasys stridens","Pomadasys","Haemulidae","Perciformes","Actinopterygii"
"679","Hemiramphus archipelagicus","Hemiramphus","Hemiramphidae","Beloniformes","Actinopterygii"
"680","Hemiramphus bermudensis","Hemiramphus","Hemiramphidae","Beloniformes","Actinopterygii"
"681","Hemiramphus brasiliensis","Hemiramphus","Hemiramphidae","Beloniformes","Actinopterygii"
"682","Hemiramphus far","Hemiramphus","Hemiramphidae","Beloniformes","Actinopterygii"
"683","Hyporhamphus affinis","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii"
"684","Hyporhamphus dussumieri","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii"
"685","Hyporhamphus ihi","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii"
"686","Hyporhamphus sajori","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii"
"687","Chiloscyllium griseum","Chiloscyllium","Hemiscylliidae","Orectolobiformes","Elasmobranchii"
"688","Hemitripterus americanus","Hemitripterus","Hemitripteridae","Scorpaeniformes","Actinopterygii"
"689","Hexagrammos decagrammus","Hexagrammos","Hexagrammidae","Scorpaeniformes","Actinopterygii"
"690","Ophiodon elongatus","Ophiodon","Hexagrammidae","Scorpaeniformes","Actinopterygii"
"691","Pleurogrammus azonus","Pleurogrammus","Hexagrammidae","Scorpaeniformes","Actinopterygii"
"692","Pleurogrammus monopterygius","Pleurogrammus","Hexagrammidae","Scorpaeniformes","Actinopterygii"
"693","Heptranchias perlo","Heptranchias","Hexanchidae","Hexanchiformes","Elasmobranchii"
"694","Hexanchus griseus","Hexanchus","Hexanchidae","Hexanchiformes","Elasmobranchii"
"695","Notorynchus cepedianus","Notorynchus","Hexanchidae","Hexanchiformes","Elasmobranchii"
"696","Corniger spinosus","Corniger","Holocentridae","Beryciformes","Actinopterygii"
"697","Holocentrus adscensionis","Holocentrus","Holocentridae","Beryciformes","Actinopterygii"
"698","Holocentrus rufus","Holocentrus","Holocentridae","Beryciformes","Actinopterygii"
"699","Myripristis adusta","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"700","Myripristis amaena","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"701","Myripristis berndti","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"702","Myripristis chryseres","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"703","Myripristis jacobus","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"704","Myripristis kuntee","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"705","Myripristis murdjan","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"706","Myripristis pralinia","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"707","Myripristis violacea","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"708","Myripristis vittata","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"709","Myripristis woodsi","Myripristis","Holocentridae","Beryciformes","Actinopterygii"
"710","Neoniphon argenteus","Neoniphon","Holocentridae","Beryciformes","Actinopterygii"
"711","Neoniphon aurolineatus","Neoniphon","Holocentridae","Beryciformes","Actinopterygii"
"712","Neoniphon marianus","Neoniphon","Holocentridae","Beryciformes","Actinopterygii"
"713","Neoniphon opercularis","Neoniphon","Holocentridae","Beryciformes","Actinopterygii"
"714","Neoniphon sammara","Neoniphon","Holocentridae","Beryciformes","Actinopterygii"
"715","Ostichthys kaianus","Ostichthys","Holocentridae","Beryciformes","Actinopterygii"
"716","Sargocentron caudimaculatum","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"717","Sargocentron cornutum","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"718","Sargocentron diadema","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"719","Sargocentron lepros","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"720","Sargocentron melanospilos","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"721","Sargocentron microstoma","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"722","Sargocentron praslin","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"723","Sargocentron punctatissimum","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"724","Sargocentron spiniferum","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"725","Sargocentron tiere","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"726","Sargocentron tiereoides","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"727","Sargocentron violaceum","Sargocentron","Holocentridae","Beryciformes","Actinopterygii"
"728","Hypoptychus dybowskii","Hypoptychus","Hypoptychidae","Gasterosteiformes","Actinopterygii"
"729","Istiompax indica","Istiompax","Istiophoridae","Perciformes","Actinopterygii"
"730","Istiophorus albicans","Istiophorus","Istiophoridae","Perciformes","Actinopterygii"
"731","Istiophorus platypterus","Istiophorus","Istiophoridae","Perciformes","Actinopterygii"
"732","Kajikia albida","Kajikia","Istiophoridae","Perciformes","Actinopterygii"
"733","Kajikia audax","Kajikia","Istiophoridae","Perciformes","Actinopterygii"
"734","Makaira mazara","Makaira","Istiophoridae","Perciformes","Actinopterygii"
"735","Makaira nigricans","Makaira","Istiophoridae","Perciformes","Actinopterygii"
"736","Tetrapturus angustirostris","Tetrapturus","Istiophoridae","Perciformes","Actinopterygii"
"737","Tetrapturus belone","Tetrapturus","Istiophoridae","Perciformes","Actinopterygii"
"738","Tetrapturus pfluegeri","Tetrapturus","Istiophoridae","Perciformes","Actinopterygii"
"739","Kuhlia mugil","Kuhlia","Kuhliidae","Perciformes","Actinopterygii"
"740","Kuhlia rupestris","Kuhlia","Kuhliidae","Perciformes","Actinopterygii"
"741","Girella nigricans","Girella","Kyphosidae","Perciformes","Actinopterygii"
"742","Girella punctata","Girella","Kyphosidae","Perciformes","Actinopterygii"
"743","Girella tricuspidata","Girella","Kyphosidae","Perciformes","Actinopterygii"
"744","Kyphosus bigibbus","Kyphosus","Kyphosidae","Perciformes","Actinopterygii"
"745","Kyphosus cinerascens","Kyphosus","Kyphosidae","Perciformes","Actinopterygii"
"746","Kyphosus sectatrix","Kyphosus","Kyphosidae","Perciformes","Actinopterygii"
"747","Kyphosus vaigiensis","Kyphosus","Kyphosidae","Perciformes","Actinopterygii"
"748","Anampses caeruleopunctatus","Anampses","Labridae","Perciformes","Actinopterygii"
"749","Bodianus axillaris","Bodianus","Labridae","Perciformes","Actinopterygii"
"750","Bodianus loxozonus","Bodianus","Labridae","Perciformes","Actinopterygii"
"751","Bodianus pulchellus","Bodianus","Labridae","Perciformes","Actinopterygii"
"752","Bodianus rufus","Bodianus","Labridae","Perciformes","Actinopterygii"
"753","Bodianus scrofa","Bodianus","Labridae","Perciformes","Actinopterygii"
"754","Cheilinus chlorourus","Cheilinus","Labridae","Perciformes","Actinopterygii"
"755","Cheilinus fasciatus","Cheilinus","Labridae","Perciformes","Actinopterygii"
"756","Cheilinus trilobatus","Cheilinus","Labridae","Perciformes","Actinopterygii"
"757","Cheilinus undulatus","Cheilinus","Labridae","Perciformes","Actinopterygii"
"758","Cheilio inermis","Cheilio","Labridae","Perciformes","Actinopterygii"
"759","Cirrhilabrus balteatus","Cirrhilabrus","Labridae","Perciformes","Actinopterygii"
"760","Clepticus parrae","Clepticus","Labridae","Perciformes","Actinopterygii"
"761","Coris aygula","Coris","Labridae","Perciformes","Actinopterygii"
"762","Coris gaimard","Coris","Labridae","Perciformes","Actinopterygii"
"763","Coris julis","Coris","Labridae","Perciformes","Actinopterygii"
"764","Ctenolabrus rupestris","Ctenolabrus","Labridae","Perciformes","Actinopterygii"
"765","Cymolutes praetextatus","Cymolutes","Labridae","Perciformes","Actinopterygii"
"766","Epibulus insidiator","Epibulus","Labridae","Perciformes","Actinopterygii"
"767","Gomphosus varius","Gomphosus","Labridae","Perciformes","Actinopterygii"
"768","Halichoeres biocellatus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"769","Halichoeres hortulanus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"770","Halichoeres margaritaceus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"771","Halichoeres marginatus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"772","Halichoeres radiatus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"773","Halichoeres richmondi","Halichoeres","Labridae","Perciformes","Actinopterygii"
"774","Halichoeres trimaculatus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"775","Halichoeres zeylonicus","Halichoeres","Labridae","Perciformes","Actinopterygii"
"776","Hemigymnus fasciatus","Hemigymnus","Labridae","Perciformes","Actinopterygii"
"777","Hemigymnus melapterus","Hemigymnus","Labridae","Perciformes","Actinopterygii"
"778","Hologymnosus doliatus","Hologymnosus","Labridae","Perciformes","Actinopterygii"
"779","Iniistius aneitensis","Iniistius","Labridae","Perciformes","Actinopterygii"
"780","Iniistius geisha","Iniistius","Labridae","Perciformes","Actinopterygii"
"781","Iniistius pavo","Iniistius","Labridae","Perciformes","Actinopterygii"
"782","Labrichthys unilineatus","Labrichthys","Labridae","Perciformes","Actinopterygii"
"783","Labroides dimidiatus","Labroides","Labridae","Perciformes","Actinopterygii"
"784","Labrus bergylta","Labrus","Labridae","Perciformes","Actinopterygii"
"785","Labrus merula","Labrus","Labridae","Perciformes","Actinopterygii"
"786","Lachnolaimus maximus","Lachnolaimus","Labridae","Perciformes","Actinopterygii"
"787","Macropharyngodon meleagris","Macropharyngodon","Labridae","Perciformes","Actinopterygii"
"788","Novaculichthys taeniourus","Novaculichthys","Labridae","Perciformes","Actinopterygii"
"789","Oxycheilinus arenatus","Oxycheilinus","Labridae","Perciformes","Actinopterygii"
"790","Oxycheilinus celebicus","Oxycheilinus","Labridae","Perciformes","Actinopterygii"
"791","Oxycheilinus digramma","Oxycheilinus","Labridae","Perciformes","Actinopterygii"
"792","Oxycheilinus orientalis","Oxycheilinus","Labridae","Perciformes","Actinopterygii"
"793","Oxycheilinus unifasciatus","Oxycheilinus","Labridae","Perciformes","Actinopterygii"
"794","Pteragogus guttatus","Pteragogus","Labridae","Perciformes","Actinopterygii"
"795","Semicossyphus pulcher","Semicossyphus","Labridae","Perciformes","Actinopterygii"
"796","Stethojulis bandanensis","Stethojulis","Labridae","Perciformes","Actinopterygii"
"797","Stethojulis strigiventer","Stethojulis","Labridae","Perciformes","Actinopterygii"
"798","Symphodus melops","Symphodus","Labridae","Perciformes","Actinopterygii"
"799","Tautoga onitis","Tautoga","Labridae","Perciformes","Actinopterygii"
"800","Tautogolabrus adspersus","Tautogolabrus","Labridae","Perciformes","Actinopterygii"
"801","Thalassoma hardwicke","Thalassoma","Labridae","Perciformes","Actinopterygii"
"802","Thalassoma lunare","Thalassoma","Labridae","Perciformes","Actinopterygii"
"803","Thalassoma lutescens","Thalassoma","Labridae","Perciformes","Actinopterygii"
"804","Thalassoma pavo","Thalassoma","Labridae","Perciformes","Actinopterygii"
"805","Thalassoma purpureum","Thalassoma","Labridae","Perciformes","Actinopterygii"
"806","Thalassoma quinquevittatum","Thalassoma","Labridae","Perciformes","Actinopterygii"
"807","Thalassoma trilobatum","Thalassoma","Labridae","Perciformes","Actinopterygii"
"808","Xyrichtys novacula","Xyrichtys","Labridae","Perciformes","Actinopterygii"
"809","Lactarius lactarius","Lactarius","Lactariidae","Perciformes","Actinopterygii"
"810","Carcharodon carcharias","Carcharodon","Lamnidae","Lamniformes","Elasmobranchii"
"811","Isurus oxyrinchus","Isurus","Lamnidae","Lamniformes","Elasmobranchii"
"812","Isurus paucus","Isurus","Lamnidae","Lamniformes","Elasmobranchii"
"813","Lamna nasus","Lamna","Lamnidae","Lamniformes","Elasmobranchii"
"814","Lampris guttatus","Lampris","Lampridae","Lampriformes","Actinopterygii"
"815","Lampris immaculatus","Lampris","Lampridae","Lampriformes","Actinopterygii"
"816","Lateolabrax japonicus","Lateolabrax","Lateolabracidae","Perciformes","Actinopterygii"
"817","Lates calcarifer","Lates","Latidae","Perciformes","Actinopterygii"
"818","Equulites stercorarius","Equulites","Leiognathidae","Perciformes","Actinopterygii"
"819","Gazza achlamys","Gazza","Leiognathidae","Perciformes","Actinopterygii"
"820","Gazza minuta","Gazza","Leiognathidae","Perciformes","Actinopterygii"
"821","Leiognathus equulus","Leiognathus","Leiognathidae","Perciformes","Actinopterygii"
"822","Photopectoralis bindus","Photopectoralis","Leiognathidae","Perciformes","Actinopterygii"
"823","Leptocharias smithii","Leptocharias","Leptochariidae","Carcharhiniformes","Elasmobranchii"
"824","Gnathodentex aureolineatus","Gnathodentex","Lethrinidae","Perciformes","Actinopterygii"
"825","Gymnocranius euanus","Gymnocranius","Lethrinidae","Perciformes","Actinopterygii"
"826","Gymnocranius grandoculis","Gymnocranius","Lethrinidae","Perciformes","Actinopterygii"
"827","Gymnocranius griseus","Gymnocranius","Lethrinidae","Perciformes","Actinopterygii"
"828","Gymnocranius microdon","Gymnocranius","Lethrinidae","Perciformes","Actinopterygii"
"829","Lethrinus amboinensis","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"830","Lethrinus atkinsoni","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"831","Lethrinus atlanticus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"832","Lethrinus borbonicus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"833","Lethrinus erythracanthus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"834","Lethrinus erythropterus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"835","Lethrinus harak","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"836","Lethrinus lentjan","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"837","Lethrinus mahsena","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"838","Lethrinus microdon","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"839","Lethrinus miniatus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"840","Lethrinus nebulosus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"841","Lethrinus obsoletus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"842","Lethrinus olivaceus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"843","Lethrinus ornatus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"844","Lethrinus rubrioperculatus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"845","Lethrinus semicinctus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"846","Lethrinus variegatus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
"847","Lethrinus xanthochilus","Lethrinus","Lethrinidae","Perciformes","Actinopterygii"
