country,species_fao,fao,environment,species_Truj,taxon,match_type,gapfill,Maric_sustainability,Genetic escapees
NA,Brown-marbled grouper,,,Brown-marbled grouper,,species,genus_average,0.333333333,0.9
NA,Carpet shells nei,,,Carpet shells nei,,species,sp_average,0.8,
NA,Cephalopod,,,Cephalopod,CEPH,taxon,taxon_average,0.566666667,0.75
NA,Chinook(=Spring=King) salmon,,,Chinook(=Spring=King)salmon,,species,genus_average,0.370833333,0.625
NA,"Clams, etc. nei",,,"Clams, etc nei",,species,sp_average,0.766666667,
NA,Coho(=Silver) salmon,,,Coho(=Silver)salmon,,species,sp_average,0.34,
NA,Common cuttlefish,,,Common cuttlefish,,species,sp_average,0.6,
NA,Common edible cockle,,,Common edible cockle,,species,sp_average,0.733333333,
NA,Common sole,,,Common sole,,species,sp_average,0.533333333,
NA,Common two-banded seabream,,,Com.2-banded seabream,,species,sp_average,0.533333333,
NA,Crabs and lobsters,,,Crabs and lobsters,CRUST,taxon,taxon_average,0.416666667,0.45
NA,Cupped oysters nei,,,Cupped oysters nei,,species,sp_average,0.888095238,
NA,Eucheuma seaweeds nei,,,Eucheuma seaweeds nei,,species,genus_average,0.933333333,
NA,European eel,,,European eel,,species,sp_average,0.444444444,
NA,European flat oyster,,,European flat oyster,,species,sp_average,0.823076923,
NA,European seabass,,,European seabass,,species,sp_average,0.452222222,
NA,False abalone,,,False abalone,,species,sp_average,0.733333333,
NA,Fish,,,Fish,F,taxon,taxon_average,0.444010417,0.766366899
NA,Flat and cupped oysters nei,,,Flat and cupped oysters nei,,species,sp_average,0.833333333,
NA,Flat oysters nei,,,Flat oysters nei,,species,sp_average,0.866666667,
NA,Flatfishes nei,,,Flatfishes nei,,species,sp_average,0.466666667,
NA,Flathead grey mullet,,,Flathead grey mullet,,species,sp_average,0.412820513,
NA,Freshwater fishes nei,,,Freshwater fishes nei,,species,sp_average,0.466666667,
NA,Gasar cupped oyster,,,Gasar cupped oyster,,species,sp_average,0.733333333,
NA,Giant river prawn,,,Giant river prawn,,species,sp_average,0.185714286,
NA,Gilthead seabream,,,Gilthead seabream,,species,sp_average,0.286111111,
NA,Gobies nei,,,Gobies nei,,species,sp_average,0.533333333,
NA,Gracilaria seaweeds,,,Gracilaria seaweeds,,species,sp_average,0.85,
NA,Greasyback shrimp,,,Greasyback shrimp,,species,genus_average,0.372222222,0.797142857
NA,Green mussel,,,Green mussel,,species,genus_average,0.8,0.5
NA,Grooved carpet shell,,,Grooved carpet shell,,species,sp_average,0.866666667,
NA,Groupers nei,,,Groupers nei,,species,sp_average,0.333333333,
NA,"Groupers, seabasses nei",,,"Groupers, seabasses nei",,species,sp_average,0.333333333,
NA,Haddock,,,Haddock,,species,sp_average,0.533333333,
NA,Importo totale,,,Importo totale,,species,sp_average,0.52084494,
NA,Indian white prawn,,,Indian white prawn,,species,sp_average,0.4,
NA,Inverts,,,Inverts,INV,taxon,taxon_average,0.542156863,0.517573745
NA,Japanese carpet shell,,,Japanese carpet shell,,species,genus_average,0.841666667,0.925
NA,Japanese kelp,,,Japanese kelp,,species,genus_average,0.933333333,
NA,John's snapper,,,John's snapper,,species,genus_average,0.433333333,0.5
NA,Korean mussel,,,Korean mussel,,species,genus_average,0.8,0.5
NA,Kuruma prawn,,,Kuruma prawn,,species,sp_average,0.444444444,
NA,Laver (Nori),,,Laver (Nori),,species,sp_average,0.693333333,
NA,Mangrove red snapper,,,Mangrove red snapper,,species,genus_average,0.433333333,0.5
NA,Marine crustaceans nei,,,Marine crustaceans nei,,species,sp_average,0.3,
NA,Marine fishes nei,,,Marine fishes nei,,species,sp_average,0.477777778,
NA,Marine molluscs nei,,,Marine molluscs nei,,species,sp_average,0.533333333,
NA,Mediterranean mussel,,,Mediterranean mussel,,species,sp_average,0.82,
NA,Metapenaeus shrimps nei,,,Metapenaeus shrimps nei,,species,genus_average,0.372222222,0.797142857
NA,Milkfish,,,Milkfish,,species,sp_average,0.414285714,
NA,Molluscs,,,Molluscs,MOLL,taxon,taxon_average,0.533333333,0.5
NA,Mozambique tilapia,,,Mozambique tilapia,,species,genus_average,0.366666667,
NA,Mullets nei,,,Mullets nei,,species,sp_average,0.561111111,
NA,Natantian decapods nei,,,Natantian decapods nei,,species,sp_average,0.533333333,
NA,New Zealand mussel,,,New Zealand mussel,,species,genus_average,0.8,0.5
NA,Nile tilapia,,,Nile tilapia,,species,sp_average,0.5,
NA,Non-crustacean invert,,,Non-crustacean invert,NS-INV,taxon,taxon_average,0.571405229,0.517573745
NA,Nori nei,,,Nori nei,,species,genus_average,0.733333333,
NA,Octopuses nei,,,Octopuses nei,,species,sp_average,0.533333333,
NA,Orange-spotted grouper,,,Orange-spotted grouper,,species,genus_average,0.333333333,0.9
NA,Pacific cupped oyster,,,Pacific cupped oyster,,species,sp_average,0.757142857,
NA,Penaeus shrimps nei,,,Penaeus shrimps nei,,species,sp_average,0.266666667,
NA,Perlemoen abalone,,,Perlemoen abalone,,species,sp_average,0.633333333,
NA,Peruvian calico scallop,,,Peruvian calico scallop,,species,genus_average,0.833333333,0.55
NA,Pullet carpet shell,,,Pullet carpet shell,,species,sp_average,0.833333333,
NA,Rainbow trout,,,Rainbow trout,,species,sp_average,0.566666667,
NA,Razor clams nei,,,Razor clams nei,,species,sp_average,0.833333333,
NA,Red bait,,,Red bait,,species,sp_average,0.6,
NA,Red drum,,,Red drum,,species,sp_average,0.366666667,
NA,River Plata mussel,,,River Plata mussel,,species,sp_average,0.833333333,
NA,Sargo breams nei,,,Sargo breams nei,,species,sp_average,0.4,
NA,Scallops nei,,,Scallops nei,,species,genus_average,0.833333333,0.55
NA,Sea mussels nei,,,Sea mussels nei,,species,sp_average,0.791666667,
NA,Sea trout,,,Sea trout,,species,sp_average,0.466666667,
NA,Sea urchins nei,,,Sea urchins nei,,species,sp_average,0.5,
NA,Seabasses nei,,,Seabasses nei,,species,sp_average,0.5,
NA,Shrimp & prawn,,,Shrimp & prawn,SH,taxon,taxon_average,0.366666667,0.580698529
NA,Silver carp,,,Silver carp,,species,sp_average,0.533333333,
NA,Silversides(=Sand smelts) nei,,,Silversides nei,,species,sp_average,0.566666667,
NA,Smooth mactra,,,Smooth mactra,,species,sp_average,0.766666667,
NA,Snappers nei,,,Snappers nei,,species,genus_average,0.433333333,0.5
NA,So-iuy mullet,,,So-iuy mullet,,species,sp_average,0.633333333,
NA,Southern bluefin tuna,,,Southern bluefin tuna,,species,sp_average,0.1,
NA,Spiny eucheuma,,,Spiny eucheuma,,species,genus_average,0.933333333,
NA,Spotted coralgrouper,,,Spotted coralgrouper,,species,genus_average,0.333333333,0.9
NA,Spotted wolffish,,,Spotted wolffish,,species,sp_average,0.533333333,
NA,Sturgeons nei,,,Sturgeons nei,,species,sp_average,0.566666667,
NA,Tilapias nei,,,Tilapias nei,,species,sp_average,0.366666667,
NA,Torpedo catfishes nei,,,Torpedo catfishes nei,,species,sp_average,0.366666667,
NA,Trouts nei,,,Trouts nei,,species,sp_average,0.433333333,
NA,Tuna-like fishes nei,,,Tuna-like fishes nei,,species,sp_average,0.1,
NA,Tunicate,,,Tunicate,TUN,taxon,taxon_average,0.6,0.1
NA,Turbot,,,Turbot,,species,sp_average,0.5,
NA,Urchin,,,Urchin,URCH,taxon,taxon_average,0.5,0.5
NA,Wakame,,,Wakame,,species,genus_average,0.933333333,
NA,Warty gracilaria,,,Warty gracilaria,,species,genus_average,0.933333333,
NA,Whiteleg shrimp,,,Whiteleg shrimp,,species,sp_average,0.374509804,
NA,Yellowfin tuna,,,Yellowfin tuna,,species,sp_average,0.1,
NA,Yesso scallop,,,Yesso scallop,,species,sp_average,0.833333333,
