"SBID","CountryCode","SplitYear","SeasonYear","SeasonMonthNr","CalendarMonthNr","ASD","TargetSpeciesCode","GearCode","FishingCode","ShipSize","FishingHours","FishingDays","ShipCount","HookCount","PotCount","HaulCount","FishingOnGrounds","FishingFromPort","FishingTrips","ShipTonnage","ShipHP","ShipLength","Comment","PreparedDate"
952,"SUN",1987,1987,2,1,"483","MZZ","OTB","C",11,1903.00,133.00,,,,,156.00,,,,,,"",10-4-2015 00:00:00
953,"SUN",1987,1987,3,2,"483","MZZ","OTB","C",11,1792.00,128.00,,,,,147.00,,,,,,"",10-4-2015 00:00:00
954,"SUN",1987,1987,4,3,"483","MZZ","OTB","C",11,1168.00,87.00,,,,,104.00,,,,,,"",10-4-2015 00:00:00
955,"SUN",1987,1987,7,6,"483","MZZ","OTB","C",11,70.00,5.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
956,"SUN",1987,1986,8,7,"483","MZZ","OTM","C",10,262.00,26.00,,,,,32.00,,,,,,"",10-4-2015 00:00:00
957,"SUN",1987,1986,9,8,"483","MZZ","OTM","C",10,1731.00,152.00,,,,,186.00,,,,,,"",10-4-2015 00:00:00
958,"SUN",1987,1986,10,9,"483","MZZ","OTM","C",10,182.00,16.00,,,,,21.00,,,,,,"",10-4-2015 00:00:00
959,"SUN",1987,1986,11,10,"483","MZZ","OTM","C",10,381.00,36.00,,,,,46.00,,,,,,"",10-4-2015 00:00:00
960,"SUN",1987,1986,12,11,"483","MZZ","OTM","C",10,334.00,32.00,,,,,40.00,,,,,,"",10-4-2015 00:00:00
961,"SUN",1987,1987,1,12,"483","MZZ","OTM","C",10,559.00,48.00,,,,,56.00,,,,,,"",10-4-2015 00:00:00
962,"SUN",1987,1986,8,7,"483","KRI","OTM","C",11,945.00,89.00,,,,,119.00,,,,,,"",10-4-2015 00:00:00
963,"SUN",1987,1986,9,8,"483","KRI","OTM","C",11,114.00,12.00,,,,,12.00,,,,,,"",10-4-2015 00:00:00
964,"SUN",1987,1986,10,9,"483","KRI","OTM","C",11,80.00,9.00,,,,,12.00,,,,,,"",10-4-2015 00:00:00
965,"SUN",1987,1986,11,10,"483","KRI","OTM","C",11,23.00,4.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
966,"SUN",1987,1986,12,11,"483","KRI","OTM","C",11,14.00,1.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
967,"SUN",1987,1987,1,12,"483","KRI","OTM","C",11,15.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
968,"SUN",1987,1987,2,1,"483","KRI","OTM","C",11,1419.00,120.00,,,,,148.00,,,,,,"",10-4-2015 00:00:00
969,"SUN",1987,1987,3,2,"483","KRI","OTM","C",11,1310.00,106.00,,,,,128.00,,,,,,"",10-4-2015 00:00:00
970,"SUN",1987,1987,4,3,"483","KRI","OTM","C",11,1625.00,141.00,,,,,175.00,,,,,,"",10-4-2015 00:00:00
971,"SUN",1987,1987,5,4,"483","KRI","OTM","C",11,3974.00,373.00,,,,,448.00,,,,,,"",10-4-2015 00:00:00
972,"SUN",1987,1987,6,5,"483","KRI","OTM","C",11,6050.00,450.00,,,,,545.00,,,,,,"",10-4-2015 00:00:00
973,"SUN",1987,1987,7,6,"483","KRI","OTM","C",11,5897.00,435.00,,,,,518.00,,,,,,"",10-4-2015 00:00:00
974,"SUN",1987,1986,8,7,"483","KRI","OTM","C",10,1293.00,135.00,,,,,183.00,,,,,,"",10-4-2015 00:00:00
975,"SUN",1987,1986,9,8,"483","KRI","OTM","C",10,765.00,74.00,,,,,94.00,,,,,,"",10-4-2015 00:00:00
976,"SUN",1987,1986,10,9,"483","KRI","OTM","C",10,841.00,92.00,,,,,111.00,,,,,,"",10-4-2015 00:00:00
977,"SUN",1987,1986,11,10,"483","KRI","OTM","C",10,188.00,21.00,,,,,36.00,,,,,,"",10-4-2015 00:00:00
978,"SUN",1987,1987,2,1,"483","KRI","OTM","C",10,813.00,80.00,,,,,100.00,,,,,,"",10-4-2015 00:00:00
979,"SUN",1987,1987,3,2,"483","KRI","OTM","C",10,872.00,83.00,,,,,99.00,,,,,,"",10-4-2015 00:00:00
980,"SUN",1987,1987,4,3,"483","KRI","OTM","C",10,232.00,22.00,,,,,28.00,,,,,,"",10-4-2015 00:00:00
981,"SUN",1987,1987,5,4,"483","KRI","OTM","C",10,3753.00,329.00,,,,,401.00,,,,,,"",10-4-2015 00:00:00
982,"SUN",1987,1987,6,5,"483","KRI","OTM","C",10,8655.00,655.00,,,,,785.00,,,,,,"",10-4-2015 00:00:00
983,"SUN",1987,1987,7,6,"483","KRI","OTM","C",10,4752.00,389.00,,,,,466.00,,,,,,"",10-4-2015 00:00:00
984,"SUN",1987,1986,8,7,"483","MZZ","OTM","C",11,170.00,16.00,,,,,19.00,,,,,,"",10-4-2015 00:00:00
985,"SUN",1987,1986,9,8,"483","MZZ","OTM","C",11,604.00,55.00,,,,,65.00,,,,,,"",10-4-2015 00:00:00
986,"SUN",1987,1986,10,9,"483","MZZ","OTM","C",11,30.00,3.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
987,"SUN",1987,1986,11,10,"483","MZZ","OTM","C",11,158.00,15.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
988,"SUN",1987,1986,12,11,"483","MZZ","OTM","C",11,170.00,16.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
989,"SUN",1987,1987,1,12,"483","MZZ","OTM","C",11,156.00,16.00,,,,,22.00,,,,,,"",10-4-2015 00:00:00
992,"SUN",1987,1987,2,1,"584","MZZ","OT","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
993,"SUN",1987,1987,3,2,"584","MZZ","OT","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
994,"SUN",1987,1987,4,3,"584","MZZ","OT","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
995,"SUN",1987,1987,2,1,"584","KRI","OTM","C",10,1310.00,117.00,,,,,146.00,,,,,,"",10-4-2015 00:00:00
996,"SUN",1987,1987,3,2,"584","KRI","OTM","C",10,2155.00,163.00,,,,,200.00,,,,,,"",10-4-2015 00:00:00
997,"SUN",1987,1987,4,3,"584","KRI","OTM","C",10,1573.00,152.00,,,,,182.00,,,,,,"",10-4-2015 00:00:00
998,"SUN",1987,1987,5,4,"584","KRI","OTM","C",10,1442.00,143.00,,,,,176.00,,,,,,"",10-4-2015 00:00:00
999,"SUN",1987,1986,11,10,"585","MZZ","OTB","C",10,574.00,104.00,,,,,137.00,,,,,,"",10-4-2015 00:00:00
1000,"SUN",1987,1986,12,11,"585","MZZ","OTB","C",10,979.00,155.00,,,,,175.00,,,,,,"",10-4-2015 00:00:00
1001,"SUN",1987,1987,1,12,"585","MZZ","OTB","C",10,1395.00,172.00,,,,,190.00,,,,,,"",10-4-2015 00:00:00
1002,"SUN",1987,1987,2,1,"585","MZZ","OTB","C",10,150.00,19.00,,,,,26.00,,,,,,"",10-4-2015 00:00:00
1003,"SUN",1987,1987,3,2,"585","MZZ","OTB","C",10,4.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1004,"SUN",1987,1987,4,3,"585","MZZ","OTB","C",10,30.00,4.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
1005,"SUN",1987,1987,4,3,"881","KRI","OTM","C",10,27.00,2.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
1006,"SUN",1987,1987,5,4,"881","KRI","OTM","C",10,48.00,5.00,,,,,7.00,,,,,,"",10-4-2015 00:00:00
1007,"SUN",1987,1987,2,1,"883","KRI","OTM","C",10,9.00,1.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
1008,"SUN",1988,1988,2,1,"482","NOG","OTB","C",10,87.00,10.00,,,,,12.00,,,,,,"",10-4-2015 00:00:00
1009,"SUN",1988,1988,3,2,"482","NOG","OTB","C",10,403.00,28.00,,,,,34.00,,,,,,"",10-4-2015 00:00:00
1010,"SUN",1988,1988,4,3,"482","NOG","OTB","C",10,44.00,5.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
1011,"SUN",1988,1988,2,1,"482","NOG","OTB","C",11,32.00,3.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
1012,"SUN",1988,1988,3,2,"482","NOG","OTB","C",11,742.00,65.00,,,,,77.00,,,,,,"",10-4-2015 00:00:00
1013,"SUN",1988,1988,4,3,"482","NOG","OTB","C",11,708.00,78.00,,,,,93.00,,,,,,"",10-4-2015 00:00:00
1014,"SUN",1988,1988,2,1,"482","KRI","OTM","C",10,1041.00,73.00,,,,,85.00,,,,,,"",10-4-2015 00:00:00
1015,"SUN",1988,1988,3,2,"482","KRI","OTM","C",10,809.00,56.00,,,,,66.00,,,,,,"",10-4-2015 00:00:00
1016,"SUN",1988,1988,4,3,"482","KRI","OTM","C",10,853.00,77.00,,,,,84.00,,,,,,"",10-4-2015 00:00:00
1017,"SUN",1988,1988,5,4,"482","KRI","OTM","C",10,2415.00,194.00,,,,,233.00,,,,,,"",10-4-2015 00:00:00
1018,"SUN",1988,1988,6,5,"482","KRI","OTM","C",10,15.00,2.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
1019,"SUN",1988,1988,4,3,"482","NOG","OTM","C",11,137.00,17.00,,,,,19.00,,,,,,"",10-4-2015 00:00:00
1020,"SUN",1988,1987,8,7,"483","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1021,"SUN",1988,1987,9,8,"483","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1022,"SUN",1988,1987,10,9,"483","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1023,"SUN",1988,1987,12,11,"482","KRI","OTM","C",11,112.00,11.00,,,,,13.00,,,,,,"",10-4-2015 00:00:00
1024,"SUN",1988,1988,1,12,"482","KRI","OTM","C",11,125.00,13.00,,,,,15.00,,,,,,"",10-4-2015 00:00:00
1025,"SUN",1988,1988,2,1,"482","KRI","OTM","C",11,1316.00,114.00,,,,,129.00,,,,,,"",10-4-2015 00:00:00
1026,"SUN",1988,1988,3,2,"482","KRI","OTM","C",11,1719.00,143.00,,,,,154.00,,,,,,"",10-4-2015 00:00:00
1027,"SUN",1988,1988,4,3,"482","KRI","OTM","C",11,2344.00,234.00,,,,,250.00,,,,,,"",10-4-2015 00:00:00
1028,"SUN",1988,1988,5,4,"482","KRI","OTM","C",11,3425.00,323.00,,,,,343.00,,,,,,"",10-4-2015 00:00:00
1029,"SUN",1988,1988,6,5,"482","KRI","OTM","C",11,84.00,9.00,,,,,11.00,,,,,,"",10-4-2015 00:00:00
1030,"SUN",1988,1987,8,7,"483","ANI","OT","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1031,"SUN",1988,1987,8,7,"483","MZZ","OTB","C",10,187.00,17.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
1032,"SUN",1988,1987,9,8,"483","MZZ","OTB","C",10,385.00,36.00,,,,,42.00,,,,,,"",10-4-2015 00:00:00
1033,"SUN",1988,1987,10,9,"483","MZZ","OTB","C",10,564.00,48.00,,,,,55.00,,,,,,"",10-4-2015 00:00:00
1034,"SUN",1988,1987,11,10,"483","MZZ","OTB","C",10,661.00,57.00,,,,,68.00,,,,,,"",10-4-2015 00:00:00
1035,"SUN",1988,1987,12,11,"483","MZZ","OTB","C",10,893.00,76.00,,,,,90.00,,,,,,"",10-4-2015 00:00:00
1036,"SUN",1988,1988,1,12,"483","MZZ","OTB","C",10,172.00,15.00,,,,,17.00,,,,,,"",10-4-2015 00:00:00
1037,"SUN",1988,1988,2,1,"483","MZZ","OTB","C",10,647.00,58.00,,,,,69.00,,,,,,"",10-4-2015 00:00:00
1038,"SUN",1988,1988,3,2,"483","MZZ","OTB","C",10,1514.00,131.00,,,,,158.00,,,,,,"",10-4-2015 00:00:00
1039,"SUN",1988,1988,4,3,"483","MZZ","OTB","C",10,77.00,6.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
1040,"SUN",1988,1988,6,5,"483","MZZ","OTB","C",10,4.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1041,"SUN",1988,1988,7,6,"483","MZZ","OTB","C",10,31.00,4.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
1042,"SUN",1988,1987,8,7,"483","ANI","OTB","C",11,299.00,30.00,,,,,36.00,,,,,,"",10-4-2015 00:00:00
1043,"SUN",1988,1987,9,8,"483","ANI","OTB","C",11,764.00,67.00,,,,,79.00,,,,,,"",10-4-2015 00:00:00
1044,"SUN",1988,1987,10,9,"483","ANI","OTB","C",11,984.00,95.00,,,,,110.00,,,,,,"",10-4-2015 00:00:00
1045,"SUN",1988,1987,11,10,"483","ANI","OTB","C",11,1348.00,134.00,,,,,159.00,,,,,,"",10-4-2015 00:00:00
1046,"SUN",1988,1987,12,11,"483","ANI","OTB","C",11,515.00,48.00,,,,,56.00,,,,,,"",10-4-2015 00:00:00
1047,"SUN",1988,1987,8,7,"483","KRI","OTM","C",10,4550.00,368.00,,,,,434.00,,,,,,"",10-4-2015 00:00:00
1048,"SUN",1988,1987,9,8,"483","KRI","OTM","C",10,2647.00,204.00,,,,,239.00,,,,,,"",10-4-2015 00:00:00
1049,"SUN",1988,1987,10,9,"483","KRI","OTM","C",10,2946.00,240.00,,,,,298.00,,,,,,"",10-4-2015 00:00:00
1050,"SUN",1988,1987,11,10,"483","KRI","OTM","C",10,641.00,51.00,,,,,61.00,,,,,,"",10-4-2015 00:00:00
1051,"SUN",1988,1988,3,2,"483","KRI","OTM","C",10,6.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1052,"SUN",1988,1988,4,3,"483","KRI","OTM","C",10,6.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1053,"SUN",1988,1988,5,4,"483","KRI","OTM","C",10,937.00,73.00,,,,,85.00,,,,,,"",10-4-2015 00:00:00
1054,"SUN",1988,1988,6,5,"483","KRI","OTM","C",10,2662.00,206.00,,,,,240.00,,,,,,"",10-4-2015 00:00:00
1055,"SUN",1988,1988,7,6,"483","KRI","OTM","C",10,5385.00,392.00,,,,,465.00,,,,,,"",10-4-2015 00:00:00
1056,"SUN",1988,1987,9,8,"483","MZZ","OTM","C",11,14.00,2.00,,,,,2.00,,,,,,"",10-4-2015 00:00:00
1057,"SUN",1988,1987,10,9,"483","MZZ","OTM","C",11,4.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1058,"SUN",1988,1987,8,7,"483","MZZ","OTM","C",10,745.00,68.00,,,,,84.00,,,,,,"",10-4-2015 00:00:00
1059,"SUN",1988,1987,9,8,"483","MZZ","OTM","C",10,306.00,27.00,,,,,30.00,,,,,,"",10-4-2015 00:00:00
1060,"SUN",1988,1987,10,9,"483","MZZ","OTM","C",10,869.00,70.00,,,,,81.00,,,,,,"",10-4-2015 00:00:00
1061,"SUN",1988,1987,11,10,"483","MZZ","OTM","C",10,1874.00,142.00,,,,,170.00,,,,,,"",10-4-2015 00:00:00
1062,"SUN",1988,1987,12,11,"483","MZZ","OTM","C",10,2218.00,176.00,,,,,214.00,,,,,,"",10-4-2015 00:00:00
1063,"SUN",1988,1988,1,12,"483","MZZ","OTM","C",10,2287.00,163.00,,,,,190.00,,,,,,"",10-4-2015 00:00:00
1064,"SUN",1988,1988,2,1,"483","MZZ","OTM","C",10,1465.00,121.00,,,,,142.00,,,,,,"",10-4-2015 00:00:00
1065,"SUN",1988,1988,3,2,"483","MZZ","OTM","C",10,1927.00,153.00,,,,,180.00,,,,,,"",10-4-2015 00:00:00
1066,"SUN",1988,1988,4,3,"483","MZZ","OTM","C",10,132.00,13.00,,,,,16.00,,,,,,"",10-4-2015 00:00:00
1067,"SUN",1988,1988,5,4,"483","MZZ","OTM","C",10,147.00,12.00,,,,,13.00,,,,,,"",10-4-2015 00:00:00
1068,"SUN",1988,1988,6,5,"483","MZZ","OTM","C",10,172.00,17.00,,,,,20.00,,,,,,"",10-4-2015 00:00:00
1069,"SUN",1988,1988,7,6,"483","MZZ","OTM","C",10,463.00,45.00,,,,,45.00,,,,,,"",10-4-2015 00:00:00
1070,"SUN",1988,1987,8,7,"483","KRI","OTM","C",11,2784.00,222.00,,,,,260.00,,,,,,"",10-4-2015 00:00:00
1071,"SUN",1988,1987,9,8,"483","KRI","OTM","C",11,2039.00,193.00,,,,,218.00,,,,,,"",10-4-2015 00:00:00
1072,"SUN",1988,1987,10,9,"483","KRI","OTM","C",11,1270.00,115.00,,,,,130.00,,,,,,"",10-4-2015 00:00:00
1073,"SUN",1988,1987,11,10,"483","KRI","OTM","C",11,512.00,44.00,,,,,57.00,,,,,,"",10-4-2015 00:00:00
1074,"SUN",1988,1988,5,4,"483","KRI","OTM","C",11,1793.00,138.00,,,,,162.00,,,,,,"",10-4-2015 00:00:00
1075,"SUN",1988,1988,6,5,"483","KRI","OTM","C",11,3791.00,346.00,,,,,425.00,,,,,,"",10-4-2015 00:00:00
1076,"SUN",1988,1988,7,6,"483","KRI","OTM","C",11,2998.00,281.00,,,,,327.00,,,,,,"",10-4-2015 00:00:00
1077,"SUN",1988,1988,4,3,"486","KRI","OTM","C",10,4.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1078,"SUN",1988,1988,5,4,"486","KRI","OTM","C",10,38.00,3.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
1085,"SUN",1988,1988,3,2,"5842","MZZ","OT","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1086,"SUN",1988,1988,4,3,"5842","MZZ","OT","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1087,"SUN",1988,1988,5,4,"5842","MZZ","OT","C",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1089,"SUN",1988,1988,2,1,"5842","KRI","OTM","C",10,479.00,43.00,,,,,50.00,,,,,,"",10-4-2015 00:00:00
1090,"SUN",1988,1988,3,2,"5842","KRI","OTM","C",10,827.00,76.00,,,,,90.00,,,,,,"",10-4-2015 00:00:00
1091,"SUN",1988,1988,4,3,"5842","KRI","OTM","C",10,656.00,58.00,,,,,70.00,,,,,,"",10-4-2015 00:00:00
1092,"SUN",1988,1988,5,4,"5842","KRI","OTM","C",10,510.00,50.00,,,,,60.00,,,,,,"",10-4-2015 00:00:00
1093,"SUN",1988,1988,3,2,"5842","KRI","OTM","C",11,39.00,4.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
1094,"SUN",1988,1988,4,3,"5842","KRI","OTM","C",11,244.00,22.00,,,,,25.00,,,,,,"",10-4-2015 00:00:00
1095,"SUN",1988,1987,8,7,"585","MZZ","OTB","C",10,25.00,3.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
1096,"SUN",1988,1987,9,8,"585","MZZ","OTB","C",10,273.00,33.00,,,,,36.00,,,,,,"",10-4-2015 00:00:00
1097,"SUN",1988,1987,10,9,"585","MZZ","OTB","C",10,29.00,4.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
1098,"SUN",1988,1987,11,10,"585","MZZ","OTB","C",10,44.00,5.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
1099,"SUN",1988,1987,12,11,"585","MZZ","OTB","C",10,66.00,7.00,,,,,7.00,,,,,,"",10-4-2015 00:00:00
1100,"SUN",1988,1988,3,2,"585","MZZ","OTB","C",10,39.00,4.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
1101,"SUN",1988,1988,4,3,"585","MZZ","OTB","C",10,13.00,2.00,,,,,3.00,,,,,,"",10-4-2015 00:00:00
1102,"USA",1987,1986,12,11,"483","MZZ","OTM","S",10,,2.00,1,,,,2.00,7.00,1,3000.00,2300.00,,"",10-4-2015 00:00:00
1103,"USA",1987,1987,1,12,"483","MZZ","OTM","S",10,,17.00,1,,,,17.00,26.00,1,3000.00,2300.00,,"",10-4-2015 00:00:00
1104,"USA",1988,1988,1,12,"483","MZZ","OTM","S",10,,13.00,1,,,,13.00,21.00,1,3000.00,2300.00,,"",10-4-2015 00:00:00
1105,"USA",1988,1988,2,1,"483","MZZ","OTM","S",10,,9.00,1,,,,9.00,15.00,1,3000.00,2300.00,,"",10-4-2015 00:00:00
1106,"SUN",1988,1988,2,1,"486","ELC","OTM","C",10,47.00,4.00,,,,,4.00,,,,,,"",10-4-2015 00:00:00
1107,"SUN",1988,1988,6,5,"486","ELC","OTM","C",10,61.00,6.00,,,,,6.00,,,,,,"",10-4-2015 00:00:00
1108,"SUN",1988,1988,7,6,"486","ELC","OTM","C",10,8.00,1.00,,,,,1.00,,,,,,"",10-4-2015 00:00:00
1109,"JPN",1981,1981,2,1,"481","MZZ","OTB","C",10,3.30,2.00,1,,,,2.00,,,3264.00,4900.00,,"",10-4-2015 00:00:00
1110,"JPN",1982,1982,2,1,"481","MZZ","OTB","S",10,18.00,10.00,1,,,,10.00,,,3265.00,4900.00,,"",10-4-2015 00:00:00
1111,"JPN",1977,1977,1,12,"5844","MZZ","OTB","C",10,47.00,4.00,1,,,,,,,2812.00,2880.00,,"",10-4-2015 00:00:00
1112,"JPN",1977,1977,2,1,"5844","MZZ","OTB","C",10,139.00,13.00,1,,,,,,,2812.00,2880.00,,"",10-4-2015 00:00:00
1113,"JPN",1977,1977,6,5,"585","NOX","OTB","C",10,154.00,16.00,1,,,,17.00,,,3393.00,3270.00,,"",10-4-2015 00:00:00
1114,"JPN",1977,1977,7,6,"585","NOX","OTB","C",10,10.00,2.00,1,,,,2.00,,,3393.00,3270.00,,"",10-4-2015 00:00:00
1115,"JPN",1977,1977,7,6,"586","NOX","OTB","C",10,33.00,5.00,1,,,,8.00,,,3393.00,3270.00,,"",10-4-2015 00:00:00
1116,"JPN",1984,1983,12,11,"483","MZZ","OTB","S",10,18.00,4.00,1,,,,,,,2116.00,2470.00,,"",10-4-2015 00:00:00
1117,"JPN",1984,1984,1,12,"483","MZZ","OTB","S",10,11.00,1.00,1,,,,,,,2116.00,2470.00,,"",10-4-2015 00:00:00
1118,"JPN",1985,1985,2,1,"481","NOX","OTB","C",10,152.00,16.00,1,,,,,,,2124.00,4500.00,,"",10-4-2015 00:00:00
1119,"JPN",1985,1985,3,2,"481","NOX","OTB","C",10,10.00,3.00,1,,,,,,,2124.00,4500.00,,"",10-4-2015 00:00:00
1120,"JPN",1987,1986,12,11,"883","KRI","OTM","C",10,100.00,2.00,1,,,2,2.00,,,3264.00,4900.00,,"",10-4-2015 00:00:00
1121,"JPN",1979,1979,2,1,"5844","NOX","OTB","C",10,121.00,15.00,1,,,,15.00,,,2961.00,3290.00,,"",10-4-2015 00:00:00
1122,"JPN",1979,1979,3,2,"5844","NOX","OTB","C",10,62.00,21.00,1,,,,21.00,,,2961.00,3290.00,,"",10-4-2015 00:00:00
1123,"JPN",1978,1978,2,1,"586","NOX","OTB","C",10,121.00,11.00,3,,,,,,,2921.00,3320.00,,"",10-4-2015 00:00:00
1124,"JPN",1978,1978,3,2,"586","NOX","OTB","C",10,313.00,28.00,3,,,,,,,2921.00,3320.00,,"",10-4-2015 00:00:00
1125,"JPN",1978,1978,4,3,"586","NOX","OTB","C",10,58.00,5.00,1,,,,7.00,,,2961.00,3290.00,,"",10-4-2015 00:00:00
1126,"JPN",1978,1977,8,7,"585","NOX","OTB","C",10,143.00,15.00,1,,,,18.00,,,3393.00,3270.00,,"",10-4-2015 00:00:00
1127,"JPN",1978,1977,12,11,"585","NOX","OTB","C",10,269.00,28.00,3,,,,,,,3055.00,3147.00,,"",10-4-2015 00:00:00
1128,"JPN",1978,1978,1,12,"585","NOX","OTB","C",10,442.00,41.00,2,,,,44.00,,,3177.00,3280.00,,"",10-4-2015 00:00:00
1129,"JPN",1978,1978,2,1,"585","NOX","OTB","C",10,108.00,12.00,1,,,,14.00,,,2961.00,3290.00,,"",10-4-2015 00:00:00
1130,"JPN",1978,1978,3,2,"585","NOX","OTB","C",10,42.00,5.00,2,,,,,,,2685.00,3345.00,,"",10-4-2015 00:00:00
1131,"JPN",1978,1978,4,3,"585","NOX","OTB","C",10,114.00,13.00,2,,,,,,,2992.00,3645.00,,"",10-4-2015 00:00:00
1132,"JPN",1978,1977,12,11,"5844","MZZ","OTB","C",10,86.00,8.00,1,,,,,,,2812.00,2880.00,,"",10-4-2015 00:00:00
1133,"JPN",1978,1978,2,1,"5844","MZZ","OTB","C",10,91.00,10.00,1,,,,10.00,,,3393.00,3270.00,,"",10-4-2015 00:00:00
1134,"JPN",1978,1978,3,2,"5844","MZZ","OTB","C",10,30.00,4.00,1,,,,6.00,,,2961.00,3290.00,,"",10-4-2015 00:00:00
1135,"JPN",1978,1978,3,2,"586","MZZ","OTB","C",9,184.00,11.00,1,,,,,,,1498.00,2000.00,,"",10-4-2015 00:00:00
1136,"JPN",1978,1978,4,3,"586","MZZ","OTB","C",9,334.00,24.00,1,,,,,,,1498.00,2000.00,,"",10-4-2015 00:00:00
1137,"FRA",1990,1989,11,10,"5851","TOT","OTB","C",,115.00,14.00,1,,,,14.00,20.00,,1379.00,2330.00,,"",10-4-2015 00:00:00
1138,"FRA",1990,1989,12,11,"5851","TOT","OTB","C",,298.00,30.00,1,,,,30.00,30.00,,1379.00,2330.00,,"",10-4-2015 00:00:00
1139,"FRA",1990,1990,1,12,"5851","TOT","OTB","C",,12.00,3.00,1,,,,3.00,11.00,,1379.00,2330.00,,"",10-4-2015 00:00:00
1140,"GBR",1990,1990,2,1,"483","MZZ","OTB","S",9,30.00,21.00,1,,,,21.00,28.00,1,1591.00,2000.00,,"",10-4-2015 00:00:00
1141,"AUS",1990,1990,6,5,"5852","MZZ","OTB","S",,10.50,9.00,,,,18,9.00,24.00,1,,,,"",10-4-2015 00:00:00
1142,"AUS",1990,1990,7,6,"5852","MZZ","OTB","S",,32.00,22.00,,,,63,22.00,30.00,1,,,,"",10-4-2015 00:00:00
1143,"SUN",1990,1989,11,10,"482","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1144,"SUN",1990,1989,12,11,"482","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1145,"SUN",1990,1990,1,12,"482","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1146,"SUN",1990,1990,2,1,"482","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1147,"SUN",1990,1990,6,5,"482","KRI","OTM","S",,,,,,,,,,,,,,"",10-4-2015 00:00:00
1148,"SUN",1990,1989,11,10,"482","KRI","OTM","C",11,42.00,4.00,,,,,5.00,,,,,,"",10-4-2015 00:00:00
1149,"SUN",1990,1989,12,11,"482","KRI","OTM","C",11,270.00,25.00,,,,,30.00,,,,,,"",10-4-2015 00:00:00
1150,"SUN",1990,1990,1,12,"482","KRI","OTM","C",11,2053.00,173.00,,,,,208.00,,,,,,"",10-4-2015 00:00:00
1151,"SUN",1990,1990,2,1,"482","KRI","OTM","C",11,630.00,53.00,,,,,65.00,,,,,,"",10-4-2015 00:00:00
1152,"SUN",1990,1990,3,2,"482","KRI","OTM","C",11,588.00,52.00,,,,,62.00,,,,,,"",10-4-2015 00:00:00
1153,"SUN",1990,1990,4,3,"482","KRI","OTM","C",11,1895.00,166.00,,,,,203.00,,,,,,"",10-4-2015 00:00:00
1154,"SUN",1990,1990,5,4,"482","KRI","OTM","C",11,4519.00,372.00,,,,,448.00,,,,,,"",10-4-2015 00:00:00
1155,"SUN",1990,1990,6,5,"482","KRI","OTM","C",11,5706.00,472.00,,,,,569.00,,,,,,"",10-4-2015 00:00:00
1156,"SUN",1990,1990,7,6,"482","KRI","OTM","C",11,2274.00,191.00,,,,,228.00,,,,,,"",10-4-2015 00:00:00
