SpeciesCode,TaxonomicCode,GroupCode,ScientificName,SpeciesSortOrder,ScientificFamilyName,ScientificFamilySortOrder,EnglishName,FrenchName,RussianName,SpanishName,Class
NOS,1709201906,33,Lepidonotothen squamifrons,220,Nototheniidae,80,Grey rockcod,Bocasse grise,????? ?????????,Trama gris,F
NOT,1709244001,33,Patagonotothen brevicauda,240,Nototheniidae,80,Patagonian rockcod,Bocasse de Patagonie,?????????????? ??????????? ?????????,Trama patagonica,F
NOX,17092XXXXX,33,Nototheniidae,280,Nototheniidae,80,Antarctic Rockcods,"Calandres, bocasses,bocassons, bocassettes",????????????,"tramas, doradillos",F
NOZ,1709243003,33,Lepidonotothen mizops,232,Nototheniidae,80,Toad rockcod,Bocassette crapaud,???????????? ?????????-?????????,Trama ojo de sapo,F
NSZ,1230702602,,Nansenia antarctica,,Microstomatidae,,,,,,F
NTO,1311100801,,Notolepis coatsi,,Paralepididae,,Antarctic jonasfish,,,,F
NTR,1400206507,,Notropis heterolepis,,Cyprinidae,,Blacknose shiner,,,,F
NTW,619XXXXXXX008,,Pennatulacea,,Pennatulacea,,Pennatulacea sea pens,,,,V
NYM,1709201916,,Gobionotothen marionensis,,Nototheniidae,,Lobe-lip notothen,,,,F
OCO,5610300101,,Oceanites oceanicus,,Oceanitidae,,Wilson's storm petrel,,,,B
OCP,1782101001,,Ocosia apia,,Tetrarogidae,,,,,,F
OCT,32109XXXXX,,Octopodidae,,Octopodidae,,Octopus spp.,,?????????,,I
OEQ,692XXXXXXX002,,Euryalida,,Euryalida,,Basket stars,,,,V
OHZ,17115066XX,,Ophthalmolycus spp,,Zoarcidae,,,,,,F
OIJ,3210603301,,Moroteuthis ingens,,Onychoteuthidae,,Greater Hooked Squid,Cornet commun,,Lurión común,I
OOY,692XXXXXXX001,,Ophiurida,,Ophiurida,,Basket and snake stars,Ophiures,,Ofiuroideos,V
ORD,16204XXXXX,,Oreosomatidae,,Oreosomatidae,,Oreo dories nei,Oréos nca,,Oreós nep,F
OWP,692XXXXXXX,,Ophiuroidea,,Ophiuroidea,,Basket and brittle stars,,,,I
PAG,2302012301,,Paralomis granulosa,,Lithodidae,,,,,,I
PAI,23020123XX,,Paralomis spp,,Lithodidae,,Crabs,,,,I
PAZ,1831000202,,Mancopsetta milfordi,,Achiropsettidae,,Finless flounder,,,,F
PBQ,608XXXXXX,,Pterobranchia,,Pterobranchia,,Pterobranchs,,,,V
PCH,1709345202,,Parachaenichthys charcoti,,Bathydraconidae,,Antarctic dragonfishes,,,,F
PCI,5610200302,,Procellaria cinerea,,Procellariidae,,Grey Petrel,,,,B
PCN,5610200306,,Procellaria conspicillata,,Procellariidae,,Spectacled Petrel,,,,B
PCW,5610200305,,Procellaria westlandica,,Procellariidae,,Westland Petrel,,,,B
PDG,1750500801,,Paradiplospinus gracilis,,Gempylidae,,Splendor escolor,,,,F
PDM,5610200401,,Pterodroma macroptera,,Procellariidae,,Great-winged Petrel,,,,B
PEN,22801001XX,45,Penaeus spp,,Penaeidae,,Penaeus shrimps nei,Crevettes Penaeus nca,,Langostinos Penaeus nep,I
PEV,1709300601,,Prionodraco evansii,,Bathydraconidae,,Dragonfish spp.,,,,F
PEY,13103XXXXX,,Scopelarchidae,,Scopelarchidae,,"Pearleyes, etc.",,,,F
PFC,5610200101,,Puffinus carneipes,,Procellariidae,,Flesh-footed Shearwater,,,,B
PFG,5610200104,,Puffinus griseus,,Procellariidae,,Sooty Shearwater,,,,B
PFR,612XXXXXXX,,Porifera,,Porifera,,Sponges,,?????,,I
PFT,5610200105,,Puffinus tenuirostris,,Procellariidae,,Short-tailed Shearwater,,,,B
PGE,1709245201,33,Parachaenichthys georgianus,145,Bathydraconidae,72,Bathydraconidae,,???????????????? ??????????,,F
PGM,1709700102,,Pogonophryne marmorata,,Artedidraconidae,,Marbled plunderfish,,,,F
PGR,1702304706,33,Pogonophryne permitini,,Harpagiferidae,,Plunderfish,,????????? ?????????,,F
PHB,1711506801,,Pachycara brachycephalum,,Zoracidae,,Eelpout,,,,F
PHE,5610100102,,Phoebetria palpebrata,,Diomedeidae,,Light-mantled Sooty Albatross,,,,B
PHU,5610100101,,Phoebetria fusca,,Diomedeidae,,Sooty albatross,,,,B
PIA,1210501305,,Sardinops ocellatus,,Clupeidae,,Southern African pilchard,Pilchard de l'Afrique australe,,Sardina de Africa austral,F
PIV,1782001306,,Paraliparis terraenovae,,Cyclopteridae,,,,,,F
PIW,4220400402,,Globicephala melas,,Globicephalidae,,Long-finned pilot whale,Globicéphale commun,,Calderón común,M
PLF,17097XXXXX,,Artedidraconidae,,Artedidraconidae,,Barbeled plunderfishes nei,Pillard barbus nca,,Pilladores barbudos,F
PLG,1782001304,,Paraliparis gracilis,,Cyclopteridae,,Flatfish,,,,F
PMA,1709401001,,Pagetopsis macropterus,,Channichthyidae,,Icefish spp.,,,,F
PMC,1611300201,,Poromitra crassiceps,,Melamphaidae,,Crested bigscale,,,,F
POA,1702700301,,Brama brama,,Bramidae,,Atlantic pomfret,Grande castagnole,??? ?????????????,Japuta,F
POC,1480401901,,Boreogadus saida,,Gadidae,,Polar cod,Morue polaire,,Bacalao polar,F
POG,17097001XX,,Pogonophryne spp,,Artedidraconidae,,plunderfish,,,,F
POR,1060800301,,Lamna nasus,,Lamnidae,,Porbeagle Shark,Requin-taupe commun,????????????? ????????? ?????,arrajo sardinero,F
POS,1480403302,32,Micromesistius australis,,Gadidae,,Southern blue whiting,,,,F
PPN,1782001301,,Paraliparis antarcticus,,Cyclopteridae,,Baltic Prawn,,,,I
PRD,32109001XX,,Pareledone spp,,Octopodidae,,Antarctic octopus,,?????????????? ???????,,F
PRE,1320803604,,Protomyctophum tenisoni,,Myctophidae,,,,,,F
PRG,17039034XX,,Calamus spp,,Sparidae,,Porgies,Spare dore,??????,,F
PRK,5610200304,,Procellaria parkinsoni,,Procellariidae,,Parkinson's Petrel,,,,B
PRM,1320803602,,Protomyctophum bolini,,Myctophidae,,lanternfish,,,,F
PRO,5610200301,,Procellaria aequinoctialis,,Procellariidae,,White chinned petrel,,,,B
PRT,7872000208,,Porphyra tenera,,Bangiaceae,,Laver (Nori),Algue nori,,Lechuga nori,F
PRX,56102XXXXX,,Procellariidae,,Procellariidae,,Petrels and shearwaters,,,,B
PRY,1320803603,,Protomyctophum choriodon,,Myctophidae,,Lanternfish,,,,F
PSG,3212500101,,Psychroteuthis glacialis,,Psychroteuthidae,,Glacial squid,,,,I
PSR,1709300701,,Psilodraco breviceps,,Bathydraconidae,,Dragonfish spp.,,,,F
PTC,1709244803,,Trematomus pennellii,,Nototheniidae,,Sharp-spined rockcod,,,,F
PTZ,56102003XX,,Procellaria spp,,Procellariidae,,Petrels and Shearwaters,,,,B
PUC,5610200102,,Puffinus creatopus,,Procellariidae,,Pink-footed Shearwater,,,,B
PUG,5610200103,,Puffinus gravis,,Procellariidae,,Great Shearwater,,,,B
PVB,5610200402,,Pterodroma brevirostris,,Procellariidae,,Kerguelen petrel,,,,B
PVF,56501XXXXX,,Spheniscidae,,Spheniscidae,,Penguins nei,Manchots nca,,Pingüinos nep,B
PVH,5610200407,,Pterodroma inexpectata,,Procellariidae,,Mottled petrel,Pétrel maculé,,Petrel moteado,B
PVM,1782001309,,Paraliparis meganchus,,Cyclopteridae,,,,,,F
PVP,13208036XX,,Protomyctophum spp,,Myctophidae,,,,,,F
PVZ,17820013XX,,Paraliparis spp,,Cyclopteridae,,,,,,F
PWD,5610201001,,Pachyptila desolata,,Procellariidae,,Antarctic prion,,,,B
PWH,17093452XX,,Parachaenichthys spp,,Bathydraconidae,,,,,,F
PWJ,655XXXXXXX,,Pycnogonida,,Pycnogonida,,Sea spiders,,,,I
PWL,5610200403,,Pterodroma lessonii,,Procellariidae,,White-headed petrel,,,,B
PWP,5610201101,,Pagodroma nivea,,Procellariidae,,Snow petrel,,,petrel de nieve,B
PWR,17115068XX,,Pachycara spp,,Zoarcidae,,,,,,F
PWW,56102011XX,,Pagodroma spp,,Procellariidae,,Snow petrels nei,Pétrels des neiges nca,,Petreles blancos nep,B
PWX,56102010XX,,Pachyptila spp,,Procellariidae,,Prions nei,Prions nei,,Prions nei,B
PWZ,5610201102,,Pagodroma confusa,,Procellariidae,,Greater snow petrel,Grand pétrel des neiges,,Gran petrel blanco,B
PXD,1782001308,,Paraliparis tetrapteryx,,Cyclopteridae,,,,,,F
PYD,5650100101,,Pygoscelis adeliae,,Spheniscidae,,Adelie penguin,,,,B
PYN,5650100102,,Pygoscelis antarctica,,Spheniscidae,,Chinstrap penguin,,,,B
PYP,5650100103,,Pygoscelis papua,,Spheniscidae,,Gentoo penguin,,,,B
PZJ,1709700106,,Pogonophryne phyllopogon,,Harpagiferidae,,,,,,F
QMC,1480600107,,Macrourus caml,,Macrouridae,,Macrourus caml,,,,F
RAJ,11004XXXXX,38,Raja spp,44,Rajidae,,Rays and skates nei,,???????? ?????,,F
RFA,1100400118,,Raja taaf,,Rajidae,,,,,,F
RGG,1709353001,,Racovitzia glacialis,,Bathydraconidae,,Dragonfish spp.,,,,F
RHG,1480600103,,Macrourus berglax,,Macrouridae,,Roughhead grenadier,Grenadier berglax,,Grenadero berglax,F
RNG,1480600401,,Coryphaenoides rupestris,,Macrouridae,,Roundnose grenadier,Grenadier de roche,????????? ????????,Granadero de roca,F
RPG,1703919103,,Sparus pagrus,,Sparidae,,Common seabream,Pagre commun,,Pargo,F
RSW,4220402602,,Lissodelphis peronii,,Delphinidae,,Southern right whale dolphin,Dauphin aptère austral,,Delfín liso austral,M
RTX,14806XXXXX,,Macrouridae,,Macrouridae,,"Grenadiers, rattails nei",,,,F
SAO,1480204001,,Salilota australis,,Moridae,,,,,,F
SAP,1470200701,,Cololabis saira,,Scomberesocidae,,Pacific saury,Balaou du Japon,,Paparda del Pacífico,F
SBB,1250300901,,Stomias boa boa,,Stomiidae,,dragonfish,,,,F
SCO,17801XXXXX,33,Scorpaenidae,78,Scorpaenidae,55,Scorpionfishes,Rascasses,???????????,"Rascacios, gallinetas",F
SCX,31608XXXXX,,Pectinidae,,Pectinidae,,Scallops nei,Peignes nca,,Peines nep,V
SDP,1080400712,,Mustelus schmitti,,Triakidae,,Narrownose smooth-hound,Emissole gatuso,,Gatuso,F
SEA,4060100606,,Arctocephalus gazella,,Phocidae,,Antarctic fur seal,,,,M
SEL,4060101601,,Otaria byronia,,Phocidae,,South American sea lion,Leopard de mer,,Foca leopardo,M
SES,4060300202,,Mirounga leonina,,Phocidae,,Southern elephant seal,,,,M
SET,4060301501,,Lobodon carcinophagus,,Phocidae,,Crabeater seal,,,,M
SGI,1709441801,33,Pseudochaenichthys georgianus,130,Channichthyidae,70,South Georgia icefish,Crocodile de Georgie,?????? ??????????,Draco cocodrilo,F
SHL,10901010XX,,Etmopterus spp,,Squalidae,,Lantern Shark spp,,,,F
SHW,4220400403,,Globicephala macrorhynchus,,Globicephalidae,,Short-finned pilot whale,Globicéphale tropical,,Calderón de aletas cortas,M
SIW,4230200103,,Balaenoptera borealis,,Balaenopteridae,,Sei whale,Rorqual de Rudolphi,,Rorcual del norte,M
SIX,12105012XX,,Sardinella spp,,Clupeidae,,Herrings,,,,F
SKX,199XXXXXXX054,38,Elasmobranchii,,Elasmobranchii,,"Sharks, skates and rays",,????????,,F
SKZ,,,Stercorariidae,,Stercorariidae,,Skuas,,,,B
SLH,1311300301,,Scopelosaurus hamiltoni,,Notosudidae,,Grinner,,,,F
SLP,4060300401,,Hydrurga leptonyx,,Phocidae,,Leopard seal,Leopard de mer,,Foca leopardo,M
SLW,4060300601,,Leptonychotes weddellii,,Phocidae,,Weddell seal,Phoque de Weddell,,Foca de Weddell,M
SNK,1750500101,,Thyrsites atun,,Gempylidae,,Snoek (snake mackerel),Escolier,,Sierra,F
SON,1090100203,,Somniosus pacificus,,Squalidae,,Pacific Sleeper Shark,Laimargue dormeur,????????????? ???????? ?????,Tollo negro dormilon,F
SPP,4220500101,,Australophocaena dioptrica,,Phocoenidae,,Spectacled porpoise,Marsouin de Lahille,,Marsopa de anteojos,M
SPW,4220300101,,Physeter catodon,,Physeteridae,,Sperm whale,Cachalot,,Cashalote,M
SPX,69701XXXXX,,Salpidae,,Salpidae,,Salps,,??????,,I
SQA,3210501003,57,Illex argentinus,,Ommastrephidae,30,Argentine shortfin squid,Encornet rouge argentin,???????????? ???????????? ???????,Pota argentina,I
SQC,32104001XX,57,Loligo spp,,Loliginidae,,Common squids,Encornets,,Calamares,I
SQQ,32199XXXXX,57,Teuthoidea,,Teuthoidea,,Squids,,,,I
SQS,3210506001,57,Martialia hyadesi,30,Ommastrephidae,30,Sevenstar flying squid,Encornet etoile,??????? ?????????,Pota festoneada,I
SQU,399XXXXXXX036,57,"Loliginidae, Ommastrephidae",,Ommastrephidae,,Flying squids,,,,I
SQX,32105010XX,57,"Ommastrephes, Illex",,Ommastrephidae,,"Shortfin, flying squids nei",,,,I
SR2,1100400132,,Raja georgiana var.,,Rajidae,40,Raja georgiana variant,Raja georgiana,,Raja georgiana,F
SRR,1100400132,,Raja georgiana,40,Rajidae,40,,Raja georgiana,???????????????? ????,Raja georgiana,F
SRS,4060300301,,Ommatophoca rossii,,Phocidae,,Ross seal,Phoque de Ross,,Foca de Ross,M
SRW,4220200502,,Hyperoodon planifrons,,Ziphiidae,,Southern bottlenose whale,Dauphin-a-bec austral,,Gran calderon austral,M
SRX,110XXXXXXX,38,Rajiformes,44,Rajidae,40,Skates and rays,Raies,?????????????,Rayas,F
SSI,1709441601,33,Chaenocephalus aceratus,80,Channichthyidae,70,Blackfin icefish,Grande-gueule antarctique,???????????? ??????????,Draco antartico,F
SSX,696XXXXXXX,,Ascidiacea,,Ascidiacea,,Sea squirts nei,Ascidiens nca,,Ascidias nep,I
STF,691XXXXXXX,,Asteroidea,,Asteroidea,,Starfishes nei,,??????? ??????,,I
SUY,3210400201,,Stauroteuthis syrtensis,,Teuthoidea,,Squid,,,,I
SVI,5630100201,,Sterna vittata,,Sternidae,,Antarctic Tern,aterne subantarctique,,Gaviotin antarctico,B
SWS,5670100101,,Chionis alba,,Chionididae,,Snowy sheathbill,,,,B
SWX,799XXXXXXX005,,Algae,,Algae,,Algae,,,,
SXX,XXXXXXXXXX64,63,"Otariidae, Phocidae",,Otariidae,,Seals,,,,M
SZS,64918XXXXX,,Serpulidae,,Serpulidae,,Serpulid tube worms,,,,V
SZT,1709700107,,Pogonophryne scotti,,Harpagiferidae,,,,,,F
TAA,5610200501,,Thalassoica antarctica,,Procellariidae,,Antarctic petrel,,,,B
TEZ,1750500802,,Paradiplospinus antarcticus,,Gempylidae,,Antarctic escolar,Escolier antarctique,,Escolar antártico,F
TIC,1709446602,33,Chionodraco hamatus,122,Channichthyidae,70,,,,,F
TLO,1709244805,,Trematomus loennbergii,,Nototheniidae,,Scaly rockcod,,,,F
TMH,1709244802,,Trematomus bernacchii,,Nototheniidae,,Emerald rockcod,Bocasson emeraud,,Austrobacalao esmeralda,F
TMW,1709244810,33,Trematomus vicarius,,Nototheniidae,,Orange notothen,,,,F
TOA,1709201501,33,Dissostichus mawsoni,160,Nototheniidae,80,Antarctic toothfish,Legine antarctique,?????????????? ??????,Austromerluza antartica,F
TOP,1709201502,33,Dissostichus eleginoides,150,Nototheniidae,80,Patagonian toothfish,Legine australe,??????????? ??????,Austromerluza negra,F
TOT,17092015XX,33,Dissostichus spp,,Nototheniidae,,Toothfish spp,,,,F
TQB,2294200901,43,Thymops birsteini,,Nephropidae,,Southern lobsterette,Langoustine du Sud,,Cigala del Sur,I
TQW,5610201502,,Thalassarche impavida,,Procellariidae,,Campbell albatross,Albatros de l'île Campbell,,Albatros de la isla Campbell,B
TRD,1709244804,,Trematomus lepidorhinus,,Nototheniidae,,Slender scalyhead,,,,F
TRH,1709252901,33,Trematomus hansoni,238,Nototheniidae,80,Striped rockcod,Bocasson rayÚ,????????-?????????,Austrobacalao rayado,F
TRL,1709244801,,Trematomus eulepidotus,260,Nototheniidae,80,Antarctic rockcod,,,,F
TRM,1709244808,,Trematomus scotti,,Nototheniidae,,Rockcod,,,,F
TRN,1709244807,,Trematomus nicolai,,Nototheniidae,,rockcod,,,,F
TRT,17092448XX,33,Trematomus spp,270,Nototheniidae,80,Trematomus spp,Trematomus non specifies,?????????,Trematomus no especificados,F
TRW,1709244806,,Trematomus newnesi,,Nototheniidae,,Dusky rockcod,,,,F
TSQ,3210505901,57,Nototodarus sloani,,Ommastrephidae,,Wellington flying squid,,,,I
TTK,1709244809,,Trematomus tokarevi,,Nototheniidae,,rockcod,,,,F
TWP,3210906301,,Adelieledone polymorpha,,Octopodidae,,Antarctic knobbed octopus,Elédone noueux,,Pulpo nodoso,I
TWT,3210900102,,Pareledone turqueti,,Octopodidae,,Turquet's octopus,Elédone de Turquet,,Pulpo de Turquet,I
UHK,3210603302,57,Moroteuthis knipovitchi,,Onychoteuthidae,,Smooth hooked squid,Cornet lisse,,Lurión liso,I
UHX,3210603306,,Moroteuthis spp,,Onychoteuthidae,,Hooked Squid,,,,I
UMA,1831000301,,Pseudomancopsetta andriashevi,,Achiropsettidae,,,,,,F
UNK,,,Unknown,,Unknown,,Unknown species,,??????????? ???,,F
URX,693XXXXXXX,,Echinoidea,,Echinoidea,,"Sea urchins, etc. nei","Oursins, etc. nca",,"Erizos, etc. nep",V
VOI,1709301001,,Vomeridens infuscipinnis,,Bathydraconidae,,,,,,F
VSH,13113003XX,,Scopelosaurus spp,,Notosudidae,,,,,,F
WG2,1480600104,32,Macrourus sp. A,70,Macrouridae,,,,???????? ???????,,F
WGR,1480600104,32,Macrourus whitsoni,70,Macrouridae,,,,???????? ???????,,F
WHB,1480403301,32,Micromesistius poutassou,,Gadidae,,Blue whiting,,,,F
WIC,1709448001,33,Chaenodraco wilsoni,90,Channichthyidae,70,Spiny icefish,Grande-gueule epineuse,?????????? ????????,Draco espinudo,F
WKS,1703701617,,Cynoscion striatus,,Sciaenidae,,Striped weakfish,,,Pescadilla,F
WKX,17037016XX,,Cynoscion spp,,Sciaenidae,,Weakfish,,,,F
WLE,,,Whales unidentified,,Whales unidentified,,Whales unidentified,Whales unidentified,,Whales unidentified,M
WOR,649XXXXXXX,,Polychaeta,,Polychaeta,,Sea worms,Vers marins,,Poliquetos,I
XEF,603XXXXXX,,Xenophyophora,,Xenophyophora,,Xenophyophores,,,,V
YDB,17094002XX,,Cryodraco spp,,Channichthyidae,,,,,,F
YOQ,1709200201,,Cryothenia peninsulae,,Nototheniidae,,Pithead,,,,F
ZGL,1782001601,,Genioliparis lindbergi,,Cyclopteridae,,Cyclopteridae,,,,F
ZLS,17820XXXXX,,Cyclopteridae,,Cyclopteridae,,Lumpfishes and snailfishes,,,,F
ZOT,619XXXXXXX005,,Zoanthidea,,Anthozoa,,Zoanthids,,,,V
ZSP,1781103001,,Zanclorhynchus spinifer,,Congiopodidae,,Spiny horsefish,,??????? ????????-??????????,,F
