SpeciesCode,ScientificName,ScientificFamilyName,EnglishName,Class,FIS target,Tax_Lev
BAE,Balaenopteridae,Balaenopteridae,Balaenoptid whales nei,M,n,4
BAW,Berardius arnuxii,Ziphiidae,Arnoux's beaked whale,M,n,6
BCW,Ziphius cavirostris,Ziphiidae,Cuvier's beaked whale,M,n,6
BLW,Balaenoptera musculus,Balaenopteridae,Blue whale,M,n,6
CMD,Cephalorhynchus commersonii,Delphinidae,Commerson's dolphin,M,n,6
DDU,Lagenorhynchus obscurus,Delphinidae,Dusky dolphin,M,n,6
DRR,Grampus griseus,Delphinidae,Risso's dolphin,M,n,6
EUA,Eubalaena australis,Balaenidae,Southern right whale,M,n,6
FIW,Balaenoptera physalus,Balaenopteridae,Fin whale,M,n,6
FRA,Pontoporia blainvillei,Platanistidae,La Plata dolphin,M,n,6
GLO,Globicephala spp,Globicephalidae,Pilot whales nei,M,n,5
GRW,Eschrichtius robustus,Eschrichtiidae,Gray whale,M,n,6
HRD,Lagenorhynchus cruciger,Delphinidae,Hourglass dolphin,M,n,6
HUW,Megaptera novaeangliae,Balaenopteridae,Humpback whale,M,n,6
KIW,Orcinus orca,Delphinidae,Killer whale,M,n,6
MAM,Mammalia,Mammalia,Aquatic mammals nei,M,n,2
MIW,Balaenoptera acutorostrata,Balaenopteridae,Minke whale,M,n,6
MYS,Mysticeti,Mysticeti,Baleen whales nei,M,n,4
PIW,Globicephala melas,Globicephalidae,Long-finned pilot whale,M,n,6
RSW,Lissodelphis peronii,Delphinidae,Southern right whale dolphin,M,n,6
SEA,Arctocephalus gazella,Phocidae,Antarctic fur seal,M,n,6
SEL,Otaria byronia,Phocidae,South American sea lion,M,n,6
SES,Mirounga leonina,Phocidae,Southern elephant seal,M,n,6
SET,Lobodon carcinophagus,Phocidae,Crabeater seal,M,n,6
SHW,Globicephala macrorhynchus,Globicephalidae,Short-finned pilot whale,M,n,6
SIW,Balaenoptera borealis,Balaenopteridae,Sei whale,M,n,6
SLP,Hydrurga leptonyx,Phocidae,Leopard seal,M,n,6
SLW,Leptonychotes weddellii,Phocidae,Weddell seal,M,n,6
SPP,Australophocaena dioptrica,Phocoenidae,Spectacled porpoise,M,n,6
SPW,Physeter catodon,Physeteridae,Sperm whale,M,n,6
SRS,Ommatophoca rossii,Phocidae,Ross seal,M,n,6
SRW,Hyperoodon planifrons,Ziphiidae,Southern bottlenose whale,M,n,6
SXX,"Otariidae, Phocidae",Otariidae,Seals,M,n,3
WLE,Whales unidentified,Cetacea nei,Whales unidentified,M,n,3
APL,Plantae aquaticae,Plantae aquaticae,Aquatic plants nei,P,n,1
SWX,Algae,Algae,Algae,P,n,1
AJH,Anthozoa,Anthozoa,Anthozoa,O,n,2
AJZ,Alcyonacea,Alcyonacea,Alcyonacea soft corals,O,n,3
AQZ,Antipatharia,Anthozoa,Black corals and thorny corals,O,n,3
ATX,Actiniaria,Anthozoa,Sea anemones,O,n,3
AXT,Stylasteridae,Stylasteridae,Hydrocorals,O,n,4
AZN,Anthoathecatae,Anthoathecatae,"Hydroids, hydromedusae",O,n,3
BVH,Brachiopoda,Brachiopoda,"Brachiopods, lamp shells",O,n,1
BWY,Bathylasmatidae,Bathylasmatidae,Barnacle,O,n,4
BZN,Bryozoa,Bryozoa,Bryozoans,O,n,1
CNI,Cnidaria,Cnidaria,Cnidarians nei,O,n,1
CSS,Scleractinia,Anthozoa,"Hard corals, stony corals",O,n,3
CVD,Cidaroida,Cidaroida,Pencil urchins,O,n,3
CWD,Crinoidea,Crinoidea,Feather stars and sea lilies,O,n,2
CXV,Chemosynthetic,Chemosynthetic,Chemosynthetic communities,O,n,1
CZR,Chordata,Chordata,Chordata,O,n,1
DMK,Adamussium colbecki,Pectinidae,Antarctic scalop,C,n,6
DMO,Demospongiae,Demospongiae,Siliceous sponges,O,n,2
ECH,Echinodermata,Echinodermata,"Echinoderms (starfish,urchins etc.)",O,n,1
HQZ,Hydrozoa,Hydroida,Hydrozoans,O,n,2
HXY,Hexactinellida,Hexactinellida,Glass sponge,O,n,2
MOL,Mollusca,Mollusca,Marine Molluscs,C,n,1
NHE,Annelida,Annelida,Annelid worms,O,n,1
NTW,Pennatulacea,Pennatulacea,Pennatulacea sea pens,O,n,3
OEQ,Euryalida,Euryalida,Basket stars,O,n,4
OOY,Ophiurida,Ophiurida,Basket and snake stars,O,n,3
PBQ,Pterobranchia,Pterobranchia,Pterobranchs,O,n,2
SCX,Pectinidae,Pectinidae,Scallops nei,C,n,4
SZS,Serpulidae,Serpulidae,Serpulid tube worms,O,n,4
URX,Echinoidea,Echinoidea,"Sea urchins, etc. nei",O,n,2
XEF,Xenophyophora,Xenophyophora,Xenophyophores,O,n,2
ZOT,Zoanthidea,Anthozoa,Zoanthids,O,n,3
