"Taxonid","EEZID","stocklong","notes","FAOAreaID","id"
600142,548,"Albacore tuna South Pacific Ocean","",71,"548_600142"
600142,548,"Albacore tuna South Pacific Ocean","",81,"548_600142"
600142,612,"Albacore tuna South Pacific Ocean","",77,"612_600142"
600142,612,"Albacore tuna South Pacific Ocean","",81,"612_600142"
600142,776,"Albacore tuna South Pacific Ocean","",71,"776_600142"
600142,776,"Albacore tuna South Pacific Ocean","",77,"776_600142"
600142,776,"Albacore tuna South Pacific Ocean","",81,"776_600142"
600142,930,"Albacore tuna South Pacific Ocean","",77,"930_600142"
600142,930,"Albacore tuna South Pacific Ocean","",87,"930_600142"
600143,24,"Yellowfin tuna Atlantic","",34,"24_600143"
600143,24,"Yellowfin tuna Atlantic","",47,"24_600143"
600143,60,"Yellowfin tuna Atlantic","",21,"60_600143"
600143,60,"Yellowfin tuna Atlantic","",31,"60_600143"
600143,76,"Yellowfin tuna Atlantic","",31,"76_600143"
600143,76,"Yellowfin tuna Atlantic","",41,"76_600143"
600143,178,"Yellowfin tuna Atlantic","",34,"178_600143"
600143,178,"Yellowfin tuna Atlantic","",47,"178_600143"
600143,180,"Yellowfin tuna Atlantic","",34,"180_600143"
600143,180,"Yellowfin tuna Atlantic","",47,"180_600143"
600143,254,"Yellowfin tuna Atlantic","",31,"254_600143"
600143,254,"Yellowfin tuna Atlantic","",41,"254_600143"
600143,266,"Yellowfin tuna Atlantic","",34,"266_600143"
600143,266,"Yellowfin tuna Atlantic","",47,"266_600143"
600143,620,"Yellowfin tuna Atlantic","",27,"620_600143"
600143,620,"Yellowfin tuna Atlantic","",34,"620_600143"
600143,621,"Yellowfin tuna Atlantic","",27,"621_600143"
600143,621,"Yellowfin tuna Atlantic","",34,"621_600143"
600143,622,"Yellowfin tuna Atlantic","",27,"622_600143"
600143,622,"Yellowfin tuna Atlantic","",34,"622_600143"
600143,851,"Yellowfin tuna Atlantic","",21,"851_600143"
600143,851,"Yellowfin tuna Atlantic","",31,"851_600143"
600143,855,"Yellowfin tuna Atlantic","",34,"855_600143"
600143,855,"Yellowfin tuna Atlantic","",47,"855_600143"
600143,962,"Yellowfin tuna Atlantic","",27,"962_600143"
600143,962,"Yellowfin tuna Atlantic","",34,"962_600143"
600143,970,"Yellowfin tuna Atlantic","",34,"970_600143"
600143,970,"Yellowfin tuna Atlantic","",41,"970_600143"
600143,36,"Yellowfin tuna Central Western Pacific","",57,"36_600143"
600143,36,"Yellowfin tuna Central Western Pacific","",71,"36_600143"
600143,36,"Yellowfin tuna Central Western Pacific","",81,"36_600143"
600143,156,"Yellowfin tuna Central Western Pacific","",61,"156_600143"
600143,156,"Yellowfin tuna Central Western Pacific","",71,"156_600143"
600143,157,"Yellowfin tuna Central Western Pacific","",61,"157_600143"
600143,157,"Yellowfin tuna Central Western Pacific","",71,"157_600143"
600143,184,"Yellowfin tuna Central Western Pacific","",77,"184_600143"
600143,184,"Yellowfin tuna Central Western Pacific","",81,"184_600143"
600143,242,"Yellowfin tuna Central Western Pacific","",71,"242_600143"
600143,242,"Yellowfin tuna Central Western Pacific","",81,"242_600143"
600143,393,"Yellowfin tuna Central Western Pacific","",61,"393_600143"
600143,393,"Yellowfin tuna Central Western Pacific","",71,"393_600143"
600143,488,"Yellowfin tuna Central Western Pacific","",61,"488_600143"
600143,488,"Yellowfin tuna Central Western Pacific","",77,"488_600143"
600143,540,"Yellowfin tuna Central Western Pacific","",71,"540_600143"
600143,540,"Yellowfin tuna Central Western Pacific","",81,"540_600143"
600143,548,"Yellowfin tuna Central Western Pacific","",71,"548_600143"
600143,548,"Yellowfin tuna Central Western Pacific","",81,"548_600143"
600143,580,"Yellowfin tuna Central Western Pacific","",61,"580_600143"
600143,580,"Yellowfin tuna Central Western Pacific","",71,"580_600143"
600143,608,"Yellowfin tuna Central Western Pacific","",61,"608_600143"
600143,608,"Yellowfin tuna Central Western Pacific","",71,"608_600143"
600143,626,"Yellowfin tuna Central Western Pacific","",57,"626_600143"
600143,626,"Yellowfin tuna Central Western Pacific","",71,"626_600143"
600143,704,"Yellowfin tuna Central Western Pacific","",61,"704_600143"
