iucn_sid,presence,origin,distribution_code,rgn_id,rgn_name,comname,sciname,ico_gl,ico_rgn_id,subpop,cat_code
19488,Extant,Native,Native,199,Democratic Republic of the Congo,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,100,Republique du Congo,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,195,Ivory Coast,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,153,Cook Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,224,Chile,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,197,Cameroon,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,209,China,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,132,Colombia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,130,Costa Rica,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,112,Cuba,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,56,Cape Verde,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,244,Curacao,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,46,Djibouti,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,123,Dominica,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,137,Ecuador,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,214,Egypt,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,63,Western Sahara,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,45,Eritrea,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,18,Fiji,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,9,Micronesia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,198,Gabon,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,125,Grenada,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,169,French Guiana,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,106,Ghana,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,65,Gambia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,194,Guinea,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,140,Guadeloupe and Martinique,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,104,Equatorial Guinea,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,136,Guatemala,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,193,Guinea Bissau,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,167,Guyana,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,133,Honduras,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,114,Haiti,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,216,Indonesia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,79,Israel,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,203,India,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,192,Iraq,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,191,Iran,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,166,Jamaica,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,215,Jordan,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,210,Japan,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,43,Kenya,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,24,Cambodia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,212,Kiribati,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,119,Saint Kitts and Nevis,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,113,Cayman Islands,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,122,Saint Lucia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,97,Liberia,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,62,Morocco,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
19488,Extant,Native,Native,221,Northern Saint-Martin,Whale Shark,Rhincodon typus,TRUE,NA,NA,EN
