Number of people engaged in,,,Year,,,,,,,
Country,Working domain,Status,2005,2006,2007,2008,2009,2010,2011,2012
,Marine Waters Fishing,Status Unspecified,"95,024","88,006","82,958","156,844","146,135","77,246","73,918","130,393"
,Unspecified,Status Unspecified,"150,880","139,352","135,174","127,812",,,,
Kyrgyzstan,Aquaculture,Full time,,,120,136,,,,
,,Occasional,,,123,123,,,,
,Marine Waters Fishing,Full time,,,83,69,,,,
Latvia,Aquaculture,Full time,258,132,160,155,135,141,135,157
,,Part time,78,77,120,143,125,129,138,121
,,Occasional,,83,22,28,49,63,68,76
,Inland Waters Fishing,Full time,54,32,6,12,9,7,9,13
,,Part time,90,46,28,37,20,23,16,21
,,Occasional,"1,118",437,41,40,52,35,48,61
,Marine Waters Fishing,Full time,"1,495","1,061",313,223,200,202,152,193
,,Part time,571,483,488,540,458,394,314,274
,,Occasional,427,371,64,77,81,69,128,83
Lebanon,Aquaculture,Full time,100,100,,,,,,
,Inland Waters Fishing,Full time,25,25,,,,,,
,,Part time,200,200,,,,,,
,,Occasional,500,500,,,,,,
,Marine Waters Fishing,Full time,"2,000","2,000",,,,,,
,,Part time,"2,000","2,000",,,,,,
,,Occasional,"5,000","5,000",,,,,,
Lesotho,Aquaculture,Full time,,10,10,10,10,10,10,
,,Part time,,,,,,12,17,
,,Occasional,40,30,85,85,95,100,100,
,Inland Waters Fishing,Full time,30,30,70,70,70,77,77,
,,Part time,,,,,,17,17,
,,Occasional,100,100,115,115,120,142,142,
Liberia,Aquaculture,Full time,171,171,185,185,,,,
,,Part time,124,124,129,129,,,,
,,Occasional,58,58,58,58,,,,
,Inland Waters Fishing,Full time,580,580,"1,230","1,230",,,,
,,Part time,145,145,290,290,,,,
,,Occasional,78,78,490,490,,,,
,Marine Waters Fishing,Full time,"3,605","3,605","7,230","7,230",,,,
,,Part time,"1,340","1,340","1,774","1,774",,,,
,,Occasional,340,340,"3,005","3,005",,,,
Lithuania,Aquaculture,Full time,,440,315,340,341,329,325,
,,Part time,,,41,,,8,10,
,,Occasional,,,,,,6,6,
,,Status Unspecified,333,,,,,,,
,Inland Waters Fishing,Status Unspecified,300,300,,,,,,
,Marine Waters Fishing,Full time,405,468,357,,"1,035",680,526,
,,Part time,36,28,,,20,13,,
,,Occasional,97,117,112,,,32,48,
,,Status Unspecified,"1,750","1,500","1,157",,,,,
"Macedonia, Fmr Yug Rp of",Inland Waters Fishing,Full time,80,,281,319,335,335,330,335
,,Part time,74,,23,6,10,10,15,31
,,Occasional,"7,587",,"6,334","6,415","6,420","6,390","6,220","7,121"
Madagascar,Aquaculture,Full time,"3,600","3,700","3,800","3,800","3,800","3,800","3,800","3,800"
,,Part time,"35,000","37,500","40,000","40,000","40,000","40,000","40,000","40,000"
,Inland Waters Fishing,Full time,"17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800"
,,Occasional,"60,000","60,000","21,000","21,000","21,000","21,000","21,000","21,000"
,Marine Waters Fishing,Full time,"61,205","61,205","61,910","61,705","61,505","60,550","60,550","60,550"
,,Occasional,,,"90,000","90,000","90,000","90,000","90,000","90,000"
,Unspecified,Occasional,"21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000"
Malawi,Aquaculture,Status Unspecified,,,"1,800","2,800","4,150","6,000","6,010","8,000"
,Inland Waters Fishing,Full time,"55,296","55,296","55,296","55,296","59,526","59,873","61,000","58,525"
Malaysia,Aquaculture,Full time,,"20,100","21,287","30,634","23,986","26,291","28,599","29,494"
,Marine Waters Fishing,Full time,,"97,947","99,617","109,771","125,632","129,622","134,110","136,514"
Maldives,Marine Waters Fishing,Full time,"14,395","14,059","14,241","14,066","14,423","11,644","10,971","10,264"
Mali,Aquaculture,Part time,,,370,959,"1,300","2,019","2,019","1,724"
,Inland Waters Fishing,Full time,,,,,,,,"144,829"
Malta,Aquaculture,Full time,85,119,175,188,158,148,136,134
,,Part time,86,92,77,65,84,57,73,71
,Marine Waters Fishing,Full time,369,357,342,356,333,333,357,376
,,Part time,915,912,622,661,643,683,679,734
Martinique,Marine Waters Fishing,Full time,868,845,819,766,719,745,712,716
,,Part time,193,189,138,172,214,171,177,163
,,Occasional,100,166,96,106,109,146,167,149
Mauritania,Unspecified,Status Unspecified,"36,000",,,,,,,
Mauritius,Aquaculture,Full time,65,57,80,100,92,92,118,118
,,Part time,,,,,,,27,27
,,Occasional,,,,,,,53,53
,Inland Waters Fishing,Full time,,10,15,20,15,5,,
,,Part time,45,45,45,45,45,40,,
,Marine Waters Fishing,Full time,"2,843","2,560","2,578","2,505","2,504","2,500","2,269","2,571"
,,Occasional,"22,080","22,080","22,080","22,000","22,000","23,000","23,000","23,000"
,,Status Unspecified,"1,596","1,971","2,771","1,891","2,200","2,200","2,200","2,200"
Mayotte,Aquaculture,Full time,25,,,,,,,
,Marine Waters Fishing,Status Unspecified,"4,817",,,,,,,
Mexico,Aquaculture,Status Unspecified,"23,522","24,999","30,418","30,335","30,690","30,753","48,687","56,133"
,Inland Waters Fishing,Status Unspecified,"59,372","59,322","59,412","58,921","58,979","58,671","63,639","59,747"
,Marine Waters Fishing,Status Unspecified,"196,155","195,106","193,826","184,532","183,668","182,184","159,105","150,500"
Montenegro,Aquaculture,Full time,38,36,,,,,,
,Inland Waters Fishing,Full time,210,437,,,,81,44,45
,,Part time,200,6,,,,21,6,
,,Occasional,,,,,,21,6,6
,Marine Waters Fishing,Full time,88,91,,,,46,103,90
,,Part time,70,68,,,,81,179,
,,Occasional,,,112,129,119,81,179,179
Montserrat,Marine Waters Fishing,Full time,,,112,120,128,128,,
,,Part time,,,76,82,92,92,,
,,Occasional,,,60,70,82,86,,
Morocco,Aquaculture,Full time,,,,,,,120,63
,,Part time,,,,,,,,20
,,Occasional,,,,,,,15,30
,Inland Waters Fishing,Full time,,,,,,,"2,600","3,000"
,Marine Waters Fishing,Full time,"105,701","107,393","108,535","110,879","110,922","107,296","101,883","111,185"
Mozambique,Inland Waters Fishing,Full time,,,,,,"17,314","17,314",
,Marine Waters Fishing,Full time,,,,,,"24,953","24,953",
Myanmar,Aquaculture,Full time,,,,"154,026","122,687","122,974","123,088","124,751"
,,Part time,,,,"44,097","88,117","88,541","88,739","89,694"
,Inland Waters Fishing,Full time,"487,200",,"485,000","489,000","500,395","486,125","486,300","486,700"
,,Part time,"200,000",,"240,000","300,000","305,000","298,000","299,500","300,500"
,,Status Unspecified,"772,800",,"778,000","785,000","795,000","780,000","780,000","794,000"
,Marine Waters Fishing,Full time,"190,400",,"215,300","244,000","250,000","219,430","220,000","223,000"
,,Part time,"250,000",,"251,700","262,000","270,000","250,000","251,000","254,000"
,,Occasional,"893,600",,"912,600","923,800","930,000","915,000","916,000","921,000"
Namibia,Aquaculture,Full time,199,225,152,140,140,145,149,
,,Occasional,,,,,,,120,
,Marine Waters Fishing,Full time,,,,,,"8,001","8,000",
,,Part time,,,,,,"1,735","1,996",
,,Occasional,,,,,,"2,681","2,151",
,,Status Unspecified,"11,000","11,582","11,944","11,432","12,825",888,,
Nauru,Aquaculture,Part time,,,,,,30,,
,Marine Waters Fishing,Full time,,,,,,230,,
,,Part time,,,,,,"4,280",,
Nepal,Aquaculture,Full time,"60,270","64,474","65,697","68,006","67,743","70,083","73,591","80,516"
,,Part time,"21,000","21,000","21,000","21,000","21,000","21,000","21,000","21,000"
,Inland Waters Fishing,Status Unspecified,"424,854","425,026","426,666","462,067","462,067","462,067","462,067","462,067"
Netherlands,Aquaculture,Status Unspecified,85,,,,,,,
,Unspecified,Status Unspecified,,,"2,827","2,827","2,854","2,832","2,837","2,791"
New Caledonia,Aquaculture,Full time,,,,,,197,278,
,,Occasional,,,,,,418,602,
,Marine Waters Fishing,Full time,187,,713,776,815,733,707,
,,Part time,354,,,,,,,
,,Status Unspecified,,544,,,,,,
New Zealand,Aquaculture,Full time,648,790,750,730,710,690,670,
,Inland Waters Fishing,Status Unspecified,79,195,196,186,175,172,170,176
,Marine Waters Fishing,Full time,"1,548","1,467","1,375","1,293","1,243","1,254",,"1,256"
,,Status Unspecified,,,,,,,"1,610",
Nicaragua,Aquaculture,Status Unspecified,"10,735",,,,"8,342","10,607","11,296","10,945"
,Inland Waters Fishing,Status Unspecified,"1,352",,,,"2,237","3,381","3,381","4,200"
,Marine Waters Fishing,Full time,"14,419",,,,,,,
,,Status Unspecified,,,,,"16,926","21,396","28,100","29,944"
Niger,Aquaculture,Full time,,,,13,13,15,18,20
,Inland Waters Fishing,Full time,,,,,,,"15,378","18,000"
,,Part time,,,,,,,,"16,622"
,,Occasional,,,,,,,,"15,378"
Nigeria,Inland Waters Fishing,Full time,"396,609","508,849","523,250","528,482","541,059","511,952","501,018","510,725"
,,Part time,"287,301","368,607","379,039","383,829","392,964","301,330","303,654","314,827"
,,Occasional,"13,641","17,501","17,996","18,175","18,607","18,262","49,439","49,999"
,Unspecified,Full time,"322,278","413,483","425,185","429,436","439,656","411,198","400,871","503,543"
,,Part time,"229,616","294,597","302,934","305,963","313,244","260,978","261,954","281,869"
,,Occasional,"9,595","12,310","12,658","12,784","13,087","15,907","16,176","18,020"
Niue,Marine Waters Fishing,Full time,,,,,,16,12,20
,,Part time,,170,,,,30,28,48
,,Occasional,,,,,,108,68,70
,Subsistence,Full time,,,,,,8,2,5
,,Part time,,,,,,15,10,20
,,Occasional,,,,,,54,34,32
,Unspecified,Full time,,,,,,,15,10
,,Part time,,,,,,,17,15
,,Occasional,,,,,,,2,8
Norway,Aquaculture,Full time,"3,497","3,709","3,773","3,878","3,953","4,132","4,131","4,200"
,,Part time,725,844,"1,005",990,"1,111","1,393","1,744","1,615"
,Marine Waters Fishing,Full time,"11,621","10,852","10,547","10,620","10,465","10,325","10,220","9,825"
,,Part time,"2,933","2,863","2,667","2,918","2,764","2,668","2,548","2,226"
Oman,Marine Waters Fishing,Status Unspecified,"35,811","36,980","37,523","42,266","34,109","37,758","41,569","43,225"
Pakistan,Inland Waters Fishing,Full time,"66,647","69,334","71,290","75,124","76,231","78,489","75,731","76,332"
,,Part time,"56,300","60,145","63,755","65,412","66,231","67,987","70,441","70,680"
,,Occasional,"42,942","48,093","47,870","51,287","52,341","54,361","44,089","44,541"
,Marine Waters Fishing,Full time,"97,396","97,377","98,415","99,246","100,253","104,638","111,101","113,311"
,,Part time,"34,626","36,745","39,315","40,117","43,256","45,742","42,248","43,457"
,,Occasional,"13,353","12,795","10,705","11,975","12,856","15,645","17,900","18,556"
Palau,Aquaculture,Full time,,,,,9,11,11,
,,Part time,,,,,3,,,
,Marine Waters Fishing,Full time,178,178,178,178,178,101,101,
,,Part time,215,282,282,282,282,282,282,
Panama,Aquaculture,Full time,,,,,523,512,819,629
,,Part time,,,,,413,403,,35
,Inland Waters Fishing,Full time,,,,,,"4,800","4,800","4,500"
,Marine Waters Fishing,Full time,"31,046","31,636","33,169","34,557","34,557","39,983","31,476","33,620"
Peru,Aquaculture,Full time,"3,641","3,705","3,700",,,,,
,,Occasional,"5,030","5,281","5,240",,,,,
,Inland Waters Fishing,Full time,"9,600","9,600","9,600",,,,,
,,Occasional,"11,500","11,725","11,725",,,,,
,Marine Waters Fishing,Full time,"56,795","58,955","60,010",,,,,
,,Occasional,"8,860","9,746","9,920",,,,,
Philippines,Unspecified,Status Unspecified,,,,"1,431,738","1,472,520","1,477,435",,
Poland,Aquaculture,Status Unspecified,"5,000","5,000","4,202","2,600","5,440","5,400","4,930","5,550"
,Inland Waters Fishing,Status Unspecified,"1,500","1,500","1,500","1,700","3,420","3,400","3,575","1,830"
,Marine Waters Fishing,Full time,"3,140","2,760","2,700","2,610","2,350","2,335","2,355","2,455"
,,Part time,130,110,110,100,110,120,130,130
Portugal,Marine Waters Fishing,Status Unspecified,"18,085","17,261","17,021","16,854","17,415","16,920","16,048","16,559"
Puerto Rico,Marine Waters Fishing,Full time,423,,,655,,,,
,,Part time,740,,,219,,,,
Qatar,Marine Waters Fishing,Full time,"4,616","2,953","2,864","2,899","3,313","3,300","3,641","3,573"
RŽunion,Marine Waters Fishing,Full time,286,324,330,271,206,253,428,227
,,Part time,173,135,179,154,131,191,198,101
,,Occasional,107,117,100,120,94,268,87,73
Romania,Aquaculture,Full time,"2,333","3,435",,,,,,
,,Part time,372,633,,,,,,
,,Occasional,76,105,,,,,,
,Inland Waters Fishing,Full time,"2,290","2,305",,,,,,
,,Part time,229,359,,,,,,
,,Occasional,12,"3,970",,,,,,
,Marine Waters Fishing,Full time,342,342,,,,,,
,,Part time,234,234,,,,,,
,,Occasional,23,23,,,,,,
,Unspecified,Full time,"4,378","2,025",,,,,,
,,Part time,"4,402",124,,,,,,
,,Occasional,"6,960",132,,,,,,
Russian Federation,Aquaculture,Part time,"1,400",,,,,,,
,Inland Waters Fishing,Full time,"8,600",,,,,,,
,,Part time,"52,400",,,,,,,
,Marine Waters Fishing,Full time,"36,400",,,,,,,
,,Part time,"182,700",,,,,,,
Rwanda,Aquaculture,Full time,,,,,146,877,"1,124","1,459"
,,Part time,,,,,239,"2,142","4,919","7,666"
,,Occasional,,,,,,43,585,793
,Inland Waters Fishing,Full time,"7,450",,,,"4,986","5,045","5,406","5,499"
,,Part time,,,,,809,"2,394","2,385","2,411"
,,Occasional,,,,,,118,135,199
Saint Helena,Marine Waters Fishing,Full time,29,26,26,19,25,21,26,23
,,Part time,15,13,13,10,4,6,12,4
,,Occasional,4,20,20,2,3,10,6,6
Saint Kitts and Nevis,Aquaculture,Full time,,,,,,1,1,
,Marine Waters Fishing,Full time,,,,,,466,60,
,,Part time,,,,,,137,571,
,,Occasional,,,,,,21,20,
,,Status Unspecified,,,,,,,318,
,Subsistence,Full time,,,,,,5,,
Saint Lucia,Aquaculture,Full time,17,,,,,,,
,,Part time,40,38,63,80,138,92,120,124
,,Status Unspecified,,3,,,,,,
,Marine Waters Fishing,Full time,"1,310","1,339","1,365","1,355","1,361","1,366","1,382","1,393"
,,Part time,844,851,867,870,880,895,914,930
,,Status Unspecified,113,129,141,162,188,197,207,233
Saint Vincent/Grenadines,Marine Waters Fishing,Full time,"1,500","1,500","1,500","1,500","1,500","1,500","1,500",
,,Part time,"1,000","1,000","1,000","1,000","1,000","1,000","1,000",
,,Occasional,300,300,300,300,300,300,300,
Samoa,Aquaculture,Occasional,,,,11,9,,,
Saudi Arabia,Aquaculture,Status Unspecified,"5,000","5,000",,,,,,
,Marine Waters Fishing,Status Unspecified,"27,986","27,813",,,,,,
Senegal,Unspecified,Status Unspecified,"57,524","56,497","56,642","54,315","59,391","56,809","57,820","61,331"
Serbia,Aquaculture,Full time,,568,573,587,634,605,583,542
,,Part time,,4,16,5,6,6,7,10
,,Occasional,,91,160,167,112,81,78,77
,,Status Unspecified,,151,141,161,126,242,130,122
,Subsistence,Full time,,387,348,278,375,318,353,366
,,Part time,,628,263,230,281,175,131,110
,,Occasional,,36,,12,11,9,9,12
,Unspecified,Full time,726,898,,,,,,
,,Part time,113,190,,,,,,
,,Occasional,,127,,,,,,
,,Status Unspecified,,192,,,,,,
Seychelles,Aquaculture,Full time,218,218,202,,,,,
,Marine Waters Fishing,Full time,"1,750","1,750","1,800",,,,,
,,Part time,300,300,300,,,,,
Sierra Leone,Marine Waters Fishing,Status Unspecified,,,,,"37,070",,,
Singapore,Aquaculture,Full time,165,200,238,246,338,358,358,474
,,Part time,,32,59,71,77,82,82,111
,Marine Waters Fishing,Full time,112,122,102,83,45,66,60,66
Slovakia,Aquaculture,Full time,162,152,176,144,219,216,219,221
,,Part time,86,80,113,105,18,6,8,9
,,Occasional,134,108,826,631,871,673,702,701
,,Status Unspecified,14,20,38,72,58,44,45,48
Slovenia,Aquaculture,Status Unspecified,227,209,202,,,,,
,Unspecified,Status Unspecified,123,108,106,273,314,301,290,293
South Africa,Aquaculture,Full time,,,,,,"1,556",,
,Marine Waters Fishing,Full time,,,,"28,000","28,000",,,
,,Occasional,,,,500,500,,,
Spain,Aquaculture,Full time,"8,388","8,024",,,,,,
,Marine Waters Fishing,Full time,"33,008","30,595",,,,,,
,,Part time,"3,701","4,641",,,,,,
Sri Lanka,Aquaculture,Full time,,,,,90,120,"12,110","2,280"
,,Part time,,,,,"3,950","4,310","7,830","11,000"
,,Occasional,,,,,690,"1,020","1,650","1,500"
,,Status Unspecified,"5,600","5,700","6,650","6,950",620,520,610,770
,Inland Waters Fishing,Full time,"12,500","12,500","12,600","12,800","13,050","13,390","17,690","18,370"
,,Part time,"6,200","6,300","6,400","7,200","8,750","9,970","7,610","9,740"
,,Occasional,"3,000","2,800","2,850","2,750","3,950","4,260","2,910","3,240"
,,Status Unspecified,"1,000","1,000","1,150","1,250","1,050","1,020","1,150","1,700"
,Marine Waters Fishing,Full time,"121,500","126,000","131,350","126,900","123,300","141,340","154,580","151,800"
,,Part time,"5,600","6,000","11,600","29,200","25,500","37,720","36,510","28,300"
,,Occasional,"2,200","3,700","5,900","12,100","9,300","9,990","9,350","8,740"
,,Status Unspecified,"1,500","1,500","5,100","4,000","2,400","2,250","2,290","2,640"
,Subsistence,Full time,"3,000","3,000","4,500","5,100","6,100","9,920","13,760","15,550"
,,Part time,,100,200,300,400,700,900,"1,650"
,,Occasional,,,,,,,,"2,660"
Sudan,Aquaculture,Full time,,,,33,58,,,
,,Part time,,,,,56,,,
,,Occasional,,,,,18,,,
,Inland Waters Fishing,Full time,,,,"10,362","19,868",,,
,,Part time,,,,,"6,000",,,
,,Occasional,,,,,"4,000",,,
,Marine Waters Fishing,Full time,,"1,100","1,250","1,275","1,750",,,
,,Part time,,,,,"1,000",,,
,,Occasional,,,,,200,,,
,,Status Unspecified,,,,,"1,170",,,
,Subsistence,Full time,,,,,300,,,
,,Part time,,,,,520,,,
,Unspecified,Status Unspecified,,,,,"25,296",,,
Suriname,Aquaculture,Full time,59,30,30,,,,,
,,Occasional,,,7,,,,,
,Inland Waters Fishing,Status Unspecified,"1,100","1,156","1,182",,,,,
,Marine Waters Fishing,Status Unspecified,"3,520","3,410","3,304",,"3,657",,,
Swaziland,Subsistence,Full time,,,,,975,"1,045","1,113","1,133"
Sweden,Aquaculture,Status Unspecified,501,,,,,,,
,Inland Waters Fishing,Status Unspecified,185,188,192,198,188,184,181,180
,Marine Waters Fishing,Status Unspecified,"1,712","1,691","1,673","1,599","1,500","1,457","1,487","1,458"
Switzerland,Aquaculture,Full time,150,150,150,150,150,150,150,
,Inland Waters Fishing,Full time,199,199,188,188,196,196,185,185
,,Part time,74,74,78,78,75,75,69,69
,,Occasional,63,63,56,56,39,39,37,37
Syrian Arab Republic,Aquaculture,Full time,"1,133","1,180","1,251","1,176","1,176","1,110",,
,,Part time,114,196,236,246,246,250,,
,,Occasional,"1,074","1,206","1,300","1,376","1,376","1,250",,
,Inland Waters Fishing,Full time,"2,286","2,233","2,484","2,398","2,150","2,522",,
,,Part time,784,885,"1,157","1,078","1,050","1,136",,
,Marine Waters Fishing,Full time,"5,160","2,900","2,900","2,900","2,920","3,057",,
,,Part time,"1,500","1,500","1,500","1,500","1,500","1,550",,
"Tanzania, United Rep. of",Aquaculture,Full time,,"3,000","5,423","5,423","7,000","8,156","8,156",
,Inland Waters Fishing,Full time,"103,443","126,790","126,790","133,791","135,769","141,206","141,206",
,Marine Waters Fishing,Full time,"29,839","30,871","38,272","38,272","36,326","37,821","36,359",
Thailand,Marine Waters Fishing,Status Unspecified,"452,300","454,700","443,600","415,900",,,,
Togo,Aquaculture,Full time,,,,,350,350,64,
,,Part time,,,,,100,100,50,
,,Occasional,"2,020","2,020","2,020",,50,50,50,
,Inland Waters Fishing,Full time,"3,000","3,000","5,000",,"3,500","3,500","3,500",
,,Part time,500,500,"1,500",,800,800,800,
,,Occasional,350,350,500,,200,200,200,
,Marine Waters Fishing,Full time,"6,100","6,100","6,100",,"3,050","3,050","3,000",
,,Part time,"3,000","3,000","3,000",,"1,500","1,500","1,500",
,,Occasional,"1,000","1,000","1,000",,500,500,500,
,Subsistence,Full time,500,500,500,,500,500,500,
,,Part time,,,,,500,500,500,
,,Occasional,"1,690","1,690","1,700",,"1,200","1,200","1,200",
Tonga,Aquaculture,Full time,52,52,52,52,52,52,52,52
,,Part time,14,14,14,14,14,14,14,14
,Marine Waters Fishing,Full time,"1,997","1,997","1,997","1,997","1,997","1,997","1,997","1,997"
,,Part time,504,504,504,504,504,504,504,504
,,Occasional,"4,995","4,995","4,995","4,995","4,995","4,995","4,995","4,995"
,Subsistence,Full time,650,650,650,650,650,650,650,650
,,Part time,700,700,700,700,700,700,700,700
,,Occasional,400,400,400,400,400,400,400,400
Trinidad and Tobago,Marine Waters Fishing,Full time,"5,660","6,115",,,,,,
,,Part time,"1,555","1,887",,,,,,
,,Status Unspecified,"2,690","2,713",,,,,,
Tunisia,Aquaculture,Full time,145,150,491,448,428,500,793,"1,001"
,Inland Waters Fishing,Full time,570,450,454,450,408,448,464,230
,Marine Waters Fishing,Full time,"44,807","44,684","46,482","44,049","45,241","47,074","47,699","46,485"
,,Part time,767,701,675,675,567,624,593,622
,Unspecified,Status Unspecified,"4,049","7,172","6,601","6,427","6,157","5,374","5,609","5,609"
Turkey,Aquaculture,Full time,,,,,"6,349","6,600","7,520","8,500"
,,Part time,,,,"7,200","8,000","8,000","7,520",
,,Status Unspecified,"5,914","6,143",,,,,,
,Inland Waters Fishing,Part time,,,,"6,500","8,021","8,021","7,811",
,,Status Unspecified,"7,734","7,670",,,"7,494","7,811","7,400","7,250"
,Marine Waters Fishing,Full time,,,,"83,108","77,742","80,270","34,531","32,251"
,,Part time,,,,"8,636","17,084","12,452","3,216","4,525"
,,Status Unspecified,"91,053","102,560",,,,,,
Turks and Caicos Is.,Marine Waters Fishing,Status Unspecified,404,407,388,366,320,288,,
Tuvalu,Inland Waters Fishing,Full time,,46,,,,,,
,,Part time,,42,,,,,,
,,Occasional,,9,,,,,,
,Marine Waters Fishing,Full time,69,270,,,,,,
,,Part time,47,37,,,,,,
,,Occasional,4,5,,,,,,
,Subsistence,Full time,170,200,,,,,,
,,Part time,50,65,,,,,,
Uganda,Aquaculture,Full time,,,,,,,"13,900","15,000"
,Inland Waters Fishing,Full time,,"81,000","99,673","86,361",,"91,402","103,417","109,633"
Ukraine,Unspecified,Status Unspecified,"16,000","15,000","13,000",,,,,
United Arab Emirates,Aquaculture,Full time,40,,,,27,,44,
,Marine Waters Fishing,Full time,"10,086",,"21,220","20,649","20,812","18,326","24,765",
,,Part time,"1,654",,,,,,,
United Kingdom,Aquaculture,Full time,,,"2,323",,"2,086","2,597","3,046",
,,Part time,,,758,,682,,750,
,,Occasional,,,117,,,,,
,,Status Unspecified,"3,260","3,190",12,,,,,
,Marine Waters Fishing,Full time,"10,353","10,358","10,305","10,028","10,129","10,129",,
,,Part time,"2,294","2,576",,,,,,
,,Occasional,,,"2,566","2,586","2,083","2,083",,
United States of America,Aquaculture,Status Unspecified,"5,886","5,928","6,460","6,055","5,828","5,903",,
Uruguay,Aquaculture,Full time,35,,,,,,,81
,,Part time,24,,,,,,,25
,,Occasional,4,,,,,,,11
,,Status Unspecified,,100,,,,,,
,Marine Waters Fishing,Status Unspecified,"3,257",,,,,,,
US Virgin Islands,Aquaculture,Full time,5,5,,,,,,
,,Part time,,,,,,,2,
,Marine Waters Fishing,Status Unspecified,,,,,,,263,
Uzbekistan,Aquaculture,Full time,,"1,986",,,"1,693",,,
,,Part time,,14,,,307,,,
,Inland Waters Fishing,Full time,,"3,694",,,"3,600",,,
,,Part time,,6,,,6,,,
Vanuatu,Marine Waters Fishing,Full time,140,,,,,,,
,,Occasional,200,,,,,,,
"Venezuela, Boliv Rep of",Inland Waters Fishing,Status Unspecified,,,,"7,369",,,,
,Marine Waters Fishing,Status Unspecified,,,,"23,845",,,,
Viet Nam,Marine Waters Fishing,Full time,,"1,114,530",,,,,,
,,Part time,,"452,368",,,,,,
,,Occasional,,"11,602",,,,,,
,,Status Unspecified,"1,491,000",,"1,672,800","1,742,200","1,766,500",,,
Yemen,Marine Waters Fishing,Full time,"65,199",,"77,581","73,444","73,544","74,856","74,856","83,157"
Yugoslavia SFR,Inland Waters Fishing,Full time,80,89,,,,,,
,,Part time,74,108,,,,,,
,,Occasional,"7,587","7,701",,,,,,
Zambia,Aquaculture,Full time,9,11,11,10,10,12,27,27
,,Status Unspecified,,,,,,,"11,327","11,327"
,Inland Waters Fishing,Full time,"36,141","32,396","37,349","38,542","38,542","38,163","37,536",151
,,Part time,,"6,126","6,126","14,110","14,110","13,970","13,970",
,,Occasional,45,,,,,,,
,,Status Unspecified,,,,,,,"69,942","69,942"
,Unspecified,Full time,51,54,57,86,93,93,93,
