"","cntry_key","sector","ref_base_value"
"395","SYR","cf",12670.238
"396","SYR","mar",0
"397","SYR","tour",21305.6665136
"398","TCA","cf",305.326
"399","TCA","mmw",1.915
"400","TGO","cf",16175.95
"401","TGO","mar",0
"402","TGO","tour",1730.15721837
"403","THA","cf",144544.3342
"404","THA","mar",233477.5526518
"405","THA","mmw",0
"406","THA","tour",733149.576953
"407","TLS","cf",4784.3635
"408","TON","cf",7604.8322
"409","TON","mar",211.3083
"410","TON","mmw",34.47
"411","TON","tour",3500
"412","TTO","cf",9160.6501
"413","TUN","cf",76153.4459
"414","TUN","mar",147.60918143345
"415","TUN","tour",114377.17223
"416","TUR","mmw",0
"417","TUR","tour",339959.288195
"418","TUV","cf",63.9128
"419","TWN","cf",289522.611
"420","TWN","mar",96731.30463497
"421","TWN","mmw",53.62
"422","TWN","tour",383200
"423","TZA","cf",190358.896
"424","TZA","mar",5742.643787627
"425","TZA","mmw",26.81
"426","TZA","tour",41547.4253778
"427","UKR","mmw",0
"428","UKR","tour",160799.251687
"429","URY","cf",5283.1681
"430","URY","mar",0
"431","URY","mmw",0
"432","URY","tour",20634.3078457
"433","USA","tour",1591706.48193
"434","VCT","cf",2895.06
"435","VCT","mmw",0
"436","VCT","tour",12300
"437","VEN","cf",64232.364
"438","VEN","mar",3497.374566233
"439","VEN","mmw",0
"440","VEN","tour",94788.6668826
"441","VGB","mmw",0
"442","VGB","tour",9400
"443","VIR","mar",0
"444","VIR","mmw",0
"445","VIR","tour",16600
"446","VNM","tour",1179169.12959
"447","VUT","cf",1347.3894
"448","VUT","tour",24300
"449","WSM","cf",8788.01
"450","WSM","mmw",1.915
"451","YEM","cf",77698.348
"452","YEM","tour",31274.6144738
"453","ZAF","cf",16294.6
"454","ZAF","mmw",921.115
"455","ZAF","tour",109749.195755
