iucn_sid,years,cats,stati,pop_trend_desc,calc_trend,pop_trend
41718,"2003, 2015","NT, LC","0.7333, 1",unknown,NA,NA
41722,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41723,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41724,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41725,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41726,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41727,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41728,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41729,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41731,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41732,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41740,"2003, 2013","CR, EN","-0.0667, 0.2",decreasing,NA,-1
41743,"2003, 2015","LC, LC","1, 1",stable,NA,0
41753,"2003, 2016","LC, LC","1, 1",stable,NA,0
41754,"2011, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41755,"1996, 2008","VU, VU","0.4667, 0.4667",unknown,NA,NA
41758,"2004, 2008, 2012","EN, EN, EN","0.2, 0.2, 0.2",unknown,-0,NA
41761,"2003, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41794,"2003, 2016","NT, LC","0.7333, 1",unknown,NA,NA
41796,"2003, 2016","LC, LC","1, 1",stable,NA,0
41797,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41803,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41805,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41806,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41807,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41808,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41810,"2003, 2016","NT, EN","0.7333, 0.2",decreasing,NA,-1
41811,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41816,"2003, 2009","LC, VU","1, 0.4667",decreasing,NA,-1
41818,"2003, 2015","LC, LC","1, 1",stable,NA,0
41820,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41822,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41824,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41828,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41829,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41833,"2003, 2006","NT, NT","0.7333, 0.7333",unknown,NA,NA
41837,"2003, 2009, 2015","NT, NT, LC","0.7333, 0.7333, 1",unknown,0.02223,NA
41838,"2003, 2009, 2015","NT, NT, LC","0.7333, 0.7333, 1",unknown,0.02223,NA
41839,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41841,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41842,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41844,"2003, 2016","LC, LC","1, 1",unknown,NA,NA
41846,"2003, 2016","LC, LC","1, 1",stable,NA,0
41848,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41849,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41854,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41858,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41862,"2003, 2016","LC, LC","1, 1",stable,NA,0
41863,"2003, 2016","LC, LC","1, 1",stable,NA,0
41864,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
41872,"2003, 2016","NT, NT","0.7333, 0.7333",decreasing,NA,-1
41873,"2003, 2015","NT, LC","0.7333, 1",unknown,NA,NA
41874,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41875,"2003, 2016","VU, VU","0.4667, 0.4667",unknown,NA,NA
41876,"2009, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
41878,"2003, 2016","VU, EN","0.4667, 0.2",decreasing,NA,-1
42564,"1996, 2008, 2016","LC, LC, LC","1, 1, 1",stable,0,0
42706,"2003, 2011","NT, NT","0.7333, 0.7333",unknown,NA,NA
42713,"2003, 2009, 2016","LC, LC, LC","1, 1, 1",unknown,0,NA
42716,"2003, 2011","LC, LC","1, 1",unknown,NA,NA
42717,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
42720,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
42721,"2003, 2015","LC, LC","1, 1",unknown,NA,NA
42729,"2003, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
44166,"1996, 2000, 2004, 2008, 2015","NT, NT, NT, VU, VU","0.7333, 0.7333, 0.7333, 0.4667, 0.4667",decreasing,-0.0171,-1
44168,"2003, 2006","EN, CR","0.2, -0.0667",NA,NA,NA
44169,"2003, 2006","VU, EN","0.4667, 0.2",NA,NA,NA
44181,"2004, 2011","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
44183,"2000, 2005, 2016","NT, NT, LC","0.7333, 0.7333, 1",stable,0.01791,0
44185,"2000, 2005, 2016","EN, EN, EN","0.2, 0.2, 0.2",unknown,-0,NA
44186,"2004, 2015","LC, LC","1, 1",unknown,NA,NA
44189,"2004, 2011, 2012","CR, EN, EN","-0.0667, 0.2, 0.2",decreasing,0.03509,-1
44191,"2004, 2010, 2015","CR, EN, EN","-0.0667, 0.2, 0.2",decreasing,0.02491,-1
44275,"1996, 2004, 2012","CR, CR, EN","-0.0667, -0.0667, 0.2",increasing,0.01667,1
60108,"2006, 2015","LC, LC","1, 1",stable,NA,0
60111,"2006, 2015","LC, LC","1, 1",unknown,NA,NA
60112,"2006, 2016","LC, LC","1, 1",unknown,NA,NA
60121,"2006, 2016","EN, EN","0.2, 0.2",decreasing,NA,-1
60124,"2006, 2016","EN, NT","0.2, 0.7333",decreasing,NA,-1
60140,"2006, 2016","LC, LC","1, 1",stable,NA,0
60146,"2006, 2015","LC, LC","1, 1",unknown,NA,NA
60147,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60148,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60150,"2006, 2015","NT, NT","0.7333, 0.7333",unknown,NA,NA
60151,"2006, 2016","VU, VU","0.4667, 0.4667",unknown,NA,NA
60153,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60155,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60156,"2006, 2011, 2015","NT, LC, LC","0.7333, 1, 1",unknown,0.0306,NA
60158,"2006, 2016","LC, LC","1, 1",unknown,NA,NA
60159,"2006, 2016","LC, LC","1, 1",unknown,NA,NA
60160,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60162,"2006, 2015","VU, VU","0.4667, 0.4667",decreasing,NA,-1
60163,"2006, 2016","LC, LC","1, 1",unknown,NA,NA
60164,"2006, 2016","LC, LC","1, 1",unknown,NA,NA
60166,"2006, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
60168,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60170,"2006, 2016","VU, VU","0.4667, 0.4667",decreasing,NA,-1
60171,"2006, 2016","NT, NT","0.7333, 0.7333",decreasing,NA,-1
60175,"2006, 2016","VU, VU","0.4667, 0.4667",unknown,NA,NA
60176,"2006, 2016","NT, NT","0.7333, 0.7333",unknown,NA,NA
60179,"2003, 2006, 2015","LC, VU, VU","1, 0.4667, 0.4667",unknown,-0.03419,NA
60191,"2006, 2015","LC, LC","1, 1",increasing,NA,1
60192,"2006, 2016","LC, LC","1, 1",stable,NA,0
60195,"2006, 2016","NT, VU","0.7333, 0.4667",stable,NA,0
60200,"2006, 2016","NT, NT","0.7333, 0.7333",decreasing,NA,-1
60210,"2006, 2015","LC, LC","1, 1",unknown,NA,NA
60212,"2006, 2015","LC, LC","1, 1",unknown,NA,NA
60227,"2006, 2015","LC, LC","1, 1",unknown,NA,NA
60344,"2008, 2010, 2014","CR, CR, CR","-0.0667, -0.0667, -0.0667",decreasing,0,-1
61405,"2006, 2015","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
61417,"2006, 2007","EN, CR","0.2, -0.0667",decreasing,NA,-1
61418,"2006, 2007","EN, CR","0.2, -0.0667",decreasing,NA,-1
61436,"2006, 2011","LC, LC","1, 1",stable,NA,0
61442,"2006, 2012","CR, CR","-0.0667, -0.0667",decreasing,NA,-1
61538,"2006, 2009","LC, LC","1, 1",decreasing,NA,-1
61545,"2006, 2009","EN, EN","0.2, 0.2",decreasing,NA,-1
63100,"2007, 2015","NT, NT","0.7333, 0.7333",decreasing,NA,-1
63119,"2007, 2016","LC, LC","1, 1",unknown,NA,NA
63120,"2007, 2015","LC, NT","1, 0.7333",decreasing,NA,-1
63125,"2007, 2015","LC, LC","1, 1",stable,NA,0
63127,"2007, 2015","LC, LC","1, 1",unknown,NA,NA
63132,"2007, 2016","EN, EN","0.2, 0.2",decreasing,NA,-1
63152,"2007, 2016","LC, LC","1, 1",unknown,NA,NA
63165,"2003, 2011","LC, LC","1, 1",stable,NA,0
63571,"2007, 2012","VU, VU","0.4667, 0.4667",decreasing,NA,-1
63758,"2007, 2013","LC, LC","1, 1",stable,NA,0
64396,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64398,"2007, 2008","LC, LC","1, 1",stable,NA,0
64400,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64401,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64407,"2007, 2008","LC, LC","1, 1",unknown,NA,NA
64409,"2007, 2008","EN, EN","0.2, 0.2",decreasing,NA,-1
64410,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64411,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64412,"2007, 2008","VU, VU","0.4667, 0.4667",decreasing,NA,-1
64442,"2000, 2005, 2016","EN, EN, EN","0.2, 0.2, 0.2",decreasing,-0,-1
132860,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
132864,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132869,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132873,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
132878,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132880,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
132881,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132883,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
132885,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132887,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132888,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132895,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132897,"2008, 2014","EN, EN","0.2, 0.2",unknown,NA,NA
132903,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132904,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
132911,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132916,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132917,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132922,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
132923,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132925,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132936,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
132940,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
132948,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132954,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132956,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
132958,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132960,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132969,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
132975,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132976,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132978,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132980,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132983,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132986,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
132992,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132997,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
132998,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133001,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133008,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133013,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133016,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133020,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133021,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133023,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133024,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133025,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133028,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133029,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133034,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133038,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133041,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133043,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133044,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133045,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133046,"2008, 2014","EN, EN","0.2, 0.2",decreasing,NA,-1
133049,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133054,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133055,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133058,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133063,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133066,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133070,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133071,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133076,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133082,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133083,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133084,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133087,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133088,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133090,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133091,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133095,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133097,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133098,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133099,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133105,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133106,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133116,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133117,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133127,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133132,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133136,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133137,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133139,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133140,"2008, 2014","LC, LC","1, 1",stable,NA,0
133148,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133156,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133158,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133166,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133167,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133171,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133172,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133175,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133183,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133186,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133192,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133197,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133198,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133200,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133201,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133203,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133208,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133209,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133215,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133216,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133220,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133222,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133230,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133231,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133236,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133239,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133240,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133242,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133244,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133246,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133248,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133250,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133256,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133258,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133262,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133267,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133272,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133277,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133284,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133289,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133290,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133291,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133292,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133293,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133299,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133302,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133303,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133304,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133308,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133314,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133315,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133324,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133325,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133326,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133327,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133329,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133330,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133331,"2008, 2014","EN, EN","0.2, 0.2",decreasing,NA,-1
133332,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133337,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133343,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133345,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133351,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133353,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133357,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133358,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133360,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133365,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133376,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133378,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133380,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133382,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133383,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133386,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133387,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133388,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133390,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133398,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133403,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133406,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133407,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133410,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133414,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133415,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133418,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133419,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133420,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133423,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133426,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133428,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133438,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133440,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133448,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133451,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133452,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133453,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133456,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133458,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133459,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133463,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133468,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133470,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133473,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133474,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133478,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133482,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133485,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133486,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133491,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133492,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133493,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133495,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133496,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133502,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133503,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133516,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133523,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133525,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133526,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133531,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133532,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133538,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133539,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133545,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133548,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133551,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133553,"2008, 2014","LC, LC","1, 1",stable,NA,0
133557,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133558,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133559,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133560,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133566,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133567,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133569,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133570,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133576,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133581,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133582,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133587,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133588,"2008, 2014","VU, VU","0.4667, 0.4667",stable,NA,0
133593,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133601,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133607,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133613,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133616,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133628,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133633,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133634,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133635,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133636,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133638,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133640,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133641,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133644,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133646,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133648,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133649,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133652,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133660,"2008, 2014","VU, VU","0.4667, 0.4667",decreasing,NA,-1
133662,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133666,"2008, 2014","NT, NT","0.7333, 0.7333",decreasing,NA,-1
133673,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
133676,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133685,"2008, 2014","NT, NT","0.7333, 0.7333",unknown,NA,NA
133697,"2008, 2014","VU, VU","0.4667, 0.4667",unknown,NA,NA
133700,"2008, 2014","LC, LC","1, 1",decreasing,NA,-1
133702,"2008, 2014","LC, LC","1, 1",unknown,NA,NA
135301,"2008, 2008, 2011, 2011","LC, LC, LC, LC","1, 1, 1, 1",stable,0,0
135525,"2008, 2010","LC, LC","1, 1",unknown,NA,NA
135567,"2008, 2012","LC, LC","1, 1",stable,NA,0
