"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","masked_ecosystems_s_t_s_bottom","masked_ecosystems_soft_shelf","masked_ecosystems_soft_slope","masked_ecosystems_d_s_bottom"
75,"eez","Belgium","BEL","eez",59,"Belgium","BEL","BEL",42,"Belgium",2.94517379176,0.448769693247,3469.73899686,3955,0,0,0
76,"eez","Gibraltar","GIB","eez",60,"Gibraltar","GIB","GIB",43,"Gibraltar",1.22881117217,0.0426145735336,425.861128768,32,20,378,0
77,"eez","Tunisia","TUN","eez",61,"Tunisia","TUN","TUN",44,"Tunisia",33.975586563,10.0522628252,100471.129173,22840,14486,26517,4937
78,"eez","Morocco","MAR","eez",62,"Morocco","MAR","MAR",45,"Morocco",41.9444576461,26.5267284157,275376.655503,16192,41872,80970,146173
79,"eez","Western Sahara","ESH","eez",63,"Western Sahara","ESH","ESH",46,"Western Sahara",25.9640277419,22.2222733899,250881.563996,32946,31642,62409,160418
80,"eez","Mauritania","MRT","eez",64,"Mauritania","MRT","MRT",47,"Mauritania",21.8596494701,13.2612600324,155353.356648,16112,15372,34593,112529
81,"eez","Gambia","GMB","eez",65,"Gambia","GMB","GMB",48,"Gambia",12.247313466,1.88632422381,22609.4249524,2853,2782,2295,17644
82,"eez","Senegal","SEN","eez",66,"Senegal","SEN","SEN",49,"Senegal",30.9102657972,13.1642487738,157502.802798,14795,10894,21154,133564
83,"eez","Libya","LBY","eez",67,"Libya","LBY","LBY",50,"Libya",39.450854759,34.4796911165,356904.347731,18975,29531,185096,141086
84,"eez","Malta","MLT","eez",68,"Malta","MLT","MLT",51,"Malta",13.3117082445,5.50681155347,55570.044708,561,5526,42524,11837
85,"eez","Latvia","LVA","eez",69,"Latvia","LVA","LVA",52,"Latvia",15.9331872842,4.28802264272,28956.5603995,17166,15077,741,0
86,"eez","Estonia","EST","eez",70,"Estonia","EST","EST",53,"Estonia",53.3874325755,5.65739393568,36458.0532637,28570,12784,0,0
87,"eez","Russia","RUS","eez",73,"Russia","RUS","RUS",56,"Russia",2418.17464847,1958.36146049,7557186.14022,2362348,1955147,2430592,1848651
88,"eez","Turkey","TUR","eez",76,"Turkey","TUR","TUR",59,"Turkey",86.8812501709,8.43077797275,83056.0795597,18312,14643,30812,29321
89,"eez","Syria","SYR","eez",77,"Syria","SYR","SYR",60,"Syria",5.20744710707,1.00933065721,10180.578115,574,547,10406,0
90,"eez","Lebanon","LBN","eez",78,"Lebanon","LBN","LBN",61,"Lebanon",7.22451620282,1.87904470284,19266.8826238,527,660,17947,2866
91,"eez","Israel","ISR","eez",79,"Israel","ISR","ISR",62,"Israel",7.05174349614,2.66646325181,27773.6086706,2745,1655,27160,141
92,"eez","Greece","GRC","eez",80,"Greece","GRC","GRC",63,"Greece",191.599059803,49.6307228044,493192.342665,36953,41116,186937,273170
93,"eez","Cyprus","CYP","eez",81,"Cyprus","CYP","CYP",64,"Cyprus",21.306654491,9.6226717274,98039.1380671,1832,1872,47090,60969
94,"eez","Albania","ALB","eez",82,"Albania","ALB","ALB",65,"Albania",10.8079706569,1.19507881347,11187.461526,3750,2524,4615,0
95,"eez","Algeria","DZA","eez",84,"Algeria","DZA","DZA",66,"Algeria",29.6038807347,13.0683054594,128756.323897,3062,4435,17136,87773
96,"eez","Ascension","ASC","eez",85,"Ascension","ASC","Ascension",68,"British Southern Ocean Territories",21.8613879052,36.2346693805,441655.052951,95,57,2144,443289
97,"eez","Saint Helena","SHN","eez",86,"Saint Helena","SHN","SHN",68,"British Southern Ocean Territories",22.3479447544,37.5750699987,444911.631882,309,217,4458,507271
98,"eez","Trindade","BRA","eez",171,"Brazil","BRA","Trindade",122,"Brazil",22.9067105974,40.5953564457,468609.481014,29,22,1601,537666
99,"eez","Tristan da Cunha","TAA","eez",88,"Tristan da Cunha","TAA","Tristan da Cunha",68,"British Southern Ocean Territories",34.5660824325,78.3001762461,754671.275026,683,397,9171,552697
100,"eez","South Georgia and the South Sandwich Islands","SGS","eez",89,"South Georgia and the South Sandwich Islands","SGS","SGS",68,"British Southern Ocean Territories",87.6081287587,209.437883772,1449461.50942,5622,20683,160530,1462814
101,"eez","Prince Edward Islands","ZAF","eez",90,"Prince Edward Islands","ZAF","Prince Edward Islands",75,"South Africa",28.5510552223,55.8414279718,473375.683197,123,178,12988,194076
102,"eez","Crozet Islands","ATF","eez",91,"Crozet Islands","ATF","Crozet Islands",67,"French Southern Ocean Territories",32.6942647341,67.1522063734,574557.640343,0,0,29703,296482
103,"eez","Amsterdam Island and Saint Paul Island","ATF","eez",92,"Amsterdam Island and Saint Paul Island","ATF","Amsterdam Island and Saint Paul Island",67,"French Southern Ocean Territories",26.3376325369,52.4534572095,509021.349709,12,26,9532,345446
104,"eez","Kerguelen Islands","ATF","eez",93,"Kerguelen Islands","ATF","Kerguelen Islands",67,"French Southern Ocean Territories",67.8997689359,69.7372689783,567651.72955,8236,43191,227885,268633
105,"eez","Heard and McDonald Islands","HMD","eez",94,"Heard and McDonald Islands","HMD","HMD",2,"Australian Southern Ocean Territories",31.8476325928,56.4731172196,416941.135389,1250,5946,219313,249870
106,"eez","Falkland Islands","FLK","eez",95,"Falkland Islands","FLK","FLK",68,"British Southern Ocean Territories",116.791081216,71.4913838629,549953.068554,24343,172737,332394,96778
107,"eez","Sierra Leone","SLE","eez",96,"Sierra Leone","SLE","SLE",69,"Sierra Leone",27.4359830525,13.0379907267,159409.062871,18561,8861,12802,143156
108,"eez","Liberia","LBR","eez",97,"Liberia","LBR","LBR",70,"Liberia",21.5102571943,20.0441061557,246122.367341,10232,10525,22245,240523
109,"eez","Togo","TGO","eez",98,"Togo","TGO","TGO",71,"Togo",7.45962481819,1.25679215647,15418.5744562,389,25,73,0
110,"eez","Benin","BEN","eez",99,"Benin","BEN","BEN",72,"Benin",8.36747263003,2.46510649583,30227.2073986,0,0,0,0
111,"eez","Republique du Congo","COG","eez",100,"Republique du Congo","COG","COG",73,"Republic of the Congo",9.21081817112,3.2313874748,39600.5495771,2243,3059,10024,24471
112,"eez","Namibia","NAM","eez",101,"Namibia","NAM","NAM",74,"Namibia",38.6782742947,49.6703814408,560163.991899,13448,83264,218284,265780
113,"eez","South Africa","ZAF","eez",102,"South Africa","ZAF","ZAF",75,"South Africa",77.1717106098,103.617307835,1066579.43215,30537,138014,264170,768600
114,"eez","Sao Tome and Principe","STP","eez",103,"Sao Tome and Principe","STP","STP",76,"Sao Tome and Principe",17.9659430008,10.6306332462,130827.274755,1022,740,5648,96551
115,"eez","Equatorial Guinea","GNQ","eez",104,"Equatorial Guinea","GNQ","GNQ",77,"Equatorial Guinea",32.2397135341,25.0709060441,308296.855376,4957,3974,29188,275777
116,"eez","Bouvet Island","BVT","eez",105,"Bouvet Island","BVT","BVT",169,"Norway",29.7453067517,61.153315547,441176.149277,0,0,7267,239581
117,"eez","Ghana","GHA","eez",106,"Ghana","GHA","GHA",78,"Ghana",19.9829043597,18.3364775205,225254.148677,15968,8828,18248,188103
118,"eez","Clipperton Island","CPT","eez",107,"Clipperton Island","CPT","Clipperton Island",79,"Clipperton Island",21.2848500715,35.6107446084,431274.875367,10,15,4063,472891
119,"eez","Bermuda","BMU","eez",108,"Bermuda","BMU","BMU",85,"British Caribbean Territories",25.2920437484,43.1533919288,450344.196047,41,56,813,509572
120,"eez","Galapagos Islands","ECU","eez",137,"Ecuador","ECU","Galapagos Islands",103,"Ecuador",43.3376056358,67.9373047839,835520.20286,3097,5683,61099,643641
121,"eez","Bahamas","BHS","eez",110,"Bahamas","BHS","BHS",80,"Bahamas",144.342545226,53.3425961047,595125.110898,75785,26016,174659,383848
122,"eez","Turks and Caicos Islands","TCA","eez",111,"Turks and Caicos Islands","TCA","TCA",85,"British Caribbean Territories",22.5559204436,13.4811153397,153512.884083,4218,1277,11157,155277
123,"eez","Cuba","CUB","eez",112,"Cuba","CUB","CUB",81,"Cuba",175.229699956,31.7741035475,364055.834347,50564,13797,111601,238326
124,"eez","Cayman Islands","CYM","eez",113,"Cayman Islands","CYM","CYM",85,"British Caribbean Territories",14.4766374079,10.2284564009,119096.220998,144,110,10648,86570
125,"eez","Haiti","HTI","eez",114,"Haiti","HTI","HTI",82,"Haiti",33.4047114334,10.5182817109,123370.945693,2364,1149,36047,91073
126,"eez","Dominican Republic","DOM","eez",115,"Dominican Republic","DOM","DOM",83,"Dominican Republic",38.1808957193,23.0084325244,269325.988127,4991,4275,33983,261466
127,"eez","British Virgin Islands","VGB","eez",117,"British Virgin Islands","VGB","VGB",85,"British Caribbean Territories",14.7895662476,6.93197059908,80104.9046434,2121,574,5899,81684
128,"eez","Anguilla","AIA","eez",118,"Anguilla","AIA","AIA",85,"British Caribbean Territories",12.7171536507,7.95853151313,92174.7641966,1092,892,7682,96343
129,"eez","Saint Kitts and Nevis","KNA","eez",119,"Saint Kitts and Nevis","KNA","KNA",86,"Saint Kitts and Nevis",5.23281896123,0.866202407959,10206.4632982,103,155,9937,0
130,"eez","Antigua and Barbuda","ATG","eez",120,"Antigua and Barbuda","ATG","ATG",87,"Antigua and Barbuda",16.2706869776,9.24611127261,107925.303978,1984,1054,5784,106757
131,"eez","Montserrat","MSR","eez",121,"Montserrat","MSR","MSR",85,"British Caribbean Territories",3.92455548045,0.641950729821,7586.90000461,75,64,6522,226
132,"eez","Saint Lucia","LCA","eez",122,"Saint Lucia","LCA","LCA",88,"Saint Lucia",7.92977174361,1.29342461047,15468.0338809,194,217,8956,8358
133,"eez","Dominica","DMA","eez",123,"Dominica","DMA","DMA",89,"Dominica",12.6956244287,2.40766454348,28585.0317579,238,215,5008,26691
134,"eez","Barbados","BRB","eez",124,"Barbados","BRB","BRB",90,"Barbados",15.4517817283,15.3465759248,183904.973636,78,121,34162,173334
135,"eez","Grenada","GRD","eez",125,"Grenada","GRD","GRD",91,"Grenada",9.16177247725,2.17002421121,26121.3171356,304,1304,12219,13523
136,"eez","Trinidad and Tobago","TTO","eez",126,"Trinidad and Tobago","TTO","TTO",92,"Trinidad and Tobago",18.5469298906,6.23027709492,75326.3166724,10024,15184,45469,13548
137,"eez","Saint Vincent and the Grenadines","VCT","eez",127,"Saint Vincent and the Grenadines","VCT","VCT",93,"Saint Vincent and the Grenadines",10.4226429166,3.02597267439,36294.0656124,925,510,12847,27119
138,"eez","Panama","PAN","eez",129,"Panama","PAN","PAN",95,"Panama",79.6829410028,27.1782540511,330926.65762,3488,8291,56476,233177
139,"eez","Costa Rica","CRI","eez",130,"Costa Rica","CRI","CRI",96,"Costa Rica",46.0496758859,46.8106742653,571959.450498,3748,7713,146039,411434
140,"eez","Nicaragua","NIC","eez",131,"Nicaragua","NIC","NIC",97,"Nicaragua",51.3984137475,18.5392543123,222605.329207,12784,17107,35078,79662
141,"eez","Colombia","COL","eez",132,"Colombia","COL","COL",98,"Colombia",102.73220475,59.8573554311,726189.062216,11640,9762,105888,603244
142,"eez","Honduras","HND","eez",133,"Honduras","HND","HND",99,"Honduras",34.5281674597,18.5495852603,218569.879953,23164,11810,71141,78195
143,"eez","El Salvador","SLV","eez",134,"El Salvador","SLV","SLV",100,"El Salvador",16.5822826988,7.77008478167,93647.3177283,6637,10551,9408,79125
144,"eez","Mexico","MEX","eez",135,"Mexico","MEX","MEX",101,"Mexico",306.73026517,285.803760632,3268727.25835,260771,181216,495905,2297393
145,"eez","Guatemala","GTM","eez",136,"Guatemala","GTM","GTM",102,"Guatemala",15.6431343481,9.78609598871,117625.549878,8038,8114,9144,108394
146,"eez","Ecuador","ECU","eez",137,"Ecuador","ECU","ECU",103,"Ecuador",43.3294970712,19.2741878629,237140.308373,16014,12767,82822,159528
147,"eez","Peru","PER","eez",138,"Peru","PER","PER",104,"Peru",61.0592241237,69.3631279926,833246.818015,23310,67951,113242,741471
148,"eez","Venezuela","VEN","eez",139,"Venezuela","VEN","VEN",105,"Venezuela",97.7721922187,39.1827523029,470360.989131,54311,45362,129825,273789
149,"eez","Faeroe Islands","FRO","eez",141,"Faeroe Islands","FRO","FRO",126,"Denmark",44.8956587106,46.8185425872,267834.073383,3074,24615,191850,84855
150,"eez","Iceland","ISL","eez",143,"Iceland","ISL","ISL",107,"Iceland",193.902807884,142.376230938,755964.3961,24486,98463,486138,140477
151,"eez","Jan Mayen","SJM","eez",144,"Jan Mayen","SJM","SJM",169,"Norway",39.5818281298,72.569944671,292534.70998,149,858,46113,111775
152,"eez","Greenland","GRL","eez",145,"Greenland","GRL","GRL",126,"Denmark",1997.52659,742.570526094,2276206.55683,132444,282136,1048345,892037
153,"eez","Pitcairn","PCN","eez",146,"Pitcairn","PCN","PCN",108,"British Pacific Territories (Pitcairn)",34.681384637,74.5755879585,836110.224716,0,0,1407,613422
154,"eez","French Polynesia","PYF","eez",147,"French Polynesia","PYF","PYF",109,"French Polynesia",154.416619673,410.872483344,4771710.01669,9500,3579,102643,4073695
155,"eez","Line Group","KIR","eez",148,"Line Group","KIR","Line Group",161,"Kiribati",71.5772008614,134.634823549,1645364.31396,248,71,13265,1790467
156,"eez","Jarvis Island","UMI","eez",149,"Jarvis Island","UMI","Jarvis Island",110,"Jarvis Island",18.5423119566,25.7283385928,316555.566299,3,4,703,363343
157,"eez","Palmyra Atoll","UMI","eez",150,"Palmyra Atoll","UMI","Palmyra Atoll",114,"USA Pacific Uninhabited Territories",23.4983381672,28.7048393432,350841.46697,450,205,16026,378504
158,"eez","American Samoa","ASM","eez",151,"American Samoa","ASM","ASM",111,"USA Pacific Inhabited Territories",29.7903591202,33.8288097478,404370.433189,0,0,17,397872
159,"eez","Samoa","WSM","eez",152,"Samoa","WSM","WSM",112,"Samoa",18.4792865627,10.9716093101,131511.659346,0,0,1961,110365
160,"eez","Cook Islands","COK","eez",153,"Cook Islands","COK","COK",115,"New Zealand",68.7477224899,165.387945277,1960033.62365,154,63,3046,1920953
161,"eez","Niue","NIU","eez",154,"Niue","NIU","NIU",115,"New Zealand",19.7277432213,27.2551723383,316592.585807,2,10,257,287560
162,"eez","Tonga","TON","eez",155,"Tonga","TON","TON",113,"Tonga",41.3375034476,57.5374312334,664753.941965,559,1135,136444,398387
163,"eez","Tokelau","TKL","eez",156,"Tokelau","TKL","TKL",115,"New Zealand",21.644925262,26.2127193912,319039.490462,0,0,146,339234
