"sciname","class","order","family","genus","species","authority","sid","modified.year","category","criteria","habitat"
"Conus terryni","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","terryni","Tenorio &amp; Poppe, 2004",192349,2013,"NT","","Marine"
"Conus tessulatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tessulatus","Born, 1778",192743,2013,"LC","","Marine"
"Conus testudinarius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","testudinarius","Born, 1778",192578,2013,"LC","","Marine"
"Conus textile","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","textile","Linnaeus, 1758",192316,2013,"LC","","Marine"
"Conus thalassiarchus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","thalassiarchus","Sowerby i &amp; ii, 1834",192797,2013,"LC","","Marine"
"Conus thevenardensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","thevenardensis","da Motta, 1987",192503,2013,"VU","D2","Marine"
"Conus thomae","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","thomae","Gmelin, 1791",192263,2013,"LC","","Marine"
"Conus thomasi subspecies","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","thomasi","Born, 1778",192586,2013,"LC","","Marine"
"Conus thuscus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","thuscus","Gmelin, 1791",192390,2012,"LC","","Marine"
"Conus tiaratus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tiaratus","Sowerby i &amp; ii, 1833",192839,2013,"LC","","Marine"
"Conus tigrinus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tigrinus","Linnaeus, 1758",192316,2013,"LC","","Marine"
"Conus tiki","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tiki","Moolenbeek, Zandbergen &amp; Bouchet, 2008",192465,2013,"LC","","Marine"
"Conus timorensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","timorensis","Hwass in Bruguière, 1792",192838,2013,"LC","","Marine"
"Conus tinianus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tinianus","Hwass in Bruguière, 1792",192384,2013,"LC","","Marine"
"Conus tirardi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tirardi","Röckel &amp; Moolenbeek, 1996",192690,2013,"DD","","Marine"
"Conus tisii","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tisii","Lan, 1978",192659,2013,"LC","","Marine"
"Conus tornatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tornatus","Sowerby i &amp; ii, 1833",192735,2013,"LC","","Marine"
"Conus  torquatus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","torquatus ","(Kuroda, 1956)",192681,2013,"LC","","Marine"
"Conus tosaensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tosaensis","Sowerby III, 1873",192477,2013,"LC","","Marine"
"Conus traillii","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","traillii","A Adams, 1855",192689,2013,"LC","","Marine"
"Conus traversianus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","traversianus","E.A. Smith, 1875",192389,2013,"LC","","Marine"
"Conus trencarti","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trencarti","Nolf &amp; Vanstraeten, 2008",192343,2012,"NT","","Marine"
"Conus tribblei","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tribblei","Walls, 1977",192645,2013,"LC","","Marine"
"Conus tribunus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tribunus","Hwass in Bruguière, 1792",192604,2013,"LC","","Marine"
"Conus tribunus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tribunus","Born, 1778",192831,2013,"LC","","Marine"
"Conus trigonus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trigonus","Reeve, 1848",192790,2013,"LC","","Marine"
"Conus trinitarius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trinitarius","&quot;S&quot; Lightfoot, 1786",192761,2013,"LC","","Marine"
"Conus trochulus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trochulus","Reeve, 1844",192703,2012,"NT","","Marine"
"Conus troendlei","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","troendlei","Moolenbeek, Zandbergen &amp; Bouchet, 2008",192763,2013,"DD","","Marine"
"Conus   tropicensis ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus  ","tropicensis ","Weinkauff, 1875",192269,2013,"LC","","Marine"
"Conus trovaoi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trovaoi","Rolán &amp; Röckel, 2000",192495,2012,"LC","","Marine"
"Conus trunculus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","trunculus","Gmelin, 1791",192390,2012,"LC","","Marine"
"Conus tuberculosus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tuberculosus","Tomlin, 1937",192672,2013,"DD","","Marine"
"Conus tulipa","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tulipa","Linnaeus, 1758",192789,2013,"LC","","Marine"
"Conus   turbinatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus  ","turbinatus","Reeve, 1844",192258,2013,"LC","","Marine"
"Conus turriculatus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","turriculatus ","Lamarck, 1810",192704,2013,"LC","","Marine"
"Conus  turritinus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","turritinus ","Reeve, 1843",192603,2013,"LC","","Marine"
"Conus turritus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","turritus","Weinkauff, 1875",192307,2013,"LC","","Marine"
"Conus tuticorinensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","tuticorinensis","Röckel &amp; Korn, 1990",192609,2013,"LC","","Marine"
"Conus typhon","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","typhon","Kilburn, 1975",192792,2013,"LC","","Marine"
"Conus undulatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","undulatus","Hwass in Bruguière, 1792",192334,2013,"LC","","Marine"
"Conus undulatus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","undulatus ","Gmelin, 1791",192864,2013,"LC","","Marine"
"Conus unicolor","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","unicolor","Hwass in Bruguière, 1792",192604,2013,"LC","","Marine"
"Conus unifasciatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","unifasciatus","Kiener, 1845",192748,2012,"EN","B1ab(iii)+2ab(iii)","Marine"
"Conus urashimanus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","urashimanus","Bernardi, 1853",192279,2013,"LC","","Marine"
"Conus ustickei","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","ustickei","Reeve, 1844",192629,2013,"LC","","Marine"
"Conus ustulatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","ustulatus","Linnaeus, 1758",192549,2013,"LC","","Marine"
"Conus variegatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","variegatus","Kiener, 1845",192516,2012,"LC","","Marine"
"Conus varius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","varius","Linnaeus, 1758",192694,2013,"LC","","Marine"
"Conus vaubani","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vaubani","Röckel &amp; Moolenbeek, 1995",192456,2013,"DD","","Marine"
"Conus vayssetianus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vayssetianus","Lamarck, 1810",192443,2013,"LC","","Marine"
"Conus vayssierei","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vayssierei","Gmelin, 1791",192390,2012,"LC","","Marine"
"Conus veillardi ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","veillardi ","Hwass in Bruguière, 1792",192533,2013,"LC","","Marine"
"Conus velaensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","velaensis","Petuch, 1993",192783,2013,"LC","","Marine"
"Conus venezuelanus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","venezuelanus","Petuch, 1987",192555,2013,"LC","","Marine"
"Conus ventricosus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","ventricosus","Gmelin, 1791",192390,2012,"LC","","Marine"
"Conus venulatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","venulatus","Hwass in Bruguière, 1792",192455,2012,"LC","","Marine"
"Conus venustus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","venustus","Gmelin, 1791",192579,2013,"LC","","Marine"
"Conus verdensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","verdensis","Trovão, 1979",192726,2012,"LC","D2","Marine"
"Conus vermiculatus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vermiculatus ","(Röding, 1798)",192580,2013,"LC","","Marine"
"Conus verreauxii","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","verreauxii","Linnaeus, 1758",192647,2013,"LC","","Marine"
"Conus verriculum","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","verriculum","Linnaeus, 1758",192316,2013,"LC","","Marine"
"Conus verulosus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","verulosus","Linnaeus, 1758",192624,2013,"LC","","Marine"
"Conus   vespertinus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus "," vespertinus","Hwass in Bruguière, 1792",192838,2013,"LC","","Marine"
"Conus vexillum","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vexillum","Gmelin, 1791",192778,2013,"LC","","Marine"
"Conus viaderi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","viaderi","Blumenbach, 1791",192688,2013,"LC","","Marine"
"Conus vicarius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vicarius","Linnaeus, 1758",192383,2013,"LC","","Marine"
"Conus vicarius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vicarius","Blumenbach, 1791",192688,2013,"LC","","Marine"
"Conus  vicarius","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","vicarius","Linnaeus, 1758",192383,2013,"LC","","Marine"
"Conus vicdani","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vicdani","Kosuge, 1981",192728,2013,"LC","","Marine"
"Conus victoriae","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","victoriae","Reeve, 1843",192529,2013,"LC","","Marine"
"Conus vicweei","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vicweei","Old, 1973",192585,2013,"LC","","Marine"
"Conus  vidua ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","vidua ","Hwass in Bruguière, 1792",192587,2013,"LC","","Marine"
"Conus villepinii","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","villepinii","P. Fisher &amp; Bernardi, 1857",192444,2013,"LC","","Marine"
"Conus vimineus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vimineus","Reeve, 1849",192616,2013,"LC","","Marine"
"Conus vincoomnes","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vincoomnes","Linnaeus, 1758",192558,2013,"LC","","Marine"
"Conus vinctus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vinctus","Gmelin, 1791",192727,2013,"LC","","Marine"
"Conus viola","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","viola","Cernohorsky, 1977",192692,2013,"LC","","Marine"
"Conus violaceus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","violaceus","Gmelin, 1791",192430,2013,"LC","","Marine"
"Conus   violaceus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus  ","violaceus ","Cernohorsky, 1977",192692,2013,"LC","","Marine"
"Conus viperinus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","viperinus","Hwass in Bruguière, 1792",192819,2013,"LC","","Marine"
"Conus virgatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","virgatus","Reeve, 1849",192679,2013,"LC","","Marine"
"Conus virgo","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","virgo","Linnaeus, 1758",192853,2013,"LC","","Marine"
"Conus viridis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","viridis","Hwass in Bruguière, 1792",192428,2013,"LC","","Marine"
"Conus visagenus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","visagenus","Kilburn, 1974",192312,2013,"LC","","Marine"
"Conus vittatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vittatus","Hwass in Bruguière, 1792",192582,2013,"LC","","Marine"
"Conus voluminalis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","voluminalis","Reeve, 1843",192873,2013,"LC","","Marine"
"Conus vulcanus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","vulcanus","Tenorio &amp; Afonso, 2004",192596,2012,"LC","D2","Marine"
"Conus wakayamaensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","wakayamaensis","(Kuroda, 1956)",192875,2013,"LC","","Marine"
"Conus wallangra","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","wallangra","(Garrard, 1961)",192490,2013,"DD","","Marine"
"Conus weinkauffii","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","weinkauffii","Gmelin, 1791",192525,2013,"LC","","Marine"
"Conus  wilmeri","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","wilmeri","Reeve, 1843",192528,2013,"LC","","Marine"
"Conus wilsi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","wilsi","Delsaerdt, 1998",192774,2013,"DD","","Marine"
"Conus  wistaria ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","wistaria ","Reeve, 1843",192835,2013,"LC","","Marine"
"Conus wittigi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","wittigi","Walls, 1977",192677,2013,"LC","","Marine"
"Conus woolseyi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","woolseyi","Born, 1778",192831,2013,"LC","","Marine"
"Conus worcesteri","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","worcesteri","Linnaeus, 1758",192549,2013,"LC","","Marine"
"Conus worki","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","worki","Petuch, 1998",192622,2013,"LC","","Marine"
"Conus xanthicus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","xanthicus","Dall, 1910",192810,2013,"LC","","Marine"
"Conus xicoi","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","xicoi","Röckel, 1987",192492,2012,"VU","D2","Marine"
"Conus ximenes","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","ximenes","Gray, 1939",192816,2013,"LC","","Marine"
"Conus zandbergeni","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zandbergeni","Filmer &amp; Moolenbeek, 2010",192396,2013,"LC","","Marine"
"Conus zapatosensis","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zapatosensis","Röckel, 1987",192860,2013,"LC","","Marine"
"Conus zealandicus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zealandicus","Gmelin, 1791",192390,2012,"LC","","Marine"
"Conus  zealandicus ","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus ","zealandicus ","Reeve, 1843",192341,2013,"LC","","Marine"
"Conus zebra","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zebra","Lamarck, 1810",192280,2013,"DD","","Marine"
"Conus zebroides","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zebroides","Kiener, 1845",5273,2013,"NT","","Marine"
"Conus zeylanicus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zeylanicus","Gmelin, 1791",192864,2013,"LC","","Marine"
"Conus zonatus","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zonatus","Hwass in Bruguière, 1792",192351,2013,"LC","","Marine"
"Conus zukiae","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zukiae","Hwass in Bruguière, 1792",192356,2013,"LC","","Marine"
"Conus zulu","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zulu","Linnaeus, 1758",192298,2013,"LC","","Marine"
"Conus zylmanae","GASTROPODA","NEOGASTROPODA","CONIDAE","Conus","zylmanae","Petuch, 1998",192303,2013,"LC","","Marine"
"Conyza s,cula","MAGNOLIOPSIDA","ASTERALES","COMPOSITAE","Conyza","s,cula","(L.) Moris",19082979,2014,"LC","","Marine"
"Coradion altivelis","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","altivelis","McCulloch, 1916",165697,2010,"LC","","Marine"
"Coradion altivelus","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","altivelus","McCulloch, 1916",165697,2010,"LC","","Marine"
"Coradion chrysozonus","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","chrysozonus","(Cuvier, 1831)",165702,2010,"LC","","Marine"
"Coradion desmotes","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","desmotes","(Temminck &amp; Schlegel, 1844)",165677,2010,"LC","","Marine"
"Coradion fulvocinctus","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","fulvocinctus","McCulloch, 1916",165697,2010,"LC","","Marine"
"Coradion jayakari","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","jayakari","(Norman, 1939)",165614,2010,"LC","","Marine"
"Coradion melanopus","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","melanopus","(Cuvier, 1831)",155193,2010,"LC","","Marine"
"Coradion modestum","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","modestum","(Temminck &amp; Schlegel, 1844)",165677,2010,"LC","","Marine"
"Coradion modestus","ACTINOPTERYGII","PERCIFORMES","CHAETODONTIDAE","Coradion","modestus","(Temminck &amp; Schlegel, 1844)",165677,2010,"LC","","Marine"
"Coralliozetus angelica","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","angelica","(Böhlke &amp; Mead, 1957)",183303,2010,"LC","","Marine"
"Coralliozetus angelicus","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","angelicus","(Böhlke &amp; Mead, 1957)",183303,2010,"LC","","Marine"
"Coralliozetus boehlkei","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","boehlkei","Stephens, 1963",184014,2010,"LC","","Marine"
"Coralliozetus cardonae","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","cardonae","Evermann &amp; Marsh, 1899",47142899,2014,"LC","","Marine"
"Coralliozetus diaphanus","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","diaphanus","Longley, 1927",185179,2014,"LC","","Marine"
"Coralliozetus micropes","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","micropes","(Beebe &amp; Tee-Van, 1938)",183952,2010,"LC","","Marine"
"Coralliozetus ramirezi","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","ramirezi","(Cervigón, 1999)",47143206,2014,"LC","","Marine"
"Coralliozetus rosenblatti","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","rosenblatti","Stephens, 1963",183851,2010,"LC","","Marine"
"Coralliozetus springeri","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","springeri","Stephens &amp; Johnson, 1966",183319,2010,"LC","","Marine"
"Coralliozetus tayrona","ACTINOPTERYGII","PERCIFORMES","CHAENOPSIDAE","Coralliozetus","tayrona","(Acero, 1987)",5325,2014,"DD","","Marine"
"Corbicula fluminea","BIVALVIA","VENEROIDA","CYRENIDAE","Corbicula","fluminea","(Müller, 1774)",155736,2012,"LC","","Marine"
"Corbicula grandis","BIVALVIA","VENEROIDA","CYRENIDAE","Corbicula","grandis","(Müller, 1774)",155736,2012,"LC","","Marine"
"Corbicula obtruncata","BIVALVIA","VENEROIDA","CYRENIDAE","Corbicula","obtruncata","(Müller, 1774)",155736,2012,"LC","","Marine"
"Corcyrogobius liechtensteini","ACTINOPTERYGII","PERCIFORMES","GOBIIDAE","Corcyrogobius","liechtensteini","(Kolombatovic, 1891)",194865,2014,"LC","","Marine"
"Coregonoides vittatus","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coregonoides","vittatus","(Forster, 1801)",190678,2012,"LC","","Marine"
"Coregonus artedi","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Coregonus","artedi","Lesueur, 1818",5362,1996,"NT","","Marine"
"Coregonus artedii","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Coregonus","artedii","Lesueur, 1818",5362,1996,"NT","","Marine"
"Coregonus huntsmani","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Coregonus","huntsmani","Scott, 1987",5379,1996,"VU","D2","Marine"
"Coregonus subautumnalis","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Coregonus","subautumnalis","Kaganowsky, 1932",169628,2009,"VU","A2cd+3cd","Marine"
"Coregonus widegreni","ACTINOPTERYGII","SALMONIFORMES","SALMONIDAE","Coregonus","widegreni","Malmgren, 1863",135612,2008,"DD","","Marine"
"Corica soborna","ACTINOPTERYGII","CLUPEIFORMES","CLUPEIDAE","Corica","soborna","Hamilton, 1822",166428,2010,"LC","","Marine"
"Coricus fasciatus","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coricus","fasciatus","(Cocco, 1833)",187678,2014,"LC","","Marine"
"Coris africana","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","africana","(Bennett, 1831)",187640,2010,"LC","","Marine"
"Coris angulata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","angulata","Lacepède, 1801",187802,2010,"LC","","Marine"
"Coris angulatus","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","angulatus","Lacepède, 1801",187802,2010,"LC","","Marine"
"Coris argenteostriata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","argenteostriata","Vaillant &amp; Sauvage, 1875",187498,2010,"LC","","Marine"
"Coris atlantica","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","atlantica","Günther, 1862",187532,2010,"LC","","Marine"
"Coris auricularis","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","auricularis","(Valenciennes, 1839)",187764,2010,"LC","","Marine"
"Coris aurilineata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","aurilineata","Randall &amp; Kuiter, 1982",187729,2010,"LC","","Marine"
"Coris aygula","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","aygula","Lacepède, 1801",187802,2010,"LC","","Marine"
"Coris aygula","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","aygula","Randall &amp; Kuiter, 1982",187392,2010,"VU","B2ab(ii,v)","Marine"
"Coris ballieui","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","ballieui","Vaillant &amp; Sauvage, 1875",187498,2010,"LC","","Marine"
"Coris batuensis","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","batuensis","(Bleeker, 1856)",187417,2010,"LC","","Marine"
"Coris bleekeri","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","bleekeri","(Hubrecht, 1876)",187472,2010,"LC","","Marine"
"Coris bulbifrons","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","bulbifrons","Randall &amp; Kuiter, 1982",187392,2010,"VU","B2ab(ii,v)","Marine"
"Coris caudimacula","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","caudimacula","(Quoy &amp; Gaimard, 1834)",155006,2010,"LC","","Marine"
"Coris centralis","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","centralis","Randall, 1999",187792,2010,"LC","","Marine"
"Coris coronata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","coronata","(Bleeker, 1856)",187417,2010,"LC","","Marine"
"Coris cuvieri","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","cuvieri","(Bennett, 1831)",187640,2010,"LC","","Marine"
"Coris cyaena","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","cyaena","Randall &amp; Kuiter, 1982",187392,2010,"VU","B2ab(ii,v)","Marine"
"Coris cyanea","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","cyanea","Lacepède, 1801",187802,2010,"LC","","Marine"
"Coris debueni","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","debueni","Randall, 1999",187628,2010,"LC","","Marine"
"Coris dorsomacula","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","dorsomacula","Fowler, 1908",187450,2010,"LC","","Marine"
"Coris dorsomaculata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","dorsomaculata","Fowler, 1908",187450,2010,"LC","","Marine"
"Coris dorsumacula","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","dorsumacula","Fowler, 1908",187450,2010,"LC","","Marine"
"Coris eydouxii","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","eydouxii","(Bennett, 1828)",187602,2010,"LC","","Marine"
"Coris festiva","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","festiva","(Linnaeus, 1758)",187752,2010,"LC","","Marine"
"Coris flavovittata","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","flavovittata","(Bennett, 1828)",187602,2010,"LC","","Marine"
"Coris formosa","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","formosa","(Bennett, 1830)",187664,2010,"LC","","Marine"
"Coris frerei","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","frerei","(Bennett, 1830)",187664,2010,"LC","","Marine"
"Coris freri","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","freri","(Bennett, 1830)",187664,2010,"LC","","Marine"
"Coris gaimard","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","gaimard","(Quoy &amp; Gaimard, 1824)",187436,2010,"LC","","Marine"
"Coris gaimard africana","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","gaimard africana","(Bennett, 1831)",187640,2010,"LC","","Marine"
"Coris gaimard gaimard","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","gaimard gaimard","(Quoy &amp; Gaimard, 1824)",187436,2010,"LC","","Marine"
"Coris gaimardi","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","gaimardi","(Quoy &amp; Gaimard, 1824)",187436,2010,"LC","","Marine"
"Coris greenoughii","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","greenoughii","(Quoy &amp; Gaimard, 1824)",187436,2010,"LC","","Marine"
"Coris greenovii","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","greenovii","(Quoy &amp; Gaimard, 1824)",187436,2010,"LC","","Marine"
"Coris guineensis","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","guineensis","Günther, 1862",187532,2010,"LC","","Marine"
"Coris halei","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","halei","(Bennett, 1830)",187664,2010,"LC","","Marine"
"Coris hewetti","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","hewetti","Randall, 1999",187659,2010,"LC","","Marine"
"Coris hupferi","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","hupferi","Günther, 1862",187532,2010,"LC","","Marine"
"Coris imbris","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Coris","imbris","Lacepède, 1801",187802,2010,"LC","","Marine"
