sp_type,sp_type_orig,sp_name_orig,sp_id,sp_name,sp_id_old_notunique,sp_key,rgn_type,rgn_id,rgn_name,rgn_key,cntry_id12,rgn_id12,rgn_name12,notes
eez,eez,New Zealand,162,New Zealand,162,NZL,eez,162,New Zealand,NZL,NZL,115,New Zealand,
land,land,New Zealand,162,New Zealand,162,NZL,land,162,New Zealand,NZL,NZL,115,New Zealand,
eez,eez,Nauru,10,Nauru,10,NRU,eez,10,Nauru,NRU,NRU,8,Nauru,
land,land,Nauru,10,Nauru,10,NRU,land,10,Nauru,NRU,NRU,8,Nauru,
land-noeez,land-noeez,Nepal,325,Nepal,325,NPL,land-noeez,325,Nepal,NPL,,,,
eez,eez,Norway,223,Norway,223,NOR,eez,223,Norway,NOR,NOR,169,Norway,
eez,eez,Svalbard,253,Svalbard,223,SVA,eez,223,Norway,NOR,NOR,169,Norway,
land,land,Norway,223,Norway,223,NOR,land,223,Norway,NOR,NOR,169,Norway,
land,land,Svalbard,253,Svalbard,223,SVA,land,223,Norway,NOR,NOR,169,Norway,
eez,eez,Netherlands,177,Netherlands,177,NLD,eez,177,Netherlands,NLD,NLD,128,Netherlands,
land,land,Netherlands,177,Netherlands,177,NLD,land,177,Netherlands,NLD,NLD,128,Netherlands,
eez,eez,Niue,154,Niue,154,NIU,eez,154,Niue,NIU,NIU,115,New Zealand,
land,land,Niue,154,Niue,154,NIU,land,154,Niue,NIU,NIU,115,New Zealand,
eez,eez,Nicaragua,131,Nicaragua,131,NIC,eez,131,Nicaragua,NIC,NIC,97,Nicaragua,
land,land,Nicaragua,131,Nicaragua,131,NIC,land,131,Nicaragua,NIC,NIC,97,Nicaragua,
eez,eez,Nigeria,196,Nigeria,196,NGA,eez,196,Nigeria,NGA,NGA,147,Nigeria,
land,land,Nigeria,196,Nigeria,196,NGA,land,196,Nigeria,NGA,NGA,147,Nigeria,
eez,eez,Norfolk Island,3,Norfolk Island,3,NFK,eez,3,Norfolk Island,NFK,NFK,1,Australian Tropical Territories,
land,land,Norfolk Island,3,Norfolk Island,3,NFK,land,3,Norfolk Island,NFK,NFK,1,Australian Tropical Territories,
land-noeez,land-noeez,Niger,326,Niger,326,NER,land-noeez,326,Niger,NER,,,,
eez,eez,New Caledonia,5,New Caledonia,5,NCL,eez,5,New Caledonia,NCL,NCL,3,New Caledonia,
land,land,New Caledonia,5,New Caledonia,5,NCL,land,5,New Caledonia,NCL,NCL,3,New Caledonia,
eez,eez,Namibia,101,Namibia,101,NAM,eez,101,Namibia,NAM,NAM,74,Namibia,
land,land,Namibia,101,Namibia,101,NAM,land,101,Namibia,NAM,NAM,74,Namibia,
eez,eez,Mayotte,29,Mayotte,29,MYT,eez,29,Mayotte,MYT,MYT,21,French Indian Ocean Territories,
land,land,Mayotte,29,Mayotte,29,MYT,land,29,Mayotte,MYT,MYT,21,French Indian Ocean Territories,
eez,eez,Malaysia,206,Malaysia,206,MYS,eez,206,Malaysia,MYS,MYS,156,Malaysia,
land,land,Malaysia,206,Malaysia,206,MYS,land,206,Malaysia,MYS,MYS,156,Malaysia,
land-noeez,land-noeez,Malawi,321,Malawi,321,MWI,land-noeez,321,Malawi,MWI,,,,
eez,eez,Mauritius,37,Mauritius,37,MUS,eez,37,Mauritius,MUS,MUS,23,Mauritius,
land,land,Mauritius,37,Mauritius,37,MUS,land,37,Mauritius,MUS,MUS,23,Mauritius,
eez,eez,Montserrat,121,Montserrat,121,MSR,eez,121,Montserrat,MSR,MSR,85,British Caribbean Territories,
land,land,Montserrat,121,Montserrat,121,MSR,land,121,Montserrat,MSR,MSR,85,British Caribbean Territories,
eez,eez,Mauritania,64,Mauritania,64,MRT,eez,64,Mauritania,MRT,MRT,47,Mauritania,
land,land,Mauritania,64,Mauritania,64,MRT,land,64,Mauritania,MRT,MRT,47,Mauritania,
eez,eez,Mozambique,41,Mozambique,41,MOZ,eez,41,Mozambique,MOZ,MOZ,27,Mozambique,
land,land,Mozambique,41,Mozambique,41,MOZ,land,41,Mozambique,MOZ,MOZ,27,Mozambique,
eez,eez,Northern Mariana Islands and Guam,13,Northern Mariana Islands and Guam,13,MNP,eez,13,Northern Mariana Islands and Guam,MNP,MNP|GUM,111,USA Pacific Inhabited Territories,
land,land,Northern Mariana Islands and Guam,13,Northern Mariana Islands and Guam,13,MNP,land,13,Northern Mariana Islands and Guam,MNP,MNP|GUM,111,USA Pacific Inhabited Territories,
land-noeez,land-noeez,Mongolia,324,Mongolia,324,MNG,land-noeez,324,Mongolia,MNG,,,,
eez,eez,Montenegro,186,Montenegro,186,MNE,eez,186,Montenegro,MNE,SCG,137,Serbia and Montenegro,
land,land,Montenegro,186,Montenegro,186,MNE,land,186,Montenegro,MNE,SCG,137,Serbia and Montenegro,
eez,eez,Myanmar,205,Myanmar,205,MMR,eez,205,Myanmar,MMR,MMR,155,Myanmar,
land,land,Myanmar,205,Myanmar,205,MMR,land,205,Myanmar,MMR,MMR,155,Myanmar,
eez,eez,Malta,68,Malta,68,MLT,eez,68,Malta,MLT,MLT,51,Malta,
land,land,Malta,68,Malta,68,MLT,land,68,Malta,MLT,MLT,51,Malta,
land-noeez,land-noeez,Mali,322,Mali,322,MLI,land-noeez,322,Mali,MLI,,,,
land-noeez,land-noeez,Macedonia,320,Macedonia,320,MKD,land-noeez,320,Macedonia,MKD,,,,
eez,eez,Marshall Islands,11,Marshall Islands,11,MHL,eez,11,Marshall Islands,MHL,MHL,9,Marshall Islands,
land,land,Marshall Islands,11,Marshall Islands,11,MHL,land,11,Marshall Islands,MHL,MHL,9,Marshall Islands,
eez,eez,Mexico,135,Mexico,135,MEX,eez,135,Mexico,MEX,MEX,101,Mexico,
land,land,Mexico,135,Mexico,135,MEX,land,135,Mexico,MEX,MEX,101,Mexico,
eez,eez,Maldives,39,Maldives,39,MDV,eez,39,Maldives,MDV,MDV,25,Maldives,
land,land,Maldives,39,Maldives,39,MDV,land,39,Maldives,MDV,MDV,25,Maldives,
eez,eez,Madagascar,42,Madagascar,42,MDG,eez,42,Madagascar,MDG,MDG,28,Madagascar,
land,land,Madagascar,42,Madagascar,42,MDG,land,42,Madagascar,MDG,MDG,28,Madagascar,
land-noeez,land-noeez,Moldova,323,Moldova,323,MDA,land-noeez,323,Moldova,MDA,,,,
eez,eez,Monaco,185,Monaco,185,MCO,eez,185,Monaco,MCO,MCO,136,Monaco,
land,land,Monaco,185,Monaco,185,MCO,land,185,Monaco,MCO,MCO,136,Monaco,
eez,eez,Morocco,62,Morocco,62,MAR,eez,62,Morocco,MAR,MAR,45,Morocco,
land,land,Morocco,62,Morocco,62,MAR,land,62,Morocco,MAR,MAR,45,Morocco,
eez,eez,Northern Saint-Martin,221,Northern Saint-Martin,221,MAF,eez,221,Northern Saint-Martin,MAF,MAF,106,French Caribbean Territories,
land,land,Northern Saint-Martin,221,Northern Saint-Martin,221,MAF,land,221,Northern Saint-Martin,MAF,MAF,106,French Caribbean Territories,
eez,eez,Latvia,69,Latvia,69,LVA,eez,69,Latvia,LVA,LVA,52,Latvia,
land,land,Latvia,69,Latvia,69,LVA,land,69,Latvia,LVA,LVA,52,Latvia,
land-noeez,land-noeez,Luxembourg,319,Luxembourg,319,LUX,land-noeez,319,Luxembourg,LUX,,,,
eez,eez,Lithuania,189,Lithuania,189,LTU,eez,189,Lithuania,LTU,LTU,140,Lithuania,
land,land,Lithuania,189,Lithuania,189,LTU,land,189,Lithuania,LTU,LTU,140,Lithuania,
eez,eez,Sri Lanka,40,Sri Lanka,40,LKA,eez,40,Sri Lanka,LKA,LKA,26,Sri Lanka,
land,land,Sri Lanka,40,Sri Lanka,40,LKA,land,40,Sri Lanka,LKA,LKA,26,Sri Lanka,
land-noeez,land-noeez,Liechtenstein,318,Liechtenstein,318,LIE,land-noeez,318,Liechtenstein,LIE,,,,
eez,eez,Saint Lucia,122,Saint Lucia,122,LCA,eez,122,Saint Lucia,LCA,LCA,88,Saint Lucia,
land,land,Saint Lucia,122,Saint Lucia,122,LCA,land,122,Saint Lucia,LCA,LCA,88,Saint Lucia,
eez,eez,Libya,67,Libya,67,LBY,eez,67,Libya,LBY,LBY,50,Libya,
land,land,Libya,67,Libya,67,LBY,land,67,Libya,LBY,LBY,50,Libya,
eez,eez,Liberia,97,Liberia,97,LBR,eez,97,Liberia,LBR,LBR,70,Liberia,
land,land,Liberia,97,Liberia,97,LBR,land,97,Liberia,LBR,LBR,70,Liberia,
eez,eez,Lebanon,78,Lebanon,78,LBN,eez,78,Lebanon,LBN,LBN,61,Lebanon,
land,land,Lebanon,78,Lebanon,78,LBN,land,78,Lebanon,LBN,LBN,61,Lebanon,
land-noeez,land-noeez,Laos,317,Laos,317,LAO,land-noeez,317,Laos,LAO,,,,
eez,eez,Kuwait,51,Kuwait,51,KWT,eez,51,Kuwait,KWT,KWT,37,Kuwait,
land,land,Kuwait,51,Kuwait,51,KWT,land,51,Kuwait,KWT,KWT,37,Kuwait,
eez,eez,South Korea,20,South Korea,20,KOR,eez,20,South Korea,KOR,KOR,16,South Korea,
land,land,South Korea,20,South Korea,20,KOR,land,20,South Korea,KOR,KOR,16,South Korea,
eez,eez,Saint Kitts and Nevis,119,Saint Kitts and Nevis,119,KNA,eez,119,Saint Kitts and Nevis,KNA,KNA,86,Saint Kitts and Nevis,
land,land,Saint Kitts and Nevis,119,Saint Kitts and Nevis,119,KNA,land,119,Saint Kitts and Nevis,KNA,KNA,86,Saint Kitts and Nevis,
eez,eez,Kiribati,212,Kiribati,212,KIR,eez,212,Kiribati,KIR,KIR,161,Kiribati,
land,land,Kiribati,212,Kiribati,212,KIR,land,212,Kiribati,KIR,KIR,161,Kiribati,
eez,eez,Cambodia,24,Cambodia,24,KHM,eez,24,Cambodia,KHM,KHM,18,Cambodia,
land,land,Cambodia,24,Cambodia,24,KHM,land,24,Cambodia,KHM,KHM,18,Cambodia,
land-noeez,land-noeez,Kyrgyzstan,316,Kyrgyzstan,316,KGZ,land-noeez,316,Kyrgyzstan,KGZ,,,,
eez,eez,Kenya,43,Kenya,43,KEN,eez,43,Kenya,KEN,KEN,29,Kenya,
land,land,Kenya,43,Kenya,43,KEN,land,43,Kenya,KEN,KEN,29,Kenya,
eez-inland,eez-inland,Kazakhstan,242,Kazakhstan,242,KAZ,eez-inland,255,Kazakhstan,KAZ,,173,,
land-noeez,land-noeez,Kazakhstan,242,Kazakhstan,242,KAZ,land-noeez,255,Kazakhstan,KAZ,,173,,
eez,eez,Japan,210,Japan,210,JPN,eez,210,Japan,JPN,JPN,160,Japan,
land,land,Japan,210,Japan,210,JPN,land,210,Japan,JPN,JPN,160,Japan,
eez,eez,Jordan,215,Jordan,215,JOR,eez,215,Jordan,JOR,JOR,164,Jordan,
land,land,Jordan,215,Jordan,215,JOR,land,215,Jordan,JOR,JOR,164,Jordan,
eez,eez,Jersey,227,Jersey,227,JEY,eez,227,Jersey,JEY,JEY,131,United Kingdom,
land,land,Jersey,227,Jersey,227,JEY,land,227,Jersey,JEY,JEY,131,United Kingdom,
eez,eez,Jamaica,166,Jamaica,166,JAM,eez,166,Jamaica,JAM,JAM,118,Jamaica,
land,land,Jamaica,166,Jamaica,166,JAM,land,166,Jamaica,JAM,JAM,118,Jamaica,
eez,eez,Italy,184,Italy,184,ITA,eez,184,Italy,ITA,ITA,135,Italy,
land,land,Italy,184,Italy,184,ITA,land,184,Italy,ITA,ITA,135,Italy,
eez,eez,Israel,79,Israel,79,ISR,eez,79,Israel,ISR,ISR,62,Israel,
land,land,Israel,79,Israel,79,ISR,land,79,Israel,ISR,ISR,62,Israel,
eez,eez,Iceland,143,Iceland,143,ISL,eez,143,Iceland,ISL,ISL,107,Iceland,
land,land,Iceland,143,Iceland,143,ISL,land,143,Iceland,ISL,ISL,107,Iceland,
eez,eez,Iraq,192,Iraq,192,IRQ,eez,192,Iraq,IRQ,IRQ,143,Iraq ,
land,land,Iraq,192,Iraq,192,IRQ,land,192,Iraq,IRQ,IRQ,143,Iraq ,
eez,eez,Iran,191,Iran,191,IRN,eez,191,Iran,IRN,IRN,142,Iran,
eez-inland,eez-inland,Iran,191,Iran,191,IRN,eez-inland,191,Iran,IRN,,142,,
land,land,Iran,191,Iran,191,IRN,land,191,Iran,IRN,IRN,142,Iran,
eez,eez,Ireland,181,Ireland,181,IRL,eez,181,Ireland,IRL,IRL,132,Ireland,
land,land,Ireland,181,Ireland,181,IRL,land,181,Ireland,IRL,IRL,132,Ireland,
eez,eez,British Indian Ocean Territory,38,British Indian Ocean Territory,38,IOT,eez,38,British Indian Ocean Territory,IOT,IOT,24,British Indian Ocean Territory,
land,land,British Indian Ocean Territory,38,British Indian Ocean Territory,38,IOT,land,38,British Indian Ocean Territory,IOT,IOT,24,British Indian Ocean Territory,
eez,eez,India,203,India,203,IND,eez,203,India,IND,IND,153,India,
land,land,India,203,India,203,IND,land,203,India,IND,IND,153,India,
eez,eez,Indonesia,216,Indonesia,216,IDN,eez,216,Indonesia,IDN,IDN,165,Indonesia,
land,land,Indonesia,216,Indonesia,216,IDN,land,216,Indonesia,IDN,IDN,165,Indonesia,
land-noeez,land-noeez,Hungary,315,Hungary,315,HUN,land-noeez,315,Hungary,HUN,,,,
eez,eez,Haiti,114,Haiti,114,HTI,eez,114,Haiti,HTI,HTI,82,Haiti,
land,land,Haiti,114,Haiti,114,HTI,land,114,Haiti,HTI,HTI,82,Haiti,
eez,eez,Croatia,187,Croatia,187,HRV,eez,187,Croatia,HRV,HRV,138,Croatia,
land,land,Croatia,187,Croatia,187,HRV,land,187,Croatia,HRV,HRV,138,Croatia,
eez,eez,Honduras,133,Honduras,133,HND,eez,133,Honduras,HND,HND,99,Honduras,
land,land,Honduras,133,Honduras,133,HND,land,133,Honduras,HND,HND,99,Honduras,
eez,eez,Heard and McDonald Islands,94,Heard and McDonald Islands,94,HMD,eez,94,Heard and McDonald Islands,HMD,HMD,2,Australian Southern Ocean Territories,
land,land,Heard and McDonald Islands,94,Heard and McDonald Islands,94,HMD,land,94,Heard and McDonald Islands,HMD,HMD,2,Australian Southern Ocean Territories,
eez,eez,Guyana,167,Guyana,167,GUY,eez,167,Guyana,GUY,GUY,119,Guyana,
land,land,Guyana,167,Guyana,167,GUY,land,167,Guyana,GUY,GUY,119,Guyana,
eez,eez,French Guiana,169,French Guiana,169,GUF,eez,169,French Guiana,GUF,GUF,121,French Guiana,
land,land,French Guiana,169,French Guiana,169,GUF,land,169,French Guiana,GUF,GUF,121,French Guiana,
eez,eez,Guatemala,136,Guatemala,136,GTM,eez,136,Guatemala,GTM,GTM,102,Guatemala,
land,land,Guatemala,136,Guatemala,136,GTM,land,136,Guatemala,GTM,GTM,102,Guatemala,
eez,eez,Greenland,145,Greenland,145,GRL,eez,145,Greenland,GRL,GRL,126,Denmark,
land,land,Greenland,145,Greenland,145,GRL,land,145,Greenland,GRL,GRL,126,Denmark,
eez,eez,Grenada,125,Grenada,125,GRD,eez,125,Grenada,GRD,GRD,91,Grenada,
land,land,Grenada,125,Grenada,125,GRD,land,125,Grenada,GRD,GRD,91,Grenada,
eez,eez,Greece,80,Greece,80,GRC,eez,80,Greece,GRC,GRC,63,Greece,
land,land,Greece,80,Greece,80,GRC,land,80,Greece,GRC,GRC,63,Greece,
eez,eez,Equatorial Guinea,104,Equatorial Guinea,104,GNQ,eez,104,Equatorial Guinea,GNQ,GNQ,77,Equatorial Guinea,
land,land,Equatorial Guinea,104,Equatorial Guinea,104,GNQ,land,104,Equatorial Guinea,GNQ,GNQ,77,Equatorial Guinea,
eez,eez,Guinea Bissau,193,Guinea Bissau,193,GNB,eez,193,Guinea Bissau,GNB,GNB,144,Guinea-Bissau,
land,land,Guinea Bissau,193,Guinea Bissau,193,GNB,land,193,Guinea Bissau,GNB,GNB,144,Guinea-Bissau,
eez,eez,Gambia,65,Gambia,65,GMB,eez,65,Gambia,GMB,GMB,48,Gambia,
land,land,Gambia,65,Gambia,65,GMB,land,65,Gambia,GMB,GMB,48,Gambia,
eez,eez,Guinea,194,Guinea,194,GIN,eez,194,Guinea,GIN,GIN,145,Guinea,
land,land,Guinea,194,Guinea,194,GIN,land,194,Guinea,GIN,GIN,145,Guinea,
eez,eez,Gibraltar,60,Gibraltar,60,GIB,eez,60,Gibraltar,GIB,GIB,43,Gibraltar,
land,land,Gibraltar,60,Gibraltar,60,GIB,land,60,Gibraltar,GIB,GIB,43,Gibraltar,
eez,eez,Ghana,106,Ghana,106,GHA,eez,106,Ghana,GHA,GHA,78,Ghana,
land,land,Ghana,106,Ghana,106,GHA,land,106,Ghana,GHA,GHA,78,Ghana,
eez,eez,Guernsey,228,Guernsey,228,GGY,eez,228,Guernsey,GGY,GGY,131,United Kingdom,
land,land,Guernsey,228,Guernsey,228,GGY,land,228,Guernsey,GGY,GGY,131,United Kingdom,
eez,eez,Georgia,74,Georgia,74,GEO,eez,74,Georgia,GEO,GEO,57,Georgia,
land,land,Georgia,74,Georgia,74,GEO,land,74,Georgia,GEO,GEO,57,Georgia,
eez,eez,United Kingdom,180,United Kingdom,180,GBR,eez,180,United Kingdom,GBR,GBR,131,United Kingdom,
land,land,United Kingdom,180,United Kingdom,180,GBR,land,180,United Kingdom,GBR,GBR,131,United Kingdom,
eez,eez,Gabon,198,Gabon,198,GAB,eez,198,Gabon,GAB,GAB,149,Gabon,
land,land,Gabon,198,Gabon,198,GAB,land,198,Gabon,GAB,GAB,149,Gabon,
eez,eez,Micronesia,9,Micronesia,9,FSM,eez,9,Micronesia,FSM,FSM,7,Micronesia,
land,land,Micronesia,9,Micronesia,9,FSM,land,9,Micronesia,FSM,FSM,7,Micronesia,
eez,eez,Faeroe Islands,141,Faeroe Islands,141,FRO,eez,141,Faeroe Islands,FRO,FRO,126,Denmark,
land,land,Faeroe Islands,141,Faeroe Islands,141,FRO,land,141,Faeroe Islands,FRO,FRO,126,Denmark,
eez,eez,France,179,France,179,FRA,eez,179,France,FRA,FRA,130,France,
land,land,France,179,France,179,FRA,land,179,France,FRA,FRA,130,France,
eez,eez,Falkland Islands,95,Falkland Islands,95,FLK,eez,95,Falkland Islands,FLK,FLK,68,British Southern Ocean Territories,
land,land,Falkland Islands,95,Falkland Islands,95,FLK,land,95,Falkland Islands,FLK,FLK,68,British Southern Ocean Territories,
eez,eez,Fiji,18,Fiji,18,FJI,eez,18,Fiji,FJI,FJI,14,Fiji,
land,land,Fiji,18,Fiji,18,FJI,land,18,Fiji,FJI,FJI,14,Fiji,
eez,eez,Finland,174,Finland,174,FIN,eez,174,Finland,FIN,FIN,125,Finland,
land,land,Finland,174,Finland,174,FIN,land,174,Finland,FIN,FIN,125,Finland,
land-noeez,land-noeez,Ethiopia,314,Ethiopia,314,ETH,land-noeez,314,Ethiopia,ETH,,,,
eez,eez,Estonia,70,Estonia,70,EST,eez,70,Estonia,EST,EST,53,Estonia,
land,land,Estonia,70,Estonia,70,EST,land,70,Estonia,EST,EST,53,Estonia,
eez,eez,Spain,182,Spain,182,ESP,eez,182,Spain,ESP,ESP,133,Spain,
land,land,Spain,182,Spain,182,ESP,land,182,Spain,ESP,ESP,133,Spain,
eez,eez,Western Sahara,63,Western Sahara,63,ESH,eez,63,Western Sahara,ESH,ESH,46,Western Sahara,
land,land,Western Sahara,63,Western Sahara,63,ESH,land,63,Western Sahara,ESH,ESH,46,Western Sahara,
eez,eez,Eritrea,45,Eritrea,45,ERI,eez,45,Eritrea,ERI,ERI,31,Eritrea,
land,land,Eritrea,45,Eritrea,45,ERI,land,45,Eritrea,ERI,ERI,31,Eritrea,
eez,eez,Egypt,214,Egypt,214,EGY,eez,214,Egypt,EGY,EGY,163,Egypt,
land,land,Egypt,214,Egypt,214,EGY,land,214,Egypt,EGY,EGY,163,Egypt,
eez,eez,Ecuador,137,Ecuador,137,ECU,eez,137,Ecuador,ECU,ECU,103,Ecuador,
eez,eez,Galapagos Islands,109,Galapagos Islands,109,ECU,eez,137,Ecuador,ECU,Galapagos Islands,103,Ecuador,
land,land,Ecuador,137,Ecuador,137,ECU,land,137,Ecuador,ECU,ECU,103,Ecuador,
land,land,Galapagos Islands,109,Galapagos Islands,109,ECU,land,137,Ecuador,ECU,Galapagos Islands,103,Ecuador,
eez,eez,Algeria,84,Algeria,84,DZA,eez,84,Algeria,DZA,DZA,66,Algeria,
land,land,Algeria,84,Algeria,84,DZA,land,84,Algeria,DZA,DZA,66,Algeria,
eez,eez,Dominican Republic,115,Dominican Republic,115,DOM,eez,115,Dominican Republic,DOM,DOM,83,Dominican Republic,
land,land,Dominican Republic,115,Dominican Republic,115,DOM,land,115,Dominican Republic,DOM,DOM,83,Dominican Republic,
eez,eez,Denmark,175,Denmark,175,DNK,eez,175,Denmark,DNK,DNK,126,Denmark,
land,land,Denmark,175,Denmark,175,DNK,land,175,Denmark,DNK,DNK,126,Denmark,
eez,eez,Dominica,123,Dominica,123,DMA,eez,123,Dominica,DMA,DMA,89,Dominica,
land,land,Dominica,123,Dominica,123,DMA,land,123,Dominica,DMA,DMA,89,Dominica,
eez,eez,Djibouti,46,Djibouti,46,DJI,eez,46,Djibouti,DJI,DJI,32,Djibouti,
land,land,Djibouti,46,Djibouti,46,DJI,land,46,Djibouti,DJI,DJI,32,Djibouti,
eez,eez,Germany,176,Germany,176,DEU,eez,176,Germany,DEU,DEU,127,Germany,
land,land,Germany,176,Germany,176,DEU,land,176,Germany,DEU,DEU,127,Germany,
land-noeez,land-noeez,Czech Republic,313,Czech Republic,313,CZE,land-noeez,313,Czech Republic,CZE,,,,
eez,eez,Cyprus,81,Cyprus,81,CYP,eez,81,Cyprus,CYP,CYP,64,Cyprus,
land,land,Cyprus,81,Cyprus,81,CYP,land,81,Cyprus,CYP,CYP,64,Cyprus,
eez,eez,Cayman Islands,113,Cayman Islands,113,CYM,eez,113,Cayman Islands,CYM,CYM,85,British Caribbean Territories,
land,land,Cayman Islands,113,Cayman Islands,113,CYM,land,113,Cayman Islands,CYM,CYM,85,British Caribbean Territories,
eez,eez,Christmas Island,2,Christmas Island,2,CXR,eez,2,Christmas Island,CXR,CXR,1,Australian Tropical Territories,
land,land,Christmas Island,2,Christmas Island,2,CXR,land,2,Christmas Island,CXR,CXR,1,Australian Tropical Territories,
eez,eez,Curacao,244,Curacao,244,CW,eez,244,Curacao,CUW,ANT,94,Netherlands Caribbean Territories,
land,land,Curacao,244,Curacao,244,CW,land,244,Curacao,CUW,ANT,94,Netherlands Caribbean Territories,
eez,eez,Cuba,112,Cuba,112,CUB,eez,112,Cuba,CUB,CUB,81,Cuba,
land,land,Cuba,112,Cuba,112,CUB,land,112,Cuba,CUB,CUB,81,Cuba,
eez,eez,Costa Rica,130,Costa Rica,130,CRI,eez,130,Costa Rica,CRI,CRI,96,Costa Rica,
land,land,Costa Rica,130,Costa Rica,130,CRI,land,130,Costa Rica,CRI,CRI,96,Costa Rica,
eez,eez,Cape Verde,56,Cape Verde,56,CPV,eez,56,Cape Verde,CPV,CPV,41,Cape Verde,
land,land,Cape Verde,56,Cape Verde,56,CPV,land,56,Cape Verde,CPV,CPV,41,Cape Verde,
eez,eez,Clipperton Island,107,Clipperton Island,107,CPT,eez,107,Clipperton Island,CPT,Clipperton Island,79,Clipperton Island,
land,land,Clipperton Island,107,Clipperton Island,107,CPT,land,107,Clipperton Island,CPT,Clipperton Island,79,Clipperton Island,
eez,eez,Comoro Islands,28,Comoro Islands,28,COM,eez,28,Comoro Islands,COM,COM,20,Comoros,
land,land,Comoro Islands,28,Comoro Islands,28,COM,land,28,Comoro Islands,COM,COM,20,Comoros,
eez,eez,Colombia,132,Colombia,132,COL,eez,132,Colombia,COL,COL,98,Colombia,actually 3 EEZs: Colombian Exclusive Economic Zone + (Quitasueno+ (Serrara)
land,land,Colombia,132,Colombia,132,COL,land,132,Colombia,COL,COL,98,Colombia,
eez,eez,Cook Islands,153,Cook Islands,153,COK,eez,153,Cook Islands,COK,COK,115,New Zealand,
land,land,Cook Islands,153,Cook Islands,153,COK,land,153,Cook Islands,COK,COK,115,New Zealand,
eez,eez,Republique du Congo,100,Republique du Congo,100,COG,eez,100,Republique du Congo,COG,COG,73,Republic of the Congo,
land,land,Republique du Congo,100,Republique du Congo,100,COG,land,100,Republique du Congo,COG,COG,73,Republic of the Congo,
eez,eez,Democratic Republic of the Congo,199,Democratic Republic of the Congo,199,COD,eez,199,Democratic Republic of the Congo,COD,COD,150,Democratic Republic of the Congo,
land,land,Democratic Republic of the Congo,199,Democratic Republic of the Congo,199,COD,land,199,Democratic Republic of the Congo,COD,COD,150,Democratic Republic of the Congo,
eez,eez,Cameroon,197,Cameroon,197,CMR,eez,197,Cameroon,CMR,CMR,148,Cameroon,
land,land,Cameroon,197,Cameroon,197,CMR,land,197,Cameroon,CMR,CMR,148,Cameroon,
eez,eez,Ivory Coast,195,Ivory Coast,195,CIV,eez,195,Ivory Coast,CIV,CIV,146,Ivory Coast,
land,land,Ivory Coast,195,Ivory Coast,195,CIV,land,195,Ivory Coast,CIV,CIV,146,Ivory Coast,
eez,eez,China,209,China,209,CHN,eez,209,China,CHN,CHN,159,China,
land,land,China,209,China,209,CHN,land,209,China,CHN,CHN,159,China,
eez,eez,Chile,224,Chile,224,CHL,eez,224,Chile,CHL,CHL,170,Chile,
eez,eez,Easter Island,225,Easter Island,225,CHL,eez,224,Chile,CHL,Easter Island,170,Chile,
land,land,Chile,224,Chile,224,CHL,land,224,Chile,CHL,CHL,170,Chile,
land,land,Easter Island,225,Easter Island,225,CHL,land,224,Chile,CHL,Easter Island,170,Chile,
land-noeez,land-noeez,Switzerland,332,Switzerland,332,CHE,land-noeez,332,Switzerland,CHE,,,,
eez,eez,Cocos Islands,1,Cocos Islands,1,CCK,eez,1,Cocos Islands,CCK,CCK,1,Australian Tropical Territories,
land,land,Cocos Islands,1,Cocos Islands,1,CCK,land,1,Cocos Islands,CCK,CCK,1,Australian Tropical Territories,
eez,eez,Canada,218,Canada,218,CAN,eez,218,Canada,CAN,CAN,166,Canada,
land,land,Canada,218,Canada,218,CAN,land,218,Canada,CAN,CAN,166,Canada,
land-noeez,land-noeez,Central African Republic,311,Central African Republic,311,CAF,land-noeez,311,Central African Republic,CAF,,,,
land-noeez,land-noeez,Botswana,308,Botswana,308,BWA,land-noeez,308,Botswana,BWA,,,,
eez,eez,Bouvet Island,105,Bouvet Island,105,BVT,eez,105,Bouvet Island,BVT,BVT,169,Norway,
land,land,Bouvet Island,105,Bouvet Island,105,BVT,land,105,Bouvet Island,BVT,BVT,169,Norway,
land-noeez,land-noeez,Bhutan,306,Bhutan,306,BTN,land-noeez,306,Bhutan,BTN,,,,
eez,eez,Brunei,247,Brunei,247,BRN,eez,247,Brunei,BRN,MYS,156,Malaysia,
land,land,Brunei,247,Brunei,247,BRN,land,247,Brunei,BRN,MYS,156,Malaysia,
eez,eez,Barbados,124,Barbados,124,BRB,eez,124,Barbados,BRB,BRB,90,Barbados,
land,land,Barbados,124,Barbados,124,BRB,land,124,Barbados,BRB,BRB,90,Barbados,
eez,eez,Brazil,171,Brazil,171,BRA,eez,171,Brazil,BRA,BRA,122,Brazil,
eez,eez,Trindade,87,Trindade,87,BRA,eez,171,Brazil,BRA,Trindade,122,Brazil,
land,land,Brazil,171,Brazil,171,BRA,land,171,Brazil,BRA,BRA,122,Brazil,
land,land,Trindade,87,Trindade,87,BRA,land,171,Brazil,BRA,Trindade,122,Brazil,
eez,eez,Bonaire,245,Bonaire,245,BQ,eez,245,Bonaire,XBQ,ANT,94,Netherlands Caribbean Territories,
land,land,Bonaire,245,Bonaire,245,BQ,land,245,Bonaire,XBQ,ANT,94,Netherlands Caribbean Territories,
land-noeez,land-noeez,Bolivia,307,Bolivia,307,BOL,land-noeez,307,Bolivia,BOL,,,,
