"fao_saup_id","taxon_name_key","year","catch"
"481_0","Channichthys rhinoceratus_6",1995,0
"481_0","Chionodraco rastrospinosus_6",1995,0
"481_0","Dissostichus eleginoides_6",1995,0
"481_0","Dissostichus mawsoni_6",1995,0
"481_0","Euphausia superba_6",1995,38165
"481_0","Lithodes murrayi_6",1995,0
"481_0","Loliginidae, Ommastrephidae_3",1995,0
"481_0","Myctophidae_4",1995,0
"481_0","Notothenia gibberifrons_6",1995,0
"481_0","Notothenia kempi_6",1995,0
"481_0","Notothenia neglecta_6",1995,0
"481_0","Notothenia rossii_6",1995,0
"481_0","Notothenia squamifrons_6",1995,0
"481_0","Nototheniidae_4",1995,0
"481_0","Nototheniops nudifrons_6",1995,0
"481_0","Osteichthyes_2",1995,0
"481_0","Pleuragramma antarcticum_6",1995,0
"481_0","Pseudochaenichthys georgianus_6",1995,0
"481_0","Rajiformes_3",1995,0
"481_0","Trematomus spp_5",1995,0
"481_0","Cephalopoda_2",1996,0
"481_0","Chaenocephalus aceratus_6",1996,0
"481_0","Chaenodraco wilsoni_6",1996,0
"481_0","Champsocephalus gunnari_6",1996,0
"481_0","Channichthyidae_4",1996,0
"481_0","Channichthys rhinoceratus_6",1996,0
"481_0","Chionodraco rastrospinosus_6",1996,0
"481_0","Dissostichus eleginoides_6",1996,0
"481_0","Dissostichus mawsoni_6",1996,0
"481_0","Euphausia superba_6",1996,61964
"481_0","Lithodes murrayi_6",1996,0
"481_0","Loliginidae, Ommastrephidae_3",1996,0
"481_0","Myctophidae_4",1996,0
"481_0","Notothenia gibberifrons_6",1996,0
"481_0","Notothenia kempi_6",1996,0
"481_0","Notothenia neglecta_6",1996,0
"481_0","Notothenia rossii_6",1996,0
"481_0","Notothenia squamifrons_6",1996,0
"481_0","Nototheniidae_4",1996,0
"481_0","Nototheniops nudifrons_6",1996,0
"481_0","Osteichthyes_2",1996,0
"481_0","Pleuragramma antarcticum_6",1996,0
"481_0","Pseudochaenichthys georgianus_6",1996,0
"481_0","Rajiformes_3",1996,0
"481_0","Trematomus spp_5",1996,0
"481_0","Cephalopoda_2",1997,0
"481_0","Chaenocephalus aceratus_6",1997,0
"481_0","Chaenodraco wilsoni_6",1997,0
"481_0","Champsocephalus gunnari_6",1997,0
"481_0","Channichthyidae_4",1997,0
"481_0","Channichthys rhinoceratus_6",1997,0
"481_0","Chionodraco rastrospinosus_6",1997,0
"481_0","Dissostichus eleginoides_6",1997,0
"481_0","Dissostichus mawsoni_6",1997,0
"481_0","Euphausia superba_6",1997,48843.404
"481_0","Lithodes murrayi_6",1997,0
"481_0","Loliginidae, Ommastrephidae_3",1997,0
"481_0","Myctophidae_4",1997,0
"481_0","Notothenia gibberifrons_6",1997,0
"481_0","Notothenia kempi_6",1997,0
"481_0","Notothenia neglecta_6",1997,0
"481_0","Notothenia rossii_6",1997,0
"481_0","Notothenia squamifrons_6",1997,0
"481_0","Nototheniidae_4",1997,0
"481_0","Nototheniops nudifrons_6",1997,0
"481_0","Osteichthyes_2",1997,0
"481_0","Pleuragramma antarcticum_6",1997,0
"481_0","Pseudochaenichthys georgianus_6",1997,0
"481_0","Rajiformes_3",1997,0
"481_0","Trematomus spp_5",1997,0
"481_0","Cephalopoda_2",1998,0
"481_0","Chaenocephalus aceratus_6",1998,0
"481_0","Chaenodraco wilsoni_6",1998,0
"481_0","Champsocephalus gunnari_6",1998,0
"481_0","Channichthyidae_4",1998,0
"481_0","Channichthys rhinoceratus_6",1998,0
"481_0","Chionodraco rastrospinosus_6",1998,0
"481_0","Dissostichus eleginoides_6",1998,0.033
"481_0","Dissostichus mawsoni_6",1998,1.156
"481_0","Euphausia superba_6",1998,56574.709
"481_0","Lithodes murrayi_6",1998,0
"481_0","Loliginidae, Ommastrephidae_3",1998,0
"481_0","Macrourus spp_5",1998,0.324
"481_0","Myctophidae_4",1998,0
"481_0","Notothenia gibberifrons_6",1998,0
"481_0","Notothenia kempi_6",1998,0
"481_0","Notothenia neglecta_6",1998,0
