Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Colombia,Cachama,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,1404,1096.2,1204.2,1377,5400,13500,29030.4,15003.9,27000,47020.5,28144.8,28080,2195.1,2495.5,3333.85,3630
Colombia,Cobia,"Atlantic, Western Central",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25,646.24,640.47,841
Colombia,Common carp,"America, South - Inland waters",Freshwater,8.5,8.92,6.47,16.54,24.19,73.6,80.12,126.88,100,150,277.2,14,320.38,997.5,2181,2598,3000,3180,3180,4053,2061,1500,2100,2100,2100,2100,1333.2,1452.9,1629
Colombia,Cupped oysters nei,"Atlantic, Western Central",Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Colombia,Dorada,"America, South - Inland waters",Freshwater,14,...,...,...,...,0,0,0,0,0,0,0,0,56,61.6,67.2,84,...,...,...,...,...,...,...,...,...,...,...,...
Colombia,Duckbill catfish,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,8,10,10,10,30,...,...,...,...,...,...,...,...,...
Colombia,Freshwater fishes nei,"America, South - Inland waters",Freshwater,...,10.71,7.76,18.6,15.12,10,5,0,0,0,0,...,...,...,359,389,450,470,470,645,...,...,...,...,...,4996,...,...,...
Colombia,Giant river prawn,"America, South - Inland waters",Freshwater,99.97,3.57,2.59,4.96,22.18,328.5,324.49,142.74,275,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Marine fishes nei,"Atlantic, Western Central",Brackishwater,...,6.42,4.66,7.44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Colombia,Netted prochilod,"America, South - Inland waters",Freshwater,49.98,...,...,...,...,0,0,0,0,0,0,0,0,795,...,...,...,2600,5200,6944.6,6617,7020,8411,11707.8,11700,5200,5414.24,6621,7191
Colombia,Nile tilapia,"America, South - Inland waters",Freshwater,419.87,599.59,496.61,1235.24,1881.6,2360,4692,7296,8376.09,8345.8,7348.9,12365.1,11380.82,5141.4,7760,10013,11532,13500,18000,23538,26580,24000,22800,27000,27000,43146,31297,29116,33192
Colombia,Pirapatinga,"America, South - Inland waters",Freshwater,74.98,107.07,362.11,580.41,1814.4,2104,2423.63,2664.48,6070.68,9744,12385.62,10497.3,17815.83,31347,31889.7,33797.4,38948,26000,13000,3304.6,3148.6,3380,4212,5850,5720,21247.2,33275.4,44272.93,48213
Colombia,Prochilods nei,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,250,2392,2622,3020,3200,3200,...,...,...,...,...,...,...,...,...,...
Colombia,Rainbow trout,"America, South - Inland waters",Freshwater,3199.04,2141.4,1655.36,2480.4,3628.8,4224,6000,6000,5466.24,8468.93,6377.67,40906.8,25654.91,43026.5,34325.5,42988,48686.4,37800,27000,22939.2,22026.6,18900,13046.4,5745.6,5400,30958.2,15768.5,29337.51,31777.2
Colombia,Redbreast tilapia,"America, South - Inland waters",Freshwater,...,4,2.9,3.31,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Tarpon,"Atlantic, Western Central",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.1,2.99,...
Colombia,Tilapias nei,"America, South - Inland waters",Freshwater,...,...,...,...,...,...,...,...,21970.08,21919.36,24174,40623,37345.5,48028.2,48768,51497.2,59365,54000,51000,46671,57279,48000,46638,54972,66000,84660.01,126948.1,112491.49,124872.01
Colombia,Whiteleg shrimp,"Atlantic, Western Central",Marine,428,642,1250,4424.45,12922.56,27351.6,42900,38349.48,68130.9,46659.14,47892.6,48636,33645.69,10565.5,42354.9,64091.2,77200,80000,104000.01,132024,144320,152000,172800.02,162400,147200,144800,40997.76,30676.6,29370
Colombia,Whiteleg shrimp,"Pacific, Southeast",Marine,...,...,...,...,...,...,...,4263.17,7470.35,5186.71,8454.6,8001,11698.7,48144,19612.9,11570.2,13920,16000,8000,...,...,...,...,...,...,...,...,...,...
"Congo, Dem. Rep. of the",North African catfish,Africa - Inland waters,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,21,21,21,21,21,35,35,35,35,35,35,35
"Congo, Dem. Rep. of the",Tilapias nei,Africa - Inland waters,Freshwater,135.25,288.58,1171.3,1286.48,1217,697.25,651,770,803,770,715,720,720,2000,4582.5,4982.5,5182.5,6845,7397.5,7397.5,7397.5,7397.5,7400,7400,7400,7400,7400,7400,8577
"Congo, Republic of",Nile tilapia,Africa - Inland waters,Freshwater,80.93,102.71,136.5,181.5,145.33,119.76,120,145.8,542.49,620.57,326.7,291.9,233.2,217.8,252,309,112.2,108.8,115.6,117.3,122.4,136,35.7,42.5,110.5,90.1,93.5,110.5,161.5
"Congo, Republic of",North African catfish,Africa - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,6,6,6
Cook Islands,Blacklip pearl oyster,"Pacific, Eastern Central",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1178.55,2239.24,2199.96,...,...,...,...,...
Cook Islands,Giant tiger prawn,Oceania - Inland waters,Brackishwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...
Cook Islands,Giant tiger prawn,"Pacific, Eastern Central",Brackishwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...
Cook Islands,Milkfish,Oceania - Inland waters,Brackishwater,...,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...
Cook Islands,Milkfish,"Pacific, Eastern Central",Brackishwater,...,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...
Cook Islands,Tilapias nei,Oceania - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.25,5,5,5,5,5
Costa Rica,Blue tilapia,"America, North - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,397.35,634.92,1000,1250,1750,2000,2495,2832.5,4447.5,5190,4500,4337.5,4250,3890,4612.5
Costa Rica,Cachama,"America, North - Inland waters",Freshwater,0,0,0,0,0,0,6.75,6.5,6.5,13,15.6,19.5,20.25,20.25,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Costa Rica,Channel catfish,"America, North - Inland waters",Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,312.5,422.5,625,472.5,125,25,25,1.25,...
Costa Rica,Cyprinids nei,"America, North - Inland waters",Freshwater,6,8,8,10,10,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Freshwater molluscs nei,"America, North - Inland waters",Freshwater,5,7.5,7.5,2,3,2.4,3,3,2.4,3,3,3,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Giant river prawn,"America, North - Inland waters",Freshwater,20,40,40,72,84,56,56,56,56,80,104,120,546,546,405.91,425.61,40,50,25,25,25,25,20,20,20,5,5,9,9
Costa Rica,Natantian decapods nei,"Pacific, Eastern Central",Marine,6,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Nile tilapia,"America, North - Inland waters",Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14293.84,16096.46,19250,20000,31225,35225,44972.5,41232.5,29192.5,44217.5,48450,47260,53335,56042.5,53775
Costa Rica,Pacific cupped oyster,"Pacific, Eastern Central",Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,1,1,0.3,2.5,176,180
Costa Rica,Rainbow trout,"America, North - Inland waters",Freshwater,160,100,109.5,131.4,157.5,115.5,84,91.8,89.6,160,192,420,408,420,384.13,697.45,950,798,1900,1900,1957,1983.6,1991.2,2021.6,2029.2,2014,1360,1925,1932.5
Costa Rica,Red swamp crawfish,"America, North - Inland waters",Freshwater,0,0,0,0,0,0,0,3600,3000,3000,3450,3450,3500,3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Spotted rose snapper,"Pacific, Eastern Central",Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,3,6,3,0.9,1.5,4.5,4.5
Costa Rica,Tilapias nei,"America, North - Inland waters",Freshwater,225,90,90,228,269.8,365,580,3600,3780,6608,7812,11400,12300,12300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Whiteleg shrimp,"Pacific, Eastern Central",Brackishwater,...,...,...,500,1600,1760,2550,4462.5,5525,5950,6720,20408,19200,19200,19958,20952.5,11475,13500,30727.5,30306,30456,34284,34356,31644,31590,21264,19290,18168,18258
Croatia,Atlantic bluefin tuna,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,0,0,0,0,0,0,248,680,1616,2416,4600,6256,15280,13680,26800,16720,14880,33369,24141.6,26806.5,23831.66
Croatia,Bighead carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,232.5,172.5,167.5,18.2,45,2.6,52.5,0,17.85,80,240,12.5,0,67.5,177.5,210,390,1230,339.9,487.8,323.47
Croatia,Common carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,12622.5,7900,8105,7121.4,4654,5363.8,5977.4,5378.4,5326.5,7212.4,4807.4,4245.8,4095,5668,6003.4,3907.8,4019.6,5350.8,4903.2,6188.53,5985.47
Croatia,Common dentex,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.38,...,...,0.32
Croatia,European flat oyster,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,63,75,123.75,84,154,105,159,156,129.5,300,540,492.6,507.6,685.8,575.4,715.2,718.2,590.4,608.4,202.8,181.98
Croatia,European seabass,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,6511,1827,1911,2470,1720,3546,9216,10400,10400,11400,13500,10878,13800,12000,14400,16800,16200,20020,17136,16983,16528.35
Croatia,Freshwater fishes nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,907.5,455,918,484.8,192.5,283.2,256.8,242.4,235.2,237.65,203.35,127.4,230.3,279.3,183.75,120.05,205.8,343,437.1,255.67,155.7
Croatia,Gilthead seabream,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,675,294,630,810,720,356,4760,3600,6400,7050,5250,3660,4200,6000,6300,6900,10800,13310,12288,8801.28,14132.59
Croatia,Grass carp(=White amur),Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,427.5,385,402.5,309.4,223.6,226.2,309.4,745,711.45,673.4,481,720.2,689,920.4,1006.2,668.2,405.6,509.6,415.8,276.41,352.36
Croatia,Marine fishes nei,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,53,22.8,38.5,60,...,...,100,100,100,100,...,...,...,...,0.09
Croatia,Marine molluscs nei,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,5.5,15,...,...,...,...,...,0,0,0,0,0,0
Croatia,Meagre,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13.15,275.73,181.24
Croatia,Mediterranean mussel,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,152.6,154.7,170.1,160.5,160.5,224.7,585,660,660,1722,3750,4500,3750,4500,5250,5250,4500,3140,2880,456,577.47
Croatia,Northern pike,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,2,2,0,6,2,24.7,34.2,8,34.2,16,18,4,12,20,12,4,14,26,44,63.11,85.66
Croatia,Pike-perch,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,52,18,18,8.4,8.4,10.5,10.5,16.8,14.7,10.5,16.8,14.7,14.7,16.8,27.3,33.6,14.7,12.6,57.4,79.37,58.18
Croatia,Rainbow trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,666,1056,768,831,862.4,1069.2,828.8,1271.7,1830.6,3278.6,2368.6,2056.6,2795,3382.6,4901,5280.6,5350.8,5153.2,8935.2,9354.69,3630.16
Croatia,Sharpsnout seabream,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15,7.36,0,0
Croatia,Silver carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,305,365,257.4,24.3,118.8,27,688.8,874,599.25,477.6,669.6,967.2,758.4,660,768,1041.6,1010.4,319.2,102.2,62.97,83.82
Croatia,Tench,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,18,10,4.2,2.1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Wels(=Som) catfish,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,164,160,224.2,142,94,64,106,106,84.05,63.55,82,143.5,120.95,77.9,43.05,38.95,47.15,94.3,159.5,127.26,193.62
Cuba,Blue tilapia,"America, North - Inland waters",Freshwater,2386.8,3275.8,2527.35,2561.38,2202.82,2613.67,3098.39,2816.05,2842.75,1869.6,1772.25,1572,1789.32,1661.44,469.8,922.2,657,432,450,585,630,390,360,780,700,631,510,335,400
Cuba,Buffalofishes nei,"America, North - Inland waters",Freshwater,...,...,...,...,28.22,18.26,10.79,3.4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,Channel catfish,"America, North - Inland waters",Freshwater,...,...,...,...,92,111,228,76,35,15,47.94,51.75,188.25,34.02,59.2,20,84,153,519.35,772.65,978,627,2647,3855,4461,6031,5278,5181,6347
Cuba,Common carp,"America, North - Inland waters",Freshwater,214.2,215.1,86.8,122.76,244.9,290.78,319.92,282.1,215.15,94.5,53.28,78,193.68,124.8,91.2,111.2,132.8,199.75,345.95,405.45,469,123,59,118,112,180,91,44.8,79.9
Cuba,Freshwater fishes nei,"America, North - Inland waters",Freshwater,...,...,...,...,64.9,68.44,97.94,8.4,3684.2,5078.4,6940.8,10318.8,16492,10378,9140,8555,10216,9769.1,10346.6,9928.6,9797.7,6344.8,7156.6,8954,7339.2,6890,4638,416,316
Cuba,Grass carp(=White amur),"America, North - Inland waters",Freshwater,0,7.7,14.11,30.71,34.86,25.73,34.86,38.25,37.92,16.91,14.06,9,39,26.07,21,146.94,33.6,10.2,106.25,13.6,5,12,24,5,1,2,1,1,0.3
Cuba,Largemouth black bass,"America, North - Inland waters",Brackishwater,79.2,66,67,76.5,57,75.6,38,35,9,7,17,20.06,48.96,40,29.9,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0
Cuba,Mangrove cupped oyster,"Atlantic, Western Central",Marine,750,850.5,825,975,850.5,...,...,...,...,...,...,...,2.4,47.3,2510.2,2051.5,1794.1,1630.2,1495,1509.95,1184,1046,1109,1086,861,1375,1650,1796,1583
Cuba,Silver carp,"America, North - Inland waters",Freshwater,235,234.3,213.31,436.58,666.49,1128.8,1921.45,2527.05,2628.8,3918,5126.25,7399.5,11640.75,15903.78,17714.37,19086.9,12271,9734.25,9579.75,9849.75,14997,12309,12159,19948,20181,17437,16229,14646,14444
Cuba,Southern white shrimp,"Atlantic, Western Central",Brackishwater,0,0,0,1038,1380.5,2068,3316.5,3778.5,2811.2,2409,3408,5068.55,4602.5,6803.4,6797.28,3524.4,8183,4574.5,6685,4795,388.5,0,0,0,0,0,0,0,0
Cuba,Tropical spiny lobsters nei,"Atlantic, Western Central",Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,5,110,65,55,15,5,0,0,0,0,0,0,0,0
Cuba,Whiteleg shrimp,"Atlantic, Western Central",Brackishwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,980,8260,15211,12579,12939.5,12096,10587.5,7623,10531.5
Cyprus,Atlantic bluefin tuna,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,4038.23,4469.45,2976.79,2901.9,3596.87,1832.92,249.46,...,0
Cyprus,Atlantic salmon,Asia - Inland waters,Freshwater,...,...,...,...,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Coho(=Silver) salmon,Asia - Inland waters,Freshwater,...,...,...,...,...,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,European seabass,Mediterranean and Black Sea,Marine,10.22,9.02,10.64,0,45.04,131.77,229.67,243.79,211,410.45,203.5,930.28,911.63,471.9,1537.44,2132.07,1719.3,2054.63,2600.16,2948.37,5219.79,4401.5,4503.35,6085.78,6197.68,5727.96,8266.02,13086.75,9333.26
Cyprus,Gilthead seabream,Mediterranean and Black Sea,Marine,...,...,...,22.88,30.03,227.05,566.53,731.37,606.33,1605.58,2093,2095.48,4804.26,6366.55,6202.25,6072.63,6932.8,5663.6,6240.38,6634.99,8691.81,9480.32,12299.71,9897.02,13463.98,15994.92,17691.81,25122.42,19892.58
Cyprus,Indian white prawn,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,28.49,110.11,218.79,342.85,384.6,685.86,910.85,1037.93,1126,1326.49,224.35,271.79,376.19,493.44,316.42,119.78,...,105.13,89.59
Cyprus,Japanese seabream,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97.5,111.46,...,23.4
Cyprus,Marbled spinefoot,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,25.64,47.46,...,0,26.49,30.43,52.23,3.9,0
Cyprus,Meagre,Mediterranean and Black Sea,Marine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,149.54,404.06,261.61
Cyprus,Rainbow trout,Asia - Inland waters,Freshwater,223.28,217.4,313.51,439.97,507.45,567.62,894.2,827.58,1071.01,851.48,774.72,1040.05,1081.08,859.07,730.74,468.55,489.97,542.06,435.08,661.99,785.51,603.98,732.75,808.3,562.05,759.22,668.36,744.76,636.36
Cyprus,Red porgy,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,8.14,97.28,94.38,8.77,0,0,0,0,24.24,129.11,111.1,0,0,0,...,...,...,...,...
Cyprus,Sharpsnout seabream,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,0,194.02,401.54,124.19,157.49,201.36,251.27,228.89,56.03,8.13,0,0,0,0,...,...,...,...,...
Cyprus,Shi drum,Mediterranean and Black Sea,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.65,0,0,4.93,0,0,0,0,0,...,...,...,...,...
Cyprus,Siberian sturgeon,Asia - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,20.06,22.89,26.77,92.25
Cyprus,Tilapias nei,Asia - Inland waters,Brackishwater,17.89,11.49,13.55,7.28,9.65,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Bighead carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,1042.6,726.3,737,709.5,904.4,674.8,566.5,907.2,1576.8,1290.6,1239.3,1090.8,866.7,648,680.4,1063.8,686.41,323.78,400.88,353.82
Czech Republic,Brook trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,31.2,67.6,110,205,202.5,242.5,285.6,318.5,230,192.5,352.5,325,325,235,382.5,502.5,641.57,1144.03,1061.81,1484.83
Czech Republic,Common carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,46311.2,44247.6,44010,43038,40959,40664.7,41120,42765,43552.5,26434.29,31631.64,32736.1,36626.8,37555.59,42064.22,51645.49,45105.51,44984.42,51828.44,45027.04
Czech Republic,European eel,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,7,12,12,9,9,3,3,3,3,3,3,0,3,3,0,0,0,0,0,3
Czech Republic,European perch,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,31.2,44.2,39.75,39.75,70.2,45.05,54.6,62.4,47.7,63.6,58.3,37.1,47.7,47.7,34.45,45.05,73.85,48.75,59.45,53.69
Czech Republic,European whitefish,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,473.2,330.2,251.1,243,358.8,280.8,186.3,140.4,81,113.4,75.6,51.3,118.8,91.8,72.9,64.8,77.95,86.79,104.64,64.12
Czech Republic,Freshwater fishes nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,1027.5,808.6,878.8,904.8,985.4,949,1055,930.75,887.4,979.2,1333.65,1114.35,999.6,1285.2,1183.2,1399.95,1261.32,686.11,1202.8,1122.83
Czech Republic,Grass carp(=White amur),Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,520,551.2,609.45,609.45,561.6,402.3,456.3,482.3,608.4,756.6,795.6,743.6,855.4,928.2,889.2,1024.4,986.9,1265.21,1136.06,1142.46
Czech Republic,Nile tilapia,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20.75,...,...,...
Czech Republic,Northern pike,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,210.6,113.95,374.4,145.8,180.9,202.5,170.1,170.1,186.3,245.7,232.2,202.5,205.2,243,253.8,272.7,1058.15,813.37,818.06,699.16
Czech Republic,Pike-perch,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,182,85.8,260,83.2,91,104,106.6,104,82.15,111.3,145.75,127.2,124.55,124.55,127.2,153.7,734.67,553.46,815.62,747.53
Czech Republic,Rainbow trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,1385.8,1869.4,1615,1617.5,1297.4,1440.4,1735.2,1712.5,1760,1832.4,1752.64,1829.6,1928.53,2212.51,2772.51,3517.53,2557.88,2303.31,3083.69,1863.3
Czech Republic,Sea trout,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32.72
Czech Republic,Silver carp,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,595.4,413.1,418,404.25,515.2,386.4,321.75,515.7,899.1,734.4,704.7,432,1007.1,464.4,413.1,518.4,208.45,312.93,241.34,219.35
Czech Republic,Tench,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,691.6,795.6,754,792.5,982.5,855,830,632.4,473.2,483.6,559,504.4,634.4,634.4,696.8,738.4,1064.45,785.35,726.67,602.63
Czech Republic,Trouts nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,0,2.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Wels(=Som) catfish,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,77.5,115,95,72.8,112.5,107.5,110,127.4,124.95,147,166.6,139.65,169.05,120.05,154.35,147,559.81,299.95,321.83,308.42
Czechoslovakia,Common carp,Europe - Inland waters,Freshwater,38750,39740,42575,41630,43100,44070,46885,47283.6,52514.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Freshwater fishes nei,Europe - Inland waters,Freshwater,5050,4707.5,5390,5080,5222.5,4250,4352.5,5132.5,5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Grass carp(=White amur),Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,345,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Northern pike,Europe - Inland waters,Freshwater,862.5,772.5,937.5,892.5,857.5,855,685,634.4,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Pike-perch,Europe - Inland waters,Freshwater,635,470,457.5,457.5,555,435,370,439.4,470.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Tench,Europe - Inland waters,Freshwater,805,1205,945,1047.5,1070,1165,935,837.2,826.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Tilapias nei,Europe - Inland waters,Freshwater,...,...,...,...,...,...,...,50,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,Trouts nei,Europe - Inland waters,Freshwater,3141,3165,3336,3279,2775,3346,3622.5,3107.6,3164.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,African bonytongue,Africa - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,243.53,689.54,740.39,699.6,1001.3,3118.15,2939.77
Côte d'Ivoire,Bagrid catfish,Africa - Inland waters,Brackishwater,2.41,70.72,442.63,416.38,204.93,174.69,59.66,472.5,763.46,1029.86,6.77,451.13,59.43,296.01,528,612,135.26,117.03,...,206.4,228,228,229.2,83.58,89.74,84.8,141.6,324.54,315.53
Côte d'Ivoire,Black catfishes nei,Africa - Inland waters,Brackishwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,Blue tilapia,Africa - Inland waters,Brackishwater,...,...,...,...,...,...,34.78,78.99,54.53,99.01,...,...,...,...,...,...,...,...,...,657.9,726.75,726.75,573,376.11,403.85,381.6,500.65,1590.89,1469.88
Côte d'Ivoire,Blue tilapia,Africa - Inland waters,Freshwater,...,...,...,...,...,...,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,125.37,134.62,127.2,182.06,464.54,440.96
Côte d'Ivoire,Freshwater siluroids nei,Africa - Inland waters,Brackishwater,0,0,0,0,0,0,0,0,0,0,2.4,115.15,14.4,86.95,140,160,...,108.72,16.2,258,285,285,171.9,...,...,...,...,...,...
Côte d'Ivoire,Nile tilapia,Africa - Inland waters,Brackishwater,...,13.47,47.01,59.96,37.02,9.42,0,0,0,0,53.7,40.1,4.4,27.8,52.5,60,682.95,657.09,867.14,35.78,39.52,39.52,31.52,...,...,...,...,323.48,747.19
Côte d'Ivoire,Nile tilapia,Africa - Inland waters,Freshwater,13.78,4.04,9.4,9.99,16.82,18.83,57.97,35.58,37.87,196.25,113.53,219.75,1363.61,370.66,690,802.5,601.9,621.81,517.61,972.66,1074.45,1074.45,1289.25,2789.51,2995.22,2830.2,3185.97,4852.22,5017.2
Côte d'Ivoire,North African catfish,Africa - Inland waters,Freshwater,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,159,182.06,477.27,646.75
