"type","sp_id","year","score","ccamlr_area"
"cp",288100,1984,1,6340.18413736
"cp",288100,2001,1,6340.18413736
"cp",288100,1982,1,6340.18413736
"cp",288100,2011,1,6340.18413736
"cp",288100,1995,1,6340.18413736
"cp",288100,1980,1,6340.18413736
"cp",288100,1996,1,6340.18413736
"cp",288100,1978,1,6340.18413736
"cp",288100,1998,1,6340.18413736
"cp",288100,2012,1,6340.18413736
"cp",288100,2004,1,6340.18413736
"cp",288100,1999,1,6340.18413736
"cp",288100,2002,1,6340.18413736
"cp",288100,2008,1,6340.18413736
"cp",288100,2003,1,6340.18413736
"cp",288100,1997,1,6340.18413736
"cp",288200,2010,1,9089.30622026
"cp",288200,2011,1,9089.30622026
"cp",288200,2009,1,9089.30622026
"cp",288200,1996,1,9089.30622026
"cp",288200,2006,1,9089.30622026
"cp",288200,1994,1,9089.30622026
"cp",288200,2012,1,9089.30622026
"cp",288200,2004,1,9089.30622026
"cp",288200,1993,1,9089.30622026
"cp",288200,2002,1,9089.30622026
"cp",288200,2007,1,9089.30622026
"cp",288200,2000,1,9089.30622026
"cp",288200,1991,1,9089.30622026
"cp",288200,2005,1,9089.30622026
"cp",288200,1989,1,9089.30622026
"cp",288200,2008,1,9089.30622026
"cp",288200,1975,1,9089.30622026
"cp",288200,2001,1,9089.30622026
"cp",288200,1997,1,9089.30622026
"cp",288200,1985,1,9089.30622026
"cp",288200,1995,1,9089.30622026
"cp",288200,1983,1,9089.30622026
"cp",288200,1976,1,9089.30622026
"cp",288200,1998,1,9089.30622026
"cp",288200,2003,1,9089.30622026
"cp",288200,1986,1,9089.30622026
"cp",288200,1979,1,9089.30622026
"cp",288200,1984,1,9089.30622026
"cp",288200,1977,1,9089.30622026
"cp",288200,1999,1,9089.30622026
"cp",288200,1992,1,9089.30622026
"cp",288200,1988,1,9089.30622026
"cp",288200,1980,1,9089.30622026
"cp",288200,1990,1,9089.30622026
"cp",288200,1978,1,9089.30622026
"cp",288200,1982,1,9089.30622026
"cp",288200,1981,1,9089.30622026
"cp",288200,1987,1,9089.30622026
"cp",288300,2010,1,8341.24576409
"cp",288300,2009,1,8341.24576409
"cp",288300,2006,1,8341.24576409
"cp",288300,1994,1,8341.24576409
"cp",288300,2008,1,8341.24576409
"cp",288300,1996,1,8341.24576409
"cp",288300,2004,1,8341.24576409
"cp",288300,2002,1,8341.24576409
"cp",288300,2007,1,8341.24576409
"cp",288300,1987,1,8341.24576409
"cp",288300,1993,1,8341.24576409
"cp",288300,1976,1,8341.24576409
"cp",288300,1981,1,8341.24576409
"cp",288300,2000,1,8341.24576409
"cp",288300,1991,1,8341.24576409
"cp",288300,2001,1,8341.24576409
"cp",288300,1989,1,8341.24576409
"cp",288300,2003,1,8341.24576409
"cp",288300,2011,1,8341.24576409
"cp",288300,1975,1,8341.24576409
"cp",288300,1997,1,8341.24576409
"cp",288300,1985,1,8341.24576409
"cp",288300,1995,1,8341.24576409
"cp",288300,1983,1,8341.24576409
"cp",288300,1988,1,8341.24576409
"cp",288300,2005,1,8341.24576409
"cp",288300,1998,1,8341.24576409
"cp",288300,1986,1,8341.24576409
"cp",288300,1979,1,8341.24576409
"cp",288300,1984,1,8341.24576409
"cp",288300,1977,1,8341.24576409
"cp",288300,1982,1,8341.24576409
"cp",288300,1999,1,8341.24576409
"cp",288300,1992,1,8341.24576409
"cp",288300,1980,1,8341.24576409
"cp",288300,1990,1,8341.24576409
"cp",288300,1978,1,8341.24576409
"cp",288300,2012,1,8341.24576409
