"","sciname","common","TaxonKey","Resilience","SpecCode"
"436","Atractoscion aequidens","Geelbeck croaker",600420,"Low",420
"437","Genyonemus lineatus","White croaker",600422,"Medium",422
"438","Pteroscion peli","Boe drum",600423,"Medium",423
"439","Nibea mitsukurii","Honnibe croaker",600427,"Medium",427
"440","Larimichthys crocea","Large yellow croaker",600428,"Medium",428
"441","Pseudotolithus elongatus","Bobo croaker",600433,"Medium",433
"442","Pennahia argentata","Silver croaker",600434,"High",434
"443","Achirus klunzingeri","Brown sole",613429,"Medium",13429
"444","Pomadasys panamensis","Panama grunt",613740,"Medium",13740
"445","Larimus acclivis","Steeplined drum",614015,"High",14015
"446","Paralonchurus dumerilii","Suco croaker",614069,"Medium",14069
"447","Stellifer illecebrosus","Silver stardrum",614084,"High",14084
"448","Stellifer zestocarus","Softhead stardrum",614090,"High",14090
"449","Peprilus snyderi","Salema butterfish",614146,"High",14146
"450","Synodus scituliceps","Shorthead lizardfish",614155,"High",14155
"451","Diplectrum pacificum","Inshore sand perch",614248,"Medium",14248
"452","Pronotogrammus eos","Bigeye bass",614296,"Medium",14296
"453","Encrasicholina devisi","Devis anchovy",600555,"High",555
"454","Stolephorus waitei","Spotty face anchovy",600578,"Medium",578
"455","Phycis chesteri","Longfin hake",601880,"Low",1880
"456","Campogramma glaycos","Vadigo",601894,"Medium",1894
"457","Manta birostris","Giant manta",602061,"Very low",2061
"458","Pseudotriakis microdon","False catshark",602536,"Very low",2536
"459","Mustelus canis","Dusky smoothhound",602539,"Low",2539
"460","Gymnura marmorata","California butterfly ray",602578,"Very low",2578
"461","Trachipterus arcticus","Dealfish",603265,"Very low",3265
"462","Malacanthus plumieri","Sand tilefish",603541,"Low",3541
"463","Sebastes crameri","Darkblotched rockfish",603962,"Very low",3962
"464","Erilepis zonifer","Skilfish",604031,"Very low",4031
"465","Hexagrammos decagrammus","Kelp greenling",604032,"Medium",4032
"466","Raja maderensis","Madeiran ray",605013,"Low",5013
"467","Cymatoceps nasutus","Black musselcracker",605531,"Very low",5531
"468","Alopias pelagicus","Pelagic thresher",605891,"Very low",5891
"469","Pseudocarcharias kamoharai","Crocodile shark",605923,"Very low",5923
"470","Triakis megalopterus","Sharptooth houndshark",605948,"Very low",5948
"471","Sphyraena ensis","Mexican barracuda",606405,"Low",6405
"472","Gymnoscopelus nicholsi","Nichol's lanternfish",606990,"Medium",6990
"473","Parachaenichthys georgianus","Parachaenichthys georgianus",607103,"Medium",7103
"474","Chionodraco hamatus","Hooked icefish",607109,"Medium",7109
"475","Scomberomorus semifasciatus","Broadbarred king mackerel",600135,"Medium",135
"476","Lutjanus guttatus","Spotted rose snapper",600152,"Medium",152
"477","Lutjanus jordani","Jordans snapper",600155,"Medium",155
"478","Lutjanus kasmira","Common bluestripe snapper",600156,"Medium",156
"479","Aetobatus narinari","Spotted eagle ray",601250,"Very low",1250
"480","Acanthurus mata","Elongate surgeonfish",601255,"Low",1255
"481","Acanthurus dussumieri","Eyestripe surgeonfish",601256,"Low",1256
"482","Mycteroperca phenax","Scamp",601213,"Low",1213
"483","Lutjanus monostigma","Onespot snapper",600166,"Medium",166
"484","Lutjanus russellii","Russell's snapper",600176,"Medium",176
"485","Pristipomoides macrophthalmus","Cardinal snapper",600206,"Medium",206
"486","Bothus podas","Wide-eyed flounder",600207,"Medium",207
"487","Pristipomoides sieboldii","Lavender jobfish",600209,"Medium",209
"488","Pristipomoides zonatus","Oblique-banded snapper",600211,"Medium",211
"489","Symphorichthys spilurus","Sailfin snapper",600214,"Medium",214
"490","Albula vulpes","Bonefish",600228,"Low",228
"491","Ciliata mustela","Fivebeard rockling",601290,"High",1290
"492","Pterothrissus belloci","Longfin bonefish",600229,"Medium",229
"493","Salvelinus fontinalis","Brook trout",600246,"Medium",246
"494","Atherinomorus lacunosus","Hardyhead silverside",601303,"Medium",1303
"495","Umbrina cirrosa","Shi drum",601306,"Medium",1306
"496","Odonus niger","Redtoothed triggerfish",601311,"Medium",1311
"497","Sufflamen fraenatum","Masked triggerfish",601312,"Medium",1312
"498","Sphyraena sphyraena","European barracuda",601765,"Medium",1765
"499","Gymnocranius grandoculis","Bluelined largeeye bream",601834,"Medium",1834
"500","Gymnocranius euanus","Japanese largeeye bream",601837,"Medium",1837
"501","Plecoglossus altivelis altivelis","Ayu sweetfish",600251,"High",251
"502","Merluccius paradoxus","Deepwater Cape hake",601826,"Low",1826
"503","Gymnocranius griseus","Grey largeeye bream",601833,"Medium",1833
"504","Lethrinus variegatus","Slender emperor",601850,"Medium",1850
"505","Lethrinus harak","Thumbprint emperor",601851,"Medium",1851
"506","Lethrinus xanthochilus","Yellowlip emperor",601852,"Low",1852
"507","Lethrinus atkinsoni","Pacific yellowtail emperor",601854,"Medium",1854
"508","Carangoides armatus","Longfin trevally",601916,"Medium",1916
"509","Alepes djedaba","Shrimp scad",601889,"High",1889
"510","Caranx ignobilis","Giant trevally",601895,"Medium",1895
"511","Carangoides orthogrammus","Island trevally",601909,"Medium",1909
"512","Carangoides plagiotaenia","Barcheek trevally",601910,"Medium",1910
"513","Scomberoides tol","Needlescaled queenfish",601953,"Medium",1953
"514","Seriolina nigrofasciata","Blackbanded trevally",601962,"Medium",1962
"515","Trachinotus baillonii","Smallspotted dart",601978,"Medium",1978
"516","Uraspis helvola","Whitetongue jack",601983,"Medium",1983
"517","Uraspis uraspis","Whitemouth jack",601984,"High",1984
"518","Halargyreus johnsonii","Slender codling",602012,"Low",2012
"519","Laemonema longipes","Longfin codling",602014,"Low",2014
"520","Acipenser stellatus","Starry sturgeon",602065,"Low",2065
"521","Huso huso","Beluga",602067,"Very low",2067
"522","Balistoides conspicillum","Clown triggerfish",602300,"Medium",2300
"523","Echeneis naucrates","Live sharksucker",602467,"Medium",2467
"524","Kyphosus sectatrix","Bermuda sea chub",602498,"Low",2498
"525","Thalassoma pavo","Ornate wrasse",602500,"Medium",2500
"526","Chimaera monstrosa","Rabbit fish",602503,"Low",2503
"527","Ginglymostoma cirratum","Nurse shark",602532,"Low",2532
"528","Coris julis","Mediterranean rainbow wrasse",600058,"Medium",58
"529","Leucoraja erinacea","Little skate",602557,"Low",2557
"530","Dasyatis centroura","Roughtail stingray",602572,"Very low",2572
"531","Gymnura altavela","Spiny butterfly ray",602577,"Very low",2577
"532","Acipenser medirostris","Green sturgeon",602592,"Low",2592
"533","Acipenser transmontanus","White sturgeon",602594,"Very low",2594
"534","Oreochromis mossambicus","Mozambique tilapia",600003,"Medium",3
"535","Scardinius erythrophthalmus","Rudd",602951,"Low",2951
"536","Stereolepis gigas","Giant seabass",603310,"Very low",3310
"537","Mycteroperca xenarcha","Broomtail grouper",603334,"Low",3334
"538","Taractichthys steindachneri","Sickle pomfret",603561,"Medium",3561
"539","Girella nigricans","Opaleye",603594,"Medium",3594
"540","Tautogolabrus adspersus","Cunner",603672,"Medium",3672
"541","Engraulis ringens","Anchoveta",600004,"High",4
"542","Coryphaena hippurus","Common dolphinfish",600006,"High",6
"543","Sebastes goodei","Chilipepper rockfish",603971,"Medium",3971
"544","Parupeneus cyclostomus","Goldsaddle goatfish",605990,"Medium",5990
"545","Parupeneus heptacanthus","Cinnabar goatfish",605991,"High",5991
"546","Parupeneus multifasciatus","Manybar goatfish",605993,"High",5993
"547","Parupeneus pleurostigma","Sidespot goatfish",605994,"High",5994
"548","Euthynnus affinis","Kawakawa",600096,"Medium",96
"549","Pomadasys kaakan","Javelin grunter",606006,"Medium",6006
"550","Acanthurus nigricans","Whitecheek surgeonfish",606011,"Very low",6011
"551","Ctenochaetus binotatus","Twospot surgeonfish",606012,"High",6012
"552","Paracanthurus hepatus","Palette surgeonfish",606017,"High",6017
"553","Zebrasoma flavescens","Yellow tang",606018,"High",6018
"554","Naso tuberosus","Humpnose unicornfish",606023,"Medium",6023
"555","Naso vlamingii","Bignose unicornfish",606024,"Low",6024
"556","Balistapus undulatus","Orangelined triggerfish",606025,"Medium",6025
"557","Balistoides viridescens","Titan triggerfish",606026,"Low",6026
"558","Pseudobalistes flavimarginatus","Yellowmargin triggerfish",606027,"High",6027
"559","Rhinecanthus verrucosus","Blackbelly triggerfish",606028,"High",6028
"560","Euthynnus alletteratus","Little tunny",600097,"Medium",97
"561","Euthynnus lineatus","Black skipjack",600098,"Medium",98
"562","Alosa alosa","Allis shad",600101,"Medium",101
"563","Sufflamen bursa","Boomerang triggerfish",606029,"High",6029
"564","Xanthichthys auromarginatus","Gilded triggerfish",606030,"Medium",6030
"565","Istiblennius edentulus","Rippled rockskipper",606049,"High",6049
"566","Salarias fasciatus","Jewelled blenny",606058,"High",6058
"567","Plectropomus areolatus","Squaretail coralgrouper",606082,"Low",6082
"568","Acanthopagrus latus","Yellowfin seabream",606356,"Medium",6356
"569","Xanthichthys caeruleolineatus","Outrigger triggerfish",606359,"Medium",6359
"570","Caranx papuensis","Brassy trevally",606360,"Medium",6360
"571","Plectorhinchus gibbosus","Harry hotlips",606366,"Medium",6366
"572","Plectorhinchus picus","Painted sweetlip",606370,"Medium",6370
"573","Arothron nigropunctatus","Blackspotted puffer",606400,"High",6400
"574","Polydactylus sexfilis","Sixfinger threadfin",606416,"Medium",6416
"575","Pagrus auratus","Silver seabream",606426,"Low",6426
"576","Scarus tricolor","Tricolour parrotfish",606438,"High",6438
"577","Epinephelus coeruleopunctatus","Whitespotted grouper",606440,"Low",6440
"578","Aethaloperca rogaa","Redmouth grouper",606441,"Medium",6441
"579","Cephalopholis boenak","Chocolate hind",606444,"Medium",6444
"580","Cephalopholis hemistiktos","Yellowfin hind",606447,"Low",6447
"581","Cephalopholis leopardus","Leopard hind",606448,"High",6448
"582","Alosa immaculata","Pontic shad",600105,"Medium",105
"583","Gymnosarda unicolor","Dogtooth tuna",600106,"Low",106
"584","Totoaba macdonaldi","Totoaba",606317,"Low",6317
"585","Cephalopholis miniata","Coral hind",606450,"Low",6450
"586","Cephalopholis polleni","Harlequin hind",606452,"Medium",6452
"587","Cephalopholis sexmaculata","Sixblotch hind",606453,"Medium",6453
"588","Cephalopholis spiloparaea","Strawberry hind",606455,"Medium",6455
"589","Cromileptes altivelis","Humpback grouper",606457,"Medium",6457
"590","Sciades passany","Passany sea catfish",600953,"Very low",953
"591","Sciades proops","Crucifix sea catfish",600955,"High",955
"592","Caulolatilus microps","Grey tilefish",600987,"Low",987
"593","Dactylopterus volitans","Flying gurnard",601021,"High",1021
"594","Diodon hystrix","Spot-fin porcupinefish",601022,"Low",1022
"595","Polydactylus octonemus","Atlantic threadfin",601110,"High",1110
"596","Haemulon boschmae","Bronzestripe grunt",601130,"High",1130
"597","Haemulon steindachneri","Cherechere grunt",601142,"Medium",1142
"598","Bairdiella chrysoura","Silver croaker",601165,"High",1165
"599","Bairdiella ronchus","Ground croaker",601166,"High",1166
"600","Paralonchurus brasiliensis","Banded croaker",601187,"High",1187
"601","Diplectrum formosum","Sand perch",601203,"High",1203
"602","Mycteroperca tigris","Tiger grouper",601215,"Low",1215
"603","Mycteroperca venenosa","Yellowfin grouper",601216,"Low",1216
"604","Acanthurus lineatus","Lined surgeonfish",601258,"Medium",1258
"605","Etelis oculatus","Queen snapper",601391,"Medium",1391
"606","Lutjanus campechanus","Northern red snapper",601423,"Low",1423
"607","Alosa caspia caspia","Caspian shad",601577,"Medium",1577
"608","Molva macrophthalma","Spanish ling",601733,"Low",1733
"609","Scorpaena porcus","Black scorpionfish",601758,"Medium",1758
"610","Lethrinus semicinctus","Blackblotch emperor",601849,"High",1849
"611","Atule mate","Yellowtail scad",601893,"High",1893
"612","Carangoides hedlandensis","Bumpnose trevally",601907,"High",1907
"613","Carangoides talamparoides","Imposter trevally",601912,"Medium",1912
"614","Chloroscombrus orqueta","Pacific bumper",601937,"High",1937
"615","Oligoplites refulgens","Shortjaw leatherjacket",601946,"High",1946
"616","Scomberoides lysan","Doublespotted queenfish",601951,"Medium",1951
"617","Mustelus henlei","Brown smoothhound",602540,"Low",2540
"618","Rhinoptera bonasus","Cownose ray",602584,"Low",2584
"619","Hydrolagus colliei","Spotted ratfish",602589,"Low",2589
"620","Diapterus auratus","Irish mojarra",603563,"High",3563
"621","Haemulon vittatum","Boga",603572,"High",3572
"622","Semicossyphus pulcher","California sheephead",603671,"Low",3671
"623","Hyperoglyphe perciformis","Barrelfish",603921,"Low",3921
"624","Prionotus rubio","Blackwing searobin",604025,"Medium",4025
"625","Scorpaenichthys marmoratus","Cabezon",604140,"Medium",4140
"626","Platichthys stellatus","Starry flounder",604249,"Medium",4249
"627","Siganus rivulatus","Marbled spinefoot",604545,"Medium",4545
"628","Nemipterus japonicus","Japanese threadfin bream",604559,"Medium",4559
"629","Xyrichtys novacula","Pearly razorfish",604581,"Medium",4581
"630","Lateolabrax japonicus","Japanese seaperch",604589,"Medium",4589
"631","Sebastiscus marmoratus","False kelpfish",604597,"Medium",4597
"632","Siganus corallinus","Bluespotted spinefoot",604611,"High",4611
"633","Siganus luridus","Dusky spinefoot",604613,"Medium",4613
"634","Siganus randalli","Variegated spinefoot",604626,"High",4626
"635","Acanthurus sohal","Sohal surgeonfish",604740,"Medium",4740
"636","Dentex macrophthalmus","Largeeye dentex",600438,"Medium",438
"637","Dentex dentex","Common dentex",600439,"Low",439
"638","Argyrozona argyrozona","Carpenter seabream",600443,"Low",443
"639","Pagrus major","Red seabream",600445,"Low",445
"640","Pterogymnus laniarius","Panga seabream",600448,"Low",448
"641","Rhabdosargus globiceps","White stumpnose",600449,"Medium",449
"642","Lithognathus lithognathus","White steenbras",600450,"Low",450
"643","Hypoptychus dybowskii","Korean sandeel",600488,"High",488
"644","Nemadactylus bergi","Castaneta",600460,"Medium",460
"645","Cheilodactylus variegatus","Peruvian morwong",600461,"Medium",461
"646","Arctoscopus japonicus","Japanese sandfish",600463,"Medium",463
"647","Eleginops maclovinus","Patagonian blennie",600466,"Medium",466
"648","Dissostichus eleginoides","Patagonian toothfish",600467,"Low",467
"649","Notothenia rossii","Marbled rockcod",600468,"Low",468
"650","Pleuragramma antarctica","Antarctic silverfish",600472,"Low",472
"651","Champsocephalus gunnari","Mackerel icefish",600474,"Medium",474
"652","Chionodraco rastrospinosus","Ocellated icefish",600476,"Medium",476
"653","Chaenodraco wilsoni","Spiny icefish",600478,"Medium",478
"654","Zoarces viviparus","Eelpout",600479,"Low",479
"655","Trisopterus minutus","Poor cod",600481,"Medium",481
"656","Genypterus blacodes","Pink cusk-eel",600482,"Low",482
"657","Genypterus chilensis","Red cusk-eel",600483,"Low",483
"658","Genypterus maculatus","Black cuskeel",600484,"Medium",484
"659","Genypterus capensis","Kingklip",600485,"Low",485
"660","Brotula barbata","Bearded brotula",600486,"Medium",486
"661","Ammodytes personatus","Pacific sandlance",600487,"High",487
"662","Thyrsitops lepidopoides","White snake mackerel",600490,"Medium",490
"663","Pampus argenteus","Silver pomfret",600491,"Medium",491
"664","Peprilus triacanthus","Atlantic butterfish",600492,"High",492
"665","Peprilus simillimus","Pacific pompano",600493,"High",493
"666","Hyperoglyphe antarctica","Bluenose warehou",600496,"Low",496
"667","Psenopsis anomala","Pacific rudderfish",600497,"High",497
"668","Sebastes norvegicus","Golden redfish",600501,"Low",501
"669","Sebastes entomelas","Widow rockfish",600502,"Very low",502
"670","Sebastes flavidus","Yellowtail rockfish",600503,"Low",503
"671","Sebastes alutus","Pacific ocean perch",600504,"Very low",504
"672","Sebastes mentella","Beaked redfish",600505,"Very low",505
"673","Sebastes capensis","Cape redfish",600506,"Low",506
"674","Pleurogrammus azonus","Okhostk atka mackerel",600510,"Medium",510
"675","Anoplopoma fimbria","Sablefish",600512,"Very low",512
"676","Hippoglossus stenolepis","Pacific halibut",600514,"Low",514
"677","Reinhardtius hippoglossoides","Greenland halibut",600516,"Low",516
"678","Limanda ferruginea","Yellowtail flounder",600521,"Low",521
"679","Pseudopleuronectes americanus","Winter flounder",600524,"Medium",524
"680","Pseudophycis bachus","Red codling",602020,"Medium",2020
"681","Dipturus batis","Blue skate",602058,"Very low",2058
"682","Raja clavata","Thornback ray",602059,"Low",2059
"683","Dasyatis pastinaca","Common stingray",602060,"Very low",2060
"684","Acipenser sturio","Sturgeon",602066,"Very low",2066
"685","Rhincodon typus","Whale shark",602081,"Very low",2081
"686","Gasterosteus aculeatus","Three-spined stickleback",602420,"High",2420
"687","Chelon labrosus","Thicklip grey mullet",602499,"Medium",2499
"688","Anarhichas lupus","Atlantic wolffish",602501,"Low",2501
"689","Myxine glutinosa","Hagfish",602513,"Low",2513
"690","Petromyzon marinus","Sea lamprey",602530,"Low",2530
"691","Notorynchus cepedianus","Broadnose sevengill shark",602531,"Very low",2531
"692","Alopias superciliosus","Bigeye thresher",602534,"Low",2534
"693","Alopias vulpinus","Thresher",602535,"Very low",2535
"694","Somniosus pacificus","Pacific sleeper shark",602544,"Low",2544
"695","Dipturus laevis","Barndoor skate",602561,"Low",2561
"696","Raja stellulata","Starry skate",602570,"Low",2570
"697","Coregonus pidschian","Humpback whitefish",602676,"Low",2676
"698","Argentina silus","Greater argentine",602700,"Low",2700
"699","Corniger spinosus","Spinycheek soldierfish",603246,"High",3246
"700","Neoniphon marianus","Longjaw squirrelfish",603249,"High",3249
"701","Zenopsis nebulosa","Mirror dory",603255,"Medium",3255
"702","Regalecus glesne","King of herrings",603267,"Very low",3267
"703","Cookeolus japonicus","Longfinned bullseye",603517,"Medium",3517
"704","Caulolatilus princeps","Ocean whitefish",603539,"Low",3539
"705","Rachycentron canadum","Cobia",603542,"Medium",3542
"706","Eucinostomus gracilis","Graceful mojarra",603565,"High",3565
"707","Diplodus argenteus argenteus","South American silver porgy",603574,"Medium",3574
"708","Atractoscion nobilis","White weakfish",603578,"Low",3578
"709","Chaetodipterus zonatus","Pacific spadefish",603599,"Medium",3599
"710","Chaetodon capistratus","Foureye butterflyfish",603602,"High",3602
"711","Chaetodon sedentarius","Reef butterflyfish",603605,"Medium",3605
"712","Clepticus parrae","Creole wrasse",603656,"Medium",3656
"713","Anarhichas denticulatus","Northern wolffish",603810,"Low",3810
"714","Tetrapturus angustirostris","Shortbill spearfish",603915,"Medium",3915
"715","Hyperoglyphe bythites","Black driftfish",603920,"Medium",3920
"716","Sebastes paucispinis","Bocaccio rockfish",603987,"Low",3987
"717","Sebastes pinniger","Canary rockfish",603989,"Low",3989
"718","Sebastolobus alascanus","Shortspine thornyhead",604009,"Very low",4009
"719","Prionotus stephanophrys","Lumptail searobin",604029,"Medium",4029
"720","Pleurogrammus monopterygius","Atka mackerel",604037,"Low",4037
"721","Eopsetta jordani","Petrale sole",604237,"Medium",4237
"722","Glyptocephalus zachirus","Rex sole",604238,"Low",4238
"723","Diapterus peruvianus","Peruvian mojarra",610430,"High",10430
"724","Cynoscion stolzmanni","Stolzmanns weakfish",611002,"Medium",11002
"725","Centropyge shepardi","Mango angelfish",611111,"High",11111
"726","Albula glossodonta","Roundjaw bonefish",611512,"Medium",11512
"727","Congresox talabonoides","Indian pike conger",611713,"High",11713
"728","Ambassis buruensis","Buru glass perchlet",611783,"High",11783
"729","Paratrachichthys trailli","Sandpaper fish",612005,"Very low",12005
"730","Plagioscion surinamensis","Pacora",612081,"Medium",12081
"731","Sebastes oculatus","Patagonian redfish",612084,"Low",12084
"732","Niphon spinosus","Ara",612128,"Low",12128
"733","Salangichthys microdon","Japanese icefish",612238,"Medium",12238
"734","Plagiogeneion rubiginosum","Rubyfish",612288,"Medium",12288
"735","Himantura granulata","Mangrove whipray",612586,"Low",12586
"736","Himantura fai","Pink whipray",612587,"Low",12587
"737","Myripristis chryseres","Yellowfin soldierfish",612596,"High",12596
"738","Synodus dermatogenys","Sand lizardfish",612620,"High",12620
"739","Halichoeres hortulanus","Checkerboard wrasse",612663,"High",12663
"740","Bodianus loxozonus","Blackfin hogfish",612744,"Medium",12744
"741","Liopropoma maculatum","Liopropoma maculatum",612848,"Medium",12848
"742","Hyporhamphus dussumieri","Dussumier's halfbeak",612895,"High",12895
"743","Neoniphon aurolineatus","Yellowstriped squirrelfish",612896,"High",12896
"744","Seriolella brama","Common warehou",612918,"Medium",12918
"745","Seriolella caerulea","White warehou",612919,"Medium",12919
"746","Seriolella punctata","Silver warehou",612922,"Medium",12922
"747","Pinguipes brasilianus","Brazilian sandperch",612928,"Low",12928
"748","Stromateus brasiliensis","Southwest Atlantic butterfish",612930,"High",12930
"749","Pinguipes chilensis","Chilean sandperch",612942,"Low",12942
"750","Polymixia japonica","Silver eye",612996,"Medium",12996
"751","Sparisoma cretense","Old parrotfish",613025,"Medium",13025
"752","Halichoeres zeylonicus","Goldstripe wrasse",613050,"Medium",13050
"753","Liparis tanakae","Tanaka's snailfish",624115,"Medium",24115
"754","Hyporhamphus ihi","Halfbeak",613135,"High",13135
"755","Zearaja nasuta","New Zealand rough skate",613144,"Low",13144
"756","Dipturus innominatus","New Zealand smooth skate",613145,"Low",13145
"757","Symphurus atramentatus","Inkspot tonguefish",613632,"High",13632
"758","Haemulopsis leuciscus","Raucous grunt",613720,"Medium",13720
"759","Haemulopsis axillaris","Yellowstripe grunt",613734,"Medium",13734
"760","Pomadasys macracanthus","Longspine grunt",613738,"Medium",13738
"761","Cyclopsetta querna","Toothed flounder",613954,"Medium",13954
"762","Hippoglossina tetrophthalma","Fourspot flounder",613967,"High",13967
"763","Syacium ovale","Oval flounder",613978,"High",13978
"764","Micropogonias altipinnis","Tallfin croaker",613998,"Medium",13998
"765","Larimus pacificus","Pacific drum",614009,"High",14009
"766","Isopisthus remifer","Silver weakfish",614018,"High",14018
"767","Cynoscion reticulatus","Mexican striped weakfish",614030,"Medium",14030
"768","Centroberyx affinis","Redfish",614129,"Medium",14129
"769","Clidoderma asperrimum","Roughscale sole",608838,"Medium",8838
"770","Krobia guianensis","Krobia",647068,"High",47068
"771","Argentina sphyraena","European argentine",600020,"Medium",20
"772","Orcynopsis unicolor","Plain bonito",600108,"Medium",108
"773","Rastrelliger brachysoma","Short mackerel",600109,"High",109
"774","Thunnus thynnus","Atlantic bluefin tuna",600147,"Low",147
"775","Thunnus tonggol","Longtail tuna",600148,"Medium",148
"776","Rhinobatos planiceps","Pacific guitarfish",600149,"Low",149
"777","Lutjanus jocu","Dog snapper",600154,"Low",154
"778","Lutjanus malabaricus","Malabar blood snapper",600162,"Low",162
"779","Lutjanus purpureus","Southern red snapper",600171,"Low",171
"780","Elops saurus","Ladyfish",600175,"Medium",175
"781","Lutjanus synagris","Lane snapper",600181,"Medium",181
"782","Macolor niger","Black and white snapper",600187,"Medium",187
"783","Pristipomoides filamentosus","Crimson jobfish",600201,"Medium",201
"784","Boops boops","Bogue",600203,"Medium",203
"785","Sarpa salpa","Salema",600204,"Medium",204
"786","Rhomboplites aurorubens","Vermilion snapper",600213,"Medium",213
"787","Makaira nigricans","Blue marlin",600216,"Medium",216
"788","Istiompax indica","Black marlin",600217,"Medium",217
"789","Makaira mazara","Indo-Pacific blue marlin",600218,"Low",218
"790","Kajikia albida","Atlantic white marlin",600219,"Medium",219
"791","Tetrapturus pfluegeri","Longbill spearfish",600220,"Medium",220
"792","Kajikia audax","Striped marlin",600223,"Low",223
"793","Alepocephalus bairdii","Baird's slickhead",600230,"Low",230
"794","Coregonus albula","Vendace",600231,"Medium",231
"795","Coregonus lavaretus","European whitefish",600232,"Medium",232
"796","Coregonus oxyrinchus","Houting",600233,"Medium",233
"797","Salmo salar","Atlantic salmon",600236,"Medium",236
"798","Salmo trutta","Sea trout",600238,NA,238
"799","Oncorhynchus mykiss","Rainbow trout",600239,"Medium",239
"800","Oncorhynchus gorbuscha","Pink salmon",600240,"Medium",240
"801","Oncorhynchus keta","Chum salmon",600241,"Medium",241
"802","Oncorhynchus masou masou","Masu salmon",600242,"Medium",242
"803","Oncorhynchus nerka","Sockeye salmon",600243,"Medium",243
"804","Oncorhynchus tshawytscha","Chinook salmon",600244,"Medium",244
"805","Oncorhynchus kisutch","Coho salmon",600245,"Medium",245
"806","Salvelinus alpinus alpinus","Arctic char",600247,"Low",247
"807","Centrolophus niger","Rudderfish",600249,"Very low",249
"808","Schedophilus ovalis","Imperial blackfish",600250,"Low",250
"809","Mallotus villosus","Capelin",600252,"Medium",252
"810","Hypomesus pretiosus","Surf smelt",600255,"Medium",255
"811","Acanthurus olivaceus","Orangespot surgeonfish",604744,"High",4744
"812","Acanthurus maculiceps","White freckled surgeonfish",604746,"Medium",4746
"813","Acanthurus nigricauda","Epaulette surgeonfish",604747,"High",4747
"814","Sargocentron tiere","Bluelined squirrelfish",604908,"High",4908
"815","Myripristis berndti","Blotcheye soldierfish",604910,"High",4910
"816","Neoniphon sammara","Sammara squirrelfish",604911,"High",4911
"817","Scorpaenopsis diabolus","False stonefish",604921,"Low",4921
"818","Epinephelus merra","Honeycomb grouper",604923,"High",4923
"819","Scarus globiceps","Globehead parrotfish",604970,"Medium",4970
"820","Epinephelus morrhua","Comet grouper",605353,"Medium",5353
"821","Acanthopagrus berda","Goldsilk seabream",605526,"Medium",5526
"822","Scarus ghobban","Bluebarred parrotfish",605548,"Medium",5548
"823","Chaetodon ephippium","Saddle butterflyfish",605562,"High",5562
"824","Chaetodon lineolatus","Lined butterflyfish",605564,"High",5564
"825","Hemigymnus melapterus","Blackeye thicklip",605636,"Medium",5636
"826","Thalassoma lunare","Moon wrasse",605645,"Medium",5645
"827","Thalassoma lutescens","Yellow-brown wrasse",605646,"Medium",5646
"828","Thalassoma trilobatum","Christmas wrasse",605649,"Medium",5649
"829","Sphyraena novaehollandiae","Australian barracuda",605736,"Low",5736
"830","Rhinecanthus aculeatus","White-banded triggerfish",605839,"High",5839
"831","Rhinecanthus rectangulus","Wedge-tail triggerfish",605840,"Medium",5840
"832","Sufflamen chrysopterum","Halfmoon triggerfish",605842,"Medium",5842
"833","Pentapodus caninus","Small-toothed whiptail",605867,"High",5867
"834","Upeneus taeniopterus","Finstripe goatfish",605995,"High",5995
"835","Gerres oyena","Common silverbiddy",605996,"High",5996
"836","Naso annulatus","Whitemargin unicornfish",606019,"Low",6019
"837","Naso brachycentron","Humpback unicornfish",606020,"Low",6020
"838","Plectorhinchus albovittatus","Two-stripe sweetlips",606362,"Very low",6362
"839","Plectorhinchus obscurus","Giant sweetlips",606368,"Low",6368
"840","Myripristis adusta","Shadowfin soldierfish",606506,"High",6506
"841","Amblyraja taaf","Whiteleg skate",606954,"Low",6954
"842","Trematomus eulepidotus","Blunt scalyhead",607054,"Medium",7054
"843","Epinephelus multinotatus","White-blotched grouper",607354,"Medium",7354
"844","Raja undulata","Undulate ray",607617,"Low",7617
"845","Hyporhamphus affinis","Tropical halfbeak",607710,"High",7710
"846","Crenidens crenidens","Karenteen seabream",607931,"Medium",7931
"847","Pelates quadrilineatus","Fourlined terapon",607945,"High",7945
"848","Paristiopterus labiosus","Giant boarfish",612354,"Low",12354
"849","Pentaceros decacanthus","Bigspined boarfish",612357,"Medium",12357
"850","Coregonus muksun","Muksun",612547,"Low",12547
"851","Kathetostoma giganteum","Giant stargazer",612920,"Medium",12920
"852","Meuschenia scaber","Velvet leatherjacket",613139,"Medium",13139
"853","Pennahia anea","Bigeye croaker",613664,"High",13664
"854","Haemulopsis nitidus","Shining grunt",613721,"Medium",13721
"855","Scorpaena russula","Reddish scorpionfish",614220,"Medium",14220
"856","Centriscops humerosus","Banded yellowfish",614242,"Medium",14242
"857","Carcharhinus melanopterus","Blacktip reef shark",600877,"Very low",877
"858","Carcharhinus obscurus","Dusky shark",600878,"Very low",878
"859","Galeocerdo cuvier","Tiger shark",600886,"Low",886
"860","Pagellus acarne","Axillary seabream",600889,"Medium",889
"861","Pagellus bogaraveo","Blackspot seabream",600890,"Low",890
"862","Pagellus erythrinus","Common pandora",600893,"Medium",893
"863","Negaprion brevirostris","Lemon shark",600897,"Very low",897
