"am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend"
"URM-Cn-4954",132970,"Agaricia lamarcki",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4955",133439,"Agaricia tenuifolia",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-4957",133171,"Coeloseris mayeri",NA,NA,"CORAL1","LC","Unknown"
"SLB-184810",133660,"Isopora cuneata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4958",132917,"Gardineroseris planulata",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4959",133522,"Helioseris cucullata",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-4961",133686,"Leptoseris cailleti",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4962",132887,"Leptoseris explanata",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4963",133330,"Leptoseris foliosa",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4964",133636,"Leptoseris gardineri",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4965",132885,"Leptoseris hawaiiensis",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4966",133539,"Leptoseris incrustans",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4967",133351,"Leptoseris mycetoseroides",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4968",133098,"Leptoseris papyracea",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4969",133091,"Leptoseris scabra",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4970",132903,"Leptoseris solida",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4974",133147,"Leptoseris yabei",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4977",133453,"Pachyseris rugosa",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4978",133410,"Pachyseris speciosa",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4979",133360,"Pavona bipartita",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4980",133558,"Pavona cactus",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4982",133240,"Pavona clavus",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4984",133041,"Pavona decussata",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4985",133581,"Pavona diffluens",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4987",133702,"Pavona duerdeni",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4988",133382,"Pavona explanulata",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4989",133242,"Pavona frondifera",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4990",133168,"Pavona gigantea",NA,NA,"CORAL1","LC","Increasing"
"URM-Cn-4992",132911,"Pavona maldivensis",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4993",132904,"Pavona minuta",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-4994",133398,"Pavona varians",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4995",132880,"Pavona venosa",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4735",133322,"Acropora dendrum",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4709",133463,"Acropora aculeus",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5962",133663,"Madracis decactis",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5963",133281,"Madracis formosa",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5967",133380,"Madracis kirbyi",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5970",133135,"Madracis pharensis",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5972",133611,"Madracis senaria",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5005",133075,"Palauastrea ramosa",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-5006",133521,"Stephanocoenia intersepta",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5007",133548,"Stylocoeniella armata",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5009",133049,"Stylocoeniella guentheri",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5092",132890,"Catalaphyllia jardinei",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4738",133250,"Acropora digitifera",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4739",132910,"Acropora divaricata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4742",133661,"Acropora echinata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5591",132963,"Manicina areolata",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5592",133134,"Montastraea annularis",NA,NA,"CORAL1","EN","Decreasing"
"URM-Cn-5594",133237,"Montastraea cavernosa",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-4795",133266,"Acropora nobilis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5601",133070,"Montastrea colemani",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5604",132859,"Oulastrea crispata",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5605",133333,"Oulophyllia bennettae",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5606",133200,"Oulophyllia crispa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4715",133160,"Acropora austera",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5610",133161,"Platygyra contorta",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5612",133468,"Platygyra daedalea",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5613",133651,"Platygyra lamellina",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4745",133010,"Acropora elseyi",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4710",132940,"Acropora acuminata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5095",133575,"Cladocora arbuscula",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4750",132869,"Acropora florida",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4751",133644,"Acropora formosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4752",133324,"Acropora gemmifera",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5164",133431,"Heterocyathus aequicostatus",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4753",133550,"Acropora glauca",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4755",133013,"Acropora grandis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4756",132948,"Acropora granulosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4758",132981,"Acropora hemprichii",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4759",133401,"Acropora hoeksemai",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4760",133319,"Acropora horrida",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4761",132992,"Acropora humilis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4762",133479,"Acropora hyacinthus",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4712",133513,"Acropora anthocercis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4770",133081,"Acropora kirstyae",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4773",133120,"Acropora latistella",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4774",132969,"Acropora listeri",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4713",133604,"Acropora arabensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4778",132976,"Acropora loripes",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5428",133679,"Heteropsammia cochlea",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4779",133327,"Acropora lovelli",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4780",133303,"Acropora lutkeni",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5465",132957,"Turbinaria bifrons",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5468",133146,"Turbinaria frondens",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-5471",133633,"Turbinaria mesenterina",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5472",133177,"Turbinaria patula",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5473",133498,"Turbinaria peltata",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5474",132985,"Turbinaria radicalis",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-5475",133697,"Turbinaria reniformis",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5476",133403,"Turbinaria stellulata",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5477",133173,"Euphyllia ancora",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-5478",133588,"Euphyllia cristata",NA,NA,"CORAL1","VU","Stable"
"URM-Cn-4783",133359,"Acropora microclados",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5479",133225,"Euphyllia divisa",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-5481",133256,"Euphyllia glabrescens",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-5488",133456,"Physogyra lichtensteini",NA,NA,"CORAL1","VU","Unknown"
"URM-Cn-4784",133021,"Acropora microphthalma",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5495",133258,"Plerogyra sinuosa",NA,NA,"CORAL1","NT","Unknown"
"URM-Cn-4785",133666,"Acropora millepora",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5499",133084,"Barabattoia amicorum",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5505",133695,"Caulastrea curvata",NA,NA,"CORAL1","VU","Decreasing"
"SLB-62380",133497,"Caulastrea echinulata",NA,NA,"CORAL1","VU","Decreasing"
"SLB-62381",133417,"Caulastrea furcata",NA,NA,"CORAL1","LC","Decreasing"
"SLB-62382",133405,"Caulastrea tumida",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5508",132884,"Colpophyllia natans",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5510",133325,"Cyphastrea chalcidicum",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5514",133648,"Cyphastrea microphthalma",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5516",133167,"Cyphastrea serailia",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5517",133231,"Diploastrea heliopora",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5518",133377,"Diploria clivosa",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5519",133257,"Diploria labyrinthiformis",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5520",133155,"Diploria strigosa",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5524",132987,"Echinopora gemmacea",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5525",133188,"Echinopora hirsutissima",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5526",133429,"Echinopora horrida",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5528",133088,"Echinopora lamellosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4788",133315,"Acropora monticulosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5537",133426,"Favia danae",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5538",133569,"Favia favus",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5539",133594,"Favia fragum",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-5541",133601,"Favia helianthoides",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5543",133392,"Favia laxa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5545",133510,"Favia lizardensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5546",133638,"Favia maritima",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5548",133616,"Favia matthaii",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4790",132990,"Acropora multiacuta",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5549",132878,"Favia maxima",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5551",132899,"Favia rosaria",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5553",133307,"Favia rotundata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5554",133210,"Favia speciosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5555",133593,"Favia stelligera",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5556",133516,"Favia truncatus",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5557",132894,"Favia veroni",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4791",133698,"Acropora nana",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5560",133290,"Favites abdita",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5561",133654,"Favites chinensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5562",132979,"Favites complanata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5563",133244,"Favites flexuosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5564",133055,"Favites halicora",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5567",133209,"Favites pentagona",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4792",133239,"Acropora nasuta",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5569",133343,"Favites russelli",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5571",133452,"Goniastrea aspera",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5572",132883,"Goniastrea australensis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5574",133365,"Goniastrea edwardsi",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5575",133060,"Goniastrea favulus",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5577",133560,"Goniastrea palauensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5578",133414,"Goniastrea pectinata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5580",133634,"Goniastrea retiformis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5583",133003,"Leptastrea bewickensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5584",132983,"Leptastrea bottae",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5585",133424,"Leptastrea inaequalis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5586",133278,"Leptastrea pruinosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5587",133090,"Leptastrea purpurea",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5590",132980,"Leptoria phrygia",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5614",133440,"Platygyra pini",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5615",133493,"Platygyra ryukyuensis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5617",133059,"Platygyra verweyi",NA,NA,"CORAL1","NT","Decreasing"
"SLB-184813",133139,"Isopora palifera",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5620",133284,"Plesiastrea versipora",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5621",133657,"Solenastrea bournoni",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-4798",133006,"Acropora palmata",NA,NA,"CORAL1","CR","Stable"
"URM-Cn-4799",133531,"Acropora palmerae",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4800",132972,"Acropora paniculata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4805",133247,"Acropora pharaonis",NA,NA,"CORAL1","VU","Decreasing"
"Hol-208947",180518,"Actinopyga echinites",NA,NA,"SEACUCUMBERS","VU","Decreasing"
"SLB-65995",180353,"Actinopyga agassizi",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-149898",180298,"Parastichopus regalis",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-125180",180492,"Holothuria mexicana",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-148748",180421,"Holothuria atra",NA,NA,"SEACUCUMBERS","LC","Stable"
"Hol-124525",180295,"Holothuria poli",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-210813",180257,"Holothuria scabra",NA,NA,"SEACUCUMBERS","EN","Decreasing"
"Hol-210835",180326,"Holothuria nobilis",NA,NA,"SEACUCUMBERS","EN",NA
"Hol-124501",180297,"Holothuria forskali",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Rep-3759",176750,"Laticauda colubrina",NA,NA,"non-homalopsids","LC","Stable"
"Rep-110",176769,"Acrochordus granulatus",NA,NA,"non-homalopsids","LC","Stable"
"ITS-180498",23211,"Ziphius cavirostris",NA,16381144,"MAMMMARINE","LC","Unknown"
"ITS-180505",10708,"Hyperoodon planifrons",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180630",2058,"Arctocephalus gazella",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180631",41664,"Arctocephalus forsteri",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180632",2062,"Arctocephalus tropicalis",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180633",2055,"Arctocephalus australis",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180636",2061,"Arctocephalus townsendi",NA,NA,"MAMMMARINE","NT","Increasing"
"ITS-180649",17013,"Phoca vitulina",NA,NA,"MAMMMARINE","LC","Stable"
"ITS-180653",9660,"Halichoerus grypus",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180657",6204,"Cystophora cristata",NA,NA,"MAMMMARINE","VU","Decreasing"
"ITS-180521",8099,"Eschrichtius robustus",8097,NA,"MAMMMARINE","CR","Increasing"
"ITS-180521",8097,"Eschrichtius robustus",NA,8099,"MAMMMARINE","LC","Stable"
"ITS-180524",2474,"Balaenoptera acutorostrata",NA,NA,"MAMMMARINE","LC","Stable"
"ITS-180526",2475,"Balaenoptera borealis",NA,NA,"MAMMMARINE","EN","Unknown"
"ITS-180527",2478,"Balaenoptera physalus",NA,16208224,"MAMMMARINE","EN","Unknown"
"ITS-180527",16208224,"Balaenoptera physalus",2478,NA,"MAMMMARINE","VU","Decreasing"
"ITS-180528",2477,"Balaenoptera musculus",NA,2479,"MAMMMARINE","EN","Increasing"
"ITS-180530",13006,"Megaptera novaeangliae",NA,132835,"MAMMMARINE","LC","Increasing"
"ITS-180530",132832,"Megaptera novaeangliae",13006,NA,"MAMMMARINE","EN","Increasing"
"ITS-180530",132835,"Megaptera novaeangliae",13006,NA,"MAMMMARINE","EN","Unknown"
"ITS-180533",2472,"Balaena mysticetus",2467,NA,"MAMMMARINE","CR","Unknown"
"ITS-180533",2468,"Balaena mysticetus",2467,NA,"MAMMMARINE","NT",NA
"ITS-180533",2469,"Balaena mysticetus",2467,NA,"MAMMMARINE","EN","Unknown"
"ITS-180533",2467,"Balaena mysticetus",NA,2468,"MAMMMARINE","LC","Increasing"
"ITS-180537",41712,"Eubalaena glacialis",NA,NA,"MAMMMARINE","EN","Unknown"
"ITS-180547",7750,"Enhydra lutris",NA,NA,"MAMMTERR","EN","Decreasing"
"ITS-180411",41761,"Pontoporia blainvillei",17978,NA,"MAMMMARINE","VU","Decreasing"
"ITS-180411",17978,"Pontoporia blainvillei",NA,41761,"MAMMMARINE","VU","Decreasing"
"ITS-180417",20738,"Steno bredanensis",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180419",133710,"Sousa chinensis",20424,NA,"MAMMMARINE","CR","Decreasing"
"ITS-180419",20424,"Sousa chinensis",NA,133710,"MAMMMARINE","NT","Decreasing"
"ITS-180426",16369383,"Tursiops truncatus",22563,NA,"MAMMMARINE","VU","Decreasing"
"ITS-180426",22563,"Tursiops truncatus",NA,194300,"MAMMMARINE","LC","Unknown"
"ITS-180426",194300,"Tursiops truncatus",22563,NA,"MAMMMARINE","CR","Decreasing"
"ITS-180430",20729,"Stenella attenuata",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180434",16674437,"Stenella coeruleoalba",20731,NA,"MAMMMARINE","VU","Unknown"
"ITS-180434",20731,"Stenella coeruleoalba",NA,16674437,"MAMMMARINE","LC","Unknown"
"ITS-180438",41762,"Delphinus delphis",6336,NA,"MAMMMARINE","EN","Decreasing"
"ITS-180438",6336,"Delphinus delphis",NA,41762,"MAMMMARINE","LC","Unknown"
"ITS-180440",11140,"Lagenodelphis hosei",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180442",11142,"Lagenorhynchus albirostris",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180443",11141,"Lagenorhynchus acutus",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180444",11145,"Lagenorhynchus obliquidens",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180447",11144,"Lagenorhynchus cruciger",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180454",12125,"Lissodelphis borealis",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180457",9461,"Grampus griseus",NA,16378423,"MAMMMARINE","LC","Unknown"
"ITS-180459",16564,"Peponocephala electra",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180471",44187,"Orcaella brevirostris",15419,NA,"MAMMMARINE","CR","Decreasing"
"ITS-180471",15419,"Orcaella brevirostris",NA,44556,"MAMMMARINE","VU","Decreasing"
"ITS-180473",17031,"Phocoena phocoena",17027,NA,"MAMMMARINE","CR","Decreasing"
"ITS-180473",17027,"Phocoena phocoena",NA,17031,"MAMMMARINE","LC","Unknown"
"ITS-180480",17032,"Phocoenoides dalli",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180483",6335,"Delphinapterus leucas",NA,61442,"MAMMMARINE","NT","Unknown"
"ITS-180483",61442,"Delphinapterus leucas",6335,NA,"MAMMMARINE","CR","Decreasing"
"ITS-180485",13704,"Monodon monoceros",NA,NA,"MAMMMARINE","NT","Unknown"
"ITS-180619",41665,"Otaria flavescens",NA,NA,"MAMMMARINE","LC","Stable"
"ITS-180621",41666,"Zalophus californianus",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180623",14549,"Neophoca cinerea",NA,NA,"MAMMMARINE","EN","Decreasing"
"ITS-180625",8239,"Eumetopias jubatus",NA,17367725,"MAMMMARINE","NT","Increasing"
"ITS-180627",3590,"Callorhinus ursinus",NA,NA,"MAMMMARINE","VU","Decreasing"
"ITS-180665",15269,"Ommatophoca rossii",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180667",10340,"Hydrurga leptonyx",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180669",11696,"Leptonychotes weddellii",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-180672",13581,"Mirounga angustirostris",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-180679",6909,"Dugong dugon",NA,NA,"MAMMMARINE","VU","Unknown"
"ITS-180684",22103,"Trichechus manatus",NA,22106,"MAMMMARINE","VU","Decreasing"
"ITS-552771",133704,"Eubalaena australis",8153,NA,"MAMMMARINE","CR","Unknown"
"ITS-552771",8153,"Eubalaena australis",NA,133704,"MAMMMARINE","LC","Increasing"
"ITS-622014",41668,"Zalophus wollebaeki",NA,NA,"MAMMMARINE","EN","Decreasing"
"ITS-622018",41672,"Pusa hispida",NA,NA,"MAMMMARINE","LC","Unknown"
"ITS-622022",41671,"Pagophilus groenlandicus",NA,NA,"MAMMMARINE","LC","Increasing"
"ITS-622023",12246,"Lobodon carcinophaga",NA,NA,"MAMMMARINE","LC","Unknown"
"SLB-120063",192323,"Conus milneedwardsi",NA,NA,"CONUS","LC","Unknown"
"SLB-120088",192380,"Conus floridulus",NA,NA,"CONUS","LC","Unknown"
"SLB-120147",192408,"Conus monile",NA,NA,"CONUS","LC","Unknown"
"SLB-120153",192276,"Conus praecellens",NA,NA,"CONUS","LC","Unknown"
"SLB-129356",192641,"Conus orbignyi",NA,NA,"CONUS","LC","Unknown"
"Hol-208956",180337,"Actinopyga mauritiana",NA,NA,"SEACUCUMBERS","VU","Decreasing"
"Hol-208949",180265,"Actinopyga miliaris",NA,NA,"SEACUCUMBERS","VU","Decreasing"
"Hol-210768",180541,"Bohadschia argus",NA,NA,"SEACUCUMBERS","LC","Stable"
"Hol-241820",180395,"Holothuria coluber",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-210882",180400,"Holothuria edulis",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-210874",180326,"Holothuria fuscogilva",NA,NA,"SEACUCUMBERS","EN",NA
"Hol-210874",200715,"Holothuria fuscogilva",NA,NA,"SEACUCUMBERS","VU","Decreasing"
"SLB-88397",180414,"Holothuria fuscopunctata",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-210772",180248,"Pearsonothuria graeffei",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-149789",180477,"Stichopus chloronotus",NA,NA,"SEACUCUMBERS","LC","Stable"
"Hol-210916",180481,"Thelenota ananas",NA,NA,"SEACUCUMBERS","EN","Decreasing"
"Rep-34",176756,"Acalyptophis peronii",NA,NA,"non-homalopsids","LC","Stable"
"Rep-205",176757,"Aipysurus eydouxii",NA,NA,"non-homalopsids","LC","Unknown"
"Rep-208",176704,"Aipysurus laevis",NA,NA,"non-homalopsids","LC","Decreasing"
"Rep-865",176708,"Astrotia stokesii",NA,NA,"non-homalopsids","LC","Unknown"
"Rep-2758",176720,"Emydocephalus annulatus",NA,NA,"non-homalopsids","LC","Decreasing"
"Rep-2769",176719,"Enhydrina schistosa",NA,NA,"non-homalopsids","LC","Stable"
"Rep-3490",176734,"Hydrophis elegans",NA,NA,"non-homalopsids","LC","Stable"
"Rep-3744",176746,"Lapemis curtus",NA,NA,"non-homalopsids","LC","Unknown"
"Hol-367868",180519,"Isostichopus badionotus",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-529402",180235,"Holothuria hilla",NA,NA,"SEACUCUMBERS","LC","Unknown"
"Hol-210880",180443,"Holothuria rigida",NA,NA,"SEACUCUMBERS","LC","Unknown"
"SLB-93391",133649,"Acropora abrotanoides",NA,NA,"CORAL1","LC","Decreasing"
"SLB-93466",133387,"Acropora globiceps",NA,NA,"CORAL1","VU","Decreasing"
"SLB-93474",133115,"Acropora retusa",NA,NA,"CORAL1","VU","Decreasing"
"SLB-93562",192719,"Conus litteratus",NA,NA,"CONUS","LC","Unknown"
"SLB-93568",192812,"Conus quercinus",NA,NA,"CONUS","LC","Unknown"
"SLB-93570",192614,"Conus suratensis",NA,NA,"CONUS","LC",NA
"SLB-93574",192298,"Conus betulinus",NA,NA,"CONUS","LC","Unknown"
"SLB-93578",192636,"Conus coronatus",NA,NA,"CONUS","LC","Unknown"
"SLB-93583",192562,"Conus flavidus",NA,NA,"CONUS","LC","Unknown"
"SLB-93586",192460,"Conus generalis",NA,NA,"CONUS","LC","Unknown"
"SLB-93588",192386,"Conus leopardus",NA,NA,"CONUS","LC","Unknown"
"SLB-93588",192778,"Conus leopardus",NA,NA,"CONUS","LC","Unknown"
"SLB-93593",133682,"Acropora subulata",NA,NA,"CORAL1","LC","Decreasing"
"SLB-93594",192844,"Conus lividus",NA,NA,"CONUS","LC","Unknown"
"SLB-93600",192701,"Conus marmoreus",NA,NA,"CONUS","LC","Unknown"
"SLB-93607",192743,"Conus tessulatus",NA,NA,"CONUS","LC","Stable"
"SLB-93610",192316,"Conus textile",NA,NA,"CONUS","LC",NA
"SLB-93690",133195,"Acropora appressa",NA,NA,"CORAL1","NT","Decreasing"
"SLB-93747",133338,"Acropora speciosa",NA,NA,"CORAL1","VU","Decreasing"
"SLB-93757",133227,"Astreopora expansa",NA,NA,"CORAL1","NT","Decreasing"
"SLB-100581",192870,"Conus arenatus",NA,NA,"CONUS","LC","Unknown"
